제목,날짜,본문,URL
강남구 아파트 3.3㎡당 평균 매매가 9천만원…강북구의 3배,2022.11.30,"※ 기사와 직접 관련이 없습니다.
서울 강남구 일대 아파트 단지 모습. [연합뉴스 자료사진]
(서울=연합뉴스) 김치연 기자 = 올해 11월 서울 강남구의 3.3㎡당 아파트 평균 매매가격(전용면적 기준)은 9천만원으로 강북구의 약 3배에 달하는 것으로 나타났다.
30일 부동산 정보제공 업체 경제만랩이 KB부동산 주택가격 동향을 분석한 결과, 올해 11월 서울 3.3㎡당 아파트 평균 매매가격은 5천68만8천원으로 확인됐다.
구별로 살펴보면, 강남구의 3.3㎡당 아파트 평균 매매가격이 9천23만8천원으로 서울 25개 자치구 중 가장 높았다.
서초구(8천759만원), 용산구(6천766만원), 송파구(6천700만원), 성동구(5천855만원), 마포구(5천467만원), 광진구(5천336만원), 양천구(5천209만원), 강동구(5천74만원) 등으로 집계됐다. 강북구는 3천198만원으로 서울에서 가장 가격이 낮았다.
올해 11월 3.3㎡당 서울 아파트 평균 매매가격
[경제만랩 제공]
국토교통부의 실거래가 공개시스템에 따르면 강남구 대치동 은마아파트 전용면적 84.43㎡(10층)는 이달 23억5천만원에 거래됐다.
같은 기간 강북구 미아동의 SK북한산시티 전용면적 84.76㎡(12층)는 6억9천750만원에 계약이 이뤄졌다.
강북구 아파트의 3채 가격이 강남구 아파트 1채인 셈인 것이다.
한강 이남(11개 자치구)과 한강 이북(14개 자치구)의 아파트 평균 매매가격은 각각 15억3천99만원과 10억642만원으로 5억2천457만원 차이났다.
3.3㎡당 아파트 평균 전셋값도 강남구(4천87만원)가 유일하게 4천만원을 넘었다.
서초구(3천977만원), 송파구(3천234만원), 용산구(3천75만원), 성동구(3천72만원) 등으로 조사됐다. 평균 전셋값이 가장 낮은 곳은 도봉구(1천682만원)였다.
황한솔 경제만랩 리서치연구원은 ""최근 금리 인상의 영향으로 가격 조정과 거래절벽 현상이 나타나고 있지만, 강남구의 경우 생활 인프라가 워낙 뛰어난데다 수요가 풍부해 지역 간 아파트 가격 양극화 현상은 좁혀지기 어려울 것으로 보인다""고 말했다.
chic@yna.co.kr",https://n.news.naver.com/article/001/0013611991
2채 중 1채 증여였던 '강남 아파트'… 한 달 새 225건→13건,2023.03.04,"올해 들어 서울 주택 증여 비중이 큰 폭으로 줄었다. 취득세 산정 기준이 시가표준액에서 시가인정액으로 변경되며 내야 할 세금이 많아진 탓이다. 3일 한국부동산원 주택거래 현황 통계에 따르면 지난 1월 서울 주택 거래 중 증여비율은 11.0%(6536건 중 722건)로 조사됐다./사진=뉴시스
올해부터 취득세 산정 기준이 시가표준액에서 시가인정액으로 변경되며 세금 부담이 커지자 강남·용산 등 서울 주요 아파트 단지를 중심으로 증여 비중이 감소했다. '1.3 대책'과 '노후 신도시 특별법' 등 정부의 부동산 시장 경착륙 방지 정책으로 위축됐던 매수 심리가 다소 회복됨에 따라 증여는 더욱 줄어들 것이라는 예측이 나온다.
3일 한국부동산원에 따르면 지난 1월 서울 주택 거래 6536건 중 증여는 722건으로, 전체의 11.0%를 차지했다. 반면 2022년 12월 서울의 주택 증여 비율은 36.4%(7199건 중 2620건)으로, 부동산원이 처음 관련 통계를 산출한 2006년 이후 역대 최대치에 해당했다. 증여 감소 현상은 전국적으로 나타났다. 지난 1월 전국 주택 증여 비율은 11.0%로, 전월(19.6%) 대비 8.6%포인트 감소했다.
한달 사이 서울 아파트 증여 비율이 25.4%포인트나 떨어진 배경에는 바뀐 증여 취득세 산정 기준이 있다. 지난해까지는 증여로 취득한 부동산에 대한 취득세를 계산할 때 시가표준액(공시가격)이 기준이었으나 올해부턴 시가인정액(시세)이다.
시가표준액은 공시된 토지와 주택의 가액인 시가표준액은 시세의 60∼70% 수준에서 정해지지만,시가인정액은 취득일 전 6개월부터 취득일 후 3개월 사이의 매매사례가액이나 감정가액·공매가액이 있을 때 이를 시가로 삼는다. 아파트의 경우 유사 매매사례가격을 기준으로 삼는데, 유사 매매사례가격은 동일 단지에서 해당 자산과 공시가격·전용면적의 차이가 5% 이내인 유사자산의 매매가액을 뜻한다.
취득세는 과세표준에 취득세율을 곱해 과세한다. 최근 집값이 급격히 떨어지며 공시가격이 실거래가보다 높아지는 역전현상이 발생하고 있는 때 과세표준 기준이 시가안정액으로 변경되면 그만큼 취득세는 높아진다.
전체 주택 유형 중에선 아파트 증여 감소폭이 가팔랐다. 지난 1월 서울 아파트 증여 비율은 10.8%로 지난해 12월 29.9%에 비해 19.1%포인트 줄었다.
취득세 산정 기준 변경 직전이었던 2022년 12월 서울에서 아파트 증여 비율이 가장 높았던 자치구는 용산으로 67건 중 42건(62.7%)이 증여였다. 같은 기간 강남구 또한 전체 거래의 절반 이상인 59.5%(378건 중 225건)가 증여에 해당했다. 올해 1월 6.3%(16건 중 1건), 7.7%(169건 중 13건)인 것과 상반된 결과다.
중저가 아파트가 집중된 노원구 또한 작년 12월 증여 비중이 50.3%에 달했으나 올해 1월에는 5분의 1 수준인 8.3%로 급감했다.
여경희 부동산R114 수석연구원은 ""취득세 증가를 이유로 증여가 감소한 상황에서 규제 완화 영향으로 매수 심리가 다소 회복됨에 따라 보유하고 있는 주택을 증여하기보단 조금 더 보유하면서 매수 타이밍을 노리는 이들이 늘어나며 증여 비율은 더욱 낮아질 것으로 보인다""고 말했다.",https://n.news.naver.com/article/417/0000900547
은마 4424가구 중 고작 2건만 매매…서울 최악 '거래 빙하기',2022.10.31,"9월 서울 아파트 거래 단 856건
서울 아파트 매매 거래량이 한 달 만에 또 역대 최저치를 기록했다. 사진은 서울의 부동산 중개업소 밀집지역. 뉴스1
주택시장이 사상 최악의 ‘거래 빙하기’를 겪고 있다. 서울 아파트 거래량은 한 달 만에 역대 최저치를 새로 썼다. 가파른 금리 인상과 이에 따른 집값 하락 우려로 집을 사려는 사람이 크게 줄었기 때문이다.
31일 국토교통부에 따르면 지난 9월 전국 주택 거래량은 총 3만2403건이었다. 1년 전보다 60.3% 줄었고, 한 달 전보단 8.8% 감소했다. 올해 들어 9월까지 전국의 주택 거래량은 41만7794건으로 지난해 같은 기간보다 49% 줄었다. 서울 주택 매매량은 지난 9월 3388건으로 1년 전보다 64.6%, 수도권 전체 거래량(1만2609건)은 66.1% 감소했다.
주택 유형을 아파트로 좁히면 ‘거래 절벽’은 더 심각하다. 지난 9월 전국 아파트 거래량은 1만8028건으로 지난해 9월보다 67.3% 급감했다. 특히 서울 아파트 거래가 856건에 그쳐 1년 새 77.9% 줄었다. 정부가 관련 통계를 집계한 2006년 1월 이후 최저치다. 지난 8월 907건에서 한 달 만에 최저치를 갈아치운 것이다.
개별 단지를 보면, 4424가구 규모의 대단지인 서울 강남구 대치동 은마아파트는 지난 9월 2건이 거래됐다. 올 들어선 18건의 매매가 이뤄졌다. 지난해(59건)의 30% 수준이다. 중구 신당동의 랜드마크 단지인 남산타운(5150가구)도 지난해 64건이 거래됐지만, 올해 들어선 18건이 손바뀜됐다. 지난 9월 거래량은 고작 2건뿐이다. 신당동의 A중개업소 관계자는 “상반기까지만 해도 호가(부르는 값)를 조금만 낮추면 사겠다는 사람이 많았는데, 요즘은 매수 문의 자체가 없다”고 말했다.
그래픽=김경진 기자 capkim@joongang.co.kr
미분양 재고는 계속 쌓인다. 지난 9월 말 전국 미분양 주택은 4만1604가구로 전달보다 27.1% 증가했다. 2015년 11월(전월 대비 54.3% 증가) 이후 6년 10개월 만의 최대 증가 폭이다. 지난해 말(1만7710가구)과 비교하면 134.9% 급증했다. 월별 기준으로 2020년 1월(4만3268가구) 이후 32개월 만에 가장 많다. 서울(719가구) 등 수도권의 미분양이 7813가구로 한 달 새 55.9% 늘었고, 같은 기간 지방 미분양(3만3791가구)은 21.9% 증가했다.
부동산 경기가 이처럼 빠르게 냉각되자 정부는 시장 연착륙을 위한 방안을 고민하고 있다. 최근 무주택자와 1주택자에 대한 주택담보대출비율(LTV)을 50%로 조정하고, 15억원이 넘는 아파트에 담보대출을 허용하기로 한 데 이어 규제지역 해제도 추진한다. 지난 9월 조정대상지역 101곳 중 41곳, 투기과열지구 43곳 중 4곳을 해제했는데 추가 해제에 나서는 것이다. 권혁진 국토부 주택토지실장은 “대상 지역을 단정적으로 얘기하긴 어렵고, 집값 하락폭과 거래량 등을 고려해 11월 중 규제지역을 해제할 것”이라고 말했다.
현재 투기과열지구는 서울 전 지역(25개 구)과 경기도 과천, 성남 분당구, 광명 등 경기도 14곳이다. 또 서울 전 지역과 과천·성남·의왕 등 경기도 28곳, 인천 8개 구, 세종시는 조정대상지역으로 묶여 있다. 임채우 KB국민은행 수석전문위원은 “경기도의 조정대상지역을 전부 해제하는 식의 전향적인 조치가 나와야 시장 경착륙을 막을 수 있을 것”이라고 말했다.",https://n.news.naver.com/article/025/0003234903
"강남구, 압구정2~5구역 정비계획 결정 요청 완료…재건축 첫걸음 뗐다",2025.01.22,"지난 20일 서울시에 압구정 3구역 정비계획안 입안
작년 하반기 2·4·5구역 이어 강남구 입안 모두 마무리
이중 2구역 최고 높이 65층 조정…상반기 중 결정 고시
[이데일리 남궁민관 기자] 서울시 강남구가 압구정 3구역 정비계획안을 서울시에 결정 요청(입안)하면서 올해 압구정  일대 정비사업이 속도를 낼 전망이다. 정비계획 결정 요청은 재건축 사업을 본격적으로 추진하는 첫걸음으로, 강남구는 지난해 하반기 압구정2·4·5구역에 이어 연초 3구역까지 이를 마무리 지으면서다.
압구정동 한양아파트 전경.(사진=강남구)
강남구는 20일 서울시에 압구정3구역을 끝으로 압구정2~5구역 신속통합기획 단지의 정비계획 결정 요청을 모두 완료했다고 22일 밝혔다. 각 조합과 강남구가 협력해 재건축 사업 속도에 박차를 내 주민 제안부터 입안까지 1년 내 마무리 지은 성과라는 설명이다.
압구정 2~5구역은 서울시 신통기획 추진 단지다. 2023년 7월 서울시의 신속통합기획 가이드라인이 수립됐으며 조합은 해당 가이드라인을 최대한 반영한 정비계획(안)을 강남구로 제출했다. 강남구는 조합과 적극적으로 소통하며 지난 한 해 동안 주민공람, 구의회 의견 청취 등 모든 절차를 신속하게 진행해 지난해 9월 2구역, 11월 4구역, 12월 5구역에 이어 올해 1월 3구역 순으로 정비계획 결정 요청을 추진했다.
이중 압구정 2구역은 지난해 11월 서울시 도시계획위원회 수권분과위원회에서 정비계획안을 수정 가결해 최고 높이를 250m(지상 65층) 이하로 조정했고, 조합은 이를 대부분 수용해 신속하게 정비 사업이 추진될 수 있었다고 설명했다. 수정 계획안은 다음달 17일까지 주민 재공람이 진행 중이며 올해 상반기 중으로 최종 정비계획 결정 고시가 이뤄질 예정이다.
조성명 강남구청장은 “압구정 신통기획 단지의 정비계획 결정 요청이 모두 완료됨에 따라 이 일대의 재건축이 본격적으로 추진될 것”이라며 “이후에도 서울시와 지속적으로 협력해 압구정 일대 재건축이 신속하게 진행될 수 있도록 최선을 다하겠다”고 말했다. 이어 “앞으로도 주민들의 의견을 충분히 반영하고 적극적으로 소통함으로써 정비 사업에 속도를 내겠다”고 덧붙였다.",https://n.news.naver.com/article/018/0005929842
개포 구룡마을 재개발 설계안 공모… 3887가구 아파트 들어선다,2024.12.31,"접수 마감일 내년 3월 21일
서울주택도시공사(SH공사)가 개포 구룡마을 도시개발사업 기본 계획안과 건축 설계안을 제안 받는다.
SH공사는 강남구 양재대로 478 일원에 위치한 구룡마을 설계 공모를 공고하고 기본 계획안과 건축 설계안을 접수한다고 31일 밝혔다.
구룡마을 공모 제안 범위./SH공사
SH공사는 물리적으로 단절된 구룡마을에 ‘경계 없는 새로운 형태의 공공주택’을 건립하고 자연과 함께하는 ‘열린 상생 마을’로 탈바꿈시킬 설계안을 선정할 계획이다.
구룡마을 도시개발사업 공동주택 건설 용지는 총 6개 블록이다. 주상복합용지(F1, F2) 2개 블록과 공동주택용지(M, B1, B2, B3) 4개 블록이다. SH공사는 4개 블록(F1, M, B2, B3)을 개발한다. 2개 블록(F2, B1)은 매각 후 민간 건설사가 개발한다.
구룡마을에는 공공 임대 1896가구, 공공 분양 1031가구, 민간 분양 960가구 등 총 3887가구 공동주택이 들어설 전망이다. 이는 당초 개발 계획인 3520가구보다 367가구 증가한 것이다. 서울시 ‘저출생 등 신혼부부 주택 확대 방안’에 맞춰 공급 물량이 늘었다.
공모안 접수 마감일은 내년 3월21일이다. 이날 공모 심사 위원 명단(총 7명)을 공개한다. 공모 심사위원회는 3월28일 열린다. 심사 결과 발표일은 3월31일이다.
구룡마을은 1970~1980년대 강남 일대 개발 과정에서 철거민 등 소외 계층이 이주해 살면서 형성됐다. 이후 1989년 양재대로가 개통하며 주변 지역과의 물리적 단절이 심화됐다. 불법 무허가 판자촌이 생기는 등 주거 환경이 악화됐다.
황상하 SH공사 사장은 “개포 구룡마을을 구룡산, 우면산의 우수한 자연 환경과 공존할 수 있는 ‘자연 친화적 마을’로 조성하겠다”면서 “또 ‘경계 없는 새로운 형태의 공공주택’을 건립해 원주민과 새로 유입된 인구가 자연스럽게 조화되는 환경을 실현하겠다”고 했다.",https://n.news.naver.com/article/366/0001043904
29일부터 강남·명동 통과 22개 광역버스 노선·정류장 조정된다,2024.06.17,"용인서 강남 운행 5개 노선, 오전·오후 강남대로 운행 방향 분리
강남대로 중앙차로 운행 분산…성남→명동 2개노선 회차경로 조정
(서울=뉴스1) 신현우 기자 = 국토교통부 대도시권광역교통위원회는 서울특별시·인천광역시·경기도와 함께 강남·명동 방향 출퇴근길 속도 향상 등을 위해 22개 광역버스 노선을 이달 29일부터 분산·조정한다고 17일 밝혔다.
이번 조치는 지난달 초 정부와 수도권 3개 지자체 합동으로 발표한 33개 광역버스 노선 조정안에 따른 것이다. 앞서 11개 노선은 지난달 16일부터 조정돼 혼잡시간대 버스 통행시간 감축 등 효과를 거뒀다.
우선 수도권에서 서울 강남으로 향하는 20개 노선이 조정된다. 이를 위해 오전·오후 강남대로 운행 방향을 분리한다.
용인에서 강남으로 운행하는 5개 노선(1560번, 5001번, 5001-1번, 5002B번, 5003번)은 퇴근 시간대 강남대로 중앙버스전용차로의 신논현→양재 방향 도로혼잡이 심해지는 것을 감안해 오후 시간대 역방향으로 전환한다.
이에 따라 현재 ‘경부고속도로→반포IC→신논현→강남→양재IC→경부고속도로’가 ‘오전 경부고속도로→반포IC→신논현→강남→양재IC→경부고속도로, 오후 경부고속도로→신양재IC→강남→신논현→반포IC→경부고속도로’로 변경된다.
해당 노선을 이용하는 용인 거주 직장인은 서울 출퇴근 시 이용하는 노선 번호가 구분(오전A, 오후B)된다. 예컨대 1560A는 오전에 현행과 동일하게 운행하는 한편, 1560B는 오후에 강남대로를 역방향으로 운행하게 된다. 출근 시 현행과 동일하나 퇴근 시 기존에 이용하던 정류장 차로 반대편에서 탑승하면 된다.
강남대로 중앙버스전용차로의 정체를 완화하기 위해 15개 노선을 일부 구간에서 가로변 차로로 조정한다. 인천·고양·김포·파주·포천에서 출발하는 9개 노선은 강남대로 신논현→양재 구간에서는 ‘2호선강남역(중)’ 정류장부터 가로변에 정차한다.
해당 노선은 △인천 9500번·9501번·9802번 △고양 M7412번·9700번 △김포 M6427번·6427번 △파주 G7426번 △포천 3100번 등이다.
다만 양재에서 회차 이후 강남대로의 양재→신논현 방향으로 운행하는 구간은 기존과 동일하게 중앙차로다. 서울에서 퇴근하는 시민은 기존에 이용하던 정류장에서 탑승하면 된다.
화성(동탄)에서 출발하는 6개 노선은 강남대로 중앙차로의 ‘신분당선강남역(중)’ 정류장 대신 강남역 인근 가로변 정류장(M4403번·4403번 강남역티월드 정류장, 1551번·1551B번·8501번·8502번 강남역우리은행 정류장)에 정차 후 ‘뱅뱅사거리(중)’부터 중앙차로에 합류한다.
또 광역버스 목적지 등을 고려해 새로 가로변을 주행하게 되는 상기 노선 외에 강남대로 가로변 정류장을 일부 재배치한다.
성남에서 서울 명동으로 향하는 2개 노선(9003번·9300번)은 혼잡이 심한 명동 일대와 남산 1호 터널을 우회하도록 회차 경로를 기존 남산 1호 터널에서 소월로로 조정한다.
이에 따라 서울역 회차 이후 성남으로 향할 때 ‘명동입구’ 정류장을 통과하지 않고, 길 건너편 ‘롯데백화점’ 정류장에 정차한다.
이정희 대광위 광역교통정책국장은 “이번 강남 등 22개 노선 조정을 통해 버스 이용자는 물론 보행자·운전자 등의 편의도 증진될 것으로 기대된다”며 “시행 이후의 운영 상황을 모니터링해 향후 광역버스 정책에 반영해 나가겠다”고 말했다.",https://n.news.naver.com/article/421/0007605077
신논현역 인근에 36층 높이 복합건물,2024.10.23,"서울시 건축위 심의 통과
오피스텔, 호텔 등 들어서
강남구 역삼동 대지 602일원 복합개발사업(트윈픽스) 조감도 <서울시>
서울 강남구 역삼동 신논현역 인근에 지하 8층~지상 36층 복합건물이 들어선다.
서울시는 지난 22일 열린 제 17차 건축위원회에서 ‘강남구 역삼동 602번지 일원 복합개발사업’ 건축심의를 통과시켰다고 23일 밝혔다.
‘강남구 역삼동 대지 602일원 복합개발사업(트윈픽스)’은 지하 8층~지상 36층 규모로 오피스텔(132실), 호텔(65실), 업무시설, 근린생활시설을 짓는 사업이다.
건축위원회는 사업지 내부에 계획된 실내형 공유공간에 다양한 공간을 경험할 수 있는 계획으로 새로운 랜드마크 조성을 유도했다. 주민 이용 편의성을 고려해 그린클라우드 공간을 제시해 새로운 타입의 도심 휴식공간을 제공할 예정이다.
한국의 산을 모티브로 만들어진 건축물 형태는 도심의 수평적 녹지축을 수직적 녹지축 연결로 새로운 형태의 녹화공간을 제안한다. 리듬감 넘치는 입면을 통해 가로변 역동적 경관을 창출하고, 주변지역에 활력을 불어넣는 새로운 도시경관을 조성한다는 방침이다.
한병용 서울시 주택실장은 “서울시는혁신적인 디자인을 도입한 건축물 계획을 통해 새로운 도시경관을 창출해 나갈 수 있는 환경을 조성할 것”이라고 말했다.",https://n.news.naver.com/article/009/0005383949
"은마아파트, 24년 만에 재건축 조합 설립 눈앞",2023.08.20,"설립 총회 개최… 연내 인가 추진
서울 강남구 대치동 은마아파트. /뉴스1
서울 강남구 대치동 은마아파트가 사업 추진 24년 만에 재건축 조합 설립을 추진한다.
은마 주택재건축정비사업 조합설립추진위원회는 지난 19일 서울 서초구 양재동 aT센터에서 조합설립 총회를 열었다고 20일 밝혔다. 이날 초대 조합장으로 최정희 현 추진위원장이 선출됐다. 최 위원장은 “용적률이 204%에 달해 사업성이 좋지 않기 때문에 분담금 부담을 낮추도록 노력하겠다. 또한 2년 내로 이주를 시작하겠다”고 밝혔다.
최 위원장은 내년 중 ‘미리보는 모델하우스’ 오픈과, 31평형 신설 등도 공약으로 내걸었다. 추진위는 올해 안에 조합설립인가를 마치겠다는 방침이다.
서울시는 지난해 10월 도시계획위원회를 개최하고 은마아파트 주택재건축 정비계획 수립과 정비구역 지정·경관심의안을 수정가결했다. 28개동 4424가구 규모의 은마아파트는 33개동 5778가구, 최고 35층 이하로 재탄생 할 예정이다.
서울시는 지난 1월 2040서울도시기본계획을 통해 ‘35층 룰’ 규제를 폐지한다고 밝혔다. 또 지난 2월에는 디자인 특화설계 등 일정 요건을 충족하면 초고층 아파트 건립도 가능하도록 했다. 이에 은마아파트는 현 정비계획안을 최고 49층으로 변경하는 심의를 진행할 예정이다.
이날 총회에서는 상가와 아파트를 분리해 개발 이익 및 비용을 별도로 정산하는 ‘독립정산제’ 등의 안건도 통과됐다.",https://n.news.naver.com/article/366/0000925583
"서울시, 강남 테헤란로 높이규제 푼다",2025.03.13,"제4차 도시·건축공동위원회 개최 결과
서울 강남구 테헤란로 일대 모습. [뉴시스]
[헤럴드경제=정주원 기자] 강남역사거리에서 포스코사거리에 이르는 테헤란로변 일대에 별도의 높이제한 없이 용적률 1800% 건물이 들어설 수 있게 된다. 또 준주거·상업지역인 양재지구와 논현지구 등의 용적률도 완화된다.
서울시는 12일 제4차 도시·건축공동위원회에서 ‘테헤란로 지구단위계획 결정 변경안’과 ‘도시관리계획 결정변경안’을 수정가결하며 이와 같은 내용을 통과시켰다.
용도지역 조정가능지 적용 예시. [서울시]
시는 대상지의 글로벌 기능을 수행하는 업무시설이 밀집된 지역 특성을 반영해, 도심 기능을 더욱 강화하고 도심 상징성을 확보한다는 목표를 담았다. 이에 대규모 개발을 유도하고자 ▷명동 ▷상암동 ▷여의도에 이어 네 번째로 용도지역 상향이 가능한 ‘용도지역 조정가능지’ 제도를 도입했다.
해당 제도는 중심상업지역의 용도지역 상향을 가능하게 해, 친환경 요소와 창의·혁신 디자인 등을 적용할 경우 용적률이 최대 1800%까지 허용되고 별도의 높이 제한도 사라진다.
또한 지난해 개정된 지구단위계획의 용적률 체계 개편 사항을 반영해 일반상업지역의 기준용적률을 600%에서 800%로, 허용용적률을 800%에서 880%로 대폭 상향 조정했다. 서울시는 이를 통해 강남만의 프라임오피스 건설을 적극 지원한다는 계획이다. 신축이 어려울 경우, 기존 건축물의 리모델링을 통해 노후건축물 성능을 개선할 수 있도록 하는 관련 방안도 함께 마련됐다.
테헤란로 지구단위계획 결정 변경안 대상지 위치도. [서울시]
이번 변경안의 또 다른 주요 결정사항으로는 서울시 규제 철폐 1호 과제인 준주거·상업지역 내 비주거시설 비율 폐지 및 완화 방안도 있다. 양재지구중심 등 178개 구역의 상업지역 내 주거복합건축물의 비주거시설 비율이 도시계획조례상 20%에서 10%로 대폭 완화되고, 준주거지역의 용적률 10% 이상 의무 규정이 폐지돼 100% 공동주택 건립이 가능해진다.
논현지구 등 98개 구역에는 지구단위계획 용적률 체계 개편 방안이 결정됐다. 서울시는 해당 지역에 ▷상한용적률 적용 항목 확대 ▷허용용적률 인센티브 제공 범위 상향 ▷준주거· 상업지역 기준용적률 상향 등을 적용할 예정이다.
세부 내용으로는 별도의 지구단위계획 변경 없이도 최대 시행령상 용적률의 120% 범위까지 완화 적용이 가능한 항목이 ▷공개공지 ▷친환경 인증 ▷특별건축구역 지정 및 지능형 건축물까지 확대됐다.
또한 서울시 정책방향에 부합하는 항목 도입시 조례용적률의 110%포인트(p)까지 추가적인 용적률 인센티브가 제공된다. 준주거·상업지역인 경우 기존에 조례용적률보다 낮게 설정됐던 기준용적률이 최대 300%p가 상향됐다.
한편 서울시는 통상 자치구별로 추진되던 이와 같은 재정비 업무를 신속한 제도 시행 및 구역별 재정비 시기의 형평성 확보를 위해 시 차원에서 일괄 추진하기로 했다. 조남준 서울시 도시공간본부장은 “이번 재정비안에는 서울시 규제 철폐 1호 방안을 비롯해 시민들의 관심이 높았던 내용들이 다수 포함된 만큼, 신속한 절차 진행에 총력을 다했다”며 “이번 결정이 침체된 서울시 건설경기를 활성화하는 전환점이 되기를 기대한다”고 밝혔다.",https://n.news.naver.com/article/016/0002441360
"수서발 SRT, 창원·여수·포항까지 운행…9월부터 하루 4회",2023.04.04,"올해 9월부터 수서발 SRT가 창원, 여수, 포항까지 이어질 예정이다.
국토교통부는 ""올해 9월부터 SRT 운행노선을 기존 경부·호남고속선에서 경전선(창원·진주), 전라선(순천·여수), 동해선(포항)으로 확대하가기로 했다""고 4일 밝혔다.
그동안 해당 지역과 국회에서는 수서발 고속열차의 운행을 지속적으로 요구해왔으며, 수서발 경전선의 경우 윤석열 대통령의 공약이기도 하다.
운영사인 에스알은 선로용량, 차량, 지역간 형평성을 종합적으로 고려해 경전선·전라선·동해선에 하루 4회씩(왕복 2회) 동시 운행을 추진할 계획이다.
국토부는 에스알이 수서발 고속철도 확대 운행에 대한 노선면허를 신청하면, 별 다른 이상이 없을 경우 노선면허를 발급할 계획이다.
노선면허 발급 후에는 승무원 교육, 편의시설 마련, 안전관리체계 승인 등의 절차를 거쳐 올 추석 전에 개통하는 것이 목표다.
에스알은 오는 2027년에 평택~오송 구간이 2복선화되고, SRT 차량 14편성을 추가 도입하게 되면 열차 증편도 적극 검토할 계획이다.
국토부 관계자는 ""전국 각 지역에서 많은 국민들이 고속철도 서비스를 함께 누릴 수 있도록 열차 운행을 확대해 나갈 계획""이라고 밝혔다.",https://n.news.naver.com/article/215/0001093173
