제목,날짜,본문,URL
구로고가 철거… 보도 확장된 ‘디지털단지오거리’ 8월1일 개통,2019.07.30,"고가 철거 뒤 개봉→ 신림 방향 디지털단지오거리 주변. /사진=서울시
서울시는 시민편의를 위해 구로고가차도를 철거하고 지난 4월7일 도로를 개통한데 이어 구로고가차도 주변(남부순환로 디지털단지오거리) 보도확장 공사를 완료해 8월1일 자정에 전면 개통한다고 30일 밝혔다.
구로고가차도는 노후화, 도시미관 저해, 주변 상권 침체 등의 사유로 철거에 대한 지역의 요구가 있었다. 또 주변 보도는 고가차도 옹벽 구조물로 인해 보도폭이 1~1.5m로 협소해 그동안 주민들이 불편을 겪었다.
이에 따라 보행공간 확보를 위해 디지털단지오거리 주변 연장 1000m 구간 보행로가 폭 3m 이상으로 확장·정비됐으며 가리봉사거리의 횡단보도 1개소도 신설됐다. 또 고가차도로 인해 단절됐던 차량 중심의 거리가 걷기 편한 보행자 중심의 거리로 탈바꿈됐다.
구로고가차도 철거로 남부순환로(디지털단지오거리 주변) 차로수는 철거 전 왕복 8차로에서 왕복 10차로로 2차로 늘었고 디지털단지오거리 사당에서 광명방면의 좌회전 차로가 증설되는 등 지역 접근성 및 생활 교통 환경이 개선됐다.
한제현 서울시 도시기반시설본부장은 “조망권이 회복되고 디지털단지오거리 주변 보행로가 보행자 중심으로 바뀌었다”며 “도시미관이 크게 개선돼 지역 상권에 활기를 불어 넣을 수 있을 것으로 기대된다”고 말했다.
김창성 기자 solrali@mt.co.kr
▶ 고수들의 재테크 비법
▶ 박학다식 '이건희칼럼'
<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/417/0000433517
"구로시장, 청년상인 특화구역 조성으로 활기넘친 공간 변신",2016.04.19,"서울시 구로구 구로시장 청년상인 특화구역이 조성돼 더욱 활기찬 공간으로 태어난다.
구로구(구청장 이성)는 19일 전통시장 활성화와 청년 일자리 창출을 위해 구로시장 내에 ‘청년상인 특화구역’을 조성한다고 밝혔다.
청년상인 특화구역에는 어묵탕, 닭날개 등을 파는 작은 선술집 ‘立春(입춘)’, 저렴하고 다양한 깐풍기를 판매하는 ‘목포깐풍기’, 오징어를 주재료로 다양한 요리를 만드는 ‘브라더오징어’,  마카롱, 케이크 파블로바를 파는 ‘삼봉-빠’, 스튜, 칵테일을 만나는 ‘아르님’ 등이 손님을 맞이한다.
구로구는 지난해 노후 점포를 활용해 39세 이하 청년 상인을 키우고 이들을 중심으로 볼거리, 먹을거리가 풍부한 전통시장으로 만들기 위해 구로시장에 청년점포 구역을 열었다.
올해는 예산 3억 6천400만원을 투입해 청년상인을 위한 점포 12개를 더 확보했다.
이를 위해서 13㎡(4평) 정도 점포를 마련하고 도로, 상하수도 매립 등 기반시설 보수공사, 인테리어 공사를 했다. 인테리어는 도시재생분야 예비 사회적 기업인 어반소사이어티가 맡았다.
계약기간에 보증금과 임대료 일부, 홍보 등을 구로구가 도와준다. 점포 운영은 구로시장청년상인창업지원사업단이 담당한다.
개소식은 22일 오후 구로시장 청년상인 점포 앞에서 열린다.
구로구청 관계자는 ""“이번 청년상인 특화구역 조성을 계기로 기존 점포들의 경영 안정화와 청년상인들의 자생력 도모를 위해 더욱 노력하겠다”고 밝혔다.
김정덕 기자 orikimjd@
<저작권자 ⓒ 부산일보 (www.busan.com) 무단 전재 및 재배포 금지>",https://n.news.naver.com/article/082/0000593683
성수·가산·구로동 지식산업센터 매매가 5년간 20% 올라,2016.04.05,"[이데일리 이승현 기자] 서울에서 지식산업센터(옛 아파트형 공장)가 몰려 있는 구로·가산·성수동 일대의 지식산업센터 매매가격이 지난 5년 사이에 20% 가까이 오른 것으로 나타났다.
5일 한국창업부동산정보원에 따르면 서울 3대 지식산업센터 밀집지역(구로구 구로동, 금천구 가산동, 성동구 성수동)에서 최근 5년(2011~2015년)간 지식산업센터 평균 매매가격이 18.9% 상승했다. 지역별로는 성수동이 24.1%로 가장 많이 올랐고, 이어 가산동 18.4%, 구로동 14.2% 순이었다.
△최근 5년 간 서울 구로·가산·성수동 지식산업센터 매매가 추이 [자료=한국창업부동산정보원]
2011년 기준 평균 매매가는 3.3㎡당 성수동 638만원, 구로동 527만원, 가산동 510만원이었다. 이후 꾸준한 상승세를 보이다가 2015년에는 각각 792만원, 602만원, 604만원으로 올랐다.
이처럼 지식산업센터 몸값이 오른 것은 수요보다 공급이 부족한 때문으로 풀이된다. 지식산업센터에 입주하는 기업들은 보통 지역별로 특정 업종에 대한 쏠림 현상을 보인다. 이들 업체는 일단 한곳에 자리를 잡으면 그 지역을 잘 떠나지 않는 특성이 있다. 최근 들어 지식산업센터 입주 대상이 되는 업종의 창업이 늘면서 지식산업센터 입주 수요는 꾸준히 증가하고 있다.
반면 이들 지역의 공급 물량은 묶여 있다. 이들 지역의 경우 추가로 개발 가능한 땅이 더 이상 남아 있지 않아 공급이 늘어나기 힘들다.
박종업 아파트형공장114 대표는 “수도권에서는 전반적으로 지식산업센터 공급이 늘고 있지만 서울 지식산업센터 밀집지역의 경우 개발 가능한 부지가 별로 없다”며 “당분간 수요가 공급을 웃돌아 매매가 상승 추세가 지속될 가능성이 크다”고 말했다.
지역별로도 편차가 있다. 초반에 가산동 일대는 구로동보다 매매가가 낮게 형성됐으나 상승세가 더 가팔라지면서 구로지역의 매매가를 추월했다. 이는 최근 구로디지털단지 개발 부지의 부족으로 신규 지식산업센터가 가산디지털단지로 집중되면서 투자 수요 역시 가산동으로 이전하고 있기 때문으로 보인다.
성수동 일대는 구로·가산 디지털단지보다 매매가 상승률이 높은 것으로 나타났다. 이는 구로·가산지역이 국가산업단지로서 임대사업의 제한을 받아 상대적으로 제한이 적은 성수지역의 투자 수요가 크게 증가한 것이 원인으로 분석된다.
이승현 (eyes@edaily.co.kr)
▶ [데일리 포커스] 알면 알수록 빠져드는 경제뉴스
▶ [핫 클릭] 사진으로 보는 `오늘`
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0003515462
구로구  아파트 관리 모바일 앱의 기적 선 보여 화제,2015.06.16,"구로구 공동주택 모바일 앱 화면
두 개 아파트 동대표 선거에서 투표율 59%, 61% 기록...전자투표, 관리비 조회·비교, 택배조회, 버스시간 알림 등 생활과 자치가 ‘한손에’
[아시아경제 박종일 기자] 아파트 동대표 선출 모바일 앱을 통해 투표율을 60%로 끌어올려 눈길을 모으고 있다.
구로구(구청장 이성)가 지난 3월부터 펼치고 있는 공동주택 모바일 애플리케이션 구축 사업이 빛을 발휘했다.
구로구는 구로동 소재 216가구의 우리유앤미아파트와 오류동 소재 218가구의 라인아파트가 지난달 모바일 애플리케이션을 이용해 실시한 동대표 선거에서 우리유앤미아파트 61%, 라인아파트 59%의 높은 투표율을 기록했다고 밝혔다.
과거 20% 정도의 낮은 투표율에 비하면 기적적인 변화다.
투표율의 대폭 상승으로 대표성 시비가 사라지고 아파트 관리 투명성도 갖추게 됐다.
‘공동주택 모바일 애플리케이션’에는 전자투표, 관리비 조회·비교, 단지별 홈페이지 제작, 공동시설 CCTV 확인, 택배 조회, 공지사항 확인, 버스 도착 시간 등 주민들 생활을 편리하게 해주는 많은 기능이 담겨 있다.
특히 전자투표는 시·공간 제약을 받지 않고 후보자 이력 확인과 투표가 가능해 투표율과 공정성을 높일 수 있게 됐다.
구로구는 6월15일 현재 70개 공동주택이 애플리케션 구축 신청을 했다면서 “지역내 116개 모든 공동주택을 목표로 구축사업을 진행하고 있다”고 설명했다.
동대표 투표율 상승은 민주적이고 투명한 아파트 관리의 지름길이 될 것으로 기대된다.
우리유앤미아파트 입주자대표회의 이전 회장인 소진곤씨(61)는 “그동안은 주민들의 관심이 낮아 의사결정 진행에 차질이 많았다”며 “아파트 모바일 앱 덕분에 많은 주민들의 참여와 소통이 가능해 의사결정의 소모적인 갈등이 사라지게 됐다”고 말했다.
애플리케이션 구축·운용비는 가구 당 600원.
구가 총운용비의 80~90%를 지원해 500가구 이상 공동주택은 총사업비의 20%, 500가구 미만은 10%만 부담하면 된다.
참여를 원하는 공동주택은 신청서 등 구비서류를 갖춰 구청 주택과로 방문하거나 우편을 통해 신청하면 된다.
이성 구로구청장은 “공동주택 모바일 애플리케이션으로 아파트 관리의 많은 문제가 해결됐다”며 “앞으로도 공동주택 거주자들의 편의와 공동체 회복을 위한 다양한 프로그램을 펼쳐 나가겠다”고 전했다.
박종일 기자 dream@asiae.co.kr
▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""
▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003520566
개봉역 인근 역세권 청년주택 627세대 들어선다,2021.04.14,"[파이낸셜뉴스]
서울 지하철 1호선 개봉역 인근에 ‘개봉동 역세권 청년주택’ 627세대(공공임대162세대, 민간임대 465세대)가 공급된다.
14일 서울시는 개봉역인근 40여년 된 기존 노후 건물을 철거하고 총 연면적 3만4461㎡ 규모의 지하3층~지상24층 주거복합 건축물을 건립한다고 밝혔다.
해당 건축물은 저층부는 상업시설, 상층부는 주거시설인 역세권 청년주택으로 구성될 예정으로 지하주차장 개방 등을 통해 지역 주민의 편의를 향상하고, 지역경제 활성화를 동시에 이끌어 낸다는 계획이다.
해당건축물은 올해 8월에 착공에 들어가 2023년 11월 입주자 모집공고를 실시, 2024년 02월 준공 및 입주하는 일정으로 추진된다.
이진형 서울시 주택기획관은 “이번 구로구에 공급되는 개봉동 청년주택으로 인해 청년주택이 청년주거안정에 실질적으로 기여할 것으로 기대 한다”며 “앞으로도 교통이 양호한 역세권에 청년들을 위한 양질의 저렴한 맞춤형 주택을 활발하게 공급하기 위해 최선을 다하겠다”고 말했다.
aber@fnnews.com 박지영 기자
▶ 헉! 소리나는 스!토리 뉴스 [헉스]
/
▶ 너 그거 아니? [두유노우]
▶ 날로먹고 구워먹는 금융이슈 [파인애플]
/
▶ 모(毛)아 모아 [모아시스]
※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지",https://n.news.naver.com/article/014/0004620412
500살 구로 가리봉동 측백나무 보호수 정자마당 조성,2016.04.05,"입지환경 나빠 생육환경 악화 … 인근 주택 매입해 보호수 정자마당 조성
[아시아경제 박종일 기자] 500살이 넘은 구로구 가리봉동 측백나무가 수술대에 오른다.
구로구(구청장 이성)는 가리봉동 측백나무의 생육환경 개선과 인근 주민들의 휴식공간 확보를 위해 가리봉동 13-10번지 일대에 ‘측백나무 보호수 정자마당’을 조성한다고 5일 밝혔다.
가리봉동 측백나무는 높이 15m, 둘레 2.5m로 수령 500년이 넘은 고목이다.
단일 수종 국내 최고령으로 추정되며, 2004년 서울시 보호수로 지정돼 관리되고 있다.
나무 속에 마을을 수호하는 큰 뱀이 살고 있어 나무를 훼손하면 재앙이 온다는 전설이 전해 내려오고 있으며, 측백나무제추진위원회가 매년 가을 주민들의 무사안녕을 비는 기원제를 지내고 있다.
하지만 다세대주택으로 둘러싸인 측백나무의 입지 환경으로 인해 뿌리가 뻗어나갈 공간이 부족, 썩은 가지가 발생하기 시작했다. 또 기원제를 지낼 장소도 협소해 개선의 필요성이 제기돼 왔다.
가리봉동 측백나무
구로구는 문제 해결을 위해 측백나무 보호수 정자마당 사업을 추진키로 하고 시비 23억원을 지원받아 이달 1일 착공했다. 공사는 5월말 완료 예정이다.
384㎡ 규모 측백나무 보호수 정자마당 사업은 측백나무 건강 회복에 중점을 두고 진행된다. 구로구는 이를 위해 측백나무의 생육에 지장을 주는 주변 다세대주택 2채를 매입해 철거, 생육공간을 확보한다.
나무병원 전문의의 도움을 받아 측백나무의 뿌리 등 상태가 불량한 부분에 대해서는 외과적수술도 병행한다.
또 인근 주민들에게 휴식공간도 제공하기 위해 쉼터정자를 설치, 수목과 초화를 식재한다. 기원제가 수월하게 진행될 수 있도록 다목적용 공간인 담소마당도 마련한다.
구로구 관계자는 “측백나무 정자마당 조성은 나무도 보호하고 주민 공간도 확보하는 의미 있는 사업”이라면서 “500년 넘게 주민들과 함께해온 측백나무가 건강을 회복해 오랫동안 주민들의 사랑을 받을 수 있도록 사업에 만전을 기하겠다”고 전했다.
박종일 기자 dream@asiae.co.kr
▶ ""밥은 먹고 다니니?"" 혼밥족을 위한 아시아경제 '나홀로 요리 공모전'
▶ 아시아경제 제휴, 무료 민간자격증 취득 이벤트
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003721523
"고척4구역, 시공사 선정 혼란…사업 두달째 표류",2019.08.23,"【서울=뉴시스】
【서울=뉴시스】이인준 기자 = 서울 구로구 '고척 제4주택 재개발정비사업'이 시공사 선정 이후에도 사업 추진이 두 달째 표류하고 있다.
수주전에서 탈락한 현대엔지니어링이 조합측을 상대로 절차상의 문제를 잇따라 제기하고 있어서다. 양측이 소송전을 벌일 가능성도 제기돼 사업 전망은 안갯속이다.
23일 건설 업계에 따르면 서울남부지방법원 제51민사부는 전날 현대엔지니어링이 신청한 '고척제4주택재개발정비사업 24일 임시총회 금지 가처분 신청'을 인용했다.
조합은 이번 임시총회에서 대우건설을 시공사로 최종 확정할 계획이었으나, 현대엔지니어링의 반대로 무산 됐다.
현대엔지니어링과 조합이 갈등을 빚는 배경에는 지난 6월28일 열린 사업자 선정 총회 진행 과정에 있다.조합원 246명이 참여한 사업자 선정 투표에서 대우건설(122표)은 득표에서 앞서고도, 과반을 얻지 못해 사업자로 선정되지 못했다. 검표 결과 대우건설을 기표한 투표용지 4장이 사표로 처리됐기 때문이다.
총회가 끝난 뒤 대우건설은 ""사회자가 양사에서 합의한 무효표 기준을 무시하고 독단적으로 결정했다""며 이의를 제기했고, 조합은 이를 받아 들여 지난달 5일 대우건설을 시공사로 하는 확정 공고를 냈다.
하지만 현대엔지니어링은 ""조합장의 독단""이라며 조합과 반목하고 있다. 이에 법원은 현대엔지니어링이 제기한 '시공사 선정 확정공고 가처분 신청'을 인용한 데 이어, 이날 총회 개최도 현대엔지니어링의 손을 들어줬다.
일단 조합은 오는 24일 예정됐던 총회를 설명회로 대체하고, 조합원들에게 향후 사업 추진계획을 등을 설명할 예정이다.
또 현대엔지니어링이 제기한 가처분에 대해 이의신청하고, 채권자가 본안소송을 제기하게 하는 제소명령을 신청하는 등 법적 대응에 나선 상황이다. 만약 현대엔지니어링이 조합을 상대로 소송전에 나설 경우, 시공사가 선정될 때까지 사업 추진은 장기 연기될 가능성이 높아졌다.
한편 고척4구역 재개발 사업은 4만2207.9㎡ 부지에 총 983세대, 지하 5층~지상 25층 아파트 10개동과 부대복리시설을 건축하는 사업이다. 공사금액은 1964억원(VAT 제외) 규모다.
전체 983세대 중 조합분 266세대와 임대주택 148세대를 제외한 569세대가 일반분양 될 예정이다.
ijoinon@newsis.com
▶ 네이버에서 뉴시스 채널 구독하기
▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",https://n.news.naver.com/article/003/0009413987
"고척4구역, 시공사 선정 연기…무효표 기준 놓고 '논란'",2019.06.29,"대우건설, 득표 앞서고도 과반서 1표 부족
대우건설 ""합의된 무효표 기준 위배""
【서울=뉴시스】고척4구역 재개발사업지
【서울=뉴시스】이인준 기자 = 대우건설과 현대엔지니어링이 맞붙은 1900억원 규모의 서울 고척4구역 재개발 사업의 개표 과정을 놓고 논란이 일고 있다.
29일 정비업계에 따르면 고척제4구역 주택재개발정비사업조합은 전날 오후 최종 사업자 선정을 위한 조합원 총회를 가졌으나 과반(50%) 이상 표를 획득한 업체가 나오지 않아 사업자 선정이 불발됐다.
이날 투표는 조합원 266명 가운데 절반 인상인 246명이 투표에 나섰다. 대우건설은 이중 122표를 획득해 현대엔지니어링(118표)에 앞섰다. 하지만 과반(123표)에 1표 모자라 사업자로 선정되지는 못했다. 시공사를 선정하는 총회는 조합원 과반수의 출석과 출석 조합원의 과반수 찬성으로 결정하도록 돼 있다.
하지만 총회가 끝나고 대우건설은 개표 과정에 대해 문제를 제기했다.
이날 사회자는 대우건설에 기표한 투표용지 4장을 사표로 처리했다. 해당 투표용지에는 볼펜 등으로 낙서가 돼 있었던 것으로 알려졌다.
대우건설은 이에 대해 ""양사가 기표소 입장전 볼펜 등이 마킹된 용지는 유효표로 인정하기로 했다""면서 ""사회자의 독단적인 행동으로 이 같은 합의를 무효화하고 재투표로 몰고가는 것은 문제가 있다""라고 주장했다.
이어 ""사회자가 임의로 무효화 시킨 투표용지를 포함하면 대우건설의 득표수는 126표로 과반을 넘기 때문에 대우건설의 수주""라고 강조했다.
한편 고척4구역 재개발은 구로구 고척동 148번지 일대 4만1675㎡에 지하 4층~지상 25층, 10개동, 983가구(일반 분양 835가구, 임대 148가구)를 짓는 사업으로 수주난이 심각한 서울에서 진행된데다 사업성이 좋아 깊은 관심을 끌어왔었다.
ijoinon@newsis.com
▶ 네이버에서 뉴시스 채널 구독하기
▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",https://n.news.naver.com/article/003/0009314311
구로구 개봉동 공공임대아파트 들어선다,2020.05.28,"7차 도시·건축공동위원회를 개최
302가구 규모…이 중 공공임대 86가구
마장역 일대 개발 추진
[이데일리 황현규 기자] 서울 구로구 개봉동에 역세권 공공임대 주택이 들어선다. 또 성동구 마장역 인근 주거 환경도 개선 될 전망이다.
지난 27일 제7차 도시·건축공동위원회를 개최해 이같은 내용의 지구단위 계획 결정 및 특별계획구역 계획을 수정가결했다고 28일 밝혔다.
먼저 구로구 개봉동 지하철 1호선 주변에 28층 규모의 역세권 공공임대주택을 건립한다. 대상지는 노후 건축물이 밀집해 열악한 주거환경으로 꼽히는 지역이다.
구로구에 들어서는 공공임대주택 조감도(사진=서울시 제공)
이번 특별계획구역 지정을 통하여 대상지 5140.3㎡ 에  지하 4층~지상 28층 규모의 302가구(공공임대주택 86가구) 공동주택을 건립하고, 2030 서울특별시 생활권계획(고척·개봉지역)상 우선공급 필요시설인 노인복지시설을 건립할 예정이다.
서울시 관계자는 “이번 특별계획구역 지정 및 세부개발계획 결정으로 개봉역 일대의 역세권 기능 활성화 및 주거환경 개선, 양질의 임대주택 공급에 따른 서민주거 안정에 크게 이바지할 것으로 기대한다”고 말했다.
또 서울시는 성동구 마장역 인근 주거 개발도 시작한다. 도시재생과 연계해 마장역 일대의 역세권 중심 기능을 강화하고 이면부 주거 지역의 정주 환경 개선을 할 계획이다. 한전물류센터 이전 예정지를 비롯한 마장역 일대를 활성화할 계획이다. 용도지역 상향도 이뤄진다.
마장역 일대 위치도 (사진=서울시 제공)
이번 마장역 개발은 앞서 서울시가 발표한 2030서울 생활권 계획에 일환이다. 이 계획은 동북권 최대 상업·문화 중심지를 발전하겠다는 목표로 청량리와 왕십리 광역 중심을 개발하는 것이다. 고용기반 창출 관련 용도를 도입하고 1~2인 가구와 신혼부부 등을 위한 소형주택을 공급한다.
서울시 관계자는 “이번 마장역세권 지구단위계획구역 및 계획 결정에 따른 대규모 유휴 부지(한전물류센터 이전 예정 부지) 및 역세권 일대의 중심기능 강화를 통해 마장역 일대의 지역 활성화에 기여할 수 있을 것으로 기대한다”고 말했다.
황현규 (hhkyu@edaily.co.kr)
네이버에서 ‘이데일리’ 구독하기▶
청춘뉘우스~ 스냅타임▶
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004650246
구로구 개봉동 ‘개봉고가’ 개선 공사…“우회로 이용”,2020.04.20,"오는 22일 공사 착수…2023년 4월 완공
[이데일리 황현규 기자] 서울시는 구로구 개봉동의 개봉고가의 내구성을 향상시키는 공사에 착공한다고 20일 밝혔다. 공사 시작일은 오는 22일로, 준공 예정일은 2023년 4월이다.
개봉고가는 지하철 1호선(경인선) 철도로 가로막힌 개봉로를 막힘없이 잇기 위해 지난 1971년 고가도로로 건설됐다. 그러나 노후화된 탓에 교량의 하중 무게를 견디지 못한다는 지적이 제기돼왔다. 이에 서울시는 거더와 바닥판 등을 교체해 고가 통과 하중을 총중량 23톤에서 40톤으로 높일 계획이다. 거더 108본, 바닥판 6,275㎡ , 보도육교 1기가 교체된다. 또 중차량 통행도 가능한 1등급 교량으로 성능이 개선된다.
개봉고가 성능개선공사는 단계적으로 진행하며 우선 왕복 4차로를 왕복 2차로로 축소 운영한다.
시는 성능개선공사로 인하여 교통정체가 예상되는 만큼 대중교통 이용하고 신정·광명로→오리로, 경인로·남부순환로→오류IC, 목동로·오리로→안양천로 방면으로 우회할 것을 당부했다.
한제현 서울시 도시기반시설본부장은 “최대한 안전하고 빠르게 공사를 완료하여 시민들의 통행불편이 최소화될 수 있도록 노력할 것”이라며 “성능개선공사 중 이 구간을 통과하는 운전자는 40㎞/h 이하의 속도로 서행 운전해 줄 것을 특별히 당부드린다”고 말했다.
황현규 (hhkyu@edaily.co.kr)
네이버에서 ‘이데일리’ 구독하기▶
청춘뉘우스~ 스냅타임▶
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004623421
