제목,날짜,본문,URL
금천구 등 서울 5개 구에 축구장 33개 면적 ‘상업지역’ 조성,2018.03.14,"- 서울시 '생활권계획' 후속 조치 자치구에 통보
- 관악·금천·동작·광진·성북구 등 총 24만㎡ 할당
- 복합단지 개발가능...집값 상승 기대
노량진 뉴타운 지구. 서울시 제공.
[이데일리 정병묵 기자] 서울 관악·금천·동작구(서남권)와 광진·성북구(동북권) 등 5개 자치구에 축구장 33개 면적의 상업지역이 새로 생긴다. 서울시가 최근 발표한 ‘서울 생활권 계획’의 후속 조치로 강남보다 상대적으로 낙후한 서남권과 동북권에 상업지 물량을 많이 배정한 결과다. 상업지역으로 지정되면 주상복합아파트와 오피스, 상업시설 등 복합단지 건립이 가능해져 일대 부동산 가치도 한껏 높아질 전망이다.
(관련기사 :
非강남 상업지 확대..“주상복합·상가 개발 가능” 자치구 ‘반색’
)
서울시는 이달 초 발표한 서울 생활권 계획(서울을 5개 권역과 116개 지역생활권으로 나눠 개발하기 위한 맞춤형 도시계획)의 후속 조치로 ‘상업지역 신규 지정 가이드라인’을 지난 9일 각 자치구에 배포했다고 13일 밝혔다.
앞서 서울시는 지난해 상업지역 총 192만㎡ 중 유보 물량을 제외한 134만㎡의 70% 이상을 동북권(59만㎡)과 서남권(40만㎡)에 배분하기로 결정했다. 서북권은 18만㎡, 동남권은 17만㎡ 규모다. 서울 상업지 면적의 32%가 몰려 있는 도심권(종로·중·용산구)은 이번에 배정하지 않았다.
서울시가 각 자치구에 전달한 가이드라인에 따르면 동북권의 광진구가 가장 많은 상업지 5만6000㎡를 배정받았다. 성북구가 5만4000㎡로 뒤를 이었다. 또 서남권의 동작구 4만9000㎡, 관악구 4만3000㎡, 금천구 3만7000㎡ 등이 추가 할당을 많이 받은 상위 5개구에 이름을 올렸다. 이들 5개 구가 이번에 받은 상업지를 합하면 23만9000㎡로 축구장(약 7140㎡)를 33개를 지을 수 있는 면적이다. 서울시 관계자는 “성북구 등 5개 구는 2016년 말 기준으로 보유한 상업지역 면적이 약 14만~39만㎡로 서울시 평균(101만㎡)에 한참 미치지 못해 상대적으로 많은 면적을 부여받게 됐다”고 말했다.
각 자치구에서는 할당받은 면적에 한해 준주거지역 등을 상업지역으로 용도 변경할 수 있다. 이에 따라 상업지역에 대규모 업무·상업시설 등이 들어서면 ‘주변 개발 호재→유동인구 증가→집값 상승’이라는 선순환이 나타날 것이라는 기대감이 높아지고 있다. 금천구 가산동 한 공인중개사는 “주변 복합단지 개발과 그에 따른 생활 편의성 향상 기대감에 인근 아파트 매입 문의가 늘고 있지만 매물이 많지 않아 거래는 뜸한 편”이라고 말했다.
정병묵 (honnezo@edaily.co.kr)
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004055676
서울 독산동 우시장 일대 39층 주상복합 건립,2015.12.16,"조감도 <<서울시 제공>>
(서울=연합뉴스) 이정현 기자 = 서울 금천구 독산동 우시장 일대에 39층 주상복합 아파트가 들어선다.
금천구(구청장 차성수)는 금천구 독산 2-1특별계획구역 주상복합 아파트 신축공사 계획안을 승인했다고 16일 밝혔다.
사업 부지는 독산동 1007-19번지 일대로 1974년부터 2007년까지 우시장으로 운영됐다. 인근에는 아직 100여 개의 육류 도·소매 특화시장이 있다.
또 시흥대로와 독산역길이 만나는 말미사거리 부근이고, 지하철 1호선 독산역이 500m 내 위치한 역세권이기도 하다. 앞으로 신안산선 지하철역도 들어설 예정이다.
앞으로 이곳에는 지하 6층∼지상 최고 39층 주상복합 3개 동이 들어선다. 공동주택은 432가구, 오피스텔은 427가구가 공급되고 판매시설, 근린생활시설이 조성된다.
공개공지 면적 외 전체 대지면적의 21.8%에 해당하는 2천80㎡는 공공시설로 제공된다.
착공은 내년, 완공은 2019년 예정이다.
lisa@yna.co.kr
▶ [현장영상] 트럭 몰고 호텔로 돌진…숙박료 때문에?
▶ [오늘의 핫 화보] '현정의 틈' 고현정, 빈틈없는 미모
<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>",https://n.news.naver.com/article/001/0008055543
"신독산역 노보텔호텔 부지, '역세권 활성화사업' 대상지로",2022.07.19,"신독산역 역세권 활성화사업 대상지 위치도 /사진=서울시
서울시가 제2차 역세권 활성화사업 대상지 선정위원회를 열고 금천구 신독산역 노보텔호텔 부지를 '역세권 활성화사업' 대상지로 선정했다고 19일 밝혔다.
역세권 활성화사업은 입지요건을 만족하는 역세권 토지의 용도지역을 상향(주거지역→상업지역 등)해 용적률을 높여주고, 증가한 용적률의 50%를 생활서비스시설, 공공주택 등으로 확보하는 사업이다.
이에 따라 신독산역 일대 용도지역은 근린상업지역에서 일반상업지역으로 상향된다. 기존 호텔 건물은 철거되고 주상복합건축물 2개동이 지어질 예정이다. 총 284가구 중 248가구는 분양하고 36가구는 공공임대로 공급한다. 공공기여시설로는 공공주택과 사전 수요조사를 반영해 청소년 수련시설을 조성할 예정이다.
한편 서울시는 지난 6월30일부터 '서울시 역세권 활성화사업 운영기준'을 개정해 역세권 활성화사업 대상지의 폭을 넓혔다. 2019년 9월부터 지금까지 총 22개 대상지를 선정했으며, 올해는 정기적으로 선정위원회를 열어 역세권 활성화사업 대상지를 확대할 계획이다. 다음 선정위원회는 9월 중 개최한다.
최진석 서울시 도시계획국장은 ""지역의 특성을 고려한 종합적 지원을 통해 주택공급 효과를 극대화하는 것은 물론, 약자와의 동행을 위한 지역필요시설도 적극 확충할 계획""이라고 말했다.",https://n.news.naver.com/article/008/0004772376
"LH, 서울 금천·양천·중랑 등 소규모주택정비 선도사업 실시",2021.05.04,"자금조달·매입확약·재정착지원·품질보증 등 혜택도
전국 20곳에 137만㎡, 1만7000가구 분량
소규모주택정비 관리지역 개념도(예시). LH 제공. /뉴스1
(서울=뉴스1) 전형민 기자 = 서울 금천·양천·종로구 등 정부가 발표한 소규모주택정비 관리지역 선도사업 후보지에서 본격적인 사업이 시작된다.
한국토지주택공사(LH)는 4일 신축·노후주택이 혼재돼 광역적 개발이 곤란한 저층 주거지로서 노후주택만 소규모로 정비할 필요가 있는 지역 20곳에 대한 선도사업을 실시한다고 밝혔다.
이번 선정된 관리지역 선도사업 후보지는 서울 금천·양천·종로·중구·성동·중랑·강서구와 경기 성남·수원·동두천시, 인천 부평구, 대전 동구, 광주 북구 등 20곳이다. 총면적 137만㎡로 소규모주택 정비사업 추진 시 약 1만7000가구의 주택 공급이 기대된다.
선도사업 후보지는 주민설명회, 지자체 관리계획 수립, 주민 의견공람 절차를 거친 이후 관리지역으로 지정된다. LH는 지방자치단체의 관리계획 수립·제안 등을 지원하고 거점사업에 대한 개발구상뿐만 아니라 사업 총괄 자문역할을 수행한다.
관리지역 내 거점사업은 가로주택·자율주택 정비사업 등으로 LH는 공공거점사업을 적극 추진할 예정이다.
주민 요청으로 사업 개발구상을 시작한 서울 금천·양천·중랑구는 물론이고, 공공거점사업이 결정되지 않은 후보지에 대해서도 주민·지자체와 협의해 사업 발굴과 개발구상을 진행한다.
특히 거점사업으로 추진되는 소규모주택 정비사업은 토지 등 소유자가 추진하는 주민주도 사업이지만, LH가 공동사업 시행자로 참여해 Δ전문성 보완 Δ사업비 융자 Δ신축주택 매입확약 Δ재정착 지원 Δ주거품질 관리 등 다양한 혜택을 지원할 계획이다.
LH는 이에 더해 참여하는 공공거점사업에서는 주민이 재입주할 수 있는 신축 주택 및 공공임대주택, 공영주차장과 마을공동시설 등 생활 인프라 시설을 조성하고, 이를 활용해 관리지역 내 민간 추진사업의 활성화도 유도하기로 했다.
김백용 LH 도시재생본부장은 ""소규모주택정비 관리지역은 수용 후 전면 철거하는 기존 대규모 정비방식의 대안""이라며 ""LH는 지역 재생에 앞장서 주택을 신속히 공급할 수 있도록 공공의 역할을 다하겠다""고 말했다.
maverick@news1.kr
▶ 네이버 메인에서 [뉴스1] 구독하기!
▶  뉴스1&BBC 한글 뉴스
▶ 뉴스1 미래포럼 2021
© 뉴스1코리아(
news1.kr
), 무단 전재 및 재배포 금지",https://n.news.naver.com/article/421/0005329676
'사업성 보정계수' 노원·금천·구로에 첫 적용…8000가구 공급,2024.11.07,"서울시, 도계위서 사업지 3곳 정비계획안 통과
용적률 증가로 기존 대비 507가구 늘려
서울 노원·금천·구로구 일대에 8000가구가 공급된다. 사업성 보정계수를 처음 적용한 사례로, 용적률을 높여 기존 계획 대비 500가구 이상 가구수를 늘렸다. 조합원 분담금은 최대 1억원이 줄어들 것으로 추산된다.
노원구 상계동 154-3 일대. (제공=서울시)
서울시는 6일 제15차 도시계획위원회를 열고 ▲노원구 상계동 154-3 재개발 ▲금천구 시흥1동 871일대 재개발 ▲구로구 대흥·성원·동진빌라 재건축 정비계획안과 경관심의 등 3건을 수정가결했다고 7일 밝혔다.
대상지에는 시가 '2030 도시·주거환경정비기본계획(주거환경정비부문)'에 새로 담은 사업성 개선방안인 사업성 보정계수와 현황용적률 인정 등이 첫 적용 됐다. 사업성 보정계수는 허용 인센티브량에 곱하는 계수로, 사업성이 낮은 정비사업지의 사업성을 높이는 수단으로 활용된다. 땅값이 낮을수록 보정계수가 높아져 사업성 혜택을 받는 구조다. 이전에는 보정계수가 1.0(인센티브 최대치 20%포인트)까지만 적용됐는데, 시는 이 보정계수를 2.0(인센티브 최대치 40%포인트)까지 확대했다.
이번 심의에 통과한 대상지 3곳도 해당 지역의 공시지가가 서울시 평균 공시지가 대비 상당히 낮아 사업성 보정계수를 최대 2.0까지 적용받았다. 이로 인해 사업성 보정계수를 적용하기 전보다 높은 용적률을 적용받아 가구수가 기존 계획 대비 507가구 늘어났다.
노원구 상계동 154-3일대는 재개발을 통해 39층 이하, 26개 동, 총 4591가구 대단지 아파트로 탈바꿈할 전망이다. 시는 제2종(7층이하)에서 제3종 일반주거지역으로 상향했다. 사업성 보정계수는 1.96으로 산출돼 허용용적률 인센티브량이 39.2%까지 늘었다. 분양가능 가구수는 공람안 대비 332가구(1216→1548가구)나 증가했다. 이 경우 조합원 1인당 추정분담금은 평균 약 7200만원 감소할 것으로 추산된다.
금천구 시흥1동 871 일대. (제공=서울시)
금천구 시흥1동 871일대는 2022년 12월 신속통합기획 재개발 후보지로, 이번 심의를 통해 45층 이하, 16개 동, 총 2072가구가 들어선다. 제1종, 2종(7층이하) 일반주거지역은 각각 제2종(7층이하), 제3종 일반주거지역으로 상향됐다. 사업성 보정계수도 1.88로 산출돼 허용용적률 인센티브량이 20%에서 37.6%로 대폭 상향됐다. 이로 인해 분양가능 가구수가 주민공람안 대비 57가구(773→830가구) 증가했다. 이를 적용하면 조합원 1인당 추정분담금은 평균 약 4500만원 감소할 것으로 추산된다.
구로구 온수동 45-32일대에 있는 대흥·성원·동진빌라는 재건축을 통해 지상 45층, 15개 동, 총 1455가구 아파트가 건립될 예정이다. 제2종 일반주거지역을 제3종 일반주거지역으로 상향했으며, 사업성 보정계수도 2.0으로 산출돼 허용용적률 인센티브량을 40%까지 끌어올렸다. 대상지 내 사회복지시설인 장애인보호작업장은 전략육성용도시설로 인정돼 상한용적률 인센티브 건축물 계수 1.0도 적용, 용적률을 추가로 높였다. 이를 통해 분양가능 가구수는 공람안 대비 118가구(1255→1373가구) 늘었다. 조합원 1인당 추정분담금은 평균 약 1억원 감소할 것으로 추산된다.
구로구 온수동 45-32 일대. (제공=서울시)
이곳은 2014년 정비구역으로 지정됐으나, 낮은 사업성과 공사비 인상 등으로 주민 부담이 커지면서 10여년 간 사업에 진척이 없었다. 경기 부천시와도 인접해 서울 서측의 관문과도 같은 위치임에도 불구하고 개발이 늦어지면서 상대적으로 낙후된 곳이다. 하지만 이번에 사업성이 크게 개선되며 재건축도 속도를 낼 전망이다. 앞서 오세훈 서울시장과 박상우 국토교통부 장관이 현장을 찾아 신속한 정비사업 추진을 약속하기도 했다.
한병용 주택실장은 ""안정적인 주택공급 확대를 위해 시에서 고심해서 마련한 사업성 개선방안 제도를 현재 계획 중인 모든 현장에 신속하게 적용해 주민들이 빠짐없이 혜택을 받을 수 있도록 적극적으로 지원하겠다""며 ""앞으로 상대적으로 사업성 확보가 어려웠던 기존 구역 또는 신규 지역들이 정비사업 추진에 탄력을 받을 것으로 기대된다""고 밝혔다.",https://n.news.naver.com/article/277/0005496443
"서울시 금천구, 지역공동체 활성화 사업 진행",2016.02.12,"▲금천구 신.구 공무원들이 나들가게 육성 사업에 대해 논의하고 있다. /사진=서울시 금천구
서울시 금천구가 지역공동체 활성화를 위해 힘을 쏟고 있다. 금천구는 지난 10일 중소기업청이 추진하는 '2016 나들가게 육성선도지역'에 최종 선정됐으며 '2016 금천구 마을공동체 지원사업'을 공모한다고 12일 밝혔다.
나들가게 육성선도지역으로 선정된 금천구는 2018년까지 정부로부터 최대 8억 원을 지원받아 자체 예산 4억5000만원을 더해 동네 골목 상권 활성화 사업을 추진하게 된다. 이번 공모에는 지난해보다 9곳이 증가한 24개 지자체에서 응모해 금천구를 포함한 6곳이 선정됐고, 서울시에는 금천구가 유일하다.
특히 공모사업 준비 과정에 지난 1월에 임용된 새내기 공무원과 선배 공무원의 지속적인 소통과 협업이 바탕이 돼 공무원 사회에서 주목을 받고 있다.
마을공동체 지원사업 대상분야는 자율의제로 공동육아, 텃밭조성, 마을축제, 마을지도 등 씨앗기(초기) 공동체를 형성을 촉진할 수 있는 사업이다. 구는 20건 안팎의 사업을 선정해 공동체당 100만~150만원을 지원할 계획이다.
구 관계자는 ""이번 사업에 많은 주민들이 참여해 진정한 주민자치를 실현하길 바란다""고 전했다.
fair@fnnews.com 한영준 기자
※ 저작권자 ⓒ
파이낸셜뉴스
. 무단 전재-재배포 금지",https://n.news.naver.com/article/014/0003599556
"부영, 옛 대한전선 부지 '종합병원·공동주택' 개발 속도",2019.07.01,"[아시아경제 배경환 기자] 서울 금천구청 앞 옛 대한전선공장 부지 개발이 본격화된다. 2012년 부영그룹이 1300억원을 들여 사들인 곳으로 2개 블록에는 종합병원과 공동주택이 각각 들어선다.
1일 정비업계에 따르면 금천구는 최근 금천구심 지구단위계획 변경 및 대한전선부지 특별계획구역 세부개발계획 결정안에 대한 재공고에 들어갔다. 대한전선부지 특별계획구역은 시흥동 113-121 일대 8만985㎡ 규모의 사업지로 2012년 부영이 대한전선으로부터 1250억원에 사들였다. 이 곳은 서울의 얼마 남지 않은 금싸라기 땅으로 금하로를 중심으로 북쪽의 A블록과 남쪽의 B블록으로 나눠진 상태다.
부영은 부지 매입 후 A블록에는 공동주택, B블록에는 대형종합병원을 짓는 방침을 세웠지만 첫 발을 떼기가 쉽지 않았다. 금천구의 요청에 따라 종합병원을 세우는 것을 전제로 개발을 추진했지만 병원 유치에 실패하면서 속도를 내지 못했기 때문이다. 이에 부영은 2017년 그룹계열사인 부영주택과 동광주택을 통해 우정의료재단을 설립하고 병원을 세울 부지와 자금을 기부해 사업자격을 갖췄다.
이후 행정 절차는 수월하게 진행됐다. 지난해 2월 서울시에 기업형임대주택 공급촉진지구 지정과 지구계획 추진을 위한 사전 자문을 받은 뒤 12월에는 임대주택을 분양주택으로 변경하고 종합병원 부지를 늘리는 세부개발계획을 짰다. 앞서 지난 4월 이 초안에 대한 주민공람은 끝났지만 산업부지 비율을 조정할 필요가 있다는 판단에 따라 이번 재공람이 시작됐다. 준공업지역 내 학교나 비영리 법인이 운영하는 종합병원을 세울 경우에 한해 산업비율을 10% 낮춰주는 내용을 반영한 것으로 기존 조례안대로 50%를 적용하면 그 만큼 병원 규모는 줄어들 상황이었다.
이번 재공고에 맞춰 수립된 정비안에는 지하 1층~지상 3층짜리 보건소를 포함해 지하 5층~지상 18층, 약 880병상 규모의 종합의료시설과 공동주택 996가구를 짓는 계획이 담겼다. 공동주택은 7개동으로 나눠지어질 예정으로 이중 임대분은 142가구다.
금천구는 지역 숙원사업인 대형종합병원 건립의 세부 정비안이 수립된 만큼 착공을 위한 잔여 절차는 빠르게 진행될 것으로 보고 있다. 내부적으로는 공람을 마친 뒤 이 계획안을 서울시 도시건축공동위원회에 상정할 예정으로 이후 건축심의와 교통영향평가를 진행하기로 했다. 금천구는 병원 개원 시기를 2023년으로 예상하고 있다.
사업자인 부영 역시 인허가 등 조건만 갖춰지면 사업을 미루지 않겠다는 입장이다. 상위 의료시설에 대한 지역민들의 요구에다 주거생활 안정화를 위해서는 자치구, 서울시와 적극 논의에 나서겠다는 게 부영 관계자의 설명이다.
수년간 방치된 대한전선부지 개발로 금천구청역 주변부 미개발지에 대한 속도도 덩달아 높아지고 있다. 구청 북쪽 도하부대 이전 부지는 4400여가구 규모의 아파트 단지로 개발이 진행 중이고 인근에는 공군부대가 이전을 추진 중이다. 이 사업지 역시 산업지원시설과 주거시설 건립이 예정됐다.
정비업계 관계자는 ""착공 이전까지 서울시 심의를 받아야하는 부분이 아직 남은 상태지만 자치구의 적극적인 지원에다 지역민들의 개발 요구가 계속 이어지고 있는 만큼 늦어도 내년 상반기에는 모든 절차를 마치고 착공에 들어갈 수 있을 것""이라고 밝혔다.
배경환 기자 khbae@asiae.co.kr
▶ 네이버에서 아시아경제를 쉽게 만나보세요
▶ 경제 감각을 키우고 싶다면?
▶ 재미와 지식이 가득한 '과학을읽다'
<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0004493601
"80년된 금천 공군기지, 주거·상업시설로 개발",2024.11.27,"[서울경제]
금천구 도시한복판을 가로질러 금천구 개발의 걸림돌이었던 공군 제3미사일방어여단 부지 개발 사업이 본격 추진된다. 금천구는 공군부대 부지 소유주인 국방부와 협업을 통해 필수 인력이 생활하는 공간을 축소화하고 남은 부지는 주거공간과 상업 시설을 유치하겠다고 설명했다.
유성훈 금천구청장은 27일 “지역단절을 해소하 도시기능을 강화하기 위해 독산동 공군부대 부지를 개발하겠다”고 밝혔다.
공군부대 부지는 12만 5000㎡ 규모로, 1943년부터 공군 제3미사일방어여단이 주둔하고 있다. 금천구 중심부에 자리한 공군부대는 약 80여 년간 지역 생활권을 단절시키고 도시 발전을 저해했다는 비판을 받아왔다. 금천구는 부대 이전을 추진해왔으나 다른 지자체의 반발로 이전은 무산됐다.
이에 금천구는 2021 국유지 개발을 통한 지역 발전과 도시 경쟁력 강화, 군 장병 근무환경 개선, 복지증진 등을 목표로 사업 방향을 전환했다. 금천구 관계자는 “공군 제3미사일방어여단은 현 부지 내에 도심형 부대로 압축 배치하고 나머지 부지는 개발하는 방안을 국방부와 합의했다”고 설명했다.
금천구 공군부대 부지는 올해 7월에 국토교통부의 공간 혁신구역 선도사업 대상지로 선정되며 개발 기회를 얻었다. 공간 혁신구역 선도사업에 선정되면 용적률 등 개발 사업의 규제가 모두 사라진다. 토지와 건축의 용도 제한이 없고, 용적률과 건폐율을 자유롭게 설정할 수 있다.
금천구의 공군부대 부지 개발 기본구상은 크게 세 가지다. 기존 군부대를 도심형 부대로 압축 배치하고 산업‧업무‧주거시설을 융복합해 조성할 예정이다. 또한, 주민들에게 필요한 공원‧녹지 등 다양한 편익 시설도 확충해 제공할 계획이다. 금천구 관계자는 “부대 주둔 인력은 350명 수준”이라며 “병력이 사용하는 부지를 줄이고 연병장 등을 국민과 공유하는 시설로 탈바꿈 한다면 공군부대 부지를 최대한 활용할 수 있다”고 설명했다.
금천구의 G밸리와 연계한 IT·첨단 산업거점 육성도 추진된다. 금천구는 2040 서울시도시기본계획에 따라 공군부대 부지 내 산업부지를 충분히 확보해 첨단산업의 성장을 지원할 예정이다. 이를 위해 사업 초기부터 혁신적이고 창의적인 선도기업(앵커기업) 유치를 목표로 기업인들과 소통하고 있다. 향후에는 일자리 창출과 지속 가능한 산업을 유치해 지역경제 활성화와 도시경쟁력을 강화하고자 한다.
주거시설과 여가시설을 도입한 직·주·락 압축도시도 추진된다. 현재 G밸리 근무자의 94%가 외부에서 출퇴근하고 있어 직주분리가 심각한 상황으로 구는 공군부대 내 직주근접 실현을 위한 양호한 대규모 공동주택 마련과 충분한 즐길거리와 여가시설을 도입 할 예정이다
유 청장은 “이번 선도사업 선정으로 금천구민의 오랜 숙원인 공군부대 부지개발에 속도를 낼 수 있게 되었다”며 “단절된 지역생활권 회복, G밸리 배후 산업거점 육성으로 균형발전 도모 및 도시경쟁력을 강화하고 일자리를 창출해 서울 서남권의 새로운 중심지가 되도록 최선을 다하겠다”라고 말했다.",https://n.news.naver.com/article/011/0004419979
금천구 금나래 중앙공원 내 미술관 건립 추진,2018.04.12,"[머니투데이 유엄식 기자]
서울 금천구 금나래 중앙공원 현황 사진. /사진제공=서울시
서울 금천구 금나래 중앙공원에 미술관 건립이 추진된다.
서울시는 지난 11일 개최된 제5차 도시·건축 공동위원회에서 금천구 독산동 1151번지 일대 공원부지(1만6311㎡) 내에 미술관 건립을 위해 공원 종류를 근린공원에서 문화공원으로 변경하는 지구단위계획 결정안을 원안가결했다고 밝혔다.
서울시 관계자는 “서남권 문화시설 확충과 지역 활성화에도 기여할 것”이라고 설명했다.
▶
[MT리포트]""3년새 2배 급성장""… 수제맥주에 취한 한국
▶금융노조, '주4일 근무제' 도입 검토
▶사람들이 가장 많이 읽은 뉴스
유엄식 기자 usyoo@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004036939
"""불법주차난 해소 기대"" 금천 시흥4동 '모아타운' 2026년 673가구 조성",2023.03.10,"서울시는 지난 9일 개최된 제3차 소규모주택 수권분과위원회를 통해 '금천구 시흥4동 817일대(3만430㎡) 모아타운 관리계획(안)'을 통합심의에서 통과시켰다. 관리계획(안)에 따르면 모아타운 내 부족한 주차공간을 보완하기 위한 공영주차장이 만들어지고 기존 공원을 확장한 개방형 녹지공간도 조성할 예정이다./사진제공=서울시
지난해 서울 시내 모아타운 4개소가 지정된 이후 올해 첫 번째 모아타운이 지정됐다. 열악한 주거환경과 고질적인 주차난을 겪어온 서울 금천구 호암산 인근 노후 저층주거지로, 2026년 600여가구의 모아주택 단지로 탈바꿈할 예정이다.
서울시는 9일 제3차 소규모주택 수권분과위원회를 열고 '금천구 시흥4동 817일대(3만430㎡) 모아타운 관리계획(안)'이 통합심의를 통과했다고 10일 밝혔다.
이번 모아타운 지정으로 해당 지역 일대에는 2026년 673가구 모아주택과 함께 150면 이상의 공영주차장(부지 5250㎡)이 들어선다. 폭 6m로 협소했던 도로는 8~10m로 넓어진다.
해당 지역은 독산로와 호암산과 연접해 양호한 교통접근성과 자연경관을 조망할 수 있는 장점을 가졌다. 그러나 대지 높이 차이가 최대 15m에 이르고 노후 다세대다가구주택이 밀집해 있어 좁은 도로와 불법주차 등으로 주거여건 개선이 필요했던 곳이다.
해당 지역 일대는 지난해 6월 모아타운 대상지로 선정된 이후 주민설명회와 주민공람 등을 거쳐 실효성 있는 관리계획안을 마련했다. 시는 모아타운 1호인 강북구 번동에 이어 중랑구 면목동과 금천구 시흥 35동의 총 4개소를 지난해 모아타운으로 지정했다. 이번 시흥4동 모아타운 관리계획(안)은 다음달 최종 지정고시 된다.
모아타운으로 지정되면 모아주택사업 추진 ▲용도지역 상향(1·2종 일반주거→2·3종 일반주거) ▲사업시행구역 면적 확대(1만㎡ 이내→2만㎡ 이내) ▲노후도 완화(67%→57%) ▲층수 완화 등 각종 완화된 혜택을 받아 사업이 빠르게 진행될 수 있다.
이번 모아타운 관리계획(안)이 통과되면서 호암산 주변에는 경관확보를 위해 저층형이 배치된다. 독산로변은 연도형 가로활성화시설과 고층형으로 배치돼 지역적 특성과 경관에 어울리는 다양한 디자인의 모아주택이 조성될 계획이다.
인근 저층주거지 주차난을 해소하고 지역 내 보행환경 개선을 위해 모아타운 내 공영주차장이 들어서고, 공영주차장과 연계한 개방형 공동이용시설도 설치해 지역주민 누구나 이용할 수 있도록 했다.
모아타운 관리계획(안)에는 ▲용도지역 상향 ▲기반시설 정비와 인접 저층주거지를 위한 공영주차장 확보 ▲지역 특성을 반영한 다양한 디자인의 주동 배치 ▲녹지축 연계, 개방형 녹지 조성 ▲지역주민과 공유하는 개방형 커뮤니티 등이 포함됐다.
호암산 주변 2종 7층 이하 지역은 2종으로 용도지역을 상향헤 층수를 다양하게 도입할 수 있도록 했으며 독산로변(20m) 부분은 제2종 일반주거지역이지만 진입로 확보를 위해 용도지역 상향(2종→ 3종)을 전제한 가이드라인을 제시했다.
주차난을 해소하고 편리한 진출입을 돕기 위해 지형의 단차를 이용해 공영주차장 150면을 확보, 도로 폭도 6m에서 8m로 넓혔다. 기존 공원을 확장해 호암산과 녹지축을 연결하고 개방형 녹지공간을 조성한다. 단지 내 저층부 보훈회관, 공동이용시설 등 개방형 커뮤니티 시설을 둬 주변 저층주거지 주민들도 함께 사용할 수 있게 할 방침이다.
한병용 서울시 주택정책실장은 ""열악한 저층주거지 개선과 원활한 주택공급을 위해 모아타운모아주택 사업을 지속 지원하고 추진해 나갈 계획""이라며 ""시민의 주거안정과 다채롭고 창의적인 주거지 경관을 만들어내기 위해 지역사회와 꾸준히 소통할 것""이라고 말했다.",https://n.news.naver.com/article/417/0000902392
