제목,날짜,본문,URL
창동·상계 '서울아레나' 조기착공…'문화산업'의 메카 재탄생,2015.10.28,"[머니투데이 김사무엘 기자] [2017년 말 착공, 2021년 본격 운영…2만석 규모의 국내 유일 대형 전문공연시설]
서울 도봉구 창동·상계 지역에 2021년 들어설 예정인 '서울아레나' 조감도. /사진제공=서울시
베드타운화 된 서울 도봉구 창동·상계 일대가 음악 산업의 중심지로 거듭난다.
서울시는 철도차량기지가 이전한 창동·상계 지역 시유지 약 5만㎡에 민간자본을 유치, 국내 유일의 대형 전문공연시설인 '서울아레나'를 건설하는 사업을 조기 추진한다고 28일 밝혔다.
시는 창동·상계 일대를 문화·경제허브로 조성하는 도시재생사업을 본격 추진하기 위해 재생사업의 핵심인 서울아레나 착공을 당초 예정된 2019년 1월에서 2017년 말로 1년여 앞당긴다는 방침이다. 서울아레나는 2020년 완공해 2021년부터 운영될 계획이다.
시는 조기건립을 위해 관 주도의 건립계획을 민간 제안 방식으로 바꿨다. 약 2만석 규모의 서울아레나가 완공되면 이 일대가 수도권 동북부 문화·공연산업 일자리 창출의 거점이 될 것으로 시는 기대하고 있다.
서울아레나는 복합엔터테인먼트 시설로 설계돼 공연뿐 아니라 시민이 문화와 휴식을 즐길 수 있는 명소로 만들어질 계획이다. △카페형 음반매장 △K-POP 브랜드샵 △사진박물관 △로봇박물관 등 문화·산업 시설이 들어설 예정이다.
시는 장기간 소요되는 서울아레나 건설 사업에 앞서 창동·상계 일대를 활성화하기 위해 컨테이너박스형 상가인 '플랫폼 창동 61'을 내년 3월 개장한다. 복합환승센터 건립(2022년)이 예정된 부지(연면적 2128㎡)에 61개 컨테이너박스로 구성되는 '플랫폼 창동 61'은 △뮤직존 △라이프스타일존 △커뮤니티존 3가지 콘셉트로 구성될 예정이다.
서울시 관계자는 ""창동역 1·4호선에 인접한 서울아레나는 세계 어느 아레나보다 교통접근성이 우수하다""며 ""방송·광고, 영화, 게임 등 문화 관련 기업을 유치해 1만3000여개의 일자리가 창출될 것으로 기대한다""고 말했다.
박원순 시장은 ""창동·상계 일대를 문화중심지로 바꾸기 위해서는 관련 업계, 전문가 등 범시민적 관심이 필요하다""며 ""도시재생의 대표 성공 모델이 될 수 있도록 지원을 아끼지 않겠다""고 말했다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ]
[부자들에게 배우는 성공 노하우 '줄리아 투자노트'  ]
[내 삶을 바꾸는 정치뉴스 'the 300']
[CEO의 삶을 바꾼 '내 인생 최고의 조언' ]
[아찔한 girl~ 레이싱모델 핫포토 ]
김사무엘 기자 samuel@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0003568002
도봉구 방학역세권 지구단위계획 확정,2022.02.18,"제2차 도시·건축공동위원회 수권소위원회
역세권 활성화사업 지구단위계획구역 계획
[이데일리 신수정 기자] 서울 도봉구 방학역세권에 지구단위계획이 확정됐다.
도봉동 622-8 외 1필지 위치도. (사진=서울시)
서울시는 17일 제2차 도시·건축공동위원회 수권소위원회를 통해 ‘도봉구 도봉동 622-8번지 외 1필지 역세권 활성화사업 지구단위계획구역 계획(안)’을  ‘수정가결’ 했다고 28일 밝혔다.
‘역세권 활성화사업’은 입지요건을 만족하는 역세권 토지의 용도지역을 상향(주거지역→상업지역 등)해 용적률을 높여주고, 증가한 용적률의 50%를 지역에 필요한 생활서비스시설(어린이집, 보건소, 체육시설 등)과 공공임대시설(오피스, 주택)로 확충하는 사업이다. 민간사업자는 사업성을 높일 수 있고, 공공은 지역에 필요한 시설을 확충할 수 있다는 장점이 있다.
서울시는 현재 20개 지역을 대상으로 도심 활력을 불어넣기 위한 역세권 활성화사업을 추진 중이다. 이번에 계획(안)이 결정된 방학역은 2019년에 선정된 시범사업 대상지 5개소 중 하나다.
금번 결정된 도봉동 622-8외 1필지는 방학역 일대로, 계획(안)에서는 이용률이 저조한 택시차고지 부지를 효율적으로 활용하는 방안을 주요내용으로 한다.
시는 용도지역 상향 (2종일반주거지역→근린상업지역)에 따른 공공기여시설을 공공임대주택(35세대)과 지역필요시설(보건지소, 973.4㎡)로 확보해 도봉동 일대 부족한 생활SOC를 확충하는 안을 마련했다.
아울러 대상지의 동측 도로(도봉로154길)를 기존 4m에서 8m로 확보함으로써 차량 통행 및 인근 중학교 학생의 통학시의 보행환경을 개선했다.
이번 지구단위계획(안)이 결정됨에 따라 시는 향후 건축위원회 심의 등 인허가 절차를 거쳐 2022년 하반기 건축허가 및 2024년 준공을 목표로 사업을 진행할 계획이다.
최진석 서울시 도시계획국장은 “역세권 내 저이용 부지를 활용해 지역에 필요한 도로뿐만 아니라, 주거와 생활SOC시설을 확충하고자 한다” 며 “주민 삶의 질 향상과 더불어 방학역 인근이 활기를 띄게 될 것으로 기대된다” 고 밝혔다.",https://n.news.naver.com/article/018/0005149482
중랑구 상봉·쌍문동에 역세권 청년주택 추진,2019.10.14,"서울 중랑구 상봉동과 쌍문동에 역세권 청년주택이 들어선다.
서울시가 지난 9월 지하철2호선 강변역 인근 역세권청년주택과 함께 최초로 모집한 2·5호선 충정로역 역세권청년주택 투시도. /서울시 제공
서울시는 11일 ‘제10차 역세권 청년주택 수권분과위원회’를 개최해 중랑구 상봉동 90-3번지 일원 역세권 청년주택사업 상봉재정비촉진지구 재정비촉진계획(망우지구 지구단위계획)결정(변경)(안), 도봉구 쌍문동 507-4번지 일원 역세권 청년주택사업 관련 지구단위계획 구역 및 계획 결정(안)을 수정 가결했다고 밝혔다.
이번 역세권 청년주택이 수권분과위원회 심의 결과 수정 가결됨에 따라 앞으로 지구단위계획이 결정 고시되면 해당 사업지에 대해 청년주택 사업이 가능해진다.
중랑구 상봉동 역세권 청년주택은 서울지하철7호선·경의중앙선·경춘선 상봉역(시외버스터미널) 인근에 지어지며, 부지면적 1509㎡에 340가구가 들어설 예정이다. 쌍문동 역세권 청년주택은 우이신설선 솔밭공원역 근처로, 부지면적 883㎡에 78가구가 지어진다.
역세권 청년주택은 만 19세 이상 39세 이하 청년층을 대상으로 주변보다 저렴하고 교통이 좋은 임대주택을 공급하자는 목표 아래 공급되는 임대주택이다. 시는 청년 관련 다양한 커뮤니티 시설도 같이 들어설 계획이라 이 지역 청년활성화에 이바지할 것 보고 있으며, 앞으로 해당 구청에서 건축허가 관련 절차를 이행할 예정이라고 밝혔다.
[이진혁 기자 kinoeye@chosunbiz.com]
chosunbiz.com",https://n.news.naver.com/article/366/0000445039
"도봉구, 익명 비리 신고함 ‘깨끗함’ 설치",2017.03.09,"구청사 및 보건소 내 7개소 선정하여 설치… 다양한 내용 받아 조직 내 불편부당 사항 개선해 나갈 계획
[아시아경제 박종일 기자] 도봉구(구청장 이동진)는 조직 내부의 상호 소통과 공감을 위한 익명 비리 신고함 ‘깨끗함’을 설치 ·운영한다.
투명한 조직문화를 바탕으로 구민으로부터 신뢰받는 행정을 실현하려고  함이다.
‘깨끗함’은 구청사 내 설치된 익명의 비리 신고함으로 그간 신고자의 신분 노출을 우려해 신고를 꺼렸던 문제점을 보완, 직원 전용으로 만들었다. 조직 구성원의 솔직한 의견수렴을 통해 공직비리를 사전에 예방하고 깨끗한 공직문화를 만들어가기 위한 노력 일환이다.
신고함
우선적으로 구청사 및 보건소 내 직원들의 접근성 및 익명성을 보장할 수 있는 7개소를 선정, ‘깨끗함’을 설치했다. 공직비리 뿐 아니라 업무처리 고충사항, 건의사항 등 다양한 내용을 제한없이 받아 조직 내 불편부당한 사항을 개선해나갈 계획이다.
접수된 민원은 월 1회 감사담당관에서 직접 수합해 사실조사 후 적절한 조치를 취하게 되며, 분기별로 주요 접수내용과 처리결과에 대해 안내하는 등 철저한 피드백을 통해 조직 내 불만과 불신을 해소, 상호 신뢰를 높이는 계기로 만들어 나갈 것이다.
이동진 구청장은 “새롭게 시도되는 ‘깨끗함’ 운영이 직원과 소통하는 계기가 되고, 공직비리에 대한 신고 활성화로 스스로의 자정 노력을 유도해 책임행정 구현에도 기여할 것으로 기대된다”고 밝혔다.
박종일 기자 dream@asiae.co.kr
▶ 세상의 모든 재미 [티잼]
▶ 카드뉴스
▶ 오늘의 운세
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003948693
"서울 창동역 개발, 시장에서 통할까",2019.10.02,"공사가 시작된 창동 창업·문화산업단지 부지. /사진=김창성 기자
서울 북쪽 끝자락에 자리한 도봉구 창동역 일대가 개발 기대감에 들떴다. 서울시가 창동역 환승주차장 부지에 일자리·문화산업의 거점이자 산업생태계 기반이 될 핵심시설인 ‘창동 창업·문화산업단지’ 개발에 나섰기 때문. 서울시는 이곳에 창업·문화시설과 오피스텔 등을 지어 창업 새싹들의 성장을 돕고 인구유입을 통한 지역경제 활성화를 도모할 계획이다.
서울시는 2023년 완공을 목표로 착공에 들어갔지만 과연 이번 개발 계획이 시장에서 통할지 의문이다. 장소가 서울의 대표적인 베드타운인 창동인 데다 대형 개발 프로젝트라 해도 접근성이 떨어지는 서울 외곽지역으로 많은 유동인구가 유입될지는 미지수다. 입지 선정부터 앞으로의 계획까지 서울시의 복안은 과연 시장에서 통할 수 있을까.
◆창업 새싹 모여라… 창동역 개발 시동
서울시가 창동역 환승주차장 부지 개발에 시동을 걸었다. 이곳은 앞으로 일자리·문화산업 거점이자 산업생태계 기반이 될 핵심시설이 들어설 예정이다.
서울시는 최근 ‘창동 창업·문화산업단지’(가칭) 개발을 위한 첫삽을 떴다. 창동 창업·문화산업단지는 지하 7층~지상 16층 문화창업시설과 지하 7층~최고 49층 오피스텔로 구성되며 두 건물은 서로 연결된 형태로 짓는다.
창업·문화시설은 창업 엑셀러레이팅 공간(약 2500명 수용)과 문화 관련 사무실 약 300개다. 서울시는 이를 통해 동북권 15개 대학의 유망 새싹기업(스타트업)이 유입될 것으로 전망한다.
오피스텔은 창업창작레지던스 공간(792실)과 문화집객시설(서점, 문화집회시설, 상업시설), 주차장 등이 들어선다. 창업창작레지던스 공간(6~49층)은 사회초년생, 1인 청년창업자, 문화예술인 등이 거주하며 창업·창작활동을 병행하고 문화·여가를 즐길 수 있도록 돕는다.
두 건물의 저층부는 지역주민을 위한 문화집객시설이 배치된다. 지하 판매시설은 앞으로 조성되는 복합환승센터와 서울아레나 등 주변시설과 직접 연결된다. 서울시는 창동 창업·문화산업단지’가 완공되면 이 일대를 동북권 신경제중심지로 견인해 나갈 계획이다.
이를 위해 서울시는 음악·최신 트렌드가 집약된 복합문화공간으로 2016년 4월 개장한 ‘플랫폼 창동61’, 동북권 창업·일자리 거점으로 2020년 9월 준공 예정인 ‘세대융합형 복합시설’, 국내 최초의 콘서트 전문 공연장으로 2024년 문을 열 예정인 ‘서울아레나’와 연계할 방침이다.
박원순 서울시장은 “동북권 균형발전을 이끌어갈 새 거점시설인 창동 창업·문화산업단지를 통해 창업~인큐베이팅~상용화~소비시장이 연계된 선순환 산업생태계가 조성될 것으로 기대한다”며 “이들 거점시설을 발판으로 창동·상계지역이 도심의 배후주거지에서 수도권 동북부 320만의 새로운 일자리·문화의 신경제중심지로 탈바꿈하게 될 것으로 확신한다”고 말했다.
사람이 없어 텅 빈 플랫폼창동61 입구. /사진 김창성 기자
◆‘베드타운’에 사람이 몰려들까
서울시의 계획대로 개발이 순조롭게 진행되면 텅 빈 창동역 앞은 2023년 5월 ‘천지개벽’ 수준으로 새 단장되지만 시장에 통할지는 의문이다.
창동역 인근에 20년 동안 거주한 직장인 홍선우씨(35·남)는 “쇠퇴한 지역경제 활성화에 대한 기대감이 있다”면서도 “기존에 들어선 플랫폼창동61도 아는 사람이 적고 창동역 민자역사 사업 역시 장기간 흉물로 방치된 상황에서 새 사업에 실효성이 있을지 걱정스럽다”고 우려했다.
그의 우려처럼 사업부지가 품은 해결 과제는 간단치 않다. 사업부지는 지하철 1·4호선 환승역인 창동역 바로 앞에 위치한 역세권이지만 이 일대는 전통의 베드타운이자 경기 의정부시와 가까운 외곽지역이다.
또 아파트단지가 밀집한 곳이라 아침에 인구가 빠져나갔다가 저녁에 다시 모일 만큼 주변에 이렇다 할 경제활동 기반이 취약하다. 서울시가 창동 창업·문화산업단지 완공 시 경제인구 유입을 통한 지역경제 활성화가 기대된다고 밝힌 것도 이 때문이다.
하지만 서울시의 계획은 기존의 대·중소기업 유치가 아닌 창업 생태계 조성을 위한 프로젝트인 만큼 미래 불확실성도 공존한다. 창업활동을 지원하고 이들이 기반을 다질 수 있도록 돕는 취지는 사회적으로 공감을 살 일이지만 창업 활동은 현실적으로 실패 확률이 높고 성공한다 해도 지속성을 장담할 수 없어 이들에게 지역경제 활성화를 기대하는 것은 무리다.
콘서트 전문 공연장인 서울아레나를 지어 문화산업 활성화에 힘을 보태는 계획 역시 성공할지 의문이다. 기존에 들어선 복합문화시설인 플랫폼창동61은 대중적으로 자리잡지 못했다. 인디밴드공연이나 유명 문화인 등을 초청해 활성화를 꾀했지만 서울외곽으로 유동인구를 유입할 만큼의 파급력이 약했다.
복합개발 전 임시로 자리잡은 측면이 강하지만 플랫폼창동61의 침체를 보면 서울아레나 완공이 과연 기존 시설의 실패를 답습하지 않고 성공적으로 안착할 수 있을지 미지수다.
이에 대해 서울시 동북권사업과 관계자는 “서울시의 계획은 인근지역을 아우르는 일자리·문화 광역중심의 거점시설로 자리잡는 게 목표라 공공성에 초점이 맞춰졌다”며 “특히 서울아레나 완공으로 K팝 공연이나 해외 유명 뮤지션 등을 유치해 강남권에 집중된 문화콘텐츠를 강북으로 가져오고 GTX-C노선 등의 호재까지 더해지면 시너지 효과가 발생해 발전 가능성은 충분하다”고 낙관했다.
☞ 본 기사는 <머니S> 제612호(2019년 10월1~7일)에 실린 기사입니다.
김창성 기자 solrali@mt.co.kr
▶ 영상으로 보는  고수들의 재테크 비법
▶ 박학다식 '이건희칼럼'
<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/417/0000455337
역촌2구역 등 서울 10곳 정비구역 해제 검토,2016.07.21,"【서울=뉴시스】이승주 기자 = 역촌2구역을 포함한 서울 재건축·재개발 10개 구역에 대한 정비구역 해제 여부가 검토된다.
서울시는 전문가 및 도시계획위원회 자문을 거쳐 서울의 정비구역 10곳을 도시정비구역 해제 대상구역으로 선정했다고 21일 밝혔다. 앞으로 이들 구역의 주민의견을 조사해 사업찬성자가 50% 미만일 경우 시장이 직권으로 해제할 예정이다.
서울시는 지난해 4월 '뉴타운·재개발 ABC관리방안' 발표 이후 구역별 사업추진 상황에 따라 3개 유형(A·B·C)으로 구분해 관리해왔다.
이중 토지등소유자의 과도한 부담이 예상되거나 정비 목적을 달성하기 어려운 경우 이를 직권해제하는 구체적인 기준과 절차를 마련해 뉴타운과 재개발 수습이 조기에 마무리될 수 있도록 지원해왔다.
이번에 정비구역 해제를 검토 중인 구역은 사업이 지연되거나 토지등소유자의 3분의 1이상이 해제를 요청한 구역 등이다.
해당 정비구역은 ▲역촌2구역 재건축(은평구 역촌동 2-45) ▲구산1구역 재건축(은평구 구산동 177-1) ▲쌍문2구역 재건축(도봉구 쌍문동 137-13) ▲종암3구역 재건축(성북구 종암동 103) ▲개봉4구역 재건축(구로구 개봉동 288-7) ▲신길1 재정비촉진구역(영등포구 신길동 157-26) ▲신길6 재정비촉진구역(영등포구 신길동 510) ▲장위8재정비 촉진구역(성북구 장위동 85) ▲장위9 재정비촉진구역(성북구 장위동 238-83) ▲장위11 재정비촉진구역(성북구 장위동 68-141)이다.
서울시 관계자는 ""정비구역이 해제된 지역 주민이 원하는 경우 주거환경관리사업과 가로주택정비사업, 도시재생사업 등 대안사업을 추진하겠다""며 ""직권해제구역의 추진위원회와 조합이 사용한 비용은 사용비용검증위원회 검증을 거쳐 결정한 금액의 70%이내에서 보조하겠다""고 밝혔다.
joo47@newsis.com
뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요
뉴시스 SNS
[페이스북]
[트위터]
<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",https://n.news.naver.com/article/003/0007362958
도봉 방학천변 문화거리 조성 도전 시작,2017.05.26,"10개 건물 28개소 중 6개 건물 16개소에 대한 임대차 계약 등 정비 완료
[아시아경제 박종일 기자] 선정적인 문구가 담긴 간판이 즐비했던 도봉구의 대표 유흥음식점 거리, 방학천 일대.
도봉구(구청장 이동진)는 유해업소 거리 환경 개선을 위해 민 ·관 ·경이 함께하는 ‘유흥음식점 이용 근절 캠페인’을 진행하고 있다.
점차적으로 유흥음식점이 사라지고 공실이 늘어감에 따라 구는 이 곳을 활용, 문화예술을 접목한 거리환경 개선 및 도시재생 프로젝트를 추진한다.
문화거리 조성을 위한 공실 임차계약을 위해 유해업소 건물주와 계약을 추진했으나 유해업소 폐업으로 임대료 수익이 없어진 건물주들과의 임차계약을 맺는 데 어려움이 있었다.
건물주 대부분이 별도 소득 없이 월세를 받아 생활하는 연로한 건물주로, 문화거리 조성 사업에 대한 불만도 많았다.
관계부서의 지속적인 이해와 협조를 통해 완강히 계약을 거부하던 건물주들을 설득, 협의가 성사되는 듯도 싶었으나 임대료 협의 과정에서 기존 손실에 대한 보상심리로 임대료를 많이 받고자하는 건물주들의 계약 거부도 발생했다.
방학천 정비 후 현재
그러나 높은 임대료로 계약할 경우 향후 입주자들의 임차료 부담 가중으로 자생에 어려움이 있을 것이며, 주변 개발에 따른 둥지 내몰림 현상으로 입주자들이 쫓겨날 경우 문화거리 기반이 뿌리를 내리지 못할 것이 자명했다.
이에 구는 단기적인 성과 달성 목적을 넘어 문화거리의 지속적인 성장과 발전을 염두에 두고 지속적으로 협의를 추진했다.
더불어 민 ·관이 함께하는 협치 포럼을 통해 지역주민이 직접 참여, 의견을 나눌 수 있는 장을 마련했다.
지역 주인으로서 마음의 문이 열리며 계약이 성사되기 시작했고, 현재 10개 건물 28개소 중 6개 건물 16개소에 대한 임대차 계약 등 정비가 완료됐다. 올해 12월에는 이를 활용해 주민커뮤니티 공간, 예술인촌 등을 조성할 예정이다.
도봉구 문화거리조성 사업은 관주도의 일방통행이 아니다. 디자인과 이미지 등의 고민을 함께 할 문화거리 민 ·관 협치 포럼을 운영, 주민이 제안하고 실행하는 도시재생 프로젝트 사업으로 추진해나갈 계획이다. 특히 협치 포럼은 지역주민, 전문가, 관계부서 등이 함께 참여해 다양성을 반영할 수 있는 체계로 운영한다.
이동진 구청장은 “시작은 더디고 힘들지 모르지만 훗날 이런 고민들이 밑거름이 되어 음습한 주홍빛 밤거리가 주민들, 예술가들의 이야기가 아로새겨진 삶의 터전으로 바뀔 것이다. 모든 이들이 기분 좋게 찾는 문화거리로 거듭날 방학천을 기대해달라”고 전했다.
박종일 기자 dream@asiae.co.kr
▶ 뉴스가 재밌다! 세상의 모든 재미 [티잼]
▶ 인기최신만화
▶ 오늘의 띠별, 별자리 운세
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0004001719
"도봉구도 '그린 뉴딜'…1,400억 투입해 1천여 개 일자리",2020.09.15,"[한국경제TV 신인규 기자]
도봉구가 오는 2022년까지 1,408억원을 투입해 일자리 1,064개를 창출하는 ‘도봉판 그린뉴딜’을 추진한다.
이는 도봉구가 2050년까지 온실가스 1,342천톤을 감축하겠다는 ‘2050 도봉구 온실가스 감축 전략’에 따른 것이다.
‘2050 도봉구 온실가스 감축 전략’은 ▲녹색건물 ▲녹색수송 ▲녹색에너지 ▲녹색폐기물 ▲녹색숲 ▲녹색생활 ▲녹색교육 등 7대 전략을 집중 추진해 경제위기와 기후위기를 동시에 대응하고, ‘사람과 자연이 더불어 행복한 지속가능한 녹색도시, 도봉’을 만드는 것이다.
도봉구 온실가스 배출의 약 99.4%를 차지하는 건물(69.5%), 수송(27.6%), 폐기물(2.3%)로 인한 배출을 선제적으로 줄인다. 또한, 도시숲을 확대해 배출된 온실가스를 흡수하고, 신·재생에너지로의 전환을 가속화하며, 주민스스로 생활 속 에너지 절약을 실천하고 이를 촉진하기 위한 교육을 지속 실시하는 등 동시 다발적 전략을 병행한다.
도봉구는 구청사부터 전력 자립률을 획기적으로 높인다는 계획이다.. 현재 1.3%인 전력 자립률을 재생에너지 1.5MW를 설치하고, 단열 성능 극대화를 위한 리모델링을 추진해 50%까지 늘린다. 또한, 노후 공공건물에 대해서는 국·시비 보조사업과 연계해 에너지 효율을 제로에너지빌딩(ZEB) 수준으로 높이는 ‘그린 리모델링’을 집중 추진한다.
2025년부터 관용차는 전차종을 전기·수소차로 100% 구매하고, 민간은 현재 등록차량 대비 0.3%에 불과한 전기·수소차 보급률을 2050년까지 100% 전환을 추진한다.
관내 태양광을 공공에 50MW, 민간에 200MW를 보급하고, 공공 부지를 활용 연료전지, 지열, 소형풍력 등 재생에너지 50MW 보급 확대도 추진한다. 이를 통해 신·재생에너지 300MW 보급으로 도봉구 전력 자립률 60%를 달성한다는 계획이다.
생활자원회수센터 건립, 1회용품 없는 도봉 만들기 추진 및 서울시와 함께 생활폐기물 직매립 제로화 등을 추진해 생활폐기물 발생량을 2018년 대비 절반 수준으로 감축하며, 바람길숲, 생태숲 등 1,492천㎡(1인당 4.5㎡)의 숲을 조성해 배출된 온실가스를 흡수·상쇄하고 안전한 그린 쉼터로서 공원 역할을 강화한다.
이와 함께 도봉구는 ‘1인당 온실가스 4톤 줄이기’를 실천하고, 온실가스 감축 페실리테이터 3만명을 양성해 이를 촉진하기로 했다.
이동진 도봉구청장은 “도봉구는 지난 6월 ‘기후위기 비상선언’과 7월에 발족한 ‘탄소중립 지방정부 실천연대’ 참여를 통해 ‘2050년 탄소중립 실현’을 선언했다”며, “2050 도봉구 온실가스 감축 전략 실행을 통해 탄소중립 실현을 위한 지방정부의 선도적 역할을 수행하겠다”고 말했다.
신인규기자 ikshin@wowtv.co.kr
▶
네이버 홈에서 [한국경제TV] 채널 구독하기
[생방송보기]
▶
대한민국 재테크 총집결
!
- [증권 / 주식상담 / 부동산]
ⓒ 한국경제TV, 무단 전재 및 재배포 금지",https://n.news.naver.com/article/215/0000901282
도봉구 도봉3 주택재개발정비구역 해제,2016.02.04,"[헤럴드경제=한지숙 기자] 서울시 관악구 소재 주거환경개선사업 정비예정구역 6개소가 지정 12년만에 해제됐다. 또 도봉구 도봉3 주택재개발정비구역의 정비 계획도 없던 일이 됐다.
서울시는 4일 전날 열린 제2차 도시계획위원회에서 이같이 결정했다고 밝혔다.
주거환경개선사업을 위한 정비예정구역 6개소는 2004년 6월에 지정됐지만 그동안 사업 추진 움직임이 없었고, 2012년 2월 도시및주거환경정비법 개정으로 법 개정 3년이 되는 날까지 정비구역지정 신청을 하지 않아 해제됐다. 도봉3 주택재개발정비구역은 조합원 과반수 이상이 조합을 해산했으며, 구역 해제를 위한 주민공람에도 특별한 의견이 없던 지역이다.
관악구 신림동 1476 일대.［제공 =서울시］
도봉구 도봉3 주택 재개발구역. ［제공 =서울시］
시는 이번 심의 결과에 따라 이달 중 해제고시할 계획이다.
jshan@heraldcorp.com
겨드랑이, 착색된 피부톤 밝게 하려면..
김현주 이미연 냉부 등...215억원에 중국 자본 품으로
[글로벌 인재들의 필수 역량, SKEC 영어글쓰기대회]
[주니어 영어 신문의 가장 효율적인 학습 서비스]
[헤럴드경제]
[SUPERICH]
[REAL FOODS]
[헤럴드증권방송]
[HOOC]
- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -",https://n.news.naver.com/article/016/0000987643
동북권체육공원 부지 확대…아레나복합문화시설 조성 탄력,2016.06.02,"[헤럴드경제=한지숙 기자]서울 도봉구 도봉동 8번지 일대 동북권체육공원의 면적이 50% 가량 늘어난다.
창동ㆍ상계 신경제중심지 조성 사업으로 추진 중인 ‘아레나복합문화시설’ 건립을 위해 창동운동장 내 체육시설물을 이전시키기 위한 공간이 필요해서다.
서울시는 2일 제10차 도시계획위원회에서 도봉구 도봉동 8번지 일대 도시계획시설(공원: 체육공원)변경결정(안)을 가결했다고 밝혔다. 접근동선 개선, 이용세대 간 균형 있는 체육시설 설치검토, 장래 토지이용계획에 지장이 없도록 추진하는 조건이 붙었다.
동북권체육공원 조성사업은 창동운동장 내 축구장, 배드민턴장 등 체육시설물을 도봉동 8번지 일대로 이전해 시민의 여가, 스포츠활동 공간으로 새롭게 조성하는 사업이다.
이번 결정으로 동북권체육공원 부지면적이 기존 3만3819㎡에서 4만9819㎡로 1만6000㎡ 늘어난다. 조성사업은 2017년까지 진행한다. 총사업비는 354억원이다.
도봉구 창동 1-23 번지 일대 부지 5만102㎡에 조성하는 아레나복합문화시설은 2만석 규모의 공연장과 부대시설 등이 들어선다. 2019년 말 준공 예정이다.
jshan@heraldcorp.com
▶ 한국서 '딸 방송'으로 돈번 추성훈...日서 19억 슈퍼카 굴린다(?)
▶ “손흥민, 대학축제 갈 때였냐”…축구팬 비난 봇물
▶ “김진현 실수로 한국 무너졌다” 스페인 혹평한 ‘10실점 악몽’
[국내최대 SKEC영어글쓰기대회]
[청소년 영어신문 활용법]
[외교관의 꿈,청소년 외교아카데미]
[헤럴드경제]
[SUPERICH]
[REAL FOODS]
[헤럴드증권방송]
[HOOC]
- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -",https://n.news.naver.com/article/016/0001060711
