제목,날짜,본문,URL
서울시 “GTX에 광화문·동대문·왕십리역 추가하자”,2021.02.25,"서울 한 지하철역의 모습. 연합뉴스
서울시가 수도권 광역급행철도(GTX) 정거장을 강북권에 3개 더 추가해 달라고 국토교통부에 제안했다. GTX-A노선 광화문(시청)역, B노선 동대문(동대문역사문화공원)역, C노선 왕십리역 등으로 서울 지하철과 원활한 환승을 위한 목적에서다.
서울시는 25일 “기존 계획에 의하면 서울 도심까지는 빠르게 접근할 수 있지만 환승을 통한 실제 목적지까지의 도달 방안에 대해서는 충분한 고려가 부족해 향후 수도권 이용객의 불편이 예상된다”고 밝혔다. 기존 계획상 GTX A, B, C노선의 전체 역은 각각 10, 13, 10개다. 이 가운데 서울에는
A노선 수서·삼성·서울역·연신내, B노선 신도림·여의도·용산·서울역·청량리·망우, C노선 양재·삼성·청량리·광운대·창동이 계획돼 있다.
시에 따르면 서울로 출퇴근하는 수도권 주민의 과반수의 목적지가 서울 중심부다. A노선과 연결되는 파주·고양시의 경우 대중교통 이용자의 60%가 서울 중심부로 향한다. 중심부를 지나 한강 이남까지 가는 비율은 18.2%에 그친다. 아울러 GTX 승객이 서울 지하철로 환승해 목적지로 가는 비율이 상당할 것으로 예상돼 주요 환승 거점인 정거장을 추가해야 한다는 게 시의 얘기다. 시가 제안한 3개 역 모두 승객 수요가 많은 서울 지하철 2호선과 연결된다. 이를 통해 통행시간 감소, 철도 네트워크 조성, 직장-주거 접근성 강화, 교통 공공성 확보 등을 기대할 수 있다고 시는 내다본다.
시는 역 추가로 GTX 속도가 느려질 것이란 우려에 공감하면서도 유기적 환승으로 이용자 편익이 더 커질 것으로 분석했다. 정거장 추가로 구간 통과에 2분가량이 더 걸리지만 환승에 드는 통행시간이 줄어들어 갈아타는 시간을 3분30초 단축할 수 있다는 것이다.
박장군 기자 general@kmib.co.kr
▶ 네이버에서 국민일보를 구독하세요(클릭)
▶ 국민일보 홈페이지 바로가기
GoodNews paper ⓒ
국민일보(www.kmib.co.kr)
, 무단전재 및 수집, 재배포금지",https://n.news.naver.com/article/005/0001414616
"동대문구, 안전사각지대 해소 위한 공동주택 점검",2020.09.08,"[한국경제TV 김원규 기자]
동대문구는 8일 지역 내 낡은 소규모 공동주택에 대한 안전점검을 한다고 밝혔다.
이번 점검할 대상은 150세대 미만의 승강기가 없고 준공 15년이 지난 소규모 아파트 6개 단지 또는 연립주택 12개 단지다.
공동주택관리법상 300세대 이상 또는 150세대 이상이면서 승강기가 설치된 공동주택은 의무관리 대상으로 안전점검을 해야 한다.
반면, 소규모 공동주택은 현행법상 의무관리 대상에서 제외되기 때문에 관리사무소 등 관리주체를 두지 않아도 돼 건물 안전관리에 미흡한 실정이다.
구는 안전관리 사각지대에 있는 소규모 공동주택의 재해사고 예방을 위해 반기에 한 번씩 정기안전점검, 3년에 한 번씩 정밀점검 수준의 안전점검(이하 정밀안전점검), 유사시 긴급점검을 한다.
특히 올해는 장마 피해를 예방하고 선제로 대응하기 위해 외부전문가가 긴급점검을 했고 다음 달에는 정밀안전점검을 진행할 예정이다.
정밀안전점검은 2018년 6개, 2019년 5개 단지를 시행한 데 이어 올해 7개 단지도 시행한다.
이번 소규모 공동주택 안전점검은 ▲건축물의 평면, 입면, 단면, 용도 등의 변경사항 ▲구조부재의 변경사항 ▲하중조건, 기초·지반 조건, 주변 환경조건 등의 변동사항뿐만 아니라 전문장비를 동원하여 ▲균열 여부 ▲건물의 기울기 등을 조사한다.
점검 결과 구조체 등에 중대한 결함이 있으면 소유(관리)자에게 통보해 보수와 보강을 진행할 계획이다.
유덕열 동대문구청장은 “소규모 공동주택은 별도의 관리주체가 없어 안전관리의 사각지대에 놓여 있다”며 “앞으로 체계적인 안전점검을 통해 주민들의 안전한 주거환경을 확보하기 위해 최선을 다하겠다”고 말했다.
김원규기자 wkkim@wowtv.co.kr
▶
네이버 홈에서 [한국경제TV] 채널 구독하기
[생방송보기]
▶
대한민국 재테크 총집결
!
- [증권 / 주식상담 / 부동산]
ⓒ 한국경제TV, 무단 전재 및 재배포 금지",https://n.news.naver.com/article/215/0000899580
`뉴청량리` 확장…7년 표류 3구역도 개발시동,2018.05.13,"종전 소유주 파산에 장기정체…최근 사업시행자 변경 신청
40층 주상복합 2개동 추진…연내 관리처분·내년 착공 목표
동부청과·4구역과 연결하면 11개 고층빌딩 `마천루` 형성
청량리역 옥상에서 바라본 청량리3·4구역과 동부청과시장 정비사업 현장 모습. [한주형 기자]
낙후됐던 서울 청량리역 일대 개발이 하나둘씩 확정되면서 주변 부동산 시장 열기가 후끈 달아오르고 있다. 기존 아파트 가격이 빠르게 상승하고 장기간 정체됐던 사업도 다시 꿈틀대는 모습이다. 7년 전 사업시행인가를 받고도 속도를 내지 못하고 멈춰 있던 청량리3구역 정비사업도 최근 사업시행자를 새로 선정하면서 본격적으로 재가동에 나섰다.
13일 서울시와 정비업계에 따르면 동대문구 용두동 11-1 일대(대지면적 7011.6㎡) 청량리3재정비촉진구역이 최근 동대문구청에 사업시행자를 기존 오티모건설에서 하나자산신탁으로 변경하는 내용의 사업시행계획 변경 인가를 신청했다. 2011년 5월 사업시행인가를 획득한 지 정확히 7년 만에 사업에 다시 시동을 거는 것이다. 동대문구청 관계자는 ""현재 검토 중인데 특별한 하자가 없으면 사업시행자 변경 인가를 조만간 결정할 예정""이라고 말했다.
청량리3구역은 현재 한양이 주상복합(청량리 수자인)을 건설 중인 동부청과시장 용지 바로 앞에 위치했다. 3구역에는 정비사업을 통해 높이 150m, 지상 40층, 2개동 주상복합(아파트 220여 가구, 상가시설)이 들어설 예정이다.
현재 공사가 진행 중인 동부청과시장과 과거 '588'로 불렸던 집창촌 일대를 재개발하는 청량리4구역(청량리 롯데캐슬)까지 포함하면 청량리 일대에 고층 주상복합건물 총 11개가 동시에 들어서면서 스카이라인이 확 바뀐다.
동부청과시장 자리에는 최고 59층 높이로 건물 4개동, 공동주택 1160가구와 상업시설이 2021년 완공될 예정이다. 청과시장 오른편 청량리4구역에는 롯데건설이 지난해부터 최고 65층 높이 아파트 4개동과 백화점·오피스·호텔이 들어설 랜드마크 1개동 등 총 5개의 초고층 복합건물 건립을 진행 중이다. 청량리 롯데캐슬은 올해 6월, 청량리 수자인은 올해 9월 각각 분양 예정이다.
청량리3구역 정비사업이 장기간 표류한 것은 최초 사업시행자였던 오티모건설이 재무 악화로 2015년 파산했기 때문이다. 올 초 수원지방법원이 진행한 경매를 거쳐 대구 동구에 본사를 둔 시행업체인 펜타디앤씨가 땅을 매입했고 최근 총회를 통해 신탁 방식 사업시행자로 하나자산신탁을 결정했다. 토지 소유주가 신탁사를 사업시행자로 지정한 것은 대출 조건이 보다 유리하기 때문으로 전해졌다.
청량리3구역은 또 조만간 사업시행계획을 추가로 바꾸는 방안을 검토하고 있다. 최초 사업시행인가로부터 이미 7년이나 지났기 때문에 그사이 바뀐 법률과 조례, 시장 트렌드 등을 사업계획에 반영하려는 목적이다. 청량리3구역 시행 관계자는 ""올해 안에 사업시행인가 변경과 관리처분인가를 획득해 내년 착공을 목표로 하고 있다""고 말했다.
동대문구청에 따르면 현재 토지 소유주인 펜타디앤씨는 사업 대상지 4개 필지 가운데 확보한 3개 필지에 대한 철거와 토지작업을 완료한 상태다. 청량리3구역 관계자는 ""나머지 한 개 필지까지 매수할 경우 관리처분인가 절차가 필요 없어져 사업이 더욱 빨리 진행될 가능성도 있다""고 말했다.
한편 청량리 일대 개발이 속도를 내면서 인근 부동산 가격은 최근 매우 빠르게 상승하고 있다. 청량리역에서 도보 10분 거리로 현재 대장주 역할을 하고 있는 전농동 래미안크레시티는 전용 84.98㎡ 실거래가격이 지난해 3월 평균 6억3000만원에서 올해 3월 9억3000만원으로 1년 만에 3억원이나 올랐다. 서울부동산정보광장에 따르면 다음달 입주를 앞둔 전농동 동대문롯데캐슬노블레스 전용 84㎡ 입주권도 3월 최고 9억7000만원에 거래됐다.
다만 전문가들 사이에선 단기간 급등한 만큼 이제 신중한 접근이 필요하다는 지적도 나온다. 한 재개발 투자 전문가는 ""청량리 일대, 특히 전농뉴타운 구역은 이미 많이 올랐기 때문에 현재 시점에서 단기차익을 노리고 투자하는 것은 조심해야 한다""고 말했다.
[최재원 기자]
▶뉴스 이상의 무궁무진한 프리미엄 읽을거리
▶아나운서가 직접 읽어주는 오늘의 주요 뉴스
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",https://n.news.naver.com/article/009/0004149834
"서울시, 새 민간제안 방식으로 '면목선 경전철' 전면 재추진",2016.01.14,"[머니투데이 김사무엘 기자] [수익형 민간투자 대상사업(BTO)·위험분담형(BTO-rs)·손익공유형(BTO-a) 등 다양한 방식 제안]
면목선 경전철 노선도. /사진제공=서울시
적절한 사업자가 없어 진행이 지지부진하던 '면목선 경전철 사업'이 다양한 민간제안 방식으로 전면 재추진된다.
서울시는 면목선 경전철(청량리 ~ 면목역 ~ 중랑구청 ~ 신내동, 총 연장 9.05km) 사업에 적용하기로 한 '수익형 민간투자 대상사업'(BTO) 지정을 취소하고 BTO를 포함, '위험분담형'(BTO-rs)과 '손익공유형'(BTO-a) 등 다양한 방식의 민자 사업으로 사업제안서를 다시 접수 받는다고 14일 밝혔다.
수익형 민간투자사업은 사업의 손익을 민간 사업자가 모두 떠맡는 방식이다. 위험분담형은 정부와 민간이 손익을 나누는 형태고, 손익공유형은 정부가 최소사업운영비는 보장하되 초과이익분은 공유하는 형식이다.
면목선 경전철 사업에 참여를 원하는 사업자는 민간투자사업 기본계획의 투자위험 분담방식을 포함해 언제든지 사업제안서를 제출하면 된다.
면목선 경전철은 서울 동북부 지역 교통 혼잡을 해소하기 위해 추진되는 사업이다. 청량리(1호선) ~ 전농동 ~ 장안동 ~ 면목(7호선) ~ 망우동 ~ 신내(6호선, 경춘선) 총 연장 9.05km 구간이 연결된다. 12개 정거장이 만들어지며 총 사업비는 8894억원이다.
면목선 경전철 사업은 당초 수익형 민간투자사업으로 진행됐다. 2007년 12월 포스코건설이 주관사인 '(가칭)청량리신내경전철주식회사'가 처음 사업 제안서를 제출했다. 2011년 협상대상자 지정을 위한 제안서 평가 결과 규정 점수 미달로 우선협상대상자를 지정하지 못했다. 지난해 9월 재공고에는 제안서를 접수한 업체가 없었다.
고인석 시 도시기반시설본부장은 ""민간투자사업 방식의 다양화로 많은 민간 사업자가 '면목선 경전철 민간투자사업'에 참여할 것으로 기대한다""고 말했다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ]
[부자들에게 배우는 성공 노하우 '줄리아 투자노트'  ]
[내 삶을 바꾸는 정치뉴스 'the 300']
[CEO의 삶을 바꾼 '내 인생 최고의 조언' ]
[아찔한 girl~ 레이싱모델 핫포토 ]
김사무엘 기자 samuel@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0003612938
서울시 '숭인2 지구단위계획' 재정비 결정안 통과,2015.11.12,"△ 서울시는 제17차 도시·건축공동위원회(도공위)를 열고 ‘숭인2 지구단위계획 재정비 결정안’을 통과시켰다. 숭인2 지구단위계획구역 전경 [사진=서울시]
[이데일리 김성훈 기자] 지난 2002년 지구단위계획이 첫 수립 이후 지지 부지하던 숭인2 지구단위계획구역 재정비가 본격적으로 시행된다.
서울시는 제17차 도시·건축공동위원회(도공위)를 열고 ‘숭인2 지구단위계획 재정비 결정안’을 통과시켰다고 12일 밝혔다.
주요 내용은 △구역 명칭변경(동대문 지구단위계획구역→숭인2 지구단위계획구역) △구역계 확장(10만 9889㎡→ 11만 9450㎡) △신설동교차로변 특별계획 가능구역 신설 등이다. 도공위는 창신·숭인 재정비촉진지구의 지정·해제와 우이~신설 경전철 개통(예정) 등 주변 여건변화를 고려해 재정비 계획을 수립했다고 설명했다.
도공위는 지구단위계획 수립을 통해 숭인2동 주민센터 북측 일대 건축행위를 가능토록 했다. 신설동 교차로변 특별계획 가능구역인 숭인동 1169번지 일대(1만 4153.7㎡)는 역세권 중심지로 만들기 위해 업무·교육시설 등의 복합개발이 가능하도록 계획했다. 아울러 공공기여 10%를 통해 봉제산업 관련 시설 등의 공공시설도 마련토록 했다.
시 관계자는 “숭인2 지구단위계획 재정비로 노후한 주거환경을 개선하고 신설동 역세권을 지역 중심지로 활성화 시킬 수 있을 것이다”고 말했다.
김성훈 (sk4he@edaily.co.kr)
▶ 퀴즈로 배우는 경제 상식! 이데일리 '경제 퀴즈'
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0003392435
신이문역 초역세권 1265가구 재탄생,2024.06.24,"지구단위계획 결정 고시
이문·휘경뉴타운 퍼즐 완성
동대문구 주요정비사업 가속
서울 동대문구 주택가 모습(사진은 기사와 직접적 관련 없음) [연합]
서울 동대문구 내 주요 정비사업이 잇따라 속도를 내고 있다. 지난 4월 이문 4구역 재개발 사업이 관리처분인가를 받은 데 이어, 과거 ‘이문 2구역’이었던 신이문역세권 재개발사업의 지구단위계획이 확정되며 이문·휘경뉴타운 마지막 퍼즐이 맞춰졌다.
24일 정비업계에 따르면 서울시는 최근 ‘신이문역세권 지구단위계획 결정(변경) 및 지형도면’을 고시했다. 이에 따른 주택공급계획을 보면 신이문역세권 장기전세주택(역세권시프트) 도시정비형 재개발사업을 통해 동대문구 이문동 168-1 일대에는 지하 4층~지상 40층 규모의 공동주택 1265가구가 들어서게 된다.
분양주택 899가구 외에는 장기전세주택 251가구, 재개발의무임대주택 115가구 등 공공주택이다.
이곳은 과거 이문 2구역으로 지정됐지만, 주민들의 반대로 2014년 뉴타운 구역에서 해제됐다. 이후 역과의 거리에 따라 용적률을 상향해 사업성을 높이고, 상향한 절반은 공공기여(장기전세주택)로 받는 역세권 장기전세주택 사업으로 전환했다. 지난해 말 서울시 도시계획위원회에서 정비계획 변경안이 수정 가결된 바 있다.
이번 고시로 신이문역세권 재개발 사업의 정비 기준이 마련되며, 동대문구 이문·휘경뉴타운 일대 개발 퍼즐이 완성됐다. 서울 외곽인 데다 노후도가 높은 이문동 일대가 신흥 주거지로 탈바꿈할 것이란 전망이다.
이문동 한 공인중개사무소 관계자는 “최근 재개발 8부 능선을 넘은 이문 4구역의 경우 지난달 말 임시총회가 통과하며 향후 이주 절차가 진행될 예정”이라며 “현재 거래되는 이문 4구역 매물의 프리미엄은 더 오를 것”이라고 말했다.
이문뉴타운 마지막 퍼즐로 꼽힌 이문 4구역은 관리처분인가 승인을 받아 8부 능선을 넘은 상태다. 이문뉴타운 일대는 총 1만4000가구 대규모 신흥 주거지로 바뀔 전망이다. 이문뉴타운에서 이문1구역(래미안라그란데), 이문3구역(이문아이파크자이)는 이미 분양을 마친 상태다. 휘경뉴타운은 1구역(휘경래모로프레스티지), 2구역(휘경SK뷰)은 이미 입주를 마쳤고, 3구역(휘경자이디센시아)은 분양을 끝내고 오는 2025년 6월 입주가 예정돼 있다.
최근 공사비가 급격히 오르며, 아직 분양 전인 이문동 내 사업장은 향후 고분양가가 형성될 것으로 관측된다. 지난해 10월 분양에 나선 이문아이파크자이는 일반분양가를 3.3㎡당 평균 3350만원으로 책정, 고분양가 지적이 나오기도 했다. 다만 지난 1월 해당 단지 무순위 청약에선 비선호 입지인 3단지의 경쟁률이 5.98대 1에 달해, 시장에선 이미 ‘강북 국민평형(전용 84㎡) 10억원대’가 수용되고 있다는 분석이 잇따랐다. 고은결 기자",https://n.news.naver.com/article/016/0002326003
"장안평 답십리 車부품상가, 29층 주상복합단지로 바뀐다",2020.09.10,"동대문구, 답십리 차부품상가 재개발 본격 추진
[한국경제TV 신인규 기자]
서울 동대문구 장안평 일대의 도시재생활성화계획의 핵심 전략 거점인 동대문구 답십리 자동차부품상가 재개발사업이 본격적으로 추진된다.
동대문구는 답십리자동차부품상가 도시정비형 재개발사업 정비구역지정 고시에 따라 서울 동대문구 답십리동 952번지 일대 17,914㎡ 부지에 최고높이 105m, 상한용적율 840%를 적용받은 7개 동, 최고 29층 규모의 주상복합 단지를 조성한다고 밝혔다.
이곳에는 603세대 공동주택과 판매시설 및 업무시설 등이 들어설 예정이다.
1982년 조성된 답십리자동차부품상가는 자동차 부품을 유통하는 도소매점 총 744개가 밀집되어 운영되고 있으며, 산업 환경이 변화하면서 공실과 시설 노후화 문제로 어려움을 겪어왔다.
유덕열 동대문구청장은 “답십리자동차부품상가 도시정비형 재개발사업의 본격적인 추진으로 노후된 지역을 정비하고, 자동차·이동수단 산업의 중심, 주거가 공존하는 미래형 복합공간을 조성할 수 있을 것으로 기대한다”고 밝혔다.
신인규기자 ikshin@wowtv.co.kr
▶
네이버 홈에서 [한국경제TV] 채널 구독하기
[생방송보기]
▶
대한민국 재테크 총집결
!
- [증권 / 주식상담 / 부동산]
ⓒ 한국경제TV, 무단 전재 및 재배포 금지",https://n.news.naver.com/article/215/0000900186
"동대문구 용두동 상업지, 28층 주거지로 탈바꿈",2020.08.19,"[머니투데이 조한송 기자]
용두1구역 재정비촉진지구 위치도/자료=서울시
서울지하철 1호선 제기동역 일대 상업지가 아파트 단지로 탈바꿈한다.
서울시는 지난 18일 제10차 서울특별시 도시재정비위원회를 개최해 '용두1구역(2지구, 3지구) 재정비촉진계획 변경(안)'을 수정가결 했다고 밝혔다.
대상지는 동대문구 용두동 26번지 일대다. 청량리 재정비촉진지구 내에 위치한 도시정비형 재개발구역이다.
서울시는 도심 내 주택 공급을 늘리기 위해 지난해 3월부터 3년간 한시적으로 도시정비형 재개발사업의 주거 시설 조성 비율을 완화하고 있다. 통상 50~70%인 주거 비율을 최대 90%까지 완화해 주는 것이다.
이에 따라 용두1구역은 주거 비율을 90%까지 높여 2지구는 공동주택 299가구·오피스텔 171실, 3지구는 공동주택 288가구, 오피스텔 120실을 건립할 계획이다. 건축물 주용도는 업무 및 판매 시설에서 업무 및 주거시설로 바뀌고 최고 층수도 종전 24층에서 최고 28층으로 높아진다.
대신 전체 연면적 15%에 해당하는 155가구(2지구 76가구·3지구 79가구)는 공공임대주택으로 기부채납키로 했다.
서울시 관계자는 ""정비계획 변경으로 60㎡ 이하 소형 임대주택 공급이 증가함에 따라 대학생, 사회초년생, 신혼부부 등의 주거 안정에 기여할 것""이라고 밝혔다.
조한송 기자 1flower@mt.co.kr
▶줄리아 투자노트
▶조 변호사의 가정상담소
▶머니투데이 구독하기
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004457441
"SH공사, 임대주택 어르신에 '치매통합관리 서비스' 제공",2016.01.14,"[머니투데이 김사무엘 기자]
송지영 동대문구 치매지원센터장(왼쪽)과 김보곤 SH공사 동대문주거복지센터장이 14일 오전 관내 임대주택 거주 노인들에게 치매통합관리 서비스를 제공하는 업무협약을 체결했다. /사진제공=SH공사
SH공사는 공사 동대문주거복지센터와 동대문구 치매지원센터가 동대문구 내 임대주택에 거주하는 노인들에게 '치매통합관리 서비스'를 제공하는 내용의 업무협약을 체결했다고 14일 밝혔다.
협약에 따라 두 기관은 임대주택에 거주하는 만 60세 이상(1956년 이전 출생자) 노인들에게 조기 치매진단 검진서비스와 치매 정밀진단을 무상으로 제공한다. 치매 환자에게는 치료비와 치매시설 입원을 지원한다. 동대문구 치매지원센터는 현재 운영 중인 '뇌 건강프로그램'과 '기억키움학교'를 임대주택 거주 어르신들을 대상으로 확대할 예정이다.
SH공사는 업무 협약 성과에 따라 치매통합관리 서비스를 시 모든 임대주택으로 확대한다는 방침이다.
김보곤 SH공사 동대문주거복지센터장은 ""이번 협약으로 임대주택에 거주하는 어르신들의 만성노인성 질환을 지속적으로 관리해 꾸준히 건강을 유지할 수 있도록 지원할 것""이라고 말했다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ]
[부자들에게 배우는 성공 노하우 '줄리아 투자노트'  ]
[내 삶을 바꾸는 정치뉴스 'the 300']
[CEO의 삶을 바꾼 '내 인생 최고의 조언' ]
[아찔한 girl~ 레이싱모델 핫포토 ]
김사무엘 기자 samuel@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0003613354
동대문구 이문동에 140명 수용 울진학사 개관,2017.02.24,"23일 이문동서 개관식…울진군, 교육비 부담 경감?지역인재 육성 위해 건립
[아시아경제 박종일 기자] 동대문구(구청장 유덕열)는 23일 오후 2시 이문동(이문로 172)에서 울진학사 개관식이 열렸다고 밝혔다.
이날 행사에는 유덕열 동대문구청장을 비롯한 동대문구 관계자들과 임광원 울진군수, 울진군 관계자 등 150여명이 참석했다.
경북 울진군에서는 안정적인 주거 공간 제공을 통해 울진군 출신의 수도권 소재 대학생들의 교육비 부담을 줄이고 지역 인재를 육성하기 위해 울진학사 건립을 추진해 왔다.
울진학사 개관식
연면적 2992㎡, 지하 1, 지상 16층 규모로 140명을 수용할 수 있다(1인 1실).
유덕열 동대문구청장은 “울진학사의 개관을 축하드리고 동대문구를 방문하신 울진군 관계자 분들과 울진학사의 번영을 기원한다”며 “이번 울진학사 개관을 시작으로 울진군과 동대문구의 우호 교류가 계속되기를 바란다”고 말했다.
박종일 기자 dream@asiae.co.kr
▶ 세상의 모든 재미 [티잼]
▶ 맛있는 레시피
▶ 양낙규의 [군사이야기]
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003939627
