제목,날짜,본문,URL
방배동 쓰레기장의 '변신은 무죄'…주민쉼터 공간 '탈바꿈',2024.06.23,"체비지 쉼터공간 조성 후 모습
도심 속 방치됐던 체비지(환지처분 제외 땅)가 안전하고 쾌적한 주민쉼터 공간으로 변신했다.
서울 서초구는 쓰레기 무단투기 등 쓰레기장으로 변했던 방배동 458-9번지를 주민들을 위한 쉼터 공간으로 새롭게 조성했다고 23일 밝혔다.
이곳은 환지처분에서 제외된 시유재산으로, 가림막이 설치돼 오랜 기간 주민들의 출입이 통제됐다. 또 전봇대 설치, 좁고 긴 부지 형태 등으로 공간 활용이 어려웠다. 이에 서초구는 주민 의견을 수렴해 해당 부지를 개방해 주민들이 편하게 이용할 수 있는 공간으로 조성했다.
올해 1월부터 약 한 달간 인근 주민을 대상으로 설문조사를 진행한 결과, 주민쉼터 조성에 96.3%의 찬성률을 얻었다. 두 달간의 공사를 마무리하고 주민쉼터 공간을 마련했다. 허리돌리기, 온몸근육풀기, 체스트프레스 등 다양한 운동을 할 수 있는 운동시설을 설치했다. 파고라(그늘막) 등 주민 휴게공간을 조성했다.
한편 서초구는 관리가 어려웠던 체비지 등을 주민들을 위한 공간으로 만들기 위해 노력하고 있다. 올해 3월 서초동 1323-9번지 일대에 20여년간 불법으로 무단으로 점유했던 시설에 대해 행정 대집행을 실시하고, 주민쉼터 공간을 조성 중이다.
전성수 서초구청장은 ""앞으로도 지역 주민들과의 소통을 통해 깨끗하고 안전하게 체비지 등을 관리해, 주민들을 위한 공간으로 조성할 수 있도록 노력을 기울이겠다""고 말했다.",https://n.news.naver.com/article/008/0005054157
"""서울 서초·강동 아파트 6억 떨어졌다"".. 깡통 전세 우려까지",2022.12.10,"지난 9일 서울 남산에서 바라본 한강 주변 아파트 모습. 연합뉴스
서울 서초구, 강동구의 아파트 가격이 6억원 이상 급락해 네티즌들의 눈길을 끌고 있다.
10일 국토교통부 실거래가 공개시스템에 따르면 서울시 서초구 서초동 ‘롯데캐슬클래식’ 전용 74.3㎡는 지난달 16일 18억원에 거래됐다. 올해 4월 같은 주택형이 24억2500만원으로 최고가를 찍었을 당시 6억2500만원이 하락한 것이다. 불과 7개월 만에 집값이 크게 떨어진 셈이다.
해당 아파트는 경부고속도로 반포IC 인근으로, 서울 지하철 9호선 신논현역과 2호선 강남역 사이에 위치해 있어 이른바 더블역세권에 해당함에도 하락세를 피하지 못한 것이다.
이 같은 흐름은 강동구에서도 포착된다. 강동구 암사동 ‘롯데캐슬퍼스트’ 84.98㎡는 지난달 23일 10억원에 거래됐다. 작년 6월 동일한 주택형이 16억원으로 최고가를 기록했던 것을 감안하면 1년 5개월 만에 6억원이 빠져 38% 가량 하락세를 보였다.
특히 전세 최고가가 9억2000만원이었던 점에서 ‘깡통 전세’가 우려된다. '깡통 전세'는 전세가가 매매가보다 높아 세입자가 전세보증금을 돌려받지 못할 우려가 있는 상황을 말한다. 해당 아파트는 서울 지하철 5호선 명일역까지 걸어서 10분 정도면 가는 역세권이다.
이 같은 사례들은 온라인 커뮤니티 MLBPARK, 디씨인사이드 부동산 갤러리 등에 공유되면서 네티즌들의 관심을 받고 있다.",https://n.news.naver.com/article/014/0004940273
"""덮개공원 불허"" 한강변 재건축 제동에 서울시 ""공공성 충분"" 반박",2024.12.23,"반포주공 1단지 등 한강변 재건축 기부채납시설 논란
환경부 산하 한강청 ""민간단지 주민만 수혜"" 설치불허
서울시 ""공공성 충분한 논의 거쳐, 긴밀협의·신속추진""
반포 덮개공원 조감도/사진-서울시
서울 서초구 반포주공 1단지 등 한강변 주요 재건축 사업이 기부채납시설 설치 규제 논란에 휩싸인 가운데 서울시가 관계기관과 긴밀히 협의해 신속히 사업을 추진하겠다고 밝혔다.
한강변 재건축 단지 상당수가 한강변과 연결되는 덮개공원, 입체보행교 조성 등 기부채납시설 설치를 조건으로 인허가를 받았는데, 환경부 산하 한강유역환경청(한강청)이 최근 공공성 부족과 한강 보전 등의 이유로 뒤늦게 반대에 나서면서 사업에 제동이 걸린 상황이다.
서울시는 23일 반포·압구정 등 재건축 정비사업 과정에서 추진 중인 덮개공원 등 한강 연계시설에 대해 ""충분한 공공성을 갖추고 있다""며 ""시설 허가 및 착공뿐 아니라 공사 과정 전반에서 한강청과 협의에 최선을 다할 것""이라고 밝혔다.
서울시에 따르면, 반포 덮개공원은 모든 시민이 한강에 쉽게 접근할 수 있도록 연계성을 강화하는 시설로 지난 2017년 정비계획 수립 과정에서 시 도시계획위원회 심의에서 공공성 논의를 거쳤다고 한다.
당시 도계위는 △덮개공원 끝단 한강 조망명소 신설 △반포지역생활권 중심에 배치해 이용자 활용 증대 △한강공원으로의 보행 접근성 향상 등을 요구했다. 이에 따라 2017년 이런 요구를 반영한 정비계획이 수립됐으며 지난 6월 선정된 공모전 당선작에도 관련 내용이 반영됐다는 게 시의 설명이다.
서울시 관계자는 ""2020년 4월 한강청(당시 서울지방국토관리청)에서 수립한 '한강(팔당댐~하구) 하천기본계획'도 한강과 도시의 연계 증진을 위한 방안으로 도로 상부공원 조성 등을 명시하고 있다""며 ""반포 덮개공원은 한강청에서 제시하는 하천기본계획에도 부합하는 계획""이라고 강조했다.
하지만 한강청은 지난 7월 서초구의 사업시행계획 협의 요청에 ""시설의 주 수혜자가 민간 아파트 단지 주민이므로 공공성이 있다고 보기 어렵다""며 시설 설치 불가 의견을 통보했다. 이후 서울시가 한강청을 방문한 지난 10월과 11월 협의에선 ""시설 설치 허용 여부는 실시설계안이 제출되면 공공성 확보, 유수흐름 지장 최소화, 공사로 인한 제방 구조물 충격 최소화 등을 고려해 검토·판단이 가능하다""는 의견을 줬다고 한다.
하지만 한강청은 지난달 26일 서울시에 ""일반인 이용이 가능하더라도 덮개공원 등 시설의 최대 수혜자는 민간 아파트단지 주민""이라며 ""공공성이 있다고 보기 어려워 설치를 불허한다""는 입장을 전달했다.
그러자 서울시는 지난 19일 ""2017년 이후 지금까지 실시설계 도서 작성 후 협의하자는 의견을 갑자기 설치 불가로 변경해 주민 혼란과 조합에 피해가 우려되는 상황""이라며 ""공공성 부족의 우려가 없고 유수의 흐름에 지장을 최소화 하는 등 기술적 내용은 한강청의 의견을 최대한 반영하겠다""는 내용의 협조 공문을 발송했다.
반포주공 1단지(1·2·4주구) 재건축 조합도 덮개공원 설치 불허로 재건축 사업에 제동이 걸릴 경우 설계비 약 110억, 사업지연에 따른 금융비 약 1700억 등의 손실이 불가피하다는 공문을 한강청에 보냈다.
한병용 서울시 주택실장은 ""덮개공원 등 한강 연계시설의 공공성은 시 도시계획위원회에서 충분한 논의를 거쳤다""며 ""이제 와서 논란이 되는 것은 매우 유감""이라고 밝혔다. 그러면서 ""시민들이 한강을 더 가깝게 느낄 수 있도록 조성하는 시설인 만큼 한강청과 계속 소통하면서 원활한 사업 추진을 위해 필요한 부분은 적극 협조할 것""이라고 말했다.",https://n.news.naver.com/article/008/0005132376
"방배13구역, 최고 22층 2217가구",2024.05.15,"4호선 길음역세권에 574가구
서울 서초구 방배13구역에 지상 22층, 2217가구 규모 아파트가 들어선다. 15일 서울시는 제10차 건축위원회에서 '방배13구역 단독주택재건축사업'과 '길음역 역세권 주택 및 공공임대주택사업' 등 2건이 건축심의를 통과했다고 밝혔다.
지하철 2호선 방배역 인근 방배13구역 단독주택 재건축은 30개동 지하 4층~지상 22층 규모로 주택 2217가구(공공 375가구·분양 1842가구)와 부대복리시설이 들어선다. 건축위원회는 해당 사업지를 특별건축구역으로 지정해 매봉재산과 우면산 등 주변 자연과 도시경관을 고려한 주동을 배치하고, 인근 산지와 스카이라인을 고려해 단지 높이 계획을 수립했다. 또 공공보행통로를 통해 단지 내외부를 연결하는 열린 가로공간을 계획하고, 보행로 변으로 커뮤니티시설을 집중 배치해 주거 환경 개선 및 지역 활성화를 유도했다. 지하철 4호선 길음역 인근 '길음역 역세권 주택 및 공공임대주택' 사업은 7개동 지하 7층~지상 29층 규모로, 공동주택 574가구(공공 115가구·분양 459가구)와 부대복리시설등이 들어선다.
[김유신 기자]",https://n.news.naver.com/article/009/0005303740
"방배 판자촌 성뒤마을, 최고 20층 1천가구로",2024.03.25,"서울시, 지구계획 변경 추진
기존 7층 800가구 계획서
평균 15층 안팎으로 탈바꿈
분양 500가구보다 더 늘어
하반기에 사전청약 예고
25일 서울 서초구 방배동 고층 아파트 근처에 있는 판자촌 성뒤마을 전경.  이승환 기자
서울 강남권 판자촌 정비사업이 속도를 내고 있다. 서초구 방배동 성뒤마을은 최고 20층 안팎의 1000가구 이상 '중고층 대단지'로 바뀔 예정이다. 강남구 개포동 구룡마을도 토지에 대한 감정평가가 끝나 조만간 보상 절차를 밟는다.
25일 매일경제 취재 결과 서울시와 서울주택도시공사(SH공사)는 '성뒤마을 공공주택지구 지구계획' 변경 절차를 추진 중이다. 성뒤마을은 1970년대 강남 개발로 밀려난 이주민들이 우면산 자락에 정착해 만든 판자촌이다. 수십 년간 난개발이 이뤄진 데다 재해 위험이 커 서울시는 2017년 이곳을 공영 개발하겠다고 발표했다.
개발 가이드라인이라 불리는 지구계획은 2019년에 마련됐다. 이듬해인 2020년에는 구체적인 건축 계획안도 나왔다. 7층 높이의 공동주택 813가구를 짓는 방안으로 임대주택이 310가구, 분양주택이 503가구로 구성됐다. 제2종 일반주거지역에 속해 용적률은 160%가량이 적용됐다.
SH공사에 따르면 지난해 토지 수용과 보상 등 절차가 완료됐다. 현재 자진 이주를 독려하고 있다. 사업이 속도를 내다 보니 국토교통부는 작년에 공공주택 브랜드 '뉴홈'의 사전청약 계획을 발표하며 이곳 물량을 포함했다. 서울지하철 2·4호선 사당역이 인접한 알짜 입지에 공공분양 물량이 나오는 셈이라 높은 관심을 받았다.
당초 작년에 사전청약 접수를 할 것으로 기대됐지만, 실제 분양 물량은 올해 하반기에나 풀릴 것으로 보인다. 그 대신 공급 물량이 기존보다 많이 늘어날 것으로 전망된다. 서울시와 SH공사가 성뒤마을 공공주택지구에 대한 기존 계획을 바꾸는 작업을 진행하고 있기 때문이다. SH공사 관계자는 ""토지 자원의 효율적인 활용, 주택 공급 물량을 확보하기 위한 지구계획 변경 절차를 추진 중""이라고 말했다.
용적률을 제2종 일반주거지역에서 쓸 수 있는 최대치인 200%까지 올리는 안이 유력하다. 용적률이 늘어나는 만큼 높이도 올릴 계획이다. 기존 7층이 아닌 평균 15층 안팎의 중고층으로 짓는 방안이 검토되고 있다. 일부 랜드마크 주동은 최고 20층 내외로 높이는 데 대해 열려 있는 분위기다. 서울시 관계자는 ""성뒤마을은 약 13만㎡로 면적이 큰 만큼 토지를 최대한 효율적으로 쓰려고 한다""며 ""1000가구 이상 중고층 단지로 지을 계획""이라고 말했다.
전체 가구 수가 늘어나는 만큼 분양 물량도 기존 503가구에서 1.5배 이상 늘어날 예정이다. 다만 서울시와 SH공사는 ""통합심의위원회 심의를 거쳐야 확정되는 사안""이라며 ""현재까지는 검토 단계""라고 밝혔다. 두 기관은 오는 6월 지구계획 변경 승인을 받는 게 목표다. 이를 고려하면 공공분양 사전청약은 올해 하반기에나 가능할 것으로 예측된다.
한편 개포동 구룡마을도 정비사업에 속도를 내고 있다. 이곳은 1986년 아시안게임과 1988년 서울올림픽을 앞두고 서울 곳곳이 개발되며 쫓겨난 철거민들이 정착하며 형성됐다. 화재와 풍수 등 재해에 취약해 2011년부터 SH공사를 사업시행자로 하는 도시개발사업이 추진되고 있다. 서울시와 SH공사에 따르면 최근 토지에 대한 감정평가 절차가 끝나 조만간 토지 보상 절차를 시작한다. 이와 동시에 도시개발계획 변경 절차를 밟는다. 앞서 서울시는 2020년 구룡마을에 2838가구를 공급하겠다고 발표했다. 서울시가 일부 땅의 용도지역을 제3종 일반주거지역으로 상향하는 방안을 검토하고 있어 앞으로 더 많은 주택이 공급될 것으로 보인다. 최고 높이 35층 이상, 3600가구 안팎 아파트도 충분히 지을 수 있는 것이다.
[이희수 기자]",https://n.news.naver.com/article/009/0005277893
"'물만난 현금부자들' 서초구 신고가 찍고, 증여 늘었다",2022.11.07,"자금여력 있는 부자들, 투자여건 더 좋아져
서울 서초구 반포주공1단지 전경 /fnDB
[파이낸셜뉴스] 최근 거래절벽을 보이는 부동산 시장에서 현금 부자들은 '물만난 고기'가 됐다. 서울 서초구에서는 연일 신고가 거래 소식이 들리고 또 하락장을 틈타 자녀에게 증여를 통해 세금을 줄이는 사례도 늘고있다.
거래절벽에도.. 서초구 셋 중 하나는 신고가
7일 국토교통부 실거래가 자료에 따르면 9~10월 두 달간 서초구에서 매매된 아파트 31건 중 9건은 신고가 거래로 나타났다.
지난 6월1일 66억원(5층)에 매매됐던 반포주공1단지 전용면적 140.13㎡는 9월3일 71억5000만원에 매매되면서 신고가를 기록했다. 9월 6일에는 73억원에 매매되면서 신고가를 또 한 번 경신했다. 9월까지만 해도 15억 초과 아파트 구입시 대출이 불가능했다.
서초구 반포동 래미안퍼스티지 전용 115.65㎡는 9월 21일 49억3000만원(17층)에 매매되면서 신고가를 기록했다. 직전 최고가는 지난해 2월22일 매매된 41억4000만원(20층)이다. 서초동 주상복합아파트인 현대슈퍼빌 전용 164.87㎡는 지난달 14일 30억 원에 매매됐다. 같은 면적이 지난해 11월12일 27억5000만원에 거래됐는데 1년이 채 안 돼 2억5000만원이 뛴 것이다.
서초구의 선방은 한강변 아파트와 재건축 단지들이 주도하고 있다.
강남구가 토지거래허가구역으로 묶이면서 상대적으로 서초구에 수요가 몰리는 영향도 있다는 분석이다. 실제로 서초구는 강남3구 중 집값 하락 전환이 가장 늦었고 하락폭도 적다. 한국부동산원에 따르면 올해 1~9월 서울의 아파트 매매가격은 1.67% 하락했다. 강남지역에서는 송파가 -1.71%로 가장 많이 떨어졌고, 강남도 0.37% 하락했다. 반면 서초는 0.33% 상승했다. 최근 두 달간 아파트값 변동률을 살펴봐도 송파는 2.18% 떨어지고, 강남도 1.09% 하락했지만 서초는 0.66% 하락에 그쳤다.
""떨어졌을 때 물려주자"" 증여 거래도 증가 추세
법원 등기정보광장에 따르면 지난 1년간 매달 7~8%를 오가던 부동산 증여 거래가 전체 거래에서 차지하는 비중도 지난달 10%로 뛰었다.
내년부터 취득세를 산정하는 기준이 기준시가에서 시가로 바뀌는 것이 증여 비중이 커진 이유로 분석되고 있다. 기준시가는 통상적으로 시세의 60~70% 수준으로 증여 취득세를 시가로 산정하면 세액이 늘어날 수밖에 없어서다. 또 내년부터는 '양도세 이월과세'가 적용되는 기간이 5년에서 10년으로 늘어나는 것도 영향을 미쳤다. 이월과세 적용 기간이 지난 뒤 양도해야 절세할 수 있는데 이 기간이 길어지기 때문에 그 전에 미리 증여를 마치겠다는 것.
아울러 가격 하락기에 급매로 파는 것보다 증여를 해서 증여세를 줄이는 '절세의 적기'라는 판단이다.
이은형 건설정책연구원 연구위원은 ""대출규제 강화 등으로 거래가 위축된 상황에서 금리 인상같은 외부요인이 더해지면 지역별 양극화가 심화된다. 이는 수요와 선호가 몰리는 곳은 가격이 유지되거나 오르고 반대인 곳은 그렇지 못하기 때문""이라며 ""자금여력이 있다면 투자여건은 오히려 더 좋아졌다. 정부의 부동산 시장 연착륙을 목표로 획기적인 규제완화와 함께 서울, 수도권의 규제지역 해제 등이 실행된다면 주요 지역을 중심으로 가격에 반영될 것""이라고 말했다.
#증여 #서초구 #현금부자 #신고가",https://n.news.naver.com/article/014/0004923934
"서초구, 20년 이상된 빌라 주거환경 개선에 최대 2000만원 지원",2025.04.14,"서초구청 CI/사진=서초구청
서울 서초구청은 노후화된 소규모 공동주택의 주거환경 개선과 주민 안전 강화를 위해 '2025년 소규모 공동주택 관리 지원사업'을 본격 추진한다고 14일 밝혔다.
신청 기간은 오는 6월 30일까지며, 예산 소진 시까지 선착순으로 접수한다.
서초구청은 지난 3월 제정한 소규모 공동주택지원조례로 이곳의 주거환경 개선을 돕는다. 조례 제정 이전에는 소규모 공동주택이 제도 지원의 사각지대에 있었다.
구체적으로 총 사업비의 80% 이내에서 최대 2000만원까지 주거환경 개선비용을 지원한다. 지원 대상은 사용승인일로부터 20년 이상 경과한 30세대 미만의 다세대주택, 연립주택, 소규모 아파트다. 정비구역으로 지정된 지역은 지원 대상이 아니다. 지원 항목은 △옥외시설물(석축, 옹벽, 담장 등)의 보수공사 △수목 가지치기(수형 조절, 위험 예방) △단지 내 도로 보수 등이다. 이미 한 번 지원을 받은 곳은 3년 내 중복지원을 받지 못하게 해 보다 많은 주민이 혜택을 볼 전망이다.",https://n.news.naver.com/article/008/0005179881
'주민 85% 동의' 방배15구역 재건축 급물살…추진위 '승인',2023.04.11,"방배15구역 재건축 추진위원회 사무실/사진=김평화 기자
서울시 서초구 방배15구역 재건축에 가속도가 붙었다. 최근 서초구청에서 승인을 받은 재건축 정비사업조합설립추진위원회(추진위)는 연내 조합설립을 마치고 내년 상반기 중 시공사를 선정한다는 계획이다.
11일 정비업계에 따르면 서초구청은 지난 6일 방배15구역(방배동 528-3번지 일대) 재건축 추진위 설립 승인을 통보했다. 추진위는 김석근 위원장을 중심으로 구역 내 토지 소유자 85%의 동의를 확보했다. 도시및주거환경정비법에 따른 동의율 요건(50%)을 훌쩍 뛰어넘은 것이다.
앞서 서울시는 지난해 9월8일 방배15구역을 정비구역으로 지정고시했다. 면적은 8만4934㎡다. 이곳에는 건폐율 21.8%·용적률 239%가 각각 적용된다. 지하 2층~지상 25층 아파트 1688세대(임대 310세대 포함, 변동 가능)와 부대복리시설 등이 들어설 예정이다.
이 구역에는 1종 일반주거지역과 2종 일반주거지역(7층 이하)이 혼재돼 있었다. 토지용도의 한계로 사업성이 떨어진다는 평가를 받아왔다. 하지만 종상향에 성공하며 재건축이 급물살을 탔다.
추진위는 올해 상반기 중 주민총회를 열고 정비업체와 설계업체, 감정평가법인 등을 선정할 계획이다. 연내 조합 설립을 완료하고, 내년 상반기 중 시공사까지 선정한다는 목표다.
방배15구역은 서울 지하철 2·4호선 사당역과 4·7호선 이수역 사이에 위치했다. 이수초, 이수중, 동덕여중, 서면여중·고, 상문고, 서울고 등이 인접했다.
김석근 위원장은 ""2주만에 주민 동의율 75%를 넘겼는데, 주민들과의 신뢰가 쌓인 덕""이라며 ""준비는 다 돼있고, 마음같아선 추석 전에 창립총회를 하고 싶다""고 말했다.",https://n.news.naver.com/article/008/0004873405
개포우성6차·신반포27차 재건축 정비계획 결정,2020.11.05,"개포 417가구·신반포 210가구 규모
개포우성6차 재건축 위치도(서울시 제공). © 뉴스1
(서울=뉴스1) 이철 기자 = 서울 강남구 개포동 개포우성6차 재건축이 확정됐다. 서초구 잠원동 신반포27차 아파트, 반포동 효성빌라도 재건축 정비구역으로 지정됐다.
서울시는 지난 4일 도시계획위원회를 개최하고 이들 주택에 대한 정비계획 수립·지정 안건을 처리했다고 5일 밝혔다.
우선 개포동 658-1 일대 개포우성6차 아파트는 양재대로와 구룡산 인근에 위치했으며 1987년 준공됐다. 이 단지는 재건축을 통해 최고 25층, 용적률 249.99%, 417가구(공공임대 22가구 포함)의 공동주택 단지로 지어진다.
서울시는 ""향후 양재대로 및 구룡산과 관련한 경관을 고려하고 인근 개포시영 신축아파트 및 지역사회와 소통할 수 있도록 특별건축구역 대안으로 수정가결했다""고 설명했다.
서초구 반포아파트지구 개발기본계획 및 신반포27차아파트 재건축 정비계획 결정변경안은 '조건부 가결'됐다. 서초구 잠원동 56 일대 신반포27차아파트는 1985년 준공한 노후아파트로 기존 가구수는 156가구다. 이번 변경안 가결로 최고 28층(최대높이 88m), 210가구규모로 건설된다. 이 중 33가구는 공공임대주택이다.
서울시는 ""임대주택 건립계획은 조합과 지속적인 협의를 통해 공공임대주택 건설 및 사회혼합(소셜믹스) 취지에 맞게 변경됐다""면서 ""이번 결정으로 향후 신반포27차 재건축사업이 탄력을 받을 것""이라고 말했다.
이외에 효성빌라 정비구역 지정 및 정비계획안도 '조건부 가결'됐다. 서초구 반포동 591-1 효성빌라는 제1종일반주거지역으로 1984년 준공된 노후 연립주택 단지다. 서울시는 주변 고저차를 고려한 조화로운 높이 계획안을 수립하는 조건으로 정비계획안을 가결했다.
이에 따라 효성빌라는 조건부 사항을 반영해 향후 정비구역 지정 고시, 조합설립인가, 사업시행계획인가 등을 거쳐 최고 4층, 용적률 150%이하의 공동주택 단지로 재건축된다.
iron@news1.kr
▶ 네이버 메인에서 [뉴스1] 구독하기!
▶  뉴스1 바로가기
▶  코로나19 뉴스
© 뉴스1코리아(
news1.kr
), 무단 전재 및 재배포 금지",https://n.news.naver.com/article/421/0004971882
"서초구 ""재건축부담금 산정방식 손질해야""",2018.07.25,"[머니투데이 유엄식 기자] [조합원 부담금 배분 방식 등 5개 분야 개선안 국토부에 건의]
지난 5월 재건축 부담금 예정액이 통보된 서초구 반포현대아파트 전경. /사진제공=뉴시스
서초구청이 재건축 부담금 산정방식을 개선해야 한다는 입장을 밝혔다. 주택가격 상승률, 단지 규모 등을 반영해야 한다는게 골자다.
정부 재건축초과이익 환수제 시행 이후 최초로 납부 추정액이 공개된 서초구 반포현대 아파트는 1개 동 재건축임에도 1억원이 넘는 부담금이 통보돼 주민들의 불안이 확산되는 분위기다.
서초구는 25일  ""국토부의 재건축 초과이익 환수를 위한 부담금 예정액 산정방식이 구체적 기준이 없어 현장에서 적용에 무리가 있다""며 ""부담금 산정 관련 5개 개선안을 국토부에 건의했다""고 밝혔다.
국토부에 건의한 내용은 △종료시점 주택가액(조합원주택가액) 예정액 산정시 단지 규모, 위치 등 고려해 인근시세 반영 △공시가액 비율의 개시시점(추진위 승인일)과 종료시점(준공인가일) 차등 두지 말고 동일 적용 △주택가격 상승률 적용시 ‘현재 예정액 산정 시점에서 과거 10년까지 평균상승률 적용 △주택매입시기 및 가격, 상가 및 주택, 1주택 실소유거주자 등 보호를 위한 부담금 배분의 구체적 기준 마련 등이다.
조은희 구청장은 ""현재 국토부 매뉴얼은 조합원 주택가격 산정시 구체적 기준 없이 막연히 인근시세를 반영한다""며 ""이러다보니 부담금 결정액이 둘쑥날쑥하게 된다""고 말했다. 이어 ""단지 규모, 조망권, 역세권, 준공 시기 등을 비교할 수 있도록 인근시세 보정률 산정 기준이 명시돼야 한다""고 지적했다.
일례로 반포현대 아파트 인근시세 조사시 조합은 주변 4개 단지를, 서초구는 5개 단지를, 국토부는 7개 단지를 대상으로 각각 조사하는 등 통일된 기준이 없었다는 설명이다.
서초구는 또 구체적인 초과이익 산출방식도 종료시점(준공인가일)에 적용되는 공시가격 시세 반영률에 따라 크게 달라져 실제 초과이익 산출에도 문제가 있다고 지적했다.
부담금 산정 기준이 되는 평균가격 상승률도 최근 가격이 급등한 2~3년이 아니라 과거 10년간 평균상승률로 범위를 넓혀 현실적으로 부담금이 산정되도록 해야 한다는게 서초구의 입장이다. 서초구는 이와 함께 1주택자 부담금 감면 혜택 부여 방안도 제안했다.
서초구는 향후 관내 재건축초과이익 환수제 적용단지에 대해 부담금 산정시 전문업체에 용역을 주는 방안도 구상하고 있다.
조 구청장은 “기존 국토부 매뉴얼이 다소 막연하여 부담금 산정에 어려움이 있었다”며“이번에 전문가 등 자문단의 의견을 토대로 건의한 현장의 목소리가 반영 될 것으로 기대한다 ”고 말했다.
▶더 많은 머니투데이 기사보기
▶실시간 급상승 기사
▶'MT리포트'가 새로 발행되었습니다
유엄식 기자 usyoo@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004082944
