제목,날짜,본문,URL
장위1구역 촉진계획 변경안 통과…문화체육시설 들어서,2023.06.21,"위치도(서울시 제공)
(서울=뉴스1) 김도엽 기자 = 서울시는 지난 20일 제5차 서울특별시 도시재정비위원회를 열고 성북구 장위동 144-24번지 일대 장위1 재정비촉진구역에 대한 촉진계획 변경(안)을 원안가결했다고 21일 밝혔다.
이번에 통과된 촉진계획은 지난 2019년7월 장위재정비촉진지구 일부 구역의 제척으로 인해 장위1구역으로 결정됐던 한천로 개설 계획이 지난 2022년7월 장위14구역으로 변경됨에 따라, 장위1구역의 구역외 기부채납 시설 계획을 삭제하는 내용이 담겼다.
또 한천로 개설을 위해 공공공지에서 획지로 변경했던 획지1-3을 공공에서 환원해 도시계획시설(문화시설)로 변경했다.
성북구는 지역에 필요한 연면적 3000㎡ 규모의 문화체육시설 (어린이소극장, 다목적체육관 등) 설치를 계획하고 있다.",https://n.news.naver.com/article/421/0006878562
"성북구, 50억원 투자해 성북천 고품격 힐링 상권으로 만든다",2023.02.14,"[헤럴드경제=최정호 기자]서울 성북구(구청장 이승로)가 약 50억원을 투입해 성북천길 상권 육성에 나선다.
서울시가 추진하는 ‘수변활력거점 조성 공모사업’에 성북천길이 선정된 것의 후속 조치다. 성북구는 서울시 지원 사업비 30억원 외에도 구 자체 재원을 더해 약 50억원을 투자, 성북천을 도심 속 고품격 힐링 상권으로 조성한다.
성북구는 총2.5㎞에 이르는 성북천에 수변광장과 지역의 인적·물적자원과 특색을 반영한 특화거리를 조성, 수변에 연접한 도시 연계공간까지 지역활력을 유도한다는 방침이다.
성북천은 1960~90년대 도시개발로 복개되었다가 2010년대 들어서 청계천과 함께 자연형 하천으로 복원된 바 있다. 하지만 협소한 수변 배후지로 대부분 산책로와 자전거도로 등의 단순 기능만 제공해왔다.
성북구는 앞으로 3년여 동안 성북천의 지리적 이점과 잠재력을 바탕으로 지역상권 및 문화예술인 거버넌스 등의 지역자원을 연계, 성북천만의 특색을 살려간다는 계획이다. 성북천 물길은 서울 도심부(종로 혜화동)와 한양도성길, 북한산, 성북동으로부터 성북구와 동대문구 청계천으로 이어지고, 종로를 찾는 관광객이 도보로 단절 없이 서울 중심부를 돌아 볼 수 있어 천혜의 수변관광길로 손꼽힌다.
주민이 원하는 수변감성도시를 실현하기 위해 설계 공모와 주민의견수렴 등을 통해 사업을 구체화할 예정이다. 주민이 모이고 머무르고 소통하는 거점공간을 강화하고 수변 물길을 따라 각종 문화예술 컨텐츠와 힐링을 누릴 수 있는 수변공간을 위한 경관개선과 인프라 확충안 등을 담은 마스터플랜 수립에 박차를 가하고 있다.
이승로 성북구청장은 “성북천은 그 자체로 역사성을 품은 매력적인 수변공간이자 지역 활력의 가능성을 가진 전통과 미래변화가 공존하는 공간”이라며 “이번 성북천 수변활력사업을 계기로 성북구민의 일상에서 더욱 친밀하고 활력 넘치는 수변공간이 될 수 있도록 조속히 사업을 추진하겠다”라고 밝혔다.",https://n.news.naver.com/article/016/0002103461
재난위험시설 '정릉 스카이'일대 재개발구역 해제,2016.06.02,"【서울=뉴시스】이승주 기자 = 서울시에서 가장 오래돼 재난위험 시설로 분류된 '정릉 스카이연립주택' 일대 재개발 사업이 중단된다.
서울시는 도시계획위원회를 열고 성북구 정릉동 894번지 일대 7만9828㎡규모의 '정릉 제3·8구역'을 주택재개발 정비예정구역에서 해제한다고 2일 밝혔다.
이곳은 지난 2004년 6월25일 재개발지역으로 지정됐으나 사실상 정비사업이 추진되지 않아 이번에 재개발구역에서 해제됐다.
서울시 관계자는 ""주민의견을 취합해 도시재생사업이나 주거환경관리사업 등의 방식으로 재정비할 계획""이라 밝혔다.
joo47@newsis.com
★ 세상에 이런일이 -  칼에 14번 찔리고 버려진 아기 새 삶 찾아
★ 오늘의 핫 포토 -  야구 여신 박기량, 콜라병 몸매 드러낸 래시가드룩
★ 뉴시스 뉴스, 이젠 네이버 뉴스 스탠드에서도 만나세요
★ 손 안에서 보는 세상, 모바일 뉴시스
<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",https://n.news.naver.com/article/003/0007265821
미아사거리역 신길음1구역에 112세대 공급,2021.12.22,"제12차 도시재정비위원회 개최
공공주택 112세대 주택 공급
[이데일리 신수정 기자] 미아사거리역 인근의 실길음1구역에 공동주택 112세대가 들어선다.
길음동 31-1번지 일대 위치도. (사진=서울시)
서울시는 지난 21일 제12차 서울특별시 도시재정비위원회를 개최하고, 미아사거리역(지하철 4호선)에 인접한 성북구 길음동 31-1 일대 신길음1구역에 대한 재정비촉진계획 변경(안)을 수정가결로 통과시켰다고 밝혔다.
대상지는 미아중심 재정비촉진지구 내 일반상업지역으로, 주거기능과 비주거기능이 복합된 주상복합 형태로 지어질 예정이다.
주택공급을 확대해나가고 있는 서울시 정책기조를 반영해 주거비율을 50%에서 90%로 완화해 총 410세대의 공동주택이 들어선다. 이 중 112세대는 공공주택으로, 다양한 수요를 고려해 소형평형(60㎡이하)과 중형평형(84㎡)으로 평형을 다양화했다.
또한 분양세대와 임대세대를 구분하지 않는 사회적 혼합배치로 공공주택에 대한 차별을 완화할 예정이다. 비주거용도(9113㎡)에는 판매시설이 들어선다.
사업지 내 지하철 출입구를 신설해 미아사거리역 지하철 4호선과 동북선 경전철로 연결되는 등 지역주민의 대중교통 이용이 편리해질 전망이다.
김성보 서울시 주택정책실장은 “도심 내 주택 공급이 빠르게 이루어지면 주택시장 안정화에 기여할 것으로 보고 있다”며 “이번 결정으로 미아사거리역 교통 이용 여건과 도시환경이 개선돼 지역발전에 기여할 것으로 기대한다”고 밝혔다.",https://n.news.naver.com/article/018/0005111442
성북구 장위4구역 2800가구…`제로에너지빌딩` 도전,2016.01.13,"제로에너지빌딩 시범사업 선정된 천호동 가로주택 정비사업지 조감도 [출처: 서울시]
국토교통부와 서울시가 함께 추진하는 ‘제로에너지빌딩 시범사업’이 본격 추진된다.
양 기관은 지난 2014년부터 TF 등 협업을 통해 선정한 대상지 2곳을 본 사업의 조기 활성화와 민간 분야 확산을 위해 건물 설계 단계부터 추진한다고 13일 밝혔다.
‘제로에너지빌딩’은 단열 성능을 극대화해 에너지 사용량을 최소화하고 태양광 발전 등 신재생 에너지를 활용해 냉·난방, 조명, 환기 등 생활에 필요한 에너지를 자급자족하는 건물이다.
첫 대상지는 서울 성북구 장위4구역 재개발 사업(2840가구)으로 서울시는 이 단지에 △고성능 창호·건물외피 △단지용 건축물에너지관리시스템(BEMS) △대규모 단지에서 경제적인 지열 냉난방 시스템 등을 도입해 일상생활에 필요한 에너지를 자급자족할 수 있는 단지로 조성, 대규모 공동주택으로는 최초로 에너지효율 최고 수준인 1+++ 등급에 도전한다는 계획이다.
41가구 규모의 노후주택을 107가구로 늘려 저층형 공동주택으로 재건축하는 천호동 가로주택정비사업지에도 제로에너지빌딩이 추진된다. 이 단지는 용적률 완화(200%→230%)로 층수를 1~2층 높일 수 있도록 인센티브를 제공해 경제성을 확보하고, 독일 등 유럽국가에서 흔히 볼 수 있는 패시브(passive) 건축 기준(외단열, 열교차단, 고효율 창호) 등을 준용해 에너지 비용을 최대 80%까지 줄일 예정이다.
시에 따르면 제로에너비빌딩 시범사업으로 선정된 두 곳 모두 현재 정비사업 조합 설립을 완료한 상태이며, ‘장위4구역 주택재개발정비사업’은 2017년, ’천호동 가로주택정비사업‘은 올 연말에 착공에 들어간다.
이와 함께 두 대상지는 국토부, 서울시, GS건설, 정비사업 조합 등 사업 관계자, 한국건설기술연구원, 한국에너지공단과 6자간 업무협력 협약에 따라 △신재생에너지 설치보조금(설치비 30~50%) 우선지원 △용적률 15% 상향 △세제감면 등의 관계부처로부터 포괄지원을 받게 되며, 제로에너지빌딩 지원센터(건설기술연구원, 에너지관리공단)를 통해 설계검토, 컨설팅, 기술지원, 품질관리 등 체계적 관리와 지원이 이뤄진다.
[디지털뉴스국 조성신 기자]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",https://n.news.naver.com/article/009/0003663380
성북동 역사문화지구에 미술관 건립된다,2018.03.29,"[머니투데이 박치현 기자] [제4차 도시·건축공동위원회 심의 조건부로 통과…건폐율 40% 이하, 높이 2층 이하]
성북동 역사문화지구에 세워질 미술관 위치도. /사진제공=서울시
서울 성북동 역사문화지구 일대에 미술관을 짓는 안건이 서울시 도시·건축공동위원회(도건위) 심의를 조건부로 통과했다.
서울시는 제4차 도건위에서 '성북동 역사문화지구 지구단위계획구역 내 문화시설(미술관) 건립 계획(안)을 '조건부 가결'했다고 29일 밝혔다.
안건은 성북구 성북동 285번지 외 12필지(2945㎡)에 미술관을 짓는 것이다. 건축물의 건폐율을 40% 이하, 높이를 2층(11m) 이하로 한다는 조건이다.
대상지는 민간 사찰로 사용됐던 부지로 2011년 납골당 조성이 무산된 뒤 방치돼 왔다. 이번 결정으로 지하 3층~지상 2층 규모의 미술관 건립이 가능해진다.
성북동 역사문화지구 미술관 조감도. /사진제공=서울시
▶황사 속 미세먼지는 1급 발암물질…""마스크만이 살 길""
▶'데드라인' 닥친 한국GM·금타...노조 '결단'에 달렸다
▶블록체인의 모든 것 A~Z
박치현 기자 wittgen@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004030099
"성북 돈암6구역, 889가구 아파트로… 재개발 건축심의 통과",2021.05.14,"성북 돈암6구역 재개발 사업 위치도. /사진제공=서울시
서울시는 지난 11일 제8차 건축위원회를 개최해 성북구 돈암동 48-29번지 일대 성북구 돈암6구역 주택정비형 재개발사업 건축계획안을 통과시켰다고 14일 밝혔다.
단지는 대지면적 3만2892㎡ 부지에 건폐율 22.93%, 용적률 269.41%를 적용, 지하 5층~지상 최고 25층 13개 동, 36~112㎡(이하 전용면적) 889가구 규모로 조성된다. 부대복리시설(4439.97㎡) 및 근린생활시설(1789.97㎡)도 계획됐다. 사업부지는 지하철 4호선 길음역에서 직선거리 약 400m 정도에 위치하고 주변에 매원초 등 초·중·고가 있다.
단지 내에는 동·서측을 관통하는 공공보행통로 2개소를 계획해 인근 주민을 포함한 시민들 누구나 편리하게 통행할 수 있도록 했다. 또 최대 20m 이상 고저차가 발생하는 불리한 입지임에도 곳곳에 외부 엘리베이터를 설치(10개소)해 노약자·장애인도 어려움 없이 보행이 가능하도록 계획했다.
동소문로변에 근린생활시설을 포함한 중저층 건축물을 배치해 도시경관에 어울리는 가로순응형 계획을 수립하고 가로활성화를 유도했다.
전체 889가구 가운데 임대주택은 161가구(36㎡ 46가구, 43㎡ 42가구, 59㎡ 73가구)다. 59㎡ 이하 소형 평형은 임대와 분양 비율을 50대 50으로 하고 형태와 마감재 등도 동일하게 적용하는 등 적극적인 소셜믹스를 도입했다.
김성보 서울시 주택건축본부장은 ""앞으로 시 건축위원회 심의를 통해 시민들에게 양질의 공동주택을 스피디하게 공급하고, 적극적인 소셜믹스를 통해 서로 존중받으면서 공존하고 상생하는 주택정책을 시행하겠다""고 말했다.
강수지 기자 joy822@mt.co.kr
▶뜨거운 증시, 오늘의 특징주는?
▶여론확인 '머니S설문'
▶머니S, 네이버 메인에서 보세요
<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/417/0000693529
"서울 성북구, 노후 상가아파트 문화적 가치 재조명",2018.06.07,"[이데일리 정병묵 기자] 서울 성북구는 일반 건축물에 비해 관심이 낮은 상가아파트의 가치를 조명하는 ‘공동의 기억, 상가아파트 4개의 시선’ 행사를 오는 14일 동소문로3길 ‘성북예술가압장’에서 연다고 7일 밝혔다.
구는 주민과 한 시기를 함께 했으나 현재 사용 용도를 다해 곧 사라질 공간에 대한 리서치와 아카이브를 진행하고 있다.
상가아파트를 둘러싼 다양한 시선을 가진 다양한 분야의 전문가들과 함께 이야기하는 자리를 준비했다. 14일에는 재건축을 앞둔 둔촌주공아파트에 대한 기록을 남기는 계간지 ‘안녕, 둔촌주공아파트’의 이인규 편집장, 근대 건축문화 리서치를 진행하는 스페이스빔의 민운기 대표, 정수인 서울역사박물관 학예사 등이 대담한다.
성북구의 상가아파트는 1960년대 후반부터 1970년에 걸쳐 집중 건설됐다. 새석관시장, 삼선상가 아파트, 성북상가 아파트, 숭인시장 등이 대표적이다. 상당수는 재건축돼 사라졌거나, 낡아 사라질 위기에 처했지만 이에 대한 조사나 기록은 전무하다시피 한 상황이다.
성북구 관계자는 “제대로 가치를 인정받지 못하고 기록되지 못한 상가아파트를 되돌아 보고 생각을 확장할 수 있는 좋은 기회가 될 것”이라고 말했다.
정병묵 (honnezo@edaily.co.kr)
최신 웹툰이 매일 공짜... 꿀잼 '웹툰'
[감상하기▶]
6·13 지방선거, '선거판 한 눈에 보기'
[바로가기▶]
20대의 힐링을 위한 놀이터 '스냅타임'
[놀러가기▶]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004120445
"서울 마포·성북구, 신흥 명문학군 떠올랐다",2019.11.18,"최근 2년 고교진학 현황 분석해보니…
전통의 강남3구·양천 등에 이어 합격자 비율 높아
신축 아파트 들어서고 교습학원 늘어난 영향
최근 자사·외고 폐지 방침에 우수학군 지역 인기
교육부의 자율형 사립고와 외고 폐지, 정시 확대 등 방침으로 학군 우수지역이 재조명받는 가운데 서울 마포구와 성북구가 신흥 명문 학군 지역으로 떠오르고 있다. 최근 2년간 이 지역의 과학고와 영재학교 합격자 비율이 증가하는 등 학력 수준이 높아지고 있기 때문인 것으로 분석됐다.
18일 부동산114가 종로학원하늘교육의 ‘2018~2019학년도 고교 진학현황 자료’를 분석한 결과 2년간 서울 구별 과학고·영재학교 합격자 비율은 △강남(1.5%) △서초(1.3%) △광진(0.9%) △노원(0.9%) △송파(0.8%) △양천(0.8%) △마포(0.7%) △동작(0.7%) 순으로 조사됐다.
이중 전통적 우수학군으로 꼽히는 상위 6개 지역을 제외하면 최근 2년간 가장 두각을 나타낸 지역은 마포구다. 마포구는 2011~2017학년도까지는 과학고·영재학교 합격자 비율이 평균 0.3%에 머물렀지만 2018학년도에 0.8%로 오른 후 2019학년도에도 비슷한 수준을 유지하면서 신흥 우수 학군으로 편입됐다.
성북구도 2011~2017학년도에는 합격자 비율이 평균 0.3% 수준이었으나 2018년 0.6%로 2배 증가한 후, 올해도 비슷한 추이를 보였다.
두 지역 학생들의 학력 수준이 높아진 데에는 신축 아파트들이 대거 입주한 영향이 크다고 부동산114는 분석했다. 마포구에서는 아현동과 염리동 등 재개발로 2014~2015년 마포래미안푸르지오를 비롯해 총 8162가구가 입주했고, 2016년 이후에도 연평균 1200여 가구가 신규 입주하는 등 대규모 주거이동이 이뤄졌다. 새아파트가 늘면서 11월 현재 마포구 아파트 가구당 평균매매가격은 약 9억3000만원으로, 서울시 평균 약 8억9000만원보다 높다.
성북구는 길음, 장위뉴타운 개발이 이어지면서 2017년 1699가구, 올해 6343가구가 입주했다. 새 아파트 증가로 성북구 아파트 가구당 평균매매가격은 2017년 약 4억5000만원에서 올해 11월 약 6억원으로 1억5000만원 정도 올랐다. 고가 새아파트에 소득 수준과 교육열이 높은 중산층이 대거 입주하면서 자연스럽게 자녀의 학력 수준도 높아진 것으로 보인다.
지역 내 대형 입시학원을 중심으로 교습학원(주: 입시검정 및 보습·국제화·예능·특수교육·종합학원 등)이 늘어나는 점도 학력 수준을 높인 원인으로 지목된다. 서울시교육청의 서울시 사설학원 통계에 따르면, 2015년 대비 올해 마포구와 성북구의 학교 교과 교습학원 수는 각각 49개, 20개 증가했다. 대표 학군지역인 강남, 양천의 학원 수 증가세와 유사한 모습이다. 학원가 인근으로 교육열 높은 수요가 이주해오면서 학력 수준을 전반적으로 끌어올렸다고 볼 수 있다.
부동산114 관계자는 ""우리나라 주택시장은 교육환경과 밀접한 관련이 있다""며 ""방학이 시작되고 주택수요가 본격적으로 움직이는 12월 말부터 2월까지 학군 지역의 집값이 더욱 강세를 보일 것으로 예상된다""고 했다.
[백윤미 기자 yum@chosunbiz.com]
chosunbiz.com
[
조선비즈 창간 10주년 기획 '다시쓰다 도시3.0' 기사 보러가기
]
[
네이버 메인에서 조선비즈 받아보기
]
[
조선비즈 바로가기
]",https://n.news.naver.com/article/366/0000450360
마포 신수2·성북 정릉 506 재건축 정비구역 풀려,2021.01.21,"건축 행위제한 풀려
신수2구역 위치도 [자료 제공 = 서울시]
서울시는 20일 제1차 도시계획위원회를 열고 마포구 신수2구역과 성북구 정릉 506 일대 단독주택재건축 정비구역 해제안을 원안가결했다고 21일 밝혔다.
이는 지난해 도시계획위원회에서 일몰 기한 연장 자문이 받아들여지지 않은 데 따른 것이다.
성북구 정릉동 506일대 위치도 [자료 제공 = 서울시]
해당 구역은 추진위원회 승인 후 주민 의견 대립으로 2년 넘게 조합설립인가를 신청하지 못해 지난해 3월 기준 일몰제를 적용받았다.
이 구역은 해제 고시 이후 건축물 신축·대수선 등 행위제한이 풀릴 전망이다. 서울시 관계자는 ""주민 다수가 원할 경우 주거환경관리사업, 가로주택정비사업, 소규모재건축, 도시재생사업 등 대안사업 검토가 가능하다""고 했다.
[이축복 기자]
▶ 네이버 메인에서 '매일경제'를 받아보세요
▶ 궁금한 제조과정 영상으로 보세요. '이렇게 만들죠'
▶ 아파트 살까 청약할까. 여기서 확인하세요. '매부리tv'
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",https://n.news.naver.com/article/009/0004736868
