제목,날짜,본문,URL
이촌동 고밀아파트도 재건축길 열려...재개발 두배 넓어진다,2024.03.27,"서울시, 재개발·재건축 2대 사업지원안
현황용적률 인정...최대 120%까지 부여
접도율 4m에서 6m로 완화, 재개발 가능
세대수·지가·과밀정도 고려, 사업성 보전
유창수 서울시 행정2부시장이 27일 오전 서울시청 청사에서 열린 ‘서울시 재개발·재건축 활성화 방안’에 대한 기자설명회에서 관련 발언을 하고 있다. 이상섭 기자
서울시가 27일 ‘재개발·재건축 2대 사업지원 방안’을 내놓으면서 그간 사업성 또는 기본적인 요건 때문에 정비사업이 불가능했던 지역들이 대거 ‘재개발·재건축 가능단지’로 편입되게 됐다.
서울시 관계자는 “신속통합기획, 재건축 3대 규제 철폐 등을 통해 10년간 중단됐던 정비사업의 물꼬가 어느 정도 트였지만 사업성 부족으로 정비사업 문턱조차 이르지 못한 곳까지 아우르는 지원책이 필요하다”며 대책을 마련한 배경을 설명했다.
이날 발표를 통해 시는 일부 노후 아파트들의 현재 건축물대장상 기재된 용적률(현황용적률)을 인정하고, 법적상한용적률의 최대 120%까지 가능토록 추가용적률을 부여키로 했다.
이를 통해 서울시 용산구 이촌동 리모델링 추진단지들이 대거 재건축도 가능하게 될 것으로 전망된다.
동부이촌동은 국내에서 처음으로 아파트촌이 만들어진 곳이다. 재건축 용적률이 완화됐던 1990년도 중반에 지어졌던 아파트들이 많아서 한가람 등 많은 아파트들이 재건축 보다 리모델링을 선택해 왔다.
한가람 아파트는 용적률이 358%에 이르고, 한강대우는 355%, 이촌 우성은 322%, 이촌코오롱은 317%, 이촌강촌은 339% 수준이다. 이에 시는 건립 당시 적용받았던 현황용적률 즉 현재의 용적률을 최대한 인정해 주기로 했으며 향후 기본계획 변경을 통해 재건축 각각의 ‘현황용적률 적용산식’ 등 세부기준을 마련할 예정이다.
현황용적률을 시가 인정해주면서 북한산 자락 등 현재의 용적률이 높아 재개발이 불가능한 지역들도 사업성이 크게 높아질 것으로 보인다. 이들 지역은 2004년 1·2·3종으로 종세분화가 되면서 용적률 150%를 적용받는 1종 일반주거지역으로 지정돼 있다. 하지만 이미 그보다 높은 용적률로 지어진 동네들이 대부분이다.
유창수 서울시 행정2부시장은 이날 발표에서 “2004년도 이전에 일반주거지역 용적률이 400%까지 지어진 곳들이 있다”면서 “그 때 지어진 다세대 다가구 아파트 단지들은 지금 용적률 체계와 맞지 않다. 현황용적률을 최대한 인정해서 재개발 재건축이 가속화할 수 있도록 하겠다”고 밝혔다.
접도율 기준을 현행 4m에서 ‘’6m 미만‘으로 완화하는 내용도 서울 시내 재개발 가능 면적을 두배 이상 늘려놓을 것으로 전망된다.
접도율이란 정비기반시설 부족여부를 판단하는 지표로, 현재는 폭 4m 이상 도로에 길이 4m 이상 접한 대지의 건축물 총수를 정비구역 내 건축물 총수로 나눈 비율이다.
재개발 구역으로 지정되는 요건은 접도율 40% 이하다. 즉 좁은 골목길 안쪽 집이 전체의 60% 이상이어야 한다는 얘기다.
즉 열악한 주거 환경을 개선하는게 취지인 정비사업에 있어 4m~6m 도로는 열악한 주거환경에 해당하지 않는다고 판단해 왔으나, 이번에 이를 6m 미만의 도로에 접한 집들까지도 모두 열악한 주거환경으로 보겠다는 의미다.
접도율을 완화함으로써 심각하게 노후했음에도 불구하고 그동안 재개발이 어려웠던 ‘토지구획정리사업 시행지구(1960~80년대)’도 주민 의사에 따라 정비할 수 있게 된다.
서울시 관계자는 “과거 재개발은 옥수동, 창신동, 숭인동 등 일반 차도 다닐 수 없을 정도의 도로 수준일 때 가능했다”면서 “하지만 소방차가 이동하기 위해서는 6미터의 도로는 필요하다”고 설명했다. 그러면서 “접도율이 완화되면서 현재는 재개발이 불가능한 면목동, 중곡동 등 빌라촌들이 재개발이 가능해 질 것으로 내다보인다”덧붙였다.
접도요건이 완화 됐을 때 서울 시내 재개발 가능 면적은 484만㎡에서 1190만㎡로 대폭 늘어날 전망이다. 이 밖에도 사업성이 부족한 단지들에 대해서는 기존 세대수·지가·과밀 정도 등이 고려된 ‘사업성 보정계수’를 적용해 현재 10~20% 수준인 허용용적률 인센티브 범위‘를 20~40%까지 늘려 사업성을 보전해 줄 계획이다. 사업성 보정계수란 상대적으로 높은 분양수익을 기대하기 어려운 지역에서 사업성을 높여줄 수 있도록 지가·기존 주택규모·과밀 정도 등을 보정하기 위한 숫자다.
예를 들어 ‘기준용적률 210%에 허용용적률 20%’인 3종 지역에 보정계수를 최대(2)로 넣으면 허용용적률이 40%까지 올라 분양주택이 최대 10%포인트(275%→285%) 늘어나고 임대주택은 10%(25%→15%)줄어들게 된다.
사업성 확보에서 중요한 요건인 공공기여 부담도 낮춰준다. 공공기여 부담은 낮추고 기부채납 인센티브는 상향시켜서 사업성을 개선하겠다는 것이다. 예를 들면 현재 1종일반주거지역에서 2종일반주고지역으로 상향시키면 공공기여 15% 부담하는데 이걸 10%로 동일화 시키겠다는 것이다.
유 부시장은 “사업성이 좋은 지역은 현행 제도 안에서 정비가 자연스럽게 이뤄져 왔지만 기존에 현황용적률이 높은 단지는 공사비 급등까지 덮치면서 동력을 잃고 그 불편을 시민이 오롯이 감내해 왔다”며 “이번 지원방안을 통해 침체된 건설경기에 활력을 불어넣고, 노후 주거지 개선의 길을 열어주어 쾌적한 주거환경을 제공해 나갈 것”이라고 말했다. 서영상·박자연 기자",https://n.news.naver.com/article/016/0002286427
"용산구, 도시재정비 계획 수립 위한 용역 추진…이달 입찰공고",2023.02.22,"정비예정구역에 대해 선제적 정비계획 수립
빙창 빗물펌프장과 삼각맨션 주변 등 대상지
[이데일리 이윤화 기자] 서울 용산구가 장기간 미개발된 정비예정구역에 대해 구청장이 직접 정비계획을 수립할 수 있도록 ‘정비구역 지정 용역’을 추진한다고 22일 밝혔다.
삼각맨션 일대. (사진=용산구)
정비구역 지정 대상지는 빙창 빗물펌프장 주변과 삼각맨션 일대다. 협소한 도로나 건물 노후화 등으로 도시정비가 시급한 지역들이다.
한강로3가 40-881번지 일대 빙창 빗물펌프장 주변은 2010년 정비예정구역으로 지정됐지만 용산 국제업무지구와 연계 개발을 검토하면서 사업추진에 제동이 걸렸다.
이에 용산구는 용산국제업무지구 개발계획이  다시 추진되는 만큼 구민 의견을 적극 반영한 정비계획을 수립, 시너지 효과를 극대화한다는 계획이다.
삼각맨션은 1970년 지어져 올해로 준공 52년이 된 노후건축물이다. 이 일대는 2016년 정비예정구역으로 지정됐다. 조속한 정비가 필요한 지역이나 구역면적의 41% 가량을 소유한 한국전력공사가 사업에 참여하지 않아 장기간 사업 속도를 내지 못했다.
노후화된 공동주택으로 안전위험이 있는 만큼 용역을 통해 선제적인 정비계획을 수립, 사업 추진에 동력을 더한다. 신속한 도시정비로 주변 상권의 활성화도 도모한다.
김선수 용산구청장 권한대행은 “쾌적하고 편안한 도시환경 조성을 위해 선제적으로 정비계획 수립에 나섰다”며 “국제업무지구를 비롯해 주변 개발계획과 발맞춰 미개발 지역들이 차질 없이 재정비되도록 행정적 지원을 아끼지 않겠다”고 말했다.
용산구는 2월 중 용역 입찰공고를 시작으로 용역업체 선정, 정비계획을 수립한다. 이후 용역결과를 바탕으로 내년까지 서울시에 대상지에 대한 정비구역 지정을 요청할 계획이다.",https://n.news.naver.com/article/018/0005429571
"용산구, 원효로4가 모아타운 관리계획 용역…2024년 서울시 승인 추진",2023.06.28,"서울 용산구 원효로 4가 모아타운 대상지 위치도/사진제공=용산구
서울 용산구가 모아타운(소규모주택정비 관리지역) 대상지에 선정된 원효로4가 71 일대에 대한 관리계획 수립 용역을 추진한다고 28일 밝혔다.
원효로4가 71 일대는 한강시민공원 주변에 위치한 7층 이하 제2종 일반주거지역으로 구역면적은 약 2만4962㎡ 규모다.
소규모주택정비 관리지역을 의미하는 '모아타운'은 신축과 구축 건물이 혼재돼 대규모 재개발이 어려운 10만㎡ 이내 노후 저층 주거지를 하나의 그룹으로 모아 체계적인 정비를 통해 양질의 주택과 다양한 편의시설을 확충하는 지역 단위의 정비방식이다.
구는 오는 7월 중 관리계획 수립 용역을 착수한다. 이후 수립된 관리계획안을 주민의견 청취, 서울시 통합심의 등의 절차를 거쳐 2024년에 관리계획이 승인될 수 있도록 진행한다는 계획이다.
이번 용역을 통해 토지이용계획, 정비기반시설·공동이용시설 설치계획, 건축물 활용계획 등 부문별 계획을 수립한다. 또한 모아타운 관리계획 수립 및 관련 행정절차를 이행하기 위한 구체적인 방안도 마련한다.
원효로4가 모아타운 대상지는 노후 저층 주택이 밀집한 지역으로 도로 폭이 협소하고 정비기반시설이 열악해 주택정비사업에 대한 주민 요구가 많았다. 이에 서울시는 지난해 10월 해당구역을 모아타운 대상지로 선정했다.
박희영 용산구청장은 ""원효로4가 71 일대 노후 저층 주거지의 열악한 주거환경을 적극적으로 개선해 나갈 것""이라며 ""모아타운의 취지에 맞게 서울시 등 관계기관과 협력해 사업이 신속하게 마무리될 수 있도록 지원하겠다""고 말했다.",https://n.news.naver.com/article/008/0004904918
"용산구, 남산 소월로  보행특화거리로 재단장",2023.02.16,"[헤럴드경제=최정호 기자]서울 용산구(권한대행 김선수)가 서울역, 후암동, 해방촌, 경리단길, 한남동과 머리를 맞대고 있는 남산 중턱 둘레길 소월로를 오는 4월까지 보행특화거리로 재단장 한다.
용산2가동 주민센터에서 서울그랜드하얏트호텔을 잇는 총 길이 1269m 구간으로, 용산구는 토목, 배수, 포장 공사에 총 사업비 10억원을 투입한다.
2021년 소월로 보행특화거리 조성을 위한 실시설계를 완료하고 지난해 11월 측구 경계석 철거를 시작했다. 올해 1월에는 원활한 배수를 위해 ‘L형 측구’를 재설치하고 빗물받이 33개를 교체했다.
이달 말에는 보도블록 교체를 시작한다. 노후 불투수(소형고압)블록을 걷어내고 투수(콘크리트가공)블록을 설치하는 작업이다.
용산구 관계자는 “소월로에 설치된 블록은 시공된 지 십수년이 흘러 교체가 시급했다”며 “올해 시비를 추가 확보해 이번 사업구간 길 건너편도 재단장할 계획”이라고 전했다.
또 소월로 일대 노후 가로등(92등), 보행등(92등)을 LED로 교체해 야간통행 안전도 확보했다. 보행지장물 최소화를 위해 남산맨션, 남산공원 교차로에는 가로등과 신호등, 교통신호기를 통합 설치했다.
김선수 구청장 권한대행은 “소월길은 구민은 물론 남산을 찾는 관광객들에게 큰 사랑을 받고 있다”며 “누구나 안전하게 통행할 수 있는 산책로가 잘 정비될 수 있도록 차질 없이 공사를 마무리 하겠다”고 전했다.",https://n.news.naver.com/article/016/0002104688
"이태원로, 용산공원 연계해 보행 활성화…관광특구 역할 살린다",2021.07.29,"서울시, 도건위 열고 이태원로 주변 지구단위계획 재정비
서울 용산구 이태원로가 용산공원과 연계해 보행가로를 활성화한다. 용산공원 조망경관을 확보하기 위해 가로변에는 저층 상가를 유지한다.
서울시는 28일 제13차 도시·건축공동위원회를 열고 이태원로 주변 지구단위계획을 이 같이 재정비했다고 29일 밝혔다.
해당 구역은 지하철 6호선 녹사평역~이태원역~한강진역 사이의 이태원역 주변지역이다. 서측에 용산공원, 남측에 한남재정비촉진지구가 있고 퀴논거리와 세계음식문화거리 등 상가와 음식점이 밀집된 특화거리로 다양한 이국적 문화가 공존하고 있다.
시는 이번 재정비를 통해 2012년 지구단위계획을 결정한 이후 인접한 한남재정비촉진구역 일부가 해제됨에 따라 환원된 지역과 추가 편입된 지역에 대한 관리계획을 마련했다. 이들 지역은 과도한 획지계획을 최소화 해 자율적 공동개발이 가능하도록 할 계획이다.
이와 함께 녹사평대로 동측변에 위치한 용산공원에 대한 조망경관을 확보하기 위해 건축물 가이드라인을 마련했다. 특화가로변에는 저층 상가를 유지하고 보행환경을 개선하기 위해 부설주차장 설치기준도 완화했다.
서울시 관계자는 ""이번 재정비를 통해 이태원 고유의 지역특성을 유지하면서 향후 조성되는 용산공원과 연계해 가로경관를 개선하고 보행가로를 활성화할 계획""이라며 ""활력있는 관광특구로서 역할을 할 것으로 기대한다""고 밝혔다.",https://n.news.naver.com/article/277/0004945414
"'용산 개발 신호탄' 한남3구역, 뉴타운지정 20년 만에 관리처분 인가 [집슐랭]",2023.06.22,"용산구청, 22일 한남3구역 관처계획 인가
2003년 한남뉴타운 지정 이후 20년만
[서울경제]
서울 용산구 한남3재정비촉진구역(한남3구역)이 관리처분계획 인가를 받았다. 올해 상가 분양가를 두고 일부 조합원들과 이견이 벌어지면서 소송이 벌어지는 등 부침이 많았지만 지난달 가처분 결정이 취소되고 신청이 기각된 이후 사업이 탄력을 받으면서 연내 이주가 가능할 전망이다.
용산구청은 한남3구역 주택재개발정비사업 관리처분계획을 인가하고 23일자 구보에 고시한다고 22일 밝혔다. 2019년 3월 사업시행계획인가를 받은지 약 4년3개월 만이다.
한남3구역은 서울 용산구 한남동 686번지 일원에 아파트 5816가구(임대 876가구)를 짓는 총사업비만 8조 3000억 원 규모인 역대급 재개발 사업이다. 용도지역은 제1종~제3종 일반주거지역 및 준주거지역이며 건폐율 42.09%, 용적률 232.47%가 적용된다.
분양주택은 총 4940세대로 전용면적 기준 △54㎡형 3세대 △59㎡형 2138세대 △84㎡형 1851세대 △118㎡형 648세대 △132㎡형 135세대 △141㎡형 15세대 △151㎡형 150세대로 구성된다. 임대주택은 876세대다. 토지 등 소유자에게 4069세대를 공급하고, 일반분양은 831세대가 나온다. 나머지 40세대는 보류시설로 설정했다. 이르면 올해 10월부터 이주를 시작할 예정이며 이주 완료 후 기존 건축물 철거를 진행하게 된다.
이 곳은 2003년 한남뉴타운으로 지정된 후에도 사업이 지지부진했으나 2021년 선거를 통해 새 조합이 들어선 뒤 속도전을 벌여왔다. 그러다 지난 2월 상가 분양가를 두고 일부 조합원들이 법원에 신청한 가처분이 인용되면서 사업이 두 달여간 중단됐다. 이후 법원이 지난달 26일 가처분 결정을 취소하고 신청을 기각하면서 사업이 다시 탄력을 받고 있다. 조합은 현재 본안소송에 대해 2차 변론을 준비하고 있으며 이르면 10월께 선고 기일이 잡힐 것으로 예상하고 있다.
박희영 용산구청장은 ""한남촉진지구는 용산개발의 핵심축이며 이 중 한남3구역은 사업부지 약 12만 평, 사업비만 3조 원이 넘는 역대 최대 규모의 재개발사업지로 용산구의 도시 미래상을 제시할 개발사업""이라며 ""신속한 사업 추진으로 주변 한강 및 남산과 어우러지는 고품격 주거타운이 조성되도록 지원할 것""이라고 말했다.",https://n.news.naver.com/article/011/0004204981
'한남2구역' 수주전 과열…부재자 투표 중단까지,2022.11.02,"롯데건설 측 ""무단 침입 대우건설 즉 직원 발각""
대우건설 측 ""해프닝이다""
올 하반기 서울 정비사업 최대어로 평가되는 용산구 한남2구역 재개발을 둘러싼 대우건설과 롯데건설의 수주전이 과열 양상을 보이고 있다.ⓒ서울시정비사업정보몽땅
[데일리안 = 배수람 기자] 올 하반기 서울 정비사업 최대어로 평가되는 용산구 한남2구역 재개발을 둘러싼 대우건설과 롯데건설의 수주전이 과열 양상을 보이고 있다.
시공사 선정 총회를 앞두고 진행된 부재자 투표는 오전 한때 중단되는 사태까지 발생했다.
2일 정비업계 등에 따르면 이날 오전 9시부터 진행된 한남2 시공사 선정 부재자 투표가 한 차례 중단됐다.
이날 롯데건설은 ""투표 30분 전부터 롯데건설과 대우건설 양사 직원 각 1명씩 배석했는데, 이때 신원이 확인된 양사 직원 외 무단 침입해 있던 대우건설 측 직원이 조합 관계 직원에게 발각됐다""며 ""이는 붋법행위""라고 목소리를 높였다.
롯데건설에 따르면 해당 직원은 발각되기 전까지 부재자 투표 용지에 접근, 자리를 옮겨가며 조합원 개인정보가 담긴 조합 컴퓨터에서 6명의 투표를 보며 전산 작업을 진행했다. 이에 경찰까지 출동했다.
부재자 투표는 9시 20분부터 10시 40분까지 중단됐다가 다시 재개됐다. 롯데건설 측은 건설산업기본법, 개인정보보호법, 형법 등을 위반했다며 대우건설에 해명을 요구한단 방침이다.
이에 대해 대우건설은 곧장 사실이 아니라며 반박했다. 대우건설은 ""금일 부재자 투표가 진행되는 조합사무실의 비좁은 도로상황을 고려해 주차안내를 하고 몸이 불편하신 어르신들을 부축해드리기 위해 일일 아르바이트 직원을 준비했다""고 설명했다.
대우건설에 따르면 이 아르바이트 직원은 8시까지 조합에 방문했고, 조합직원이 해당 직원을 조합에서 고용한 직원으로 착각, 주변 정리와 단순 업무를 지시했다. 경찰 출동 후 조사가 완료됐고, 단순한 해프닝으로 종결됐다는 입장이다.
대우건설은 ""롯데건설이 주장하는 것처럼 대우건설 직원이 부재자 투표장에 잠입한 사실은 일체 없으며 단순 해프닝을 과장해 허위 사실을 유포 및 흑색 선전으로 일관한다""며 ""총회를 3일 앞둔 부재자 투표 당일 조합 명부를 빼돌리기 위해 투표 전 사무실로 직원을 투입시켰단 주장은 억측이자 음해""라고 강조했다.
대우건설은 조합 사무실 내 설치된 CCTV 내용을 조합에 공개해 달라고 요청한 상태다.
한편 한남2구역은 용산구 보광동 273-3번지 일대 11만4580㎡ 부지에 아파트 31개동, 1537가구를 새로 짓는 사업이다. 총사업비는 1조원에 달하며 일반분양 비율이 45% 정도로 사업성이 높다고 평가된다.",https://n.news.naver.com/article/119/0002654299
한남·청파·원효·후암까지…용산에 부는 '공공재개발' 열풍,2020.10.15,"[머니투데이 이소은 기자]
/사진제공=청파동1가 공공재개발 추진위
서울 용산구에 공공재개발 열풍이 불고 있다. 가장 먼저 공모신청서를 접수한 한남1구역을 비롯해 청파동1가, 원효로1가 등이 추진위원회를 구성하고 동의서를 징구 중이다. 최근에는 후암동까지 구청에 공공재개발 관련 문의를 하며 관심을 보이고 있다.
━
청파동1가·원효로1가 동의서 징구 중
━
14일 정비업계에 따르면 용산구 청파동1가 공공재개발 추진위원회는 공공재개발 공모 신청을 위해 지난 9일부터 주민 동의서를 걷고 있다. 공모에 신청하려면 해당 구역 주민(토지 소유자) 동의율 10%을 넘겨야 하며 공모신청서, 사업계획서, 주거정비지수 검토자료 등을 제출해야 한다.
추진위 측은 ""지난 9월 초 청파동 일대를 공공재개발 사업에 참여시켜 달라는 공문을 임시위원장 명의로 용산구청에 제출했고 9월 말 용산구청에서 회신을 받았다""고 밝혔다.
이번에 공모 신청을 준비 중인 구역은 지구단위계획 포함지역 및 청파1구역을 제외한 청파동1가 일대다. 추진위는 현재 전체 소유주 현황을 파악하지 못한 상황인 만큼 동의서 200개를 목표로 접수를 받고 있다.
원효로1가 소유주들도 공공재개발사업 추진을 위한 연합회를 구성해 지난 3일부터 동의서를 우편으로 접수 받고 있다. 원효로1가 공공재개발은 개발제한구역 중 사업지역, 신축 빌라를 제외한 지역을 대상으로 추진한다.
동의서 징구를 위한 우편물 제작·발송, 홍보 지원 등에 지원되는 인력을 위한 후원금도 받고 있다. 현재 추진위 공동 대표 3인은 1인당 100만원의 특별후원금을 납부한 상태다. 최근에는 공공재개발 준비를 위한 자원봉사자도 모집했다.
━
한남1구역 공모 신청…후암동도 관심
━
용산구에서 가장 먼저 공공재개발을 추진하고 나선 구역은 한남1구역이다. 공공재개발 공모 첫날이었던 지난달 21일 가장 먼저 용산구청에 공모 신청서를 제출했다. 한남뉴타운 내에서 유일하게 사업이 무산된 구역으로 2018년 3월 정비구역에서 해제된 곳이다.
이와 더불어 최근 후암동 특별계획구역도 용산구청에 공공재개발 문의를 한 사실이 알려졌다. 이 구역은 2010년 특별계획구역으로 지정됐으나 지난 5월까지 사업이 추진되지 못하면서 지구단위계획구역으로 환원됐다. 현재 용산구가 특별계획구역 연장을 위한 재정비용역에 착수했고 개발행위허가제한 지역으로 지정·고시한 상태다.
━
대규모 개발로 배후주택 수요 증가 예상
━
용산구 일대는 앞서 여러차례 재개발 사업이 좌초된 바 있다. 용산 정비창 부지를 용산국제업무지구로 개발하는 사업은 2008년 금융위기 이후 지지부진해 졌으며 후암동 특별계획구역 역시 사업성 부족 등으로 무산됐다. 고 박원순 서울시장 취임 이후부터는 도시재생으로 선회했고 재개발 기대감이 꺾이면서 청파동, 원효로 일대는 노후 빌라 밀집 지역에 머물렀다.
그러다 최근 정부가 용산정비창 부지에 8000가구 규모의 복합개발 계획을 거론하면서 정비사업의 필요성이 다시 수면 위로 떠올랐다.
청파동의 한 소유주는 ""용산 정비창부지, 서울역 북부역세권 개발 등으로 일자리가 증가하면 배후 주택 수요가 늘 것으로 예상된다""며 ""용산구에 양질의 주택공급을 통해서만 균형 있는 개발이 이뤄질 수 있다""고 주장했다.
한편 오는 11월 4일 공모가 마감되는 공공재개발에는 현재 한남1구역, 성북1구역, 장위9구역 등이 공모 신청서를 낸 상태다. 국토부는 공모 마감 후 사업지의 적합성을 분석해 기존 정비구역의 경우 연내, 신규구역은 내년 3월까지 시범사업지를 선정한다는 계획이다.
이소은 기자 luckysso@mt.co.kr
▶부동산 투자는 [부릿지]
▶조 변호사의 가정상담소
▶줄리아 투자노트
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004484378
“용산국제업무지구 개발 계획 2월 발표”,2024.01.25,"오세훈 시장 용산구 신년회
녹지·입체교통도시 등 비전
오세훈 시장
오세훈 서울시장이 25일 “용산국제업무지구에 대한 개발 계획을 2월에 발표하겠다”고 밝혔다.
오 시장은 이날 용산구 신년인사회에 참석해 “용산국제업무지구를 세계 최초, 세계 유일의 도시로 만들어야 한다”고 이같이 말했다. 그는 “도심 한복판의 가치 있는 땅이 비어 있다가 한 번에 동시 개발되는 사례는 극히 드물다”며 “이 기회를 활용해 최고의 도시를 만들지 못하면 그건 정말 후회할 일”이라고 설명했다.
용산국제업무지구는 예전 용산정비창이 있던 약 50만㎡ 용지를 개발해 조성되는 서울의 대표적인 개발 프로젝트다. 오 시장은 이날 4가지 비전도 소개됐다. △융복합국제도시 △녹지생태도시 △입체교통도시 △스마트도시다. 먼저 24시간 다양한 활동이 가능한 복합기능 도시공간을 조성한다고 했다. 오 시장은 “직장인의 사무공간, 그들이 머무는 주거공간, 즐길 수 있는 문화공간이 다 들어간 하나의 작은 자족도시를 만들 것”이라고 말했다.
지하·지상·공중이란 3중 입체 복합도시로도 개발한다. 지상도시 부분은 용산역사에 해당하는 높이다. 녹지로 덮어 보행자 중심의 공간으로 만든다. 용산공원과 한강까지 녹지네트워크를 확대할 방침이기도 하다. 또한 용산역부터 용산국제업무지구를 지나 용산전자상가까지 이어지는 공공보행통로를 함께 조성한다.
지하 공간은 총 4개 층으로 레이어를 나눴다. 지하 1층에는 지하 보행공간을 따로 만든다. 지하 2층은 루프형 지하도로, 지하 3층은 차가 다니는 도로, 지하 4층은 에너지자원 관련 시설을 넣을 계획이다.
공중에는 초고층 건물을 짓는다. 앞서 서울시는 용산정비창을 한국의 뉴욕 허드슨야드 같은 공간으로 만들겠다며 용적률을 1500% 이상도 허용하겠다 밝힌 바 있다. 오 시장도 이날 “하이테크 기업이 들어오는 국제적 도시 환경도 조성하겠다”며 “용산국제업무지구 일대를 미국 실리콘밸리와 같이 발전시킬 것”이라고 했다.
용산구는 용산 전자상가와 국제업무지구 동반 성장 바탕으로 서울의 신산업 중심지로 탈바꿈하는 것을 핵심 과제로 잡고 있다.",https://n.news.naver.com/article/009/0005250046
용산 '100층 랜드마크'…국제업무지구 생긴다,2024.06.06,"서울 용산 철도 정비창 일대를 국제업무지구로 바꾸는 작업에 속도가 붙을 전망이다.
서울시는 전날 8차 도시계획위원회를 열고 '용산국제업무지구 도시개발구역 지정 및 개발계획'을 수정해 의결했다고 6일 밝혔다.
시는 지난 2월 5일 용산 정비창에 100층 안팎의 랜드마크를 세운다는 개발 계획을 발표했다.
이 계획이 도시계획위원회에서 확정된 것으로, 본격적인 추진 발판이 마련된 셈이다.
시는 이 구역을 용도에 따라 ▲ 국제업무 ▲ 업무복합 ▲ 업무지원 등 3개 존(Zone)으로 구분했다.
국제업무존은 당초 계획으로는 3종 일반주거지역이었으나 전날 회의에서 중심상업지역으로 상향했다.
또 민간 기업이 창의적인 건축 디자인을 제안하면 도시 혁신 구역이나 특별건축구역으로 지정, 용적률을 최대 1천700%까지 적용하는 등 100층 내외의 건물이 들어설 수 있게 지원하기로 했다.
국제업무지구의 세부적인 구역은 총 20개다. 글로벌 기업이나 외국 자본의 수요에 맞는 전략을 수립하는 등 구역 규모는 유연하게 짤 계획이다.
시는 또 사업 시행으로 교통량이 늘어날 것으로 예상되는 만큼, 사업지 주변과 외곽에 도로를 개선하고 대중교통 기능을 높이는 내용의 광역교통개선대책을 마련했다. 이 대책은 국토교통부 광역교통위원회의 심의를 거쳐 최종 확정된다.
아울러 교통영향 평가를 기반으로 이 구역의 교통 수요를 관리, 대중교통의 수송 분담률을 70%까지 높이기로 했다.
시는 전날 의결된 내용을 반영해 7월 중 용산국제업무지구 도시개발구역 지정 및 개발계획을 고시할 예정이다.
내년에는 실시계획 인가를 내고 착공하는 게 목표다.
시는 그동안 코레일, 서울주택도시공사와 협의해 개발 계획을 짰는데, 향후에도 이 협의를 이어가기로 했다.
이번 회의에서 서울 송파구 잠실동, 강남구 삼성·청담·대치동 일대에 적용되던 토지거래허가구역 규제를 푸는 안건과 서울역 인근인 중구 남대문로5가를 정비하는 안건도 논의됐으나 모두 보류됐다.
임창수 서울시 미래공간기획관은 ""10년 이상 방치돼 온 용산정비창 부지 관련, 개발 불확실성이 제거됐다""면서 ""사업이 더 탄력을 받을 것으로 기대된다""고 말했다.
(사진=연합뉴스)",https://n.news.naver.com/article/215/0001165314
