제목,날짜,본문,URL
"서울시, '수색역세권 개발사업' 첫 발",2015.07.27,"DMC역 구역 3만5000㎡ 선도사업 …서북권 광역중심지로 육성
[아시아경제 조인경 기자] 서울시가 20만㎡에 이르는 수색역세권을 서북권 광역중심지로 육성하기 위한 첫 발을 내딛는다.
서울시와 코레일은 총 4개 구역의 수색역세권 개발구역(20만7000㎡) 중 15%인 'DMC역 구역(3만5000㎡)'을 선도사업으로 추진하기로 하고, 나머지 잔여구간은 도시개발사업을 적극 검토해 추진하기로 합의했다고 27일 밝혔다.
수색역세권은 DMC역 구역(3만5000㎡), 차량기지 이전구역(6만5000㎡), 수색역 구역(3만㎡), 기타 구역(7만7000㎡) 등으로 나눠져 있다.
이 중 DMC역 구역은 오는 30일 코레일의 민간사업자 공모를 시작으로, 올 하반기 사업자 선정이 완료되면 내년부터 사전협상 등 관련절차를 본격 추진한다.
차량기지 이전구역 등 나머지 구역은 사업 준비단계인 도시개발사업 검토 방식을 용역으로 할지, 기타 다른 방식으로 할지 올 하반기 중 정할 계획이다.
이와 관련해 시와 코레일은 27일 '수색역세권 개발의 성공적 추진과 협력을 위한 양해각서'를 체결한다.
이를 통해 시는 지구단위계획 및 도시계획시설사업 관련 인·허가 절차와 공공기여 부담방안 결정 등 사전협상에 적극 협조한다는 계획이다.
코레일도 철도시설 점용과 이전에 필요한 관계기관의 협의·지원에 적극 협조하고 토지소유자이자 공동사업시행자로서 사전협상에 성실히 참여하게 된다.
수색역세권 개발계획은 상암·수색지역을 연결하는 남북 연결도로 설치와 3개 노선(경의선·공항철도·도시철도 6호선)이 통합된 복합 환승거점 조성으로 상암·수색지역을 하나의 권역으로 묶어 디지털 미디어 산업의 중심 거점으로 육성하는 것이 골자다.
진희선 서울시 도시재생본부장은 ""수색 지역과 상암 지역을 하나의 권역으로 통합, 디지털미디어산업의 중심 공간으로 육성시켜 교통, 경제, 문화가 어우러진 서북권 중심지로 도약하게 하는 전기가 될 것""이라고 말했다.
조인경 기자 ikjo@asiae.co.kr
▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""
▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003550506
"재개발·재건축 해제된 은평구 신사동 빌라촌, 주거환경관리사업 대상지로",2016.05.30,"△주거환경관리사업 대상지로 선정된 신사동 200~237번지 일대 위치도
[이데일리 정다슬 기자] 재개발·재건축해제지역인 서울시 은평구 신사동 200~237번지 일대가 토지 등 소유자 50% 이상의 사업 찬성 동의에 따라 주거환경관리사업 대상지로 30일 확정됐다.
신사동 200~237번지 일대는 단독주택과 연립주택(빌라) 등이 밀집된 지역으로 신사4 주택재개발 정비예정구역, 신사동 200번지 주택재건축 정비예정구역이 해제되면서 지난해 7월에 주거환경관리사업 후보지로 선정됐다. 이어 주민설명회, 임시주민협의체 구성 등을 거쳐 2015년 11월부터 2016년 4월까지 6개월간 주민을 대상으로 직접 의견조사를 한 결과, 토지 등 소유자 50% 이상의 찬성동의를 받았다.
은평구는 주민조사 결과, 다세대 주민의 참여의지가 높게 나타났다고 밝혔다. 아울러 지역 내 가장 취약한 부분은 주차장과 도로정비 등 기반시설정비라는 응답이 가장 많았으며 주택 상태가 가장 좋지 않은 부분에 대해서는 주택 외부공간 부족, 채광·소음 등 주거환경 미흡 등의 의견이 대부분을 차지했다.
은평구는 △보행환경 개선을 위한 기반시설 확충지원 △범죄예방환경설계(CPTED) △주택개량상담 및 융자지원 △주민공동이용시설 조성 지원 등을 통해 주거환경을 개선할 계획이라고 밝혔다. 아울러 마을공동체 활성화를 위한 총괄계획가, 전문가 파견 등 행정 지원을 할 계획이다.
구 관계자는 “은평구에서는 현재 산새마을(신사2동), 산골마을(녹번동, 응암1동), 수리마을(불광동)에서 주거환경관리사업이며 주민의 사업 만족도도 높은 편”이라며 “앞으로도 이런 주민참여형 재생사업을 재개발·재건축 해제지역을 중심으로 지속적으로 늘려가겠다”고 말했다.
정다슬 (yamye@edaily.co.kr)
[핫 클릭]  [전軍예우]군피아 앞세운 '무기중개상'… 혈세 1兆, 국가 안보 좀먹다
[핫 클릭] [르포]'전기차 무선충전 기술 개발 박차' 현대모비스 마북연구소 가보니
[핫 포토] '잠깐, 거긴 아니잖아~'  제발 내 엉덩이만은.. 난투극 현장 속으로~
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0003553580
멈춰선 불광동 민간임대…임차인은 입주? 환불?,2024.10.18,"'띠철근 누락' 사태에 시행사-시공사 갈등
""준공 승인만 앞뒀다""지만…1년째 제자리
HUG, 보증사고 처리…보증금 환급이행 중
서울 은평구 불광동의 장기 민간임대 아파트를 둘러싼 책임 공방이 치열하다. 이곳은 대우건설과 대우에스티가 시공하고 이노글로벌이 시행을 맡은 사업장이다. 시행사와 시공사가 부실시공 여부를 두고 법정 다툼을 이어가면서 공사가 중단됐다. 이달 말 감정기일이 잡혀 소송전이 본격화할 예정이다.
당초 지난해 12월 입주 예정이던 단지는 올해 7월 주택도시보증공사(HUG)로부터 보증사고 판정도 받았다. 시행사 측은 HUG가 계속사업이 아닌 환급이행을 강행하고 있다고 주장했다. HUG는 신청자에 한해 환급이행을 실시했으며 시행사에 상환요청할 예정임을 밝혔다. 남은 계약자들은 입주를 기다릴지, 환급 받을지 혼란에 빠져 있다.
은평 푸르지오 발라드 공사 현장 모습 (2023년 10월) /자료=대우에스티
시행사 ""부실시공 탓"" vs 시공사 ""준공 승인에 미협조""
'은평 푸르지오 발라드'는 서울 은평구 불광1동 일대에 최고 17층, 145가구 규모로 들어서는 장기일반 민간임대 아파트다. 10년간 전세 또는 반전세로 장기 임대한 뒤 분양전환을 선택할 수 있다. 임대계약 때 매매 예정 금액의 10%만 내고 잔금 90%를 10년 뒤 납부하는 조건으로 분양을 확정하거나, 10년 장기 임대한 후 당시 시세의 90%로 분양받는 방식이었다.
지난해 8월 임차인 모집공고에 따르면 이 단지의 준공 예정일은 그 해 11월 초였다. 전체 가구의 20%인 약 30가구가 12월부터 임차 입주를 시작할 예정이었다. 하지만 지하 주차장의 기둥 7개에서 띠철근 누락이 발견됐다. 시공사 대우에스티의 모회사인 대우건설은 ""작업자들의 오시공""이라며 ""보강 작업을 완료했다""고 밝혔다.
공사 지연 및 부실시공 여부를 둘러싸고 시행사와 시공사가 법정 공방을 벌이면서 공사는 멈춰 섰다. 시행사인 이노글로벌은 올해 1월 대우건설을 고발했다. 명백한 중대 부실시공이라며 업무방해와 명예훼손, 주택법 위반 혐의를 적용했다. 반면 대우건설은 저조한 분양률로 손실을 본 시행사가 시공 품질을 문제 삼아 준공 승인 서류에 날인하지 않는다고 주장했다.
지난해 임차인 모집 당시 임대보증금은 최고 6억2100만원(전용 59㎡) 수준이었다. 8월 1차 모집(120가구) 때 421명이 신청해 평균 3.5대 1 경쟁률을 기록했다. 10월 2차 모집(71가구)엔 185명이 접수해 평균 경쟁률이 2.6대 1이었다. 하지만 계약 포기가 이어져 실제 계약자는 30명 남짓이었다.
책임준공 미이행으로 채무를 인수한 대우건설은 약 635억원을 대위변제한 뒤 이노글로벌에 구상금 채권을 상환하라고 청구했다. 상환하지 않으면 주식 근질권을 실행하겠다고 예고했다. 이노글로벌은 이를 막고자 주식질권 실행금지 가처분을 신청했고 5월 법원이 이를 수용했다. 이에 대한 감정기일이 잡힌 게 이달 말이다.
이정규 이노글로벌 부사장은 ""분양이 안 돼서 책임을 떠넘긴다는 주장은 말이 안 된다""며 ""공사비도 준공 미이행에 따른 기성금 10%를 제외하고 90%를 지급한 상태""라고 말했다.
대우건설 관계자는 ""오래전에 공사를 마쳤음에도 시행사의 미협조로 현재까지 준공 승인을 받지 못한 상황""이라며 ""법적책임과 관련해 정식 재판이 진행 중인 사안인데 법정 밖에서 목소리를 높이는 건 적절치 않아 보인다""고 반박했다. 이어 ""시행사가 지급했다는 공사비는 시행사가 빌리고 당사가 보증을 선 대여금으로 지급한 것""이라며 ""시행사의 준공 방해로 당사가 PF 잔액 전부를 대위변제했다. 실제로는 현재까지 공사비를 못 받고 있는 것이나 마찬가지""라고 덧붙였다.
임대보증금 보증사고 안내문 /자료=HUG
""집값 올라 갈 곳 없어"" 임대이행 원하는 시행사
준공이 완료되지 못하면서 입주예정자들도 난감해졌다. 한 계약자는 은평구청 민원을 통해 ""입주도 하지 못하고 계약금도 받지 못한 채 발만 동동 구르고 있다""며 ""계약자 수가 저조하니 사업 자체를 포기하게 하려는 것 같다. 승인권자인 은평구청의 도움이 필요하다""고 토로했다. 이에 구청 관계자는 ""당사자 간 계약에 대한 내용으로 민사적으로 해결해야 하는 사항""이라고 답했다.
시행사와 시공사 간 갈등이 첨예하게 치닫자 입주 예정자들은 재판 결과를 기다릴 뿐이다. 약속한 날짜에 입주할 수 없게 돼 계약이 만료되면서 발걸음을 돌린 계약자가 20명 남짓이다. 나머지 15명 가운데 일부는 주택도시보증공사(HUG)로부터 계약금을 돌려받았고, 다른 일부는 준공 승인이 난 뒤 입주할 계획이다.
주택도시보증공사(HUG)는 지난 7월1일 자로 보증사고 처리를 결정했다. 공정률 92.7% 수준에서 시공이 6개월 이상 중단됨에 따른 조치다. HUG는 임대보증금 보증 약관에 따라 계속사업 또는 환급이행을 결정한다. 시공사가 공사를 마치거나 HUG가 사업권을 가져와 임대계약을 이행하는 방법 또는 계약자에게 보증 금액 한도만큼 되돌려주는 방법이다.
HUG는 8월19일 계약자들에게 환급이행 결정을 통보했다. 현재까지 계약자 4명이 HUG로부터 환급이행을 받았다. 이노글로벌은 계약자 대부분이 임대이행을 원하는데 HUG가 의견수렴 없이 환급이행을 강행한다고 주장했다.
이정규 부사장은 ""계약 만료된 약 20명에 대해서는 시행사 부담으로 300만원의 이사비용을 지급했다""며 ""남은 15명 중 11명은 입주하고자 한다""고 말했다. 이어 ""계약자들이 기다리는 동안 은평구 집값이 10% 이상 올랐다. 10년 뒤 분양전환을 유지하길 원하고 있다""며 ""지금 시점에서 할 수 있는 건 없지만 HUG가 향후 건물을 임의로 매각할 경우 소송을 검토할 것""이라고 덧붙였다.
반면 HUG는 계약자의 요구에 따라 환급이행을 실시했다고 반박했다. HUG 관계자는 ""보증사고 요건이 갖춰져 이행 예고를 한 뒤 시행사에 조치계획을 요청했는데 미진했다""며 ""이행청구를 한 임차인에 대해 환급이행을 실시했다. 전세 보증과 비슷한 개념으로 신청자에 한해 환급이행이 이뤄진다""고 설명했다.
이어 ""HUG는 임차인에게 돌려준 보증금을 회수하기 위해 건물을 공매할 권리를 갖게 된다""며 ""시행사가 상환요청에 응하면 공매로 넘어가지 않는다""고 부연했다.
은평 푸르지오 발라드 조감도 /자료=이노글로벌",https://n.news.naver.com/article/648/0000029848
응암3동 일대 재개발 연계 도시재생…3000가구 공급,2024.12.04,"서울시 심의 통과
2026년까지 총 74억원 투입
서울시가 서울 은평구 응암3동 다래마을 일대에 재개발을 연계한 도시재생사업을 추진한다.
주택가는 재개발을 통해 총 3000가구를 공급하고, 전통시장에는 총 74억원을 투입해 시설개선에 나서기로 했다.
응암3동 도시재생활성화지역 위치도. (제공=서울시)
서울시는 지난달 28일 제5차 도시재생위원회를 열고 응암3동 754일대 도시재생활성화계획안을 원안 가결했다고 4일 밝혔다.
대상지는 '쇠퇴 지역 균형발전'이라는 2세대 도시재생 정책에 맞춰 재개발과 도시재생 사업을 적절히 연계한다. 주택가는 재개발을 추진해 총 3000가구 대단지로 탈바꿈할 예정이다. 이 일대는 20년 이상 노후건축물이 91.2%에 이르고 가파른 경사, 협소한 도로로 주거환경이 열악하다.
더불어 유동 인구는 많지만, 시설이 노후하고 보행환경이 열악한 대림시장은 도시재생사업을 연계해 골목상권을 활성화하기로 했다. 대림골목시장에는 소방시설 확충과 소상공인 아트테리어 등 디자인 개선 지원사업을 추진한다. 대림시장에는 옥상 카페테리아를 조성하고 메인 간판 교체, 환기시설 설치, 지하 매설식 소화함 등을 설치할 예정이다. 또 공영주차장이 들어서고 소규모 공원, 복지시설, 보육시설 등 주민 편익 시설을 확보해 지역 주민들에게 제공할 계획이다.
시는 이번 계획 확정으로 2026년까지 총 74억원을 투입해 3개 분야별 마중물 사업을 추진한다.
서울시는 이 외에 가리봉 도시재생활성화 사업과 수유1동 도시재생활성화계획 변경안을 통과시켰다.
2021년 마중물 사업이 완료된 가리봉 도시재생활성화지역은 마을마당 주차장 복합시설을 철거하고 대체 시설 주차장을 신설하는 내용으로 계획안을 변경했다. 수유1동은 지역 내 주차난 해소를 위해 도시재생사업 잔여 예산을 활용, 소규모 주차장을 조성하는 내용을 담고 있다.
최재준 서울시 주거환경개선과장은 ""재개발 연계형 도시재생활성화사업이 조속히 추진되어 누구나 찾아가고 싶고 머물고 싶은 획기적 공간으로 탈바꿈될 수 있도록 지속해서 지원할 예정""이라고 말했다.",https://n.news.naver.com/article/277/0005510826
"은평구-SH공사, '서울리츠 1호 건설사업' 성공 위해 맞손",2018.10.24,"내년 상반기 완공… 하반기 운영 예정
23일 서울 은평구 은평구청 기획상황실에서 김미경 구청장(오른쪽)과 김세용 서울주택도시공사(SH공사) 사장이 서울리츠 1호 기반시설 건설과 관련한 업무 협약식을 진행하고 사진을 찍고 있다.
[이데일리 김기덕 기자] 서울 은평구와 서울주택도시공사(SH공사)는 은평뉴타운 내 서울리츠 제1호 사업의 성공적인 건설과 운영을 위해 상호 협력하기로 했다고 24일 밝혔다.
이번 협약을 통해 은평구는 서울리츠 제1호 건설사업 내 기부채납 시설을 소유 및 관리·운영하기로 했다. SH공사는 이번 사업의 토지주로 기부채납 시설이 운영될 수 있도록 구가 해당부지를 무상사용하는 것을 협조하기로 했다.
내년 상반기 완공예정인 서울리츠 1호는 청년 및 신혼부부 주거복지를 위해 서울시에서 추진하는 사업이다. 은평뉴타운내 진관동 일대에 공공준주택 630가구와 공공주택 350가구를 건설될 예정이다. 주민편익시설인 수영장, 휘트니스, 작은도서관, 사회적기업 등은 은평구에 기부채납할 예정이다. 현재 사업의 공정률은 공공준주택용지 50%, 공공주택용지 80%다. 내년 상반기 준공될 예정이다.
김기덕 (kiduk@edaily.co.kr)
네이버 모바일에서 ‘이데일리’
[구독하기▶]
빡침해소! 청춘뉘우스~
[스냅타임▶]
스냅타임
좋아요 하고 스벅 커피
[마시러 가기▶]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004232704
서울 수색동 160번지 일대 재정비촉진구역 해제,2016.06.20,"(서울=연합뉴스) 이태수 기자 = 서울 은평구 수색동 160번지 일대 수색10재정비촉진구역이 해제됐다.
서울시는 수색·증산재정비촉진구 안에 있는 이곳의 해제 안건을 17일 열린 제11차 도시계획위원회에서 원안 가결했다고 밝혔다.
이곳은 1만 1천여㎡의 면적으로 2008년 5월 정비구역으로 지정됐지만, 재정비 추진위원회가 구성되지 않았다. 게다가 토지 등 소유자 30% 이상이 해제를 신청해 은평구는 정비구역을 해제해 달라고 요청했다.
이번 결정으로 시는 이른 시일 내에 정비구역 해제를 고시해 주민들이 재산권을 행사할 수 있게끔 할 예정이다.
시는 ""주민이 동의하면 주거환경관리사업이나 가로주택정비사업 등 다양한 대안사업을 추진하겠다""고 전했다.
tsl@yna.co.kr
▶ [핫클릭] ""연봉 1억으론 만족 못해"" 근무시간에 대박 노리다가...
▶ [핫클릭] '박유천 사건' 어디까지 가나…전대미문 성추문
▶ [영상] ""윌리엄, 일어나""…왕세손 혼내는 여왕님
<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>",https://n.news.naver.com/article/001/0008482560
은평구는 미분양 주택 '0'?…정부 통계의 '거짓말',2015.12.14,"- 서울 은평구 9월 미분양
- 국토부 ""0"" 발표했지만
- 실제 96가구…업계 ""축소 보고 관행""
- 내 집 마련 소비자는 분통
[이데일리 박종오 기자] 서울에서 전세살이하는 직장인 정모(37)씨는 올해 은평구에 있는 새 아파트 분양 계약을 했다가 뒤늦게 땅을 치고 후회했다. 그는 은평구에는 미분양 주택이 단 한 채도 없다는 정부 통계를 믿고 이 동네에 있는 집을 사기로 했다. 하지만 주변 부동산 중개업소를 통해 아직 팔리지 않은 집이 많다는 것을 알게 됐기 때문이다.
13일 본지가 국토교통부 미분양 주택 현황과 이미경 새정치민주연합 의원실에서 받은 아파트 분양 계약률 자료를 대조한 결과, 전국 곳곳에서 이처럼 미분양 물량을 실제보다 축소하거나 미신고한 사례가 적지 않은 것으로 확인됐다.
미분양 주택 현황은 내 집 마련을 바라는 소비자가 주로 이용하는 서민 밀착형 통계다. 그러나 정보 생산을 맡은 정부가 정확성이 크게 떨어지는 통계를 내버려두면서 시장 혼란을 부르고 정책 신뢰도도 훼손하고 있다는 게 전문가들의 지적이다.
실제로 올해 9월 말 기준으로 주택도시보증공사(HUG)가 분양률을 집계한 전국 63개 시·군·구 중 약 20%인 13곳에서 이런 오차가 발견됐다. 국토부가 공개한 자료에는 해당 지역에 미분양 주택이 전혀 없거나 일부에 불과했지만, 공사가 자체적으로 확인한 미분양 물량은 이를 최대 10배 넘게 웃돈 것이다.
국토부에 따르면 9월 말 기준 서울 은평구와 충북 옥천군, 전남 여수시의 미분양 주택 수는 ‘0’이었다. 하지만 주택도시보증공사 자료를 보면 같은 시기 은평구 내 미분양 아파트는 96채에 달했다. 옥천군과 여수시도 미분양 아파트가 각각 137채씩 있었다. 경기 광주시의 경우 두 통계 간 미분양 주택 수가 546채나 차이 났다.
게다가 국토부 통계에 빠진 미분양 주택은 이 보다 더 많을 가능성이 크다. 주택도시보증공사 통계의 조사 표본이 국토부 통계보다 훨씬 적기 때문이다.
공사는 민간 아파트 단지의 분양 계약률을 3개월마다 집계한다. 건설사가 부도날 경우 분양 계약자가 낸 돈을 돌려주기로 보증을 선 까닭이다. 건설사로부터 실제 계약자 명단을 넘겨받는 만큼 통계에 허수가 낄 여지가 거의 없다. 다만 분양률은 계약을 시작하고 3개월이 지났으나 아직 6개월은 넘지 않은 초기 사업장만 공개하고 있다.
반면 국토부 통계는 지역 내 아파트·연립·다세대주택 등 모든 공동주택의 미분양 발생 현황을 담는다. 분양 시기도 가리지 않는다. 최소한 공사가 집계한 것과 미분양 주택 수가 같거나 그 보다 당연히 많아야 한다는 이야기다. 대형 건설사 관계자는 “미분양 주택 수 신고가 의무가 아니어서 축소 신고하는 것이 업계 관행”이라며 “과거처럼 미분양 아파트 구매자에게 정부가 제공하는 세금 혜택 등도 사라져 정확하게 신고할 유인이 더 줄었다”고 말했다.
구멍 뚫린 정부의 부동산 통계를 대대적으로 손보자는 목소리가 높다. 미분양 주택 현황 통계는 그 대표격이다. 최근 정부가 진행한 주택·부동산 통계 관련 연구 용역에 참여한 전문가들도 이구동성으로 “주택시장의 구조 변화에 대비한 전반적인 통계 정비가 필요하다”고 강조했다. 송인호 KDI(한국개발연구원) 연구위원은 “미분양 통계의 정확성을 높이고 월세 현황, 분양 등 주택 공급 추이, 전세·집단 대출 등 주택 금융 관련 정보도 제대로 마련해야 한다”고 말했다.
박종오 (pjo22@edaily.co.kr)
▶ `막 내린 美 제로금리`  美연준, 10년 만의 금리 인상
▶ 핫 초이스 ★ 男心 저격수 `애플힙` 그녀
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0003424215
"서울 은평구, ‘전세권 설정 등기 비용’ 지원…최대 1인 50만원",2024.08.01,"서울 은평구 제공
[파이낸셜뉴스] 서울 은평구는 전세 사기 등으로 인해 임차인이 보증금을 돌려받지 못하는 피해를 예방하고자 전국 최초로 ‘전세권 설정 등기 비용 지원’ 사업을 실시한다고 1일 밝혔다.‘전세권 설정 등기 비용 지원’은 ‘전세권 설정 등기’를 마친 관내 거주 세입자에게 전세권 설정 등기 비용을 은평구에서 지원해 주는 사업이다. 1일부터 선착순으로 신청받는다. 지원 기준은 지난 1월 1일 이후 주택에 대한 전세권 설정 등기를 마친 개인에 한하는 무주택 세입자다. 단, 세입자가 법인인 경우와 임대사업자 임대주택의 세입자 등은 제외된다.
지원 금액은 전세권 설정 비용 전액으로, 최대 50만원까지다. 신청은 은평구청 부동산정보과에 구비서류를 지참해 방문 신청하면 된다. 접수 순서에 따라 선정 기준 적합 여부를 심사해 지원 여부를 결정할 예정이다.
올해 사업예산은 1500만원으로, 예산이 소진되면 지원 사업은 종료될 예정이다. 구는 올해 약 30가구 상당이 혜택을 받을 수 있을 것으로 예상하고 있다.
‘전세권 설정 등기’란 세입자가 전세금을 지급하고 타인의 부동산을 점유해 그 용도에 따라 사용할 수 있도록 하는 등기를 말한다. 즉, 세입자가 본인이 이곳의 세입자임을 등기사항증명서에 기록하는 것이다.
‘전세권 설정 등기’를 하면 임대차 기간이 종료된 후에도 집주인이 보증금을 돌려주지 않을 때 임차 보증금반환 소송을 할 필요 없이 바로 경매를 신청할 수 있어 세입자의 권리가 강화된다. 또한 등기사항증명서에 전세 이력이 기록돼 누구든지 임대차 정보를 쉽고 편리하게 취득할 수 있는 장점이 있다.
김미경 은평구청장은 “전세권 설정 등기 비용 지원을 통해 전세 사기 예방은 물론 은평구민의 주거 안정에 도움이 되길 기대한다”며 “올해 사업 진행 경과를 보며 내년 예산을 늘려갈 것”이라고 말했다.
#전세권 설정 #은평구 #등기 비용",https://n.news.naver.com/article/014/0005221741
수색 10구역 정비구역 해제…개인 재산권 행사 가능,2016.06.20,"[헤럴드경제 =한지숙 기자] 서울시 은평구 수색동 160번지 일대 수색10 재정비촉진구역이 해제됐다. 이로써 해당 구역 안에서 신축과 개축이 자유롭게 가능해졌다.
서울시는 지난 17일 열린 11차 도시계획위원회에서 이같이 결정했다고 20일 밝혔다.
수색10 재정비촉진구역은 추진위원회가 구성되지 않았고, 토지 등 소유자 30% 이상이 해제를 신청해 은평구청장이 정비구역 해제를 요청한 지역이다.
시는 정비구역 내 주민들의 재산권 행사 등 권리 행사를 위해 조속한 시일 안에 해제 고시 할 예정이다.
수색10재정비촉진구역 해제 대상지 위치도. ［제공 =서울시］
시 관계자는 “건축물 개량ㆍ신축 등 개인별 재산권을 자유롭게 행사할 수 있도록 하고, 주민들이 동의하면 주거환경관리사업, 가로주택정비사업 등 다양한 대안사업을 추진하겠다”고 말했다.
jshan@heraldcorp.com
- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -",https://n.news.naver.com/article/016/0001069782
서울 은평구 녹번동 아파트값 36% 급등한 이유는?,2016.01.08,"- 재개발 사업으로 브랜드 아파트 3500가구 공급
[이데일리 이승현 기자] 은평구 녹번동은 서울의 대표적 집값 하위 지역이다. 그런데 최근 들어 상황이 많이 바꿨다. 단독주택과 연립주택만 즐비하던 동네에 최근 유명 브랜드 아파트 단지가 들어서면서 집값이 요동치고 있는 것이다.
부동산114에 따르면 녹번동 아파트값은 지난해 12월 말 기준 3.3㎡ 당 평균 1354만원으로 연초(998만원)보다 35.7%(356만원) 치솟았다. 이는 은평구 전체 상승률(4.0%)보다 9배 가까이 높은 수치다.
녹번동은 종로·광화문 등 서울 시내와 가깝다는 지리적인 장점에도 불구하고 지난해 1월 말에는 평균 아파트값이 은평구에 속해 있는 11개동 중 6,7위권에 머물렀다. 하지만 최근 일년 새 집값이 크게 오르면서 지난해 말에는 은평뉴타운이 있는 진관동(1473만원), 은평구의 중심지인 불광동(1392만원)에 이어 3위까지 뛰어올랐다.
녹번동은 입지만 놓고 보면 꽤 높은 경쟁력을 지니고 있다. 지하철3호선 녹번역을 이용하면 종로와 광화문까지 20분대에 이동할 수 있고, 강남의 웬만한 지역도 40분~1시간 내에 접근이 가능하다. 북한산 자락에 자리잡고 있어 자연 환경도 뛰어난 편이다.
하지만 단독주택과 연립주택 등 저층 주거지 중심으로 거주 환경이 형성돼 있어 선호도가 높지 않았다. 새 아파트 공급도 지난해 7월 입주한 북한산 푸르지오(1230가구) 외에는 지난 10여년간 전무했다.
녹번동 주택시장에 볕을 들게 한 주역은 재개발 사업이다. 최근 몇년 새 녹번동에서는 총 3건의 재개발 사업이 진행됐다. 가장 먼저 사업이 추진된 곳은 1-3지구로 대우건설이 2013년 공급한 북한산 푸르지오 아파트다. 녹번동 아파트값이 급등한 것도 이 단지가 입주한 지난해 7월부터다. 1~6월까지 거의 변동이 없던 녹번동 아파트값은 북한산 푸르지오 입주에 맞춰 3.3㎡당 1271만원으로 전달보다 26.0%(262만원) 올랐다.
이어 삼성물산은 지난해 말 1-2지구 재개발 단지인 래미안 베라힐즈 아파트(1305가구)를 분양했다.마지막으로 1-3지구는 현대건설이 시공을 맡아 내달 분양 예정이다. 총 952가구 규모로 조성된다.
오는 2018년 재개발 아파트들이 모두 완공되면 3500여가구 규모의 고급 주거 타운이 형성된다. 녹번동 G공인 관계자는 “이곳은 인근 은평뉴타운과 일산신도시 등에 밀리고 재개발 사업이 지지부진하면서 신규 아파트 공급이 뜸했다”며 “재개발 사업이 완료돼 브랜드 아파트촌이 형성되면 동네 분위기가 확 바뀌면서 집값도 지금보다 더 오를 가능성이 크다”고 말했다.
이승현 (eyes@edaily.co.kr)
▶ [데일리 포커스] 알면 알수록 빠져드는 경제뉴스
▶핫 초이스 ★ 男心 저격수 `애플힙` 그녀
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0003445865
