제목,날짜,본문,URL
사가정역 먹자골목  ‘사가정51길’로 새단장,2022.03.28,"다양한 문화공간 구비한 먹자골목으로 변신
사가정51길 특화거리 조감도(야간)
[헤럴드경제=최정호 기자]중랑구 먹자골목이 ‘사가정51길’로 새롭게 단장했다. 먹자골목 상권 특색을 살리면서도 만남과 소통의 장소로 정비한 것이다.
중랑구(구청장 류경기)는 28일 사가정역 1, 2번 출구와 사가정로 51길 일대를 ‘사가정51길’로 이름 짓고 특화거리로 조성했다고 밝혔다.
사가정역 1, 2번 출구 일대는 맛집이 즐비한 일명 ‘먹자 골목’으로 유명한 곳이다. 지역 중심상권으로 유동인구가 많지만 각종 시설물과 좁은 인도로 보행 불편과 위험이 야기됐던 곳이기도 하다.
중랑구는 이번 정비작업에서 사가정 먹자 골목이라는 상징성과 상권 특색을 살리면서 어수선하고 복잡한 공간을 만남과 소통의 장소로 쾌적하게 재탄생시키는데 주력했다.
역사 인근 사가정 마을마당(공공공지)을 열린 광장으로 조성했다. 자전거 거치대와 지하철 환기구 등 오래된 시설물을 정비하고 경관조명과 바닥분수를 설치해 개방감을 살렸다. 또 사가정역 1번 출구 뒤 미디어가든 등 공공미술 프로젝트로 예술작품도 더했다.
보행환경도 개선했다. 보행로를 넓히고 낡고 깨진 보도블럭을 다시 정비했다. 사가정로 51길은 일방통행로로 지정하고 불법주차 방지를 위한 CCTV를 설치했다. 특화거리임을 알리는 입구 상징물과 바닥 안내판도 설치했다. 8월말 까지는 전선 지중화 작업도 완료할 예정이다.
카페, 동아리실, 세미나실, 공유 주방 등으로 구성된 주민 커뮤니티 공간인 ‘사가정 마중 마을활력소’도 연말 준공을 목표로 작업 중이다.
류경기 중랑구청장은 “지역의 역사성과 현재 특성을 반영한 사가정51길 특화거리가 주민들의 삶의 터전이자 활기찬 소통의 장소로 거듭나기를 바란다”며 “앞으로도 지역의 숨은 명소들을 걷고 싶고 찾고 싶은 곳으로 조성하는 데 최선을 다하겠다”라고 말했다. 중랑구는 오는 31일 저녁 사가정역 1번 출구 사가정 마을마당에서 준공식 행사를 갖는다.",https://n.news.naver.com/article/016/0001969159
서울 상봉 역세권 247가구 주상복합 짓는다,2022.02.16,"[파이낸셜뉴스] 서울 상봉역 역세권 일대에 247가구를 포함한 주상복합 건물이 들어선다.
서울시는 제2차 서울특별시 도시재정비위원회를 열고, '상봉재정비촉진지구 상봉존치3구역 지구단위계획 변경안'을 수정가결했다고 16일 밝혔다.
중랑구 상봉동 101-2번지 일대 2631.5㎡ 규모로 지하철 7호선과 국철 환승역인 상봉역에 인접한 역세권 내 근린상업지역이다.
용적률 660%이하로 공동주택 247가구(임대주택 24가구 포함)와 오피스텔 69실, 근린생활시설이 건립된다.
상업지역 내 주거용으로 사용되는 용적률 완화를 통해 임대주택을 추가 확보하고, 도로·주차장 등 지역 내 필요한 기반시설은 기부채납된다.
또 사업지를 통해 일반 시민들이 망우로와 상봉역을 편리하게 오갈 수 있도록 공공 보행 통로를 확보할 계획이다.
서울시 관계자는"" 이번 계획 결정으로 상봉, 망우 역세권지역에 활력을 불어넣고 주택 공급 확대에도 기여하길 기대한다""고 말했다.",https://n.news.naver.com/article/014/0004788865
"LH, 양원 신혼희망타운 당첨자발표 오류 물의",2019.08.06,"LH가 서울 양원지구 신혼희망타운 당첨자 발표에서 오류를 일으켜 물의를 빚었다. /사진=이미지투데이
한국토지주택공사(LH)가 서울 양원지구 ‘신혼희망타운’ 당첨자와 예비입주자 명단 발표를 잘못해 물의를 빚었다.
6일 업계에 따르면 LH는 지난 2일 서울 중랑구 양원지구 S2블록 신혼희망타운 당첨자와 예비입주자 명단을 발표했지만 선정 과정에서 시스템 오류가 발생해 재추첨했다.
그 결과 당첨자 269명 중 16명이 예비입주자로 지위가 변경됐고 대다수 당첨자의 동호수 역시 변경됐다.
이에 대해 LH는 “심려를 끼쳐 죄송하다. 정정된 당첨자 명단과 함께 청약신청자에 대한 모든 서열을 게시했다”고 해명했지만 논란은 가라앉지 않고 있다.
한편 신혼희망타운은 신혼부부가 집 걱정 없이 육아와 보육에 집중할 수 있도록 건설한 신혼부부 특화형 공공주택이다.
김창성 기자 solrali@mt.co.kr
▶ 고수들의 재테크 비법
▶ 박학다식 '이건희칼럼'
<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/417/0000435883
"중랑구, 가을에 찾아가는  ‘책 읽는 공원’ 운영",2016.11.10,"12일 오전 11시부터 오후 4시까지, 능산공원에서 가을의 정취를 느낄 수 있는‘책 읽는 공원’운영
[아시아경제 박종일 기자] 중랑구(구청장 나진구)는 12일 오전 11시부터 오후 4시까지 신내동에 소재한 능산공원에서 가을의 정취를 느끼면서 여유롭게 책을 읽을 수 있는‘책 읽는 공원’을 운영한다.
구는 지역 주민들이 아이들과 함께 집 근처 공원을 찾아 독서를 즐길 수 있는 환경을 제공하기 위해 중랑구립정보도서관에 비치된 도서 중 아동과 성인을 위한 책 약 200여권을 공원으로 옮긴다.
이와 함께 당일 공원을 찾은 주민들에게는 돗자리도 빌려주고 있어 공원 어느 장소에서나 마음껏 독서를 즐길 수 있다.
‘책 읽는 공원’은 지난 4월부터 중랑구립정보도서관이 주관, 지역 내 봉수대공원과 능산공원에서 월 2회씩 진행해 왔다.
책 읽는 공원
매월 넷째 주 토요일 오후 2시부터 3시까지는 ‘힐링 독서체험 프로그램’이 준비돼 있다.
오는 26일 ‘책 읽는 공원’과 함께 미취학아동, 초등학생들을 대상으로 다양한 독서체험 기회를 제공할 예정이다.
독서체험 프로그램은 주민의 재능기부와 자원봉사자의 도움을 받아 매월 재미있는 도서를 선정해 직접 동화책을 읽어주고 오감을 활용하는 독서 체험으로 주민 주도형으로 운영돼 양방향 참여가 가능하다는 특별함이 있다.
박정석 문화체육과장은 “도서관 접근이 용이하지 않은 주민들을 위해 마련된 ‘책 읽는 공원’사업이 지역 내 교육 ·독서문화의 장이 될 것으로 기대된다” 며“책을 사랑하고 독서에 관심 있는 구민 여러분의 많은 참여와 관심을 부탁한다”고 말했다.
박종일 기자 dream@asiae.co.kr
▶ 최강의 재미 [아시아경제 카드뉴스]
▶ 맛있는 레시피
▶ 양낙규의 [군사이야기]
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003866883
‘중랑 면목패션(봉제) 특정개발진흥지구’ 본격 추진,2016.04.07,"▲‘중랑 면목패션(봉제) 특정개발진흥지구’ 위치도 /사진=서울시
서울시는 지난 6일 제6차 도시계획위원회를 개최해 중랑구 봉우재로 20가길 일대 '중랑 면목패션(봉제) 특정개발진흥지구 결정(안)'을 '조건부가결'했다고 7일 밝혔다.
29만2000㎡ 규모의 이 구역(
위치도
)은 권장업종으로 의복·의복액세서리 및 모피제품 제조업, 가죽·가방 및 신발제품 제조업 등을 포함 총 76개의 업종이 결정됐다.
특정개발진흥지구로 지정되면 권장업종 영위자는 경영안정자금 등 자금 융자 등의 혜택이 주어지며, 향후 지구단위계획 수립 시 건폐율·용적률·건축물의 높이가 완화되는 등의 혜택이 주어진다.
서울시는 이번 사업을 통해 봉제산업 등 해당지역 산업 육성에 기여할 것으로 기대하고 있다.
fair@fnnews.com 한영준 기자
※ 저작권자 ⓒ
파이낸셜뉴스
. 무단 전재-재배포 금지",https://n.news.naver.com/article/014/0003630962
"서울시, 새 민간제안 방식으로 '면목선 경전철' 전면 재추진",2016.01.14,"[머니투데이 김사무엘 기자] [수익형 민간투자 대상사업(BTO)·위험분담형(BTO-rs)·손익공유형(BTO-a) 등 다양한 방식 제안]
면목선 경전철 노선도. /사진제공=서울시
적절한 사업자가 없어 진행이 지지부진하던 '면목선 경전철 사업'이 다양한 민간제안 방식으로 전면 재추진된다.
서울시는 면목선 경전철(청량리 ~ 면목역 ~ 중랑구청 ~ 신내동, 총 연장 9.05km) 사업에 적용하기로 한 '수익형 민간투자 대상사업'(BTO) 지정을 취소하고 BTO를 포함, '위험분담형'(BTO-rs)과 '손익공유형'(BTO-a) 등 다양한 방식의 민자 사업으로 사업제안서를 다시 접수 받는다고 14일 밝혔다.
수익형 민간투자사업은 사업의 손익을 민간 사업자가 모두 떠맡는 방식이다. 위험분담형은 정부와 민간이 손익을 나누는 형태고, 손익공유형은 정부가 최소사업운영비는 보장하되 초과이익분은 공유하는 형식이다.
면목선 경전철 사업에 참여를 원하는 사업자는 민간투자사업 기본계획의 투자위험 분담방식을 포함해 언제든지 사업제안서를 제출하면 된다.
면목선 경전철은 서울 동북부 지역 교통 혼잡을 해소하기 위해 추진되는 사업이다. 청량리(1호선) ~ 전농동 ~ 장안동 ~ 면목(7호선) ~ 망우동 ~ 신내(6호선, 경춘선) 총 연장 9.05km 구간이 연결된다. 12개 정거장이 만들어지며 총 사업비는 8894억원이다.
면목선 경전철 사업은 당초 수익형 민간투자사업으로 진행됐다. 2007년 12월 포스코건설이 주관사인 '(가칭)청량리신내경전철주식회사'가 처음 사업 제안서를 제출했다. 2011년 협상대상자 지정을 위한 제안서 평가 결과 규정 점수 미달로 우선협상대상자를 지정하지 못했다. 지난해 9월 재공고에는 제안서를 접수한 업체가 없었다.
고인석 시 도시기반시설본부장은 ""민간투자사업 방식의 다양화로 많은 민간 사업자가 '면목선 경전철 민간투자사업'에 참여할 것으로 기대한다""고 말했다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ]
[부자들에게 배우는 성공 노하우 '줄리아 투자노트'  ]
[내 삶을 바꾸는 정치뉴스 'the 300']
[CEO의 삶을 바꾼 '내 인생 최고의 조언' ]
[아찔한 girl~ 레이싱모델 핫포토 ]
김사무엘 기자 samuel@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0003612938
"""집 가까이에 병원이""…신내동 '의료안심주택' 첫 선",2015.07.28,"SH공사-중랑구-서울의료원, 맞춤형 보건·복지·의료 서비스 제공 협력
[아시아경제 조인경 기자] 독거노인이나 거동이 불편한 노약자, 당뇨·고혈압 환자 등 의료 서비스가 필요한 취약계층을 위해 서울시가 의료취약계층 맞춤형 공공임대주택 '신내 의료안심주택(사진)' 222가구를 처음으로 선보인다.
시는 28일 중랑구청에서 변창흠 SH공사 사장, 김민기 서울의료원장, 나진구 중랑구청장 등이 참석한 가운데 '신내 의료안심주택 맞춤형 보건·복지·의료 서비스 제공을 위한 업무협약'을 맺고 이같은 세부 추진 현황을 설명한다.
국내 1호인 중랑구 '신내 의료안심주택'은 서울의료원에서 길 하나만 건너면 닿는 가까운 거리에 위치하고 인근 병원, 자치구, SH공사가 공공인프라가 돼 건강, 복지, 주거 분야를 전폭 지원하게 된다.
지하 1층~지상 7층 2개동에 전용면적 18㎡ 및 29㎡ 222가구 규모로 지어지며, 오는 8월 준공을 목표로 현재 내부 마감공사가 진행중이다. 다음달 입주자를 모집하고 10월께 입주를 시작한다.
주택 내부는 거동이 불편한 입주자 특성을 고려해 '무장애(barrier-free) 공간'으로 만들었다. 현관문과 화장실 등에는 미세한 움직임을 감지하는 센서를 달아 일정 시간 이용하지 않을 경우 관리사무실로 자동 연락되는 시스템을 갖춰 입주자의 건강상태를 수시로 파악할 수 있게 했다.
또 가구마다 비상벨을 설치해 입주민이 위급시 비상벨을 누르면 관리사무실로 연결되고 관리사무실에서는 상황 위급 여부에 따라 119, 또는 서울의료원 응급치료센터로 바로 연락을 취해 응급상황에 유기적으로 대처하게 된다.
특히 SH공사가 관리사무소에 입주민 생활지원 및 주거 상담을 위해 주거복지사, 사회복지사 등 전문인력을 배치해 입주 후에도 맞춤형으로 지원한다.
또 중랑구는 입주민들이 경로당, 다목적홀 등 의료안심주택 내 시설에서 멀리가지 않고도 각종 프로그램에 참여할 수 있도록 협조하게 된다.
서울의료원은 입주민의 건강관리를 위해 단지 내 시설에서 의료진이 무료 건강상담 서비스를 제공하고, 보건소와 협력해 웃음치료, 우울증 예방, 암 예방을 위한 건강관리 등 건강강좌도 제공할 예정이다.
시는 오는 8월 공고를 내고 '의료안심주택' 입주자를 모집한다. 입주자격은 서울에 거주중인 ▲만 65세 이상 고령자 ▲고혈압, 당뇨병 등 만성질환관리제도 대상자 ▲휠체어 사용자 등이다.
SH공사는 일반공급세대(212가구) 중 70%를 중랑구 거주자에게 공급하고, 간호사 등 입주민 건강관리를 담당할 서울의료원 직원 20여명이 이곳에 입주할 수 있도록 지원한다.
정유승 서울시 주택건축국장은 ""국내 최초로 시도되는 의료안심주택 입주민이 보건, 복지, 의료서비스를 편리하게 이용하고 혜택을 받을 수 있도록 관계기관이 앞으로도 적극 협력해 나가겠다""고 말했다.
조인경 기자 ikjo@asiae.co.kr
▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""
▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003551756
"중랑구, 식품접객업소 시설개선자금 융자",2015.02.04,"나진구 중랑구청장
육성자금은 5000만원 이내로 연간 2% 대출이자 부담
[아시아경제 박종일 기자] 중랑구(구청장 나진구)가 지역내 식품접객업소를 대상으로 위생수준 향상과 운영개선을 위해 이달부터 식품진흥기금 융자 지원 사업을 진행한다.
식품진흥기금 융자는 영세 식품접객영업자의 경제적 어려움을 덜어줘 지역경제를 활성화하고 식품 위생수준 향상을 위해 마련됐다.
올해 구에서 지원하게 될 융자금액은 총 2억5000만원에 달한다.
지원대상은 중랑구 지역내에 영업신고가 돼 있는 일반음식점, 휴게음식점, 제과점, 위탁급식영업소 등 식품접객업소로, 위생수준 향상을 목적으로 영업장의 수리, 개·보수 및 영업에 필요한 기계·설비 등을 설칟보유하는데 소요되는 자금이 필요한 경우는 시설개선자금을, 모범음식점으로 지정된 영업주가 위생관리시설의 개선 및 운영 등에 소요되는 자금이 필요한 경우는 육성자금을 지원한다.
육성자금은 5000만원 이내로 연간 2% 대출이자를 부담, 1년 거치 2년 균등상환하면 된다.
시설개선자금은 1억원 이내로 연간 2%의 대출이자를 부담, 1년 거치 3년 균등상환 조건이다.
화장실을 개선할 목적으로 융자하는 경우에는 2000만원 이내로 연간 1%의 대출이자를 부담하며 1년 거치 2년 균등상환하면 된다.
식품진흥기금 융자를 원하는 구민은 융자신청서, 사업계획서, 사업이행확약서, 영업신고증 사본, 사업자등록증 사본을 중랑구 보건위생과로 제출하면 된다.
모범음식점 육성자금 신청 시에는 모범음식점 지정증 사본을, 시설개선자금 신청 시에는 견적서와 시설개선 신청당시 개선 전 사진을 추가로 제출해야 한다.
중랑구 보건위생과(☎2094-0775)
박종일 기자 dream@asiae.co.kr
▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""
[루머앤진실]
[네티즌핫이슈]
[골프뉴스]
[부동산소식]
[자동차정보]
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003427055
"중랑구, 부설주차장 85면 추가 확보",2025.01.09,"부설주차장 주차 공간. 사진제공=중랑구
[서울경제]
서울 중랑구는 부설주차장 개방 사업으로 1년간 총 85면의 신규 주차 공간을 확보했다.
건물주가 건축물 부설주차장의 유휴 주차면을 주민들에게 개방하면 주차장 시설개선 지원과 운영수익금 지급 등 인센티브를 제공받는 사업이다. 주차면 5면 이상을 개방할 경우 최대 3000만 원 상당의 바닥 포장, 주차차단기 설치 등 주차장 시설 개선 공사 지원을 받을 수 있다.
중랑구는 주택가 인근이면서 평일 주차 공간이 여유로운 종교시설 등을 중심으로 부설주차장 사업을 적극적으로 홍보했다. 그 결과 면목교회, 러스크서울병원, 온누리교회 등과 협약을 체결했다. 구는 현재까지 1260면의 개방주차장을 확보했다.",https://n.news.naver.com/article/011/0004437729
상봉13구역 정비구역 지정…최고 37층·1249가구 대단지 탈바꿈,2025.03.28,"노후 단독·다세대주택 밀집…보행환경·기반시설 열악
서울시 신통기획 통해 공공시설·주거환경 개선 속도↑
[이데일리 남궁민관 기자] 서울시 중랑구는 서울시가 지난 27일 ‘상봉13구역 주택정비형 재개발 사업’ 정비계획 결정 및 정비구역 최종 지정을 고시했다고 28일 밝혔다. 지난해 12월 24일 서울시 ‘제14차 도시계획위원회 신속통합기획 정비사업 등 수권분과위원회’ 수정 가결 이후 3개월 여 만이다.
상봉13구역 재개발 사업 위치도.(사진=중랑구)
망우본동 461번지 일대 상봉13구역은 노후한 단독·다세대주택이 밀집하고 보행환경과 기반시설이 열악한 지역이다. 2022년 12월 서울시 신속통합기획 후보지로 선정된 이후 신통기획안 수립, 주민설명회 및 공람공고 등 절차를 거쳐 신통기획 2차 후보지 중 2번째로 정비구역으로 지정됐다. 특히 신통기획을 통해 정비계획 및 정비구역 지정까지 2년 여 만에 완료하면서 기존 5년 이상 소요되던 재개발 절차를 대폭 단축했다.
이번 정비계획에 따르면 기존 제2종(7층 이하)·제2종일반주거지역은 제3종일반주거지역으로, 제3종일반주거지역은 준주거지역으로 용도지역이 상향 조정된다. 이에 따라 용적률은 평균 345.41%(준주거 399.97%·제3종 297.60%)로 적용된다. 임대주택 270가구를 포함해 지상 최고 37층, 1249가구가 들어설 예정이다. 또 공원과 생활체육시설 등 주민 편의와 지역 활성화를 위한 공공시설도 함께 조성될 계획이다.
류경기 중랑구청장은 “상봉13구역은 노후 주거지를 탈바꿈시켜 주거환경을 획기적으로 개선할 수 있는 중요한 사업”이라며 “이번 정비구역 지정을 통해 망우역세권이 교통·생활 인프라를 갖춘 미래형 도시공간으로 재탄생할 것으로 기대된다. 앞으로도 사업이 속도감 있게 추진될 수 있도록 적극적으로 지원해 나가겠다”고 말했다.",https://n.news.naver.com/article/018/0005973021
