제목,날짜,본문,URL
둔촌주공 법정다툼도 일단락…11월 공사 재개 앞둬,2022.08.17,"공사도급변경계약 무효확인소송 취하
[서울경제]
서울 강동구 둔촌주공(올림픽파크포레온) 조합이 시공단을 상대로 제기했던 공사도급변경계약 무효확인 소송을 취하했다. 법정 다툼까지 번졌던 공사 중단 사태가 일단락되며 이르면 오는 11월 공사가 재개될 전망이다.
17일 법조계에 따르면 둔촌주공아파트재건축정비사업조합은 이날 서울동부지법에 시공단(현대건설·HDC현대산업개발·롯데건설·대우건설)을 상대로 낸 공사도급변경계약 무효확인 소송과 관련해 소취하서를 제출했다. 같은 날 시공단 중 하나인 현대건설도 소취하 동의서를 법원에 내 해당 소송은 조만간 마무리될 전망이다.
둔촌주공은 현 조합이 지난 2020년 6월 전임 조합이 시공단과 계약한 5000억원 가량의 공사비 증액을 인정하지 않으며 갈등을 빚어왔다. 시공단은 지난 3월 14일 ‘둔촌주공 재건축 조합의 사업 추진 지연에 따른 공사중단 예고 안내’라는 제목의 공문을 조합 측에 보내며 공사 중단을 예고했고 조합 측은 같은 달 21일 법원에 ‘공사도급변경계약 무효확인’ 소송을 제기했다.
이후 4월 15일 실제로 공사가 중단되자 조합은 공사 중단이 10일 이상 지속될 경우 현 시공단과의 계약 해지를 추진하겠다며 추가로 맞불을 놓았다. 서울시 중재로 계약 해지까지 이뤄지지는 않았지만 4월 16일 총회를 열어 ‘‘공사계약 변경의 건’ 의결 취소의 건’을 통과시켰다.
양측은 5월 말부터 시 중재 속에 열 차례 이상 만나며 의견을 조율하며 이달 11일 △기존 공사비 증액(5584억 원) 재검증 △분양가 심의 △조합분양·일반분양 진행 △설계 변경 △한국부동산원의 검증 결과를 공사비 및 공사 기간에 반영 △총회 의결 △공사도급변경계약 무효확인소송 취하 △합의문 효력 및 위반 시 책임 △상가 분쟁 등 9개 사항에 대해 최종 합의했다.
둔촌주공은 5930가구를 철거하고 지상 최고 35층, 85개 동, 1만 2032가구를 짓는 ‘단군 이래 최대의 재건축 사업’이다. 조합은 10월 새 집행부 선임과 공사 재개를 위한 총회 개최, 11월 일반분양 승인 신청, 12월 관리처분 총회 개최를 계획하고 있다. 조합 측은 지난 4일 공문을 통해 7000억원 규모의 사업비 대출과 관련해 ‘6개월 조건부 연장’을 대주단에 요청했으며 이날 대주단·시공단과 대출 연장 여부를 논의한 것으로 알려졌다.",https://n.news.naver.com/article/011/0004088597
"강동구 “그린벨트 해제, 기획부동산에 속지 마세요”",2024.11.04,"둔촌동 중앙보훈병원 인근
애초 시세의 2~3배 수준 ↑
區 “개발불가능 부지 많아”
서울시 강동구 둔촌동 그린벨트지역. 그린벨트 뒤로 이달 입주를 시작하는 대한민국에서 가장 큰 아파트 단지 올림픽파크포레온이 보인다. 서영상 기자
“9호선 급행열차에 국내에서 가장 큰 아파트 단지 올림픽파크포레온 입주까지.... 해제만 되면 대박이라는 생각에 기획부동산까지 와서 근방 땅값을 전부 올려놨어요.”(강동구 둔촌동 소재 공인중개사무소 관계자)
서울과 수도권 일대 개발제한구역(그린벨트 )해제 발표를 앞두고 일부 후보지들을 주변으로 가격이 들썩이고 있다. 다만 그린벨트 해제를 노린 투자는 위험성이 큰 만큼 각별한 주의가 필요하다는 조언이 잇따른다.
지난 1일 찾은 강동구 둔촌동 중앙보훈병원 인근 그린벨트 주변도 예외가 아니었다. 중앙보훈병원과 동남로를 사이에 둔 일자산 도시 자연공원 지역은 해제 가능성이 낮겠지만 중앙보훈병원 양쪽으로는 이미 식당, 교회 등으로 활용되며 그린벨트 본연의 가치를 훼손한 상황이다. 이에 해제 가능성을 크게 기대하는 상황이었다.
인근 공인중개사무소 관계자는 “이번 그린벨트 해제의 목적이 강남권 집값 안정화인 만큼 9호선이 코 앞에 있고 강남4구라고 불리는 강동구 이 근방은 더없이 좋은 환경”이라면서 “오전에도 땅주인이 부동산을 들러 만약 해제됐을 때 수용여부, 예상되는 땅 값 등을 묻고 갔다”고 상황을 설명했다.
이처럼 그린벨트 해제에 대한 기대가 커지며 호가 또한 천정부지로 치솟고 있다. 다른 공인중개사무소 관계자는 “둔촌동 빌라촌 가격이 3.3㎡당 5000만원을 넘는다. 이같은 시세에 비췄을 때 대로변에 접한 그린벨트들은 해제만 되면 3.3㎡당 4000만원도 훨씬 넘을 것”이라면서 “상황이 이렇다보니 강남 기획부동산들이 여기까지 와서 영업을 하며 자연녹지를 2000~3000만원에 내놨다는 소식까지 들린다”고 했다.
7~8년 전만해도 3.3㎡ 당 300~400만원 수준에 거래됐고, 최근에는 3.3㎡당 1000만원 내외로 호가를 형성하던 것이 그린벨트 해제에 대한 기대심리를 타고 기획부동산들이 비싼 값에 내놨다는 것이다. 기획부동산은 통상 개발 불가능한 토지를 매수 후 인터넷 블로그, 카페 또는 다단계 방식 등으로 매수자를 모집해 수십·수백 명에게 지분으로 쪼개어 판매한다.
이에 주변 많은 공인중개사들도 투자에 신중을 기할 것을 충고했다. 중앙보훈병원 주변 그린벨트가 면적이 크지 않아 주택 공급 효과도 크게 누릴 수 없는 만큼 해제 가능성이 높지 않다는 것이다. 또 만약 해제 때는 난개발을 우려하는 인근 올림픽파크 포레온 주민들의 반발도 클 것으로 예상 되는 상황이다.
서영상 기자",https://n.news.naver.com/article/016/0002383104
강동구 암사지구 올림픽로변 건축물 8층까지 허용,2019.11.18,"© 뉴스1
(서울=뉴스1) 홍기삼 기자 = 서울 강동구(구청장 이정훈) 암사역 주변 올림픽로변 조망가로특화경관지구의 건축물이 8층까지 허용되고 일부 토지는 13층(40m)까지 건축이 가능하도록 지구단위계획이 변경됐다.
이 지역은 1982년 4월 22일 미관지구로 지정돼 그동안 4층 이하로(건축위원회 심의 인정 시 6층 이하) 건축이 규제됐던 지역이다.
지난 4월 18일 국토계획법과 서울특별시 도시계획조례 개정에 따라 조망가로특화경관지구로 변경되면서 6층 이하(건축위원회 심의 인정 시 8층 이하)로 완화됐다.
강동구는 이를 지구단위계획에 즉시 반영하기 위해 지난 7월 열람공고를 시행하고 9월 서울시도시·건축공동위원회 심의를 거쳐 지난 11월 7일 고시했다.
이로써 구는 대지 현황에 따라 다양한 형태로 건축물 높이가 가능하고 일부대지는 40m까지 건축이 가능해져 높이규제로 인한 40년 동안의 주민 불편이 해소될 것으로 기대하고 있다.
argus@news1.kr
▶ [ 크립토허브 ]
▶ [글로벌바이오포럼]
▶ 네이버 메인에서 [뉴스1] 구독하기!
[© 뉴스1코리아(
news1.kr
), 무단 전재 및 재배포 금지]",https://n.news.naver.com/article/421/0004310212
[얼마집] 강동구 '상일우성타운' 재건축 정밀안전진단 통과,2018.07.04,"[ 선한결 기자  ]
서울 강동구 상일동의 ‘상일우성타운’이 재건축 안전진단을 통과했다.
3일 정비업계에 따르면 이 단지는 최근 강동구청으로부터 재건축 정밀안전진단 결과 D등급으로 조건부 재건축 판정을 받았다. 이로써 이 단지는 앞으로 재건축 사업을 추진할 수 있게 됐다. 강동구 관계자는 “개정 전 안전진단 기준을 적용받아 안전진단을 통과했다”고 설명했다.
상일우성타운은 105가구 규모 아파트다. 1989년 준공돼 올해 재건축 연한(30년)을 채웠다. 지난 1월 말 국토교통부가 안전진단 기준 강화 계획을 발표한 뒤 안전진단 속도전을 벌였다. 새 기준을 적용하면 구조적 문제가 없는 한 대부분 단지가 재건축 안전진단을 통과하기 어려워져서다. 국토교통부 안전진단 강화 규제 시행 바로 직전 영업일인 지난 3월2일 안전진단 용역업체와 계약을 완료해 이전 기준을 적용받았다.
소규모 단지지만 9개동으로 가구 수에 비해 부지 면적이 넓고 최고 3층 저층 아파트라 사업성이 높다는 평가다. 맞은편엔 승상산이 있고 뒷평엔 상일동산이 있어 주거환경이 쾌적하다. 인근엔 서울대명초, 한영중, 한영고·한영외고 등이 있다.
선한결 기자 always@hankyung.com
[
한경닷컴 바로가기
] [
글방
] [
모바일한경 구독신청
]
ⓒ 한국경제 &
hankyung.com
, 무단전재 및 재배포 금지",https://n.news.naver.com/article/015/0003973084
강동 ‘암사도시재생 거점공간’ 오픈···주민 참여형 공간으로,2019.04.25,"[서울경제] 서울시와 강동구가 도시재생사업의 주민커뮤니티 활성화를 위한 앵커시설인 ‘암사도시재생 상상나루來(사진)’를 건립하고 30일 문을 연다고 25일 밝혔다.
암사도시재생시범사업지 내에 위치하는 암사도시재생앵커시설은 지하1층~지상4층(연면적 748㎡) 규모이며 공동육아모임공간과 공유부엌, 일자리교실 등 공동체활성화와 사회적경제조직 육성을 위한 공간으로 구성했다. 앵커시설ㄹ은 공간 운영자와 주민협의체 등이 참여하는 ‘도시재생 마을기업(CRC)’을 설립해 마을기업이 자율적으로 운영하도록 할 계획이다.
앵커시설의 운영은 행정 지원 없이 주민 스스로가 수익모델을 발굴해 운영하도록 하기 위해 2016년 4월부터 2018년 12월까지 테스트베드 성격의 암사공동체마당을 운영해왔으며, 2018년 12월 주민공모를 통해 앵커시설 공간 별 운영주체를 선발해 오는 6월 30일까지 시범운영 중이다.
강맹훈 서울시 도시재생실장은 “서울시에서는 주민 주도형 마을관리기업을 육성 지원하기 위해 사전준비부터 CRC 발굴 및 설립, CRC 자립 및 고도화까지 컨설팅 및 교육·멘토링 지원 등 3년간 최대 2억8,500만원을 지원할 수 있는 방안을 마련하고 있으니 지역주민들의 적극적인 관심과 참여를 부탁드린다”고 말했다.
/박윤선기자 sepys@sedaily.com
[서울경제 바로가기]
▶ 텔레그램으로 서울경제 구독하기
|
▶ 네이버TV로 서울경제썸 구독하기
▶ 네이버 메인에서 'No. 1 뉴스' 서울경제를 만나보세요
저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지",https://n.news.naver.com/article/011/0003544787
"""서울 서초·강동 아파트 6억 떨어졌다"".. 깡통 전세 우려까지",2022.12.10,"지난 9일 서울 남산에서 바라본 한강 주변 아파트 모습. 연합뉴스
서울 서초구, 강동구의 아파트 가격이 6억원 이상 급락해 네티즌들의 눈길을 끌고 있다.
10일 국토교통부 실거래가 공개시스템에 따르면 서울시 서초구 서초동 ‘롯데캐슬클래식’ 전용 74.3㎡는 지난달 16일 18억원에 거래됐다. 올해 4월 같은 주택형이 24억2500만원으로 최고가를 찍었을 당시 6억2500만원이 하락한 것이다. 불과 7개월 만에 집값이 크게 떨어진 셈이다.
해당 아파트는 경부고속도로 반포IC 인근으로, 서울 지하철 9호선 신논현역과 2호선 강남역 사이에 위치해 있어 이른바 더블역세권에 해당함에도 하락세를 피하지 못한 것이다.
이 같은 흐름은 강동구에서도 포착된다. 강동구 암사동 ‘롯데캐슬퍼스트’ 84.98㎡는 지난달 23일 10억원에 거래됐다. 작년 6월 동일한 주택형이 16억원으로 최고가를 기록했던 것을 감안하면 1년 5개월 만에 6억원이 빠져 38% 가량 하락세를 보였다.
특히 전세 최고가가 9억2000만원이었던 점에서 ‘깡통 전세’가 우려된다. '깡통 전세'는 전세가가 매매가보다 높아 세입자가 전세보증금을 돌려받지 못할 우려가 있는 상황을 말한다. 해당 아파트는 서울 지하철 5호선 명일역까지 걸어서 10분 정도면 가는 역세권이다.
이 같은 사례들은 온라인 커뮤니티 MLBPARK, 디씨인사이드 부동산 갤러리 등에 공유되면서 네티즌들의 관심을 받고 있다.",https://n.news.naver.com/article/014/0004940273
천호1·3구역에 공원 만든다···지하에 주차장·수영장도,2021.10.06,"[서울경제]
천호·성내 생활권에 체육시설이 조성되며 주민의 생활 편의가 높아질 예정이다.
6일 서울시는 지난 5일 열린 제9차 도시재정비위원회에서 천호 재정비촉진계획 변경안을 수정가결했다. 강동구 천호동 423번지 일대 천호재정비촉진지구 천호3구역 내 녹지를 공원으로 변경하고 바로 옆의 천호1구역에 조성되는 공원 부지와 통합해 하나의 공원으로 조성한다는 계획이다.
공원 부지 지하공간에는 지하주차장과 수영장이 들어선다. 또 작은 도서관·강의실을 함께 갖춘 동주민센터 등 지역내 필요한 공공서비스도 제공된다.
이들 시설은 천호1·3구역에서 촉진사업의 일환으로 기부채납 예정인 부지를 강동구에서 각 구역별로 협의 조정을 해 제안됐다. 시설별 조성 주체와 비용 부담 등 역할을 부담해 사업이 추진될 예정이다.
이와 함께 천호3구역 북측으로 올림픽로와 구천면길을 동서로 연결하는 장기 미집행 도로를 천호지구 촉진사업과 연계해 강동구에서 폭 8m로 확장·정비하는 계획도 결정됐다.
김성보 서울시 주택정책실장은 “민·관협력을 통해 기존 계획인 공공시설 부지에 천호·성내 생활권에 부족한 체육시설 등 공공시설을 복합해 조성함으로써 주민편의와 삶의 질 향상에 기여할 것으로 기대한다”고 말했다.",https://n.news.naver.com/article/011/0003969705
"강동구, 깡통전세 피해 예방 온라인센터 운영",2023.03.15,"강동구청
[강동구 제공. 재판매 및 DB 금지]
(서울=연합뉴스) 고은지 기자 = 서울 강동구(구청장 이수희)는 깡통전세·전세사기 피해를 예방하기 위한 온라인 센터를 운영한다고 15일 밝혔다.
이 온라인센터에서는 깡통전세 피해 유형과 사례, 깡통전세 예방법과 계약 전후 확인 사항, 전세 시세를 알 수 있는 서울시 전세가격 상담센터 이용 방법 등을 안내한다.
보증금을 돌려받지 못한 구민에게는 지난해부터 운영 중인 부동산 전문상담제를 통해 온·오프라인 법률 서비스를 제공한다.
이외에도 구는 전세가율이 80% 이상인 신축빌라 밀집 지역과 불법 중개 의심 지역을 대상으로 부동산 불법 중개행위를 집중적으로 단속한다.
주요 단속 내용은 ▲ 무자격 중개 행위 ▲ 중개대상물 확인·설명 이행 여부 ▲ 부동산 실거래가와 계약 금액의 일치 여부 ▲ 기타 공인중개사법에 의한 금지 행위 위반사항 등이다.
구는 위법 사항이 확인되면 행정처분·수사 의뢰 등의 조처를 할 예정이다.
eun@yna.co.kr",https://n.news.naver.com/article/001/0013816079
"강동구, 가칭 GTX-D노선 관내 유치 나선다",2020.03.13,"[이데일리 박민 기자] 서울 강동구는 정부에서 도입을 검토하고 있는 수도권 광역급행철도 네 번째 노선 ‘GTX-D’(가칭)의 관내 유치를 추진한다고 13일 밝혔다.
GTX-D노선은 지난해 10월 대도시광역교통위원회가 발표한 ‘광역교통 비전 2030’에서 처음으로 나왔던 내용이다. 당시 대도시광역교통위원회는 “수도권에서 GTX A·B·C emd 3개 노선을 이용할 수 없는 지역이 있다”며 “수도권 서부지역에 광역급행철도 신설을 추진하겠다”고 밝힌 바 있다.
국토교통부도 지난달 27일 발표한 ‘2020년 업무보고’에서 내년 말까지 ‘제4차 광역국가철도망계획안’을 수립하는 과정에 서부권 GTX 도입을 검토한다고 밝힌 바 있다. 다만 아직 구체적인 도입 시점과 대상 지역은 전혀 정해지지 않은 상태다.
이에 강동구는 발 빠르게 사전 타당성 조사용역을 시행하고, 정책세미나·설명회 등을 통해 주민 공감대를 형성해나갈 계획이다.
또 인근 도시와 긴밀히 협의하고 추후 국토교통부와 서울시에 건의안을 전달하는 등 구를 경유하는 GTX-D 노선안이 정부의 제4차 국가철도망 구축계획에 반영될 수 있도록 추진할 계획이다.
강동구는 고덕주공 3~7단지 재건축정비사업, 고덕강일 공공주택지구 등 고덕·강일·상일동을 중심으로 한 대규모 개발 사업이 진행되고 있고, 인근 하남시의 신도시 조성사업 등과 맞물려 향후 교통 수요가 폭발적으로 증가할 것으로 보고 있다.
이정훈 구청장은 “강동구는 2023년엔 인구 55만 대도시가 될 전망”이라며 “현재 추진 중인 지하철 5·8·9호선 연장 사업과 함께 강동구를 경유하는 광역급행철도 노선인 GTX-D 도입에 힘쓰겠다”고 말했다.
박민 (parkmin@edaily.co.kr)
벤츠 시승하고 차량용 무선충전기 받기▶
네이버에서 ‘이데일리’ 구독하기▶
|
청춘뉘우스~ 스냅타임▶
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004597073
"[단독] '서울 강동~남양주왕숙' 9호선 연장, 기재부 예타통과",2021.09.27,"서울 강동구에서 3기 신도시 남양주왕숙까지 잇는 지하철 9호선 연장사업이 본격화할 전망이다.ⓒ서울시
[데일리안 = 배수람 기자] 서울 강동구에서 3기 신도시 남양주왕숙까지 잇는 지하철 9호선 연장사업이 본격화할 전망이다.
27일 관계 부처 등에 따르면 최근 기획재정부는 공공기관 예비타당성 조사 결과, 해당 노선에 대한 경제적 타당성이 높다고 판단하고 한국토지주택공사(LH)에 관련 내용을 전달했다.
이에 대해 LH 관계자는 ""기재부로부터 하남 미사를 거쳐 남양주왕숙까지 잇는 9호선 연장사업 예타 통과 관련 내용을 통보 받았다""고 설명했다.
앞서 정부는 기존 서울 강동 강일1지구까지 연결 예정인 9호선 4단계 사업을 경기 하남을 거쳐 남양주왕숙까지 연장하는 광역교통개선대책을 확정한 바 있다.
이번 예타 통과로 LH와 관련 지자체 등은 기본계획 수립 및 실시설계 등 절차를 밟아 착공에 들어갈 계획이다. 노선은 오는 2028년 개통을 목표로 한다.
9호선이 연장되면 남양주왕숙에서 서울 강남 접근성이 크게 개선될 것으로 예상된다. 종전 1시간 이상 소요되던 강남역 방면 이동시간이 45분대로 단축될 전망이다.
한편, 지하철 9호선 4단계 연장사업 중 2공구 '대명초교입구 교차로~고덕아이파크' 1.289km 구간 공사는 지난달 말 시작됐다. 9호선 4단계 연장사업은 강동구 중앙보훈병원역을 시작으로 길동생태공원, 한영고, 5호선 고덕역을 거쳐 고덕강일1지구까지 4.12km 구간에 4개역을 신설하는 사업이다.",https://n.news.naver.com/article/119/0002533020
