제목,날짜,본문,URL
"서울시, 강북구 우이동 일대 노후주택 집수리 지원",2021.12.24,"금천구 시흥동에는 자율주택 용적률 완화
강북구 우이동 39-2 일대 주택성능개선지원구역. (제공=서울시)
서울 강북구 우이동 39-2 일대가 노후 저층주거지 집수리 활성화를 위한 구역으로 지정됐다.
서울시는 23일 제6차 도시재생위원회 소규모주택수권분과위원회를 열고 이 일대를 주택성능개선지원구역으로 신규지정했다고 24일 밝혔다.
해당 지역은 4층 이하 저층주택이 밀집한 곳이다. 사용승인 후 20년 이상 된 주택이 전체 건물의 60% 이상을 차지하는 등 주거환경을 열악해 정비·개량 필요성이 제기돼왔다.
주택성능개선지원구역으로 지정되면 서울가꿈주택 사업의 집수리 보조금과 융자금을 지원받을 수 있다. 단열·방수 등 주택성능개선 공사비의 50% 범위에서 최대 1550만원 이내의 비용을 집수리 보조금으로 지원받을 수 있다. 신축 융자금은 공사비의 80%, 최대 1억원 범위 내에서 연 0.7%의 저리융자 혜택을 받을 수 있게 된다.
이번 신규지정으로 서울 내 주택성능개선구역은 160개소가 됐다. 이는 저층주거지 111㎢의 25%에 해당한다.
서성만 서울시 균형발전본부장은 ""신규 지정된 지역은 최고고도지구로 서울시 집수리 지원 사업을 통해 주거환경개선이 이뤄질 것으로 기대한다""며 ""앞으로도 지역 균형발전을 위해 개발이 어려운 구역을 적극 발굴하고 주민 의견을 최대한 반영해 구역을 지정할 것""이라고 말했다.
한편 이날 위원회에서는 금천구 시흥동 210-4필지에 대한 자율주택정비사업 사업시행계획안도 수정가결됐다. 다세대주택으로 공급되는 16가구 중 11가구를 공공임대주택으로 계획해 법정 상한까지 용적률을 완화받았다.",https://n.news.naver.com/article/277/0005020533
노원·강북·서대문 등 '들썩'…서울 아파트 7월도 거래 폭발,2024.08.02,"도심 접근성 좋은 곳이나
가격 부담 덜한 곳 인기
서울 아파트값이 19주 연속 오르면서 거래량도 늘어나고 있다. 지난 6월 서울 아파트 거래량은 7411건으로 7000건을 훌쩍 넘은 데 이어 지난달에도 증가세가 가팔라 8000건을 웃돌 것으로 전망된다. 올해 상반기 강남 3구(강남·서초·송파구)와 마용성(마포·용산·성동구) 등이 주도한 아파트 거래가 상대적으로 가격이 낮은 노원구, 관악구 등에서도 활발해지고 있다.
2일 서울시 부동산정보광장에 따르면 이날까지 집계된 7월 서울 아파트 거래량은 5102건에 달한다. 거래량이 하루 300건 안팎을 기록하고 있다. 아직 거래 신고 기한(30일)이 한 달가량 남아 최종 거래량은 8000건을 넘을 것이라는 관측이 나온다.
거래량이 가파르게 늘어난 지역은 노원구, 강북구, 영등포구, 서대문구 등이다. 도심 접근성이 양호한 중저가 지역이 거래 증가를 이끌고 있다는 의미다. 노원구는 이날까지 집계된 7월 거래량이 440건에 육박한다. 6월(441건) 전체 거래량과 맞먹는 규모다. 강북구(6월 100건→7월 92건) 관악구(200건→152건) 영등포구(342건→284건) 서대문구(309건→246건)에서도 거래가 가파르게 늘고 있다.
강남권은 높은 가격 부담에 거래가 다소 주춤했다. 국토교통부 실거래가 공개시스템에 따르면 반포동 ‘아크로리버파크’ 전용면적 84㎡는 지난달 50억원에 손바뀜했다. 집값 상승으로 매도자가 매물을 거둬들이거나 호가를 올리고 있다. 매수 희망자는 가격이 부담돼 추격 매수를 망설이고 있다고 현지 중개업소는 설명했다. 6월 443건에 달했던 서초구 거래량이 지난달 173건에 그친 이유다.
전문가들은 이달 나올 정부의 공급 대책, 금리 인하, 대출 규제 여부를 거래량의 변수로 꼽는다.",https://n.news.naver.com/article/015/0005017473
미아사거리역 주변 주거상업 여건 개선…“강북 생활권 중심지로”,2024.05.22,"‘미아중심 지구단위계획 재정비(안)’ 수정가결
정비사업 해제지역 노후도 심각…정비 활성화 기대
강북구 미아동 70번지 일대 [서울시 제공]
[헤럴드경제=박로명 기자] 서울시는 제4차 도시재정비위원회에서 ‘미아중심 지구단위계획 결정(변경)안’을 수정가결 했다고 22일 밝혔다.
이번 결정은 미아중심재정비촉진지구(강북구 미아동 70번지 일대) 내 촉진구역이 대부분 해제된데 따른 것이다. 존치관리로 지속되어 온 지역 위주로 심각하게 증가된 중소규모 노후건축물의 개발 여건을 개선하는 방향으로 이루어졌다.
이 일대는 2005년경 8개의 도시환경정비 예정구역을 지정했으나 주민들의 반대로 대부분 정비구역이 해제(50%이상)됐다. 현재까지 신축건물은 5%에 불과하다.
시는 정비구역 해제 후 획일적인 획지계획에 묶여 개발이 어려웠던 필지에 대해 자율적으로 개발이 가능하도록 공동개발 규제를 최소화했다. 이면부 도로폭 확보를 위해 보차혼용통로와 건축한계선을 다양하게 설정했다.
강북7구역의 경우 이번에 정비구역을 해제하고 특별계획구역으로 계획했다. 이에 따라 1966년 준공된 2층 규모의 숭인시장은 주거와 근린생활이 어우러진 고층 복합건축물로 재탄생할 전망이다.
아울러 도봉로 가로활성화를 위해 휴게녹지공간(공개공지 등) 확보, 미아사거리역 4번(및 5번) 출입구를 인접부지로 이전, 상업지역(60→120m) 및 준주거지역(40→ 80m) 높이 완화를 통해 간선가로변 개방감을 확보했다.
한병용 서울시 주택정책실장은 “이번 결정을 통해 미아사거리역 일대 소규모 노후 건축물 정비여건이 개선돼 상업과 주거가 균형잡힌 생활권이 조성될 수 있도록 행정적 지원을 아끼지 않겠다”고 밝혔다.",https://n.news.naver.com/article/016/0002311820
강북구 우이천 6개소 하천 고립사고 예방시설 설치,2017.09.29,"전국 최초로 원격감시 ·제어시스템 개발 신속한 출입통제 및 상시 모니터링 시행 예정
[아시아경제 박종일 기자] 강북구(구청장 박겸수)가 폭우 시 하천변 고립사고에 대비, 우이천 6개소에 예방시설을 10월부터 12월까지 설치한다.
그동안 우이천 등 3개 하천에 CCTV, 문자 전광판, 스피커 등을 지속적으로 설치, 고립사고 발생에 대비해 왔으나 단시간에 게릴라식 폭우가 잦아짐에 따라 예방시설인 출입 통제 장치를 추가로 설치한다는 계획이다.
우이천은 하천 진 ·출입로가 29개소로 상당히 많은 편이지만 새벽시간대의 기습적인 폭우 시 출입 제한이 불가능하다.
이런  문제점을 보완하기 위해 구는 전국 지자체 최초로 하천 출입차단기와 원격감시 ·제어시스템을 설치, 신속한 출입통제 및 상시 모니터링을 시행할 예정이다.
차단기 설치
구 관계자는 “전국 최초로 설치되는 시범적 장비인 만큼 운영효과 등을 분석, 확대시행 여부를 검토할 예정”이라고 밝혔다.
원격 감시와 제어가 가능한 이번 시스템 구축은 기존에 설치된 CCTV, 수위계 등을 활용한다. 구는 장비 본래의 기능을 활용하면서 유선통신망 대신 사물인터넷망을 사용함으로써 연간 250만원의 예산절감 효과도 거둘 수 있을 것으로 예상한다.
박겸수 강북구청장은 “주민의 안전 확보는 사고를 예방하는 데서부터 시작된다”면서 “앞으로 주민안전시설을 더 많이 설치, 사고예방 신속성과 효율성 모두를 얻을 수 있기를 기대한다”고 말했다.
박종일 기자 dream@asiae.co.kr
▶ 양낙규의 [군사이야기]
▶ #오늘의 특징주!
▶ #오늘의 많이 본 (클릭!)
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0004086533
"""지쳤다면 쉬어가요"" 서울강북청소년드림센터 개소",2015.06.03,"센터 전경, 서울시 제공
서울시-포스코-여가부 공동 설립
(서울=연합뉴스) 이정현 기자 = 서울시가 부지를 제공하고 포스코1%나눔재단이 건립비를, 여성가족부가 운영비를 지원해 설립한 서울시립 강북청소년드림센터가 3일 강북구 수유동에 문을 연다.
서울시는 민관 협력으로 청소년 쉼터를 건립하는 것은 이번이 처음이라고 설명했다.
센터는 지상 4층, 전체면적 333.37㎡로 지어졌으며 위기(가출)청소년을 일시적으로 보호하고 상담을 지원하는 기능을 한다.
최근 여성 청소년을 위한 망우단기쉼터가 문을 연 데 이어 강북센터에는 남성 청소년이 최장 7일까지 머물 수 있는 쉼터를 개관, 서울 북부지역 위기 청소년의 보호 기능을 강화할 수 있게 됐다고 시는 설명했다.
강북센터 쉼터 정원은 총 10명으로, 상담과 인성·진로교육 서비스도 제공된다.
센터 1층에는 청소년과 주민이 함께 이용할 수 있는 휴(休)카페, 2층에는 청소년 쉼터, 3층에는 상담실, 4층에는 프로그램실과 다목적실이 자리잡았다.
개소식은 이날 오후 3시 센터 1층 움(Um:)카페에서 열린다.
한국영 서울시 평생교육정책관은 ""집과 학교를 떠나는 위기 청소년들이 매년 증가하는 상황에서 청소년 쉼터를 지속적으로 확충해 이들을 안전하게 보호하고 건강한 사회 일원으로 성장할 수 있게 다각도로 지원하겠다""고 말했다.
lisa@yna.co.kr
▶ [현장영상] 근육질 올림픽 금메달리스트, 성전환 모습 최초 공개
▶ [오늘의 핫 화보] 이건희 회장 병상모습 첫 포착
<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>",https://n.news.naver.com/article/001/0007635028
"강북구,여름철 집중 호우 대비 구민 생명 보호 나서",2015.05.18,"공사 사진
하수관로 정비공사, 수방자재 확충, 비상근무 체계 확립, 유관기관 협조 강화 등 재난 발생 예방 및 대비 철저
[아시아경제 박종일 기자]  강북구(구청장 박겸수)가 본격적인 장마철을 앞두고 여름철 풍수해 발생으로부터 구민의 생명과 재산을 안전하게 보호하기 위해 ‘2015 풍수해 대책’을 마련했다.
‘2015 강북구 풍수해 대책’은 ▲수방대책 비상근무 체계 및 유관기관 협조체제 강화 ▲수방시설 유지 관리 강화 및 관련 사업 우기 전 완료 ▲재해위험시설물 정비·점검 및 응급조치 등 특별관리 ▲진행 중인 공사장 관리 등의 내용을 담고 있다.
이를 통해 구는 여름철 기상이변으로 인한 각종 재난·재해에 철저히 대비, 대처 능력을 향상시켜 피해 발생과 확산을 최소화한다는 방침이다.
우선 구는 풍수해대책기간인 5월15~10월15일 재난안전(풍수해)대책본부를 구성, 24시간 재난안전(풍수해)대책상황실을 운영한다.
15일 현판식을 갖고 본격 운영에 들어간 재난안전(풍수해)대책본부는 상황관리총괄반, 시설응급복구반, 긴급생활안전지원반, 의료방역반 등 실무 13개반 84명으로 구성되었으며 풍수해 등 비상 발생 시 동 주민센터 및 자체 산하기관과 연계해 풍수해대책을 총괄하며 기상 상황에 따라 탄력적으로 운영될 계획이다.
구는 수방시설 등에 대한 사전점검을 실시, 폭우로 인한 침수 피해 발생에도 대비하고 있다.
하수관로 배수를 원활히 하기 위해 상습침수지역 하수관로 25km, 침사지 70개소, 빗물받이 5700개소에 대한 준설 및 세정 작업을 완료했다.
2015년 풍수해대책회의
또 수해 취약지역인 삼양로 20길 주변 등 5개소에 대한 하수관로 확대, 노후·불량 하수관로 정비 작업도 5월 중 완료할 예정이다.
이와 함께 수유2배수분구 하수관로 종합정비공사 추진사업을 통해 총 연장 98.4km 하수관로 중 올해 사업 구간인 7.47km를 정비하고 있다. 이 사업은 강북구 미아동, 번동, 수유제1동, 수유제3동, 인수동 일대의 침수 피해 예방을 위해 2008년부터 매년 시행 중이다.
구는 양수기 778대를 점검하고 마대, 비닐, 재난안전선 등 17종 수방자재 13만여개를 확보해 침수 상황 발생 시 지체 없이 현장에 투입할 수 있도록 준비도 마쳤으며 재난사항을 대비해 초·중·고등학교, 교회, 복지관 등 13개동에 26개소의 이재민 임시주거시설도 확보했다.
지역내 침수 취약가구 24가구에 대해서는 공무원 돌봄서비스를 운영해 1:1 맞춤 피해방지 서비스를 시행할 예정이며, 동주민센터에서도 수중펌프를 대여하고 풍수해 발생 가능성이 높은 주요 구간에는 모래마대를 집중 배치해 필요시 사용할 수 있도록 할 계획이다.
그 밖에도 장마철 집중호우 시 욕실, 베란다, 씽크대 등 집안 배수설비에서 하수가 역류되는 지하주택에는 하수역류방지시설을, 빗물이 유입되는 턱이 낮은 지하출입구 및 창문에는 물막이판을 무료로 설치한다. 또 주택 거주 주민들에게 풍수해보험 가입을 권해 풍수해 발생 시 저렴한 비용으로 보상을 받을 수 있도록 안내하고 있다.
구는 지난달 30일 강북구청 및 유관기관 관계자, 우이경전철 공사관계자 등 80여명이 참석한 가운데 ‘주민과 함께하는 생활 안전도시 구현을 위한 2015년 풍수해 안전대책 회의’를 개최해 장마철 사고 발생 우려가 큰 공사장 등을 대상으로 우기(雨期) 전 수해예방활동과 응급복구 관련 긴밀한 협조체제도 구축했다.
박종일 기자 dream@asiae.co.kr
▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""
▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003500247
"강북구, 세계양금축제 개최",2024.11.01,"4일부터 8일까지
15개국 전통음악 연주자 참여
홍보 포스터. 자료제공=강북구
[서울경제]
서울 강북구 강북문화재단은 국내 최초로 세계양금축제를 유치해 이달 4일부터 8일까지 강북문화예술회관 강북소나무홀 및 강북진달래홀에서 개최한다.
세계양금축제는 1991년 헝가리에서 설립된 세계양금협회를 기반으로 독일·스위스·중국 등 총 33개 가입국이 약 33년간 이어온 세계 전통 음악인들의 축제다. 한국양금협회는 2018년 세계양금협회에 가입했다.
이번 축제에는 헝가리·중국·미국 등 15개국 약 200여 명의 연주자가 참여한다. 양금에 대한 이해를 돕기 위해 관련 책·악보·악기 등 다양한 전시와 학술대회 등도 함께 진행된다. 누구나 무료로 관람할 수 있다.강북문화재단과 한국양금협회는 행사를 앞두고 지난 9월 문화교류 업무협약을 맺고 전통음악 육성을 약속했다.",https://n.news.naver.com/article/011/0004409850
"서울 미아역 일대, ‘숲세권’ 7500가구 주거단지 ‘탈바꿈’…신통기획 확정",2025.02.11,"미아동 258 일대 신속통합기획 조감도. [서울시 제공]
수도권지하철 4호선 미아역 500ｍ 앞, 오패산 자락 구릉지 노후 저층주거지가 신속통합기획을 통해 7500가구 '숲세권' 주거단지로 탈바꿈된다.
서울시는 강북구 미아동 258·번동 148 일대, 2개소의 신속통합기획을 확정했다고 11일 밝혔다.
시는 연접 대상지 2개소 기획을 동시에 추진해 보행·녹지·경관 등이 유기적으로 연결, 사업 실현성을 획기적으로 높였다고 취지를 설명했다.
대상지는 오패산 자락에 면한 제1종주거지역으로, 최대 60m 이상(최고 114m·최저 46m) 높이 차와 급경사에 좁은 도로로 인해 보행이 불편한 곳이다. 주민 대부분이 마을버스를 이용하고 있지만 급경사에 협소한 도로로 교통사고 위험도 높은 편이다.
시는 이번 기획에서 미아~번동 지역 연계를 위한 도로·공원 등 기반시설 정비, 경사 지형을 고려한 대지 조성 및 보행 동선 계획, 배후산 등 주변과 조화롭고 지역으로 열린 경관 창출 등에 대한 내용을 담았다.
용도지역 상향(제1종→제2종주거)과 유연한 높이계획 등을 통해 지역 맞춤형 도시계획을 수립했다. 또 '2030 서울특별시 도시·주거환경정비기본계획'의 사업성 보정계수와 현황용적률을 인정하는 등 사업 지원 방안도 도입했다.
활용도가 비교적 낮았던 기존 공원을 구역에 편입해 확대 재조성한다는 내용도 담겼다. 아울러 기반시설을 복합화해(상부 공원+하부 도로·체육시설 등 중복 결정) 효율적인 토지 이용을 도모했다.
미아동 258 일대 신속통합기획 위치도. [서울시 제공]
급경사와 기형적 도로 구조로 교통사고 위험이 높았던 기존 도로 체계도 정비했다. 또 오패산로 구간 확폭(2→4차선)과 마을버스 노선을 고려한 미아동 남동측 도로 신설을 통해 단지 내 차량 진·출입을 원활하게 하고, 미아-번동 일대 교통 흐름까지 개선할 계획이다.
이번 '미아동 258 및 번동 148 일대 재개발' 기획 확정으로, 서울시 신속통합기획 대상지 149개소 중 91개소(16만호)가 기획을 완료했다. 91개소 중 현재 △정비구역 지정 32개소 △사업시행계획인가 4개소 △착공 2개소 등 후속 절차를 진행 중이다.
조남준 서울시 도시공간본부장은 ""이번 신속통합기획은 노후주거 환경을 획기적으로 개선하면서 오패산 자연이 담긴 쾌적한 주거단지로 탈바꿈시키는 데 초점을 두고 진행됐다""면서 ""편리한 교통과 보행, 녹지가 연계된 곳으로 수준 높은 주거환경을 누릴 수 있도록 앞으로도 지원을 아끼지 않을 것""이라고 말했다.",https://n.news.naver.com/article/029/0002934698
"강북구, 지적·토지행정 앞선 자치구 평가 화제",2016.12.06,"2012~2015년(지적측량, 토지정책, 부동산평가 분야 등) 이어 5년 연속 최우수 쾌거... 감정평가사 현장상담제 운영, 내 토지의 공적변동자료 시스템구축 등 높이 평가
[아시아경제 박종일 기자] 서울 강북구가 감정평가사 현장상담제 운영와  '내 토지의 공적변동자료 시스템' 구축 등을 통해 주민들에게 편리성을 높여 좋은 평가를 받고 있어 화제다.
강북구(구청장 박겸수 ·사진)는 서울시 2016년 지적 ·토지업무 운영실적 평가에서 부동산평가 분야 ‘최우수구’로 선정됐다.
박겸수 강북구청장
2012년 지적측량 분야 최우수, 2013년 토지정책 분야 최우수, 2014년 부동산평가 분야 최우수, 2015년 토지정책 분야에 이어 5년 연속이다.
이번 발표는 서울시 25개 자치구에서 실시한 지적 ·토지업무 관련 추진실적을 평가한 결과로 평가항목은 ▲토지정책 및 부동산정보 ▲부동산평가 ▲부동산중개업 ▲공간측량 4개 분야이며 평가대상 기간은 지난해 10월부터 1년간이다.
전 분야 고루 우수했던 강북구는 특히  '감정평가사 현장상담제'를 운영, 이의신청 접수된 전체토지에 대해 감정평가사와 담당자가 현장을 방문, 주민에게 가격형성 요인 등을 직접 설명함으로써 지가민원을 해소하는 등 개별공시지가의 공정성 확보에 노력했다.
또 도시계획사업 등으로 변동된 필지를 인터넷상으로 확인할 수 있는  '내 토지의 공적변동자료 시스템'을 구축하는 등 부동산평가 분야에서의 업무 추진 노력과 성과의 우수성을 높이 평가받았다.
부동산평가분야 외 부동산중개업소 휴 ·폐업신고시 사업자등록 휴 ·폐업까지 일괄 접수하는 '원스톱(One-Stop)서비스'를 제공, 현재 이원화된 부동산중개업 휴 ·폐업 처리업무 일원화를 통해 민원불편을 해소함으로써 구민의 시간적 경제적 비용을 절감할 수 있도록 했다.
또 부동산행정정보 및 지적공부 불일치 자료정비와 관련, 자료정비추진반을 구성하고 국 ·공유지 자료정비, 토지 ·건축물 자료정비 등을 적극 추진해 토지이용 효율성 증대 및 지적관리 제도의 적정성을 도모하는 등 부동산중개업 및 공간측량 분야에서도 좋은 평가를 받았다.
그 밖에도 강북구는 25개 자치구 지적 ·토지업무 미래발전 워크숍을 통해 관련법령 및 제도운영 개선과제 등을 발표하고 정보교환 및 협력체계를 강화하는 등 업무성과 창출에 노력한 점도 토지정책 분야에서 높이 평가받았다.
박겸수 강북구청장은 “앞으로도 선진화된 부동산행정 구현을 목표로 첨단화된 지식정보 습득과 측량기술 도입으로 지속적인 업무개선을 통해 구민들에게 신뢰받는 지적 ·토지행정을 펼치도록 최선을 다하겠다”고 말했다.
박종일 기자 dream@asiae.co.kr
▶ 최강의 재미 [아시아경제 카드뉴스]
▶ 맛있는 레시피
▶ 양낙규의 [군사이야기]
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003885894
강북 최고 한강뷰 아파트 190가구 늘었다…한남3구역 6006가구로 건립[부동산360],2024.03.31,"재정비촉진계획 변경
가구수 늘고 높이는 그대로
한남3구역 투시도[사진=현대건설 제공]
[헤럴드경제=박자연 기자]한남뉴타운에서 가장 사업 속도가 빠른 한남3구역이 정비계획을 변경하며 가구 수를 소폭 늘렸다. 이에 따라 올해 예정된 일반분양 물량도 다소 증가할 예정이다.
용산구청은 지난해 이주를 시작한 서울시 용산구 한남동 한남3 재정비촉진구역이 기존 5816가구에서 6006가구로 190가구 늘어날 예정이라고 29일 공람 공고했다. 지난해 조합 측이 재정비촉진계획변경안을 접수했고, 이에 따라 용적률 조건 등이 소폭 완화되면서 임대 주택을 포함해 가구 수가 늘어난 것이다.
당초 한남3구역 조합은 한강 조망 가구 수 증가, 높이 규제 완화 등을 골자로 한 재정비촉진계획 변경을 원했다. 한남뉴타운은 인근에 남산 있는 만큼 ‘남산 해발고도 90m이하’, ‘반포대교 남단에서 남산 7부 능선 조망 확보’ 등 규제를 받는다. 하지만 서울시에서 기존 지침을 고수하며 조합에 촉진계획변경안 수정을 요청했고 이번 촉진계획변경은 높이 규제 완화 없이 이뤄졌다. 용적률의 경우 232.5%에서 238.5%로 다소 증가했다.
변경된 건축계획을 보면, 분양주택이 기존 4940가구에서 5105가구로 늘었고 임대주택도 876가구에서 901가구로 증가했다. 임대주택의 경우 전용 60㎡ 미만으로만 구성되며 전용 40㎡ 미만 소형주택(412가구)이 가장 많다. 분양주택 5105가구는 대부분이 중소형 평형으로 구성됐다. 전용 50㎡ 이상~60㎡ 미만이 1902가구이며, 60㎡ 이상~85㎡ 미만이 2134가구로 계획됐다. 전용 85㎡ 이상은 1069가구로 구성된다. 한남3구역 일반분양은 올해로 예정돼있으며 2029년 입주를 계획 중이다.
한남3구역 재개발 사업은 한남동 686번지 일원에 위치한 노후 주택들을 지하6층~지상22층 높이 공동주택과 주상복합, 부대복리시설 등으로 다시 짓는 사업이다. 한남3구역 조합은 2020년 6월 현대건설을 시공사로 선정했으며, 현대건설은 자사 하이엔드 브랜드인 디에이치를 한남3구역에 적용하기로 했다.
한남3구역은 입지적으로 훌륭하다는 평가를 받는다. 한강과 남산을 끼고 있으며 걸어서 10분 거리에 지하철 6호선 이태원역이 있어 교통환경이 우수하다. 보광초, 한남초, 오산중, 오산고 등이 가까워 학군도 뛰어나다. 현대백화점, 순천향대서울병원 등 편의시설도 인접하다.
이번 재정비촉진계획 변경에 따라 한남뉴타운에는 1만3134가구가 들어설 계획이다. 3구역은 관리처분계획인가가 지난해 6월 고시되며 한남뉴타운 가운데 가장 빠르게 사업이 진행되고 있다. 2003년 11월 한남뉴타운지구 지정 이후 20년만인 지난해 10월 이주를 시작했다. 구역 내 이주 대상은 총 8300여 가구다.
한편 한남2구역은 지난 2021년 사업시행계획인가를 받고 2022년 시공사 선정(대우건설)까지 마쳤다. 4구역과 5구역은 지난 1월 건축심의 접수를 완료하고 올 상반기 시공사 선정에 나설 예정이다.",https://n.news.naver.com/article/016/0002288300
