제목,날짜,본문,URL
[아파트 시황] 양천·서초·강서 아파트값 오름세,2016.07.08,"부동산114에 따르면 이달 들어 서울 아파트 매매 시장은 양천·서초·강서를 중심으로 상승세를 보였다. 수도권 신도시는 평촌과 일산 등이 오른 반면 김포한강과 분당은 내림세를 보였다.
전세 시장은 서울에서 은평·서대문·광진 등이 오른 반면 강동과 서초는 떨어졌다. 수도권에서는 동탄과 일산, 광교 등이 올랐고 평촌과 분당 등은 하락했다.
한편 부동산114가 지난달 말 전국 1502명을 대상으로 '2016년 하반기 주택 시장 전망' 설문조사를 실시한 결과 응답자의 절반가량(45.67%)이 하반기에 주택 매매가격이 크게 변하지 않을 것이라고 답했다. 상승과 하락은 각각 30.36%와 23.97%로 상승 전망이 다소 우세했다. 전세가율이 80%를 넘는 단지가 늘면서 매매 전환하는 수요가 생긴다는 점이 상승 전망의 주 원인으로 꼽혔다.
한편 전세가격은 상승(56.32%)할 것이라는 답이 많았다. 저금리 기조 속에 주택 소유자들의 월세 선호가 심화된 것이 전세가격 상승의 원인으로 지목됐다.
[김인오 기자]
[매일경제 공식 페이스북]
[오늘의 인기뉴스]
[매경 프리미엄]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",https://n.news.naver.com/article/009/0003763952
서울 공항동에 역세권 청년주택 299가구 공급,2019.11.18,"[머니투데이 김희정 기자] [서울시 건축허가 승인, 강서구에만 6번째]
서울시가 강서구 공항동 50-1번지 일대에 역세권 청년주택 총 299가구(사진)를 공급한다. 김포공항과 인접해있고, 지하철 5호선 송정역과 9호선 공항시장역 인근에 위치한 교통 요충지다.
서울시는 18일 공항동 일대 역세권 청년주택 공급촉진지구를 지정하고 건축허가를 승인했다. 공항동 역세권 청년주택은 40여 년 된 기존 노후 근린생활시설을 철거하고 총연면적 1만9884.34㎡ 규모의 지하4층~지상14층 주거복합 건축물로 건립된다.
공공임대 54가구, 민간임대 245가구, 총299가구가 들어설 예정이다. 지하 4층~2층은 주차장, 지하1층~지상2층 근린생활시설, 지상3층~14층은 청년주택으로 구성된다.
강서구에 역세권 청년주택이 들어서는 것은 이번이 6번째로 서울시 25개 자치구 중 역세권 청년주택 최다 밀집 지역이 된다. 앞서 화곡동(2곳 총 629가구), 염창동(1곳 520가구), 등촌동(2곳 총 537가구)에서도 건축허가를 받고 역세권 청년주택 건립을 준비 중이다.
시는 민간 사업시행자들이 강서구의 우수한 교통 인프라와 마곡 글로벌 MICE 클러스터 구축 등 성장 잠재력을 높이 평가해 사업이 활발하게 이뤄지고 있다고 분석했다.
류 훈 서울시 주택건축본부장은 “화곡, 염창, 등촌동에 이어 이번 공항동까지 강서구 일대에 역세권 청년주택이 확대되면서 지역경제발전에 기여할 것”이라며 “교통이 양호한 역세권에서 대학생, 사회초년생, 신혼부부를 위한 양질의 주택을 공급해 청년 주거를 안정시키고 도심 주택난을 해소하겠다”고 말했다.
김희정 기자 dontsigh@mt.co.kr
▶'재혼' 남편아이 6년 키웠는데 재산 못준대요
▶후회없는 선택하는 4가지 방법
▶머투 네이버 구독하기
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004311274
"강서구, 우중충한 학교 옹벽을 동심 가득 벽화로 탈바꿈",2016.11.28,"【서울=뉴시스】이재우 기자 = 서울 강서구(구청장 노현송)는 최근 우장초등학교 후문과 연결된 길이 80m, 높이 4m 규모 시멘트 옹벽에 벽화 조성 작업을 완료했다고 28일 밝혔다.
우장초등학교 옹벽은 그동안 도로변 먼지로 인한 부분 변색과 벽면 상태 불량 등으로 학생과 학부모, 인근 주민들의 개선 요구가 많았던 곳이다.
강서구는 이곳을 도시미관을 살리면서 아이들의 꿈도 담을 수 있는 곳으로 만들자는 주민의견을 반영해 주민참여예산 2000만원을 들여 전교생 794명의 그림을 벽화로 만들었다.
우장초등학교 전교생이 각자 그림을 하나씩 제출했고 모든 그림을 벽화 전문업체가 로봇 페인팅 작업을 통해 벽화로 그려 넣었다.
강서구는 동심이 담긴 벽화가 훼손되지 않도록 내구성을 높이는 마감처리를 하고 학교 측과 협의해 꾸준히 관리할 게획이다.  환경 개선이 필요한 다른 학교와도 협의해 사업을 확대할 예정이다.
강서구 관계자는 ""우중충한 시멘트 담벼락이 아이들의 동심을 표현한 산뜻한 벽화로 재탄생해 주변 반응이 무척 좋다""며 ""학교 폭력이나 집단 따돌림이 사회적 문제가 되는 요즈음 전교생이 모두 참여해 벽화를 만듦으로써 자존감과 교우관계 증진에 도움이 될 것으로 기대된다""고 말했다.
ironn108@newsis.com
뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요
뉴시스 SNS
[페이스북]
[트위터]
<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",https://n.news.naver.com/article/003/0007616721
"'마곡 땅' 5천억 남긴 이마트, 현금 유동성 추가 확보…신규투자 속도",2020.03.05,"마곡 CP4구역 7년 만에 2430억원→8000억원
현금성자산 1조원 이상 확보…온·오프라인 체질 개선
© News1 이지원 디자이너
(서울=뉴스1) 김종윤 기자 = 이마트가 스타필드 예정지였던 서울 마곡지구 땅 매각을 위한 우선협상자를 선정했다. 매각 절차가 순조롭게 마무리된다면 지난해 확보한 1조원에 이어 수천억원을 확보할 수 있을 것으로 기대된다. 투자를 위한 '실탄'에 여유가 생기는 만큼 온·오프라인 체질 개선에 속도가 붙을 것이란 전망도 나온다.
◇ 2013년 2430억원에 매입, 매각 가격 8000억원대 전망
5일 업계에 따르면 태영건설-메리츠종금증권 컨소시엄은 이마트가 보유한 서울 마곡지구 CP4구역 매각 우선협상대상자로 선정됐다.
이마트는 2013년 SH(서울주택도시공사)로부터 2430억원을 주고 CP4구역을 매입했다. 당시 지역 주민들 사이에선 스타필드 마곡이 조성될 것이란 기대감이 컸다.
이후 유통 시장 상황이 급변했다. 이마트 예상과 달리 온라인 공세가 거셌다. 이커머스로 소비자가 몰리면서 오프라인 매장 필요성은 떨어졌다. 이마트가 스타필드 개발 사업에서 매각을 통한 현금 확보로 방향을 선회한 이유다.
유통 업계 관계자는 ""스타필드와 같은 대규모 유통 시설은 사업성을 확보하기가 더 어려워졌다""며 ""인근 마곡 연구단지와 아파트 배후 수요를 기대할 수 있는 사업이 유리하다""고 말했다.
CP4구역 매각금액은 약 8000억원이 될 것으로 예상된다. 매각 과정에서 다수의 업체가 관심을 보이면서 기준점이 높아진 것으로 풀이된다. 태영건설 컨소시엄이 시장가를 훨씬 웃도는 높은 금액을 써낼 수밖에 없었던 이유다. 컨소시엄 관계자는 ""최종 계약금액은 8000억원 안팎이 될 것""이라고 설명했다.
◇ 이마트, 지난해 1조원 이어 추가 유동성 확보
최근 이마트 행보는 현금 유동성 확보에 집중하는 모양새다. 지난해 자가점포 매장을 정리하고 임차를 택하는 세일 앤 리스백으로 약 1조원의 자산 유동화를 마무리했다. 그 결과 지난해 이마트 연결기준 현금성자산은 1조2648억원으로 전년(2837억원)보다 약 1조원 늘었다.
이번 매각까지 순조롭게 마무리된다면 추가적인 현금 확보가 가능하다. 이마트가 매각으로 얻는 단순 시세차익은 5000억원 이상이다. 지금까지 부담한 금융 비용과 세금을 제외하더라도 상당한 현금을 손에 쥘 수 있다는 게 업계 안팎의 시각이다.
이마트는 확보한 현금으로 적극적인 체질 개선에 나설 방침이다. 올초 8500억원의 투자 방침을 공개했다. 이중 약 30% 규모인 2600억원을 기존 점포 리뉴얼과 유지보수·시스템 개선에 쓰기로 했다.
이마트는 외형 확대 대신 내실 다지기를 시작했다. 지난해 만물 잡화점 삐에로쑈핑을 접기로 하는 등 수익을 내지 못하는 전문점을 정리했다. 이마트 국내 점포 수는 2017년 159개를 정점으로 지난해 158개로 큰 변동이 없다.
업계에선 이마트의 온라인 강화를 위한 투자도 단행될 것으로 본다. 대표적으로 신규 물류센터 사업이 꼽힌다. 현재 용인과 김포에 총 3곳의 물류센터를 두고 있다. 장기적으로 유통 환경 변화에 대응하기 위해선 추가적으로 물류센터를 조성해야 하는 상황이다.
유통업계 관계자는 ""아직은 우선협상 단계로 금액 조정 가능성은 남아 있다""며 ""1조원에 이어 추가로 유동성을 확보한 만큼 체질 개선에 필요한 체력을 다지게 됐다""고 말했다.
passionkjy@news1.kr
▶ 크립토허브
▶터닝 포인트 2020 구매!
▶ 네이버 메인에서 [뉴스1] 구독하기!
© 뉴스1코리아(
news1.kr
), 무단 전재 및 재배포 금지",https://n.news.naver.com/article/421/0004502862
"서울 강서구, ‘전국 최초’ 부동산 안심QR계약서 개발…전세사기 예방",2024.07.31,"서울 강서구(구청장 진교훈)는 전국 최초로 전세사기 예방 정보를 담은 부동산 안심QR계약서(사진)를 만들었다고 31일 밝혔다. <강서구 제공>
서울 강서구(구청장 진교훈)는 전국 최초로 전세사기 예방에 대한 정보를 담은 '부동산 안심QR계약서'를 마련했다고 31일 밝혔다
'부동산 안심QR계약서'는 전세사기 예방 및 대처 방안에 대한 정보를 담은 QR코드가 찍힌 임대차 계약서다. 이를 통해 임차인 스스로 임대차 계약 시 알아야 하는 중요사항 등을 쉽게 확인할 수 있다.
QR코드를 스캔하면 구 누리집을 통해 △전세 계약 핵심 체크리스트 △전세 계약 주의사항 동영상 △계약서 작성 시 단계별 필수 확인 사항을 볼 수 있다.
먼저 전세 계약 핵심 체크리스트는 집 선택부터 임대인 확인, 계약서 작성, 입주 이후까지 각 단계별 유의사항과 전세 계약 시 반드시 확인해야 할 사항을 알려준다. 전세 계약 주의사항 동영상은 전세 계약 전·중·후 발생할 수 있는 다양한 상황을 쉽게 정리했다. 또한 임대차 계약 시 단계별 확인 사항을 이미지로 쉽게 안내한다.
구는 그동안 전세사기 피해자의 상당수가 임대차 계약 시 관련 지식과 경험이 부족한 경우가 많아 임차인 스스로 쉽게 관련 사항을 확인할 수 있도록 안심QR계약서를 만들었다고 설명했다.
QR코드는 공인중개사 부동산거래정보망인 '텐', '다온' 등에서 계약서를 출력하면 확인 가능하다.
진교훈 구청장은 ""누구나 임대차 계약 시 알아야 할 정보에 손쉽게 접근할 수 있도록 부동산 안심QR계약서를 전국 최초로 제작했다""며 ""앞으로도 올바른 부동산 중개 문화 정착과 전세사기 예방을 위해 최선을 다할 것""이라고 말했다.",https://n.news.naver.com/article/029/0002891756
서울 첫 보타닉공원 여의도2배 크기 마곡중앙공원 14일 첫 삽,2015.11.13,"서울 강서구 마곡지구에서 서울 최초의 보타닉 공원(Botanic Park)인 '마곡중앙공원'(가칭·조감도)이 14일 첫 삽을 뜬다.
보타닉 공원은 로 식물원과 공원이 결합된 형태로, 마곡중앙공원은 총 50만3000㎡(유수지 포함 65만7000㎡) 공간에 '식물과 물'을 주제로 크게 도시형 식물원과 호수공원으로 조성될 예정이다.
총 면적은 여의도공원(23만㎡)의 2배가 넘는 규모다. 식물원 내 온실을 제외한 공원의 나머지 부분은 2017년 10월 개장하고, 2018년 5월 온실을 포함한 공원 전체가 문을 연다.
서울시와 SH공사는 마곡중앙공원 조성 대상지(지하철 9호선 마곡나루역 인근)에서 박원순 시장, 변창흠 SH공사 사장을 비롯해 지역주민 등 500여 명이 참석한 가운데 14일 오후 3시 착공식을 개최한다고 13일 밝혔다.
박원순 시장은 ""마곡중앙공원은 서울 서남부 지역에 부족했던 공원녹지 공간을 확충할 뿐만 아니라 서울을 지속가능한 도시이자 사람과 자연이 함께 살아 숨 쉬게 하는 허파로 그 역할을 다할 것""이라고 말했다.
'마곡중앙공원'은 국내 유일의 도시형 식물원, 한강으로 연결되는 아름다운 호수공원, 잔디마당·문화센터 등과 연결되는 열린숲공원, 야생동식물의 서식처인 습지생태원 등 4개의 특색 있는 공간으로 조성될 예정이다.
식물원은 한국의 식물과 정원문화를 보여주는 20개 주제정원, 세계 12개 도시의 식물문화를 보여주는 대규모 온실, 식물문화센터, 가드닝문화체험원과 숲문화원 등으로 꾸며진다.
호수공원은 휴식·산책과 커뮤니티 활동이 가능하도록 청정호수, 보행교, 물놀이장, 물가 쉼터 및 가로수길 등 친수공간으로 조성된다.
열린숲공원은 지하철 9호선, 공항철도 출입구와 지하통로로 바로 연결되며 넓은 잔디마당과 대규모 문화센터가 들어선다.
습지생태원은 한강변에 위치해 저류지와 유수지를 야생동식물이 서식할 수 있는 생태적 공간으로 조성되며, 한강으로 편리하고 자연스럽게 연결될 수 있도록 연결 보행로와 나들목이 설치된다. 변창흠 SH공사 사장은 ""마곡중앙공원이 조성됨으로써 시민들의 휴식과 여가를 위한 공간을 제공하게 될 것으로 기대한다""며 ""시민과 함께 호흡하고 성장하는 새로운 랜드마크가 될 수 있도록 최선을 다해 추진하겠다""고 말했다.
kimhw@fnnews.com 김현우 기자
※ 저작권자 ⓒ
파이낸셜뉴스
. 무단 전재-재배포 금지",https://n.news.naver.com/article/014/0003541234
"발산역 먹자골목, 보행친화환경으로…개선사업 완료",2021.02.24,"[한국경제TV 신인규 기자]
강서구가 발산역 먹자골목 일대 생활도로에 대한 보행환경개선사업을 마무리했다.
먹자골목 생활도로의 열악한 보행환경을 개선하여 보행자 안전을 확보하고 주변 상권도 활성화하기 위한 취지로, 사업은 ‘2020 서울시 보행환경개선사업’ 공모 선정으로 본격화됐다.
발산역 먹자골목 인근 지역은 지하철 5호선 발산역과 함께 대형쇼핑몰, 음식점이 밀집돼 있는 지역으로 차량과 보행자의 통행량이 많아 사고 위험이 높았다.
개선사업에 따라 강서구는 강서로56길(연장 320m) 일대 보도를 기존 2m에서 4m로 확장하고 보행자 우선도로 3개 구간을 새로 지정했다.
보행자 우선도로 조성 구간은 강서로52길(연장 500m), 54길(연장 550m), 공항대로38길(연장 450m) 구간으로, 폭 약 6~8m 도로다. 도로 바닥에 스텐실 포장을 실시해 미끄럼도 방지하고 주변 상점과 어울리는 다양한 무늬를 적용해 보행자가 걷고 싶은 디자인 거리를 연출했다.
해당 구간의 차량 통행속도는 30km/h로 제한됐으며 고보조명과 투광등 설치 등을 더해 사람 중심의 보행자 우선도로를 조성했다. 먹자골목 내에 방범용 CCTV도 설치됐다.
노현송 강서구청장은 “이번 사업이 주민들에게 안전하고 쾌적한 보행환경을 제공하고 코로나19로 침체된 지역경제 활성화에도 도움이 되길 바란다”라며, “차보다 사람을 우선하는 보행환경개선사업을 지속 추진해 걷기 좋은 보행친화도시 강서구를 만들겠다”라고 말했다.
신인규기자 ikshin@wowtv.co.kr
▶
네이버 홈에서 [한국경제TV] 채널 구독하기
[생방송보기]
▶
대한민국 재테크 총집결
!
- [증권 / 주식상담 / 부동산]
ⓒ 한국경제TV, 무단 전재 및 재배포 금지",https://n.news.naver.com/article/215/0000939401
"서울시, 마곡에 10만 일자리 '강소기업 R&D 융복합 혁신거점' 구축",2018.04.18,"서울시가 ‘마곡산업단지’의 미매각부지 11만795㎡를 강소기업 입주부터 창업, 특허·법률·마케팅 지원, 연구인력 육성까지 종합지원하는 ‘R&D 융복합 혁신거점’으로 조성한다고 18일 밝혔다. 1000여개 강소기업이 입주·성장할 수 있는 17개 시설을 건립해 총 10만개 일자리를 집적한다는 계획이다.
마곡산업단지를 일과 삶이 연결되고 인적교류가 활발하게 이뤄지는 R&D 최적화 도시로 만드는 지원도 병행한다. 강소기업의 연구개발 초기투자자금 지원 등을 위해 약 580억원 규모의 마곡발전기금을 조성한다. 비 강남권 최대 MICE 복합단지, 마곡광장, 공연장·미술관 등 총 64만㎡ 규모의 문화벨트도 배후시설로 단계적으로 개장한다.
마곡 R&D 융복합 혁신거점 조감도. /서울시 제공
서울시에 따르면 마곡산업단지 전체 부지(72만9785㎡) 가운데 기존에 분양 완료된 70%(51만4000㎡)가 대기업 위주로 산업단지 기틀이 마련됐다면 남은 부지는 강소기업 혁신거점으로 조성된다. 관련해 서울시는 ‘대기업-강소기업 동반성장 기반’을 구축하는 ‘마곡 R&D 융복합 혁신거점 구축 전략’을 발표했다.
우선 미매각 토지(21만5000㎡)의 절반인 11만795㎡ 부지에는 총 17개 시설이 들어선다. 특허·법률·마케팅 등 비즈니스 지원시설인 ‘공공지원센터’ 1개소(3528㎡), 강소기업 전용 입주공간인 ‘R&D센터 15개소(10만㎡), 산·학·연 기술혁신 거점 ‘M-융합캠퍼스’ 1개소(4495㎡)다.
특히 R&D센터의 경우 기존에 토지를 일률적으로 매각하는 방식에서 벗어나 공공·민간이 건물을 짓고 강소기업에 임대·분양하는 방식으로 토지이용을 다각화해서 대기업에 비해 상대적으로 재정기반이 약한 강소기업의 진입장벽을 낮춘다는 계획이다.
아울러 미매각토지 중 7만㎡는 미래산업 수요에 대비해 유보지로 남겨놓는다. 나머지 3만㎡는 기존 매각 방식으로 분양한다.
또 약 580억원 규모의 ‘마곡발전기금’을 새롭게 조성해 입주 강소기업들의 연구개발 활동과 기업간 교류를 지원하는 재원으로 활용한다. 마곡산업단지 조성 사업시행자인 서울주택도시공사에서 토지분양 수익 등을 활용해 조성할 계획이다. 기금 설치근거 마련을 위해 관련 조례(서울주택도시공사 설립 및 운영에 관한 조례)를 이달 제280회 시의회 임시회에서 개정했다.
이 밖에도 전시·컨벤션, 문화·예술, 휴식 같은 다양한 활동이 이뤄질 수 있도록 다른 일반 산업단지에 부족한 문화·여가시설을 총 64만㎡ 규모로 확충해 근로자와 지역주민 모두가 즐길 수 있는 공간으로 조성한다. 공공재원뿐 아니라 기업의 사회공헌(기부채납) 등과도 협업한다.
또 입주기업 및 시설이 마곡산업단지 용도에 맞게 운영되고 있는지 관리하고 R&D 사업화 같은 기업지원도 담당하는 ‘전문관리단’이 26일 출범한다. 마곡산업단지 조성을 맡고 있는 서울주택도시공사가 관리 역할을 수행하고 서울시 중소기업지원기관인 SBA가 기업지원 부분을 맡는다.
[우고운 기자 woon@chosunbiz.com]
chosunbiz.com",https://n.news.naver.com/article/366/0000404037
CJ 가양동 부지 개발 본PF 연내 조달 '순항',2024.12.01,"비주거 역대 최대 3조원 규모
현대건설 ""현재 자금 대부분 모집""
금리인하에 대형사업 자금 숨통
이달 기표완료후 내년초 착공 예상
가양동 CJ공장부지 개발 조감도 서울시 제공
국내 비주거 개발로는 역대 최대인 3조원 규모의 부동산 프로젝트 파이낸싱(PF) 본 PF 전환이 추진되고 있어 업계의 이목이 집중되고 있다. 서울 강서구 'CJ 가양동' 개발 프로젝트가 그 주인공이다. 시공은 현대건설, 시행은 인창개발이다.
1일 건설업계에 따르면 CJ 가양동 부지 본 PF 전환이 이달 기표(대출금액이 차주 계좌로 입금)를 목표로 진행중이다. 현대건설 관계자는 ""12월중으로 기표를 할 예정""이라며 ""현재 자금 대부분이 모집된 상황이다""고 말했다. 이어 ""본 PF 전환은 무리 없이 순항중""이라고 덧붙였다.
앞서 현대건설과 인창개발은 KB증권을 주관사로 선정했다. 현대건설은 지난 10월 CJ 가양동 공장 부지 개발사업의 착공을 위해 이사회에서 본PF 자금 3조원의 조달을 승인한 바 있다.
C J가양동 부지 개발사업은 지하철 9호선 양천향교역 인근 총 10만3047㎡ 부지에 연면적 76만3332㎡ 규모다. 지하 7층~지상 14층, 3개 블록에 업무복합단지를 조성하는 대규모 프로젝트다. 해당 복합단지에는 지식산업센터와 업무시설, 판매·근린생활시설, 기타시설 등이 조성될 예정이다.
인창개발은 CJ가양동 부지 개발을 위해 지난 2019년말 현대건설과 컨소시엄을 구성해 땅을 사들였다. 인수 금액만 1조500억원에 달한다. 총 사업비는 약 5조원 규모다.
CJ 가양동 부지 본 PF 전환이 주목을 끄는 이유는 국내 비주거 시설로는 역대 최고 금액이기 때문이다. 업계 관계자는 ""가양동 부지 본 PF 전환 규모는 3조원""이라며 ""비주거 부문에서는 가장 큰 규모의 PF 사업이다""고 말했다.
이어 ""3조원 규모의 본 PF 전환이 완료되면 국내 부동산 금융 시장에서 새로운 기록이 수립되게 된다""며 ""현대건설이 보증을 서고 있고, 기준금리 인하 등으로 인해 잘 마무리될 것으로 기대하고 있다""고 말했다. 업계에서는 이번 달 본 PF 전환이 마무리 되면 내년 초 착공에 들어갈 수 있을 것으로 보고 있다.
한화 컨소시엄이 최근 본 PF 전환에 성공한 서울역 북부역세권 복합개발사업도 2조1050억원에 불과하다. 지하 6층~지상 최고 39층 규모로 시공되는 5개동엔 마이스(MICE) 시설과 오피스, 오피스텔 등이 들어설 계획이다.
한편 기준금리 인하 등으로 대형 건설사가 참여하는 서울 등 일부 대형 노른자 개발 사업장은 자금 숨통이 트이고 있지만 지방과 그 외 현장은 한기가 여전하다.
금융권 한 관계자는 ""입지·사업성·대형 건설사 보증 등의 요건을 갖춘 곳만 자금이 흘러들고 있다""며 ""반면 여러 현장에서 본 PF 전환을 앞두고 무너지는 사업장이 속출하고 있는 상황""이라고 전했다.",https://n.news.naver.com/article/014/0005275327
"국토부, 김포공항 내 국립항공박물관 건립 착수",2015.09.03,"[아시아경제 김종화 기자]국토교통부는 항공산업의 역사와 위상을 홍보하고 국민의 안전과 생명을 책임지는 교육·체험시설이 될 '국립항공박물관'을 김포공항 내 건립할 예정이라고 3일 밝혔다.
지난 2013년 건립기획 연구를 시작으로 추진돼 지난 8월 한국개발연구원(KDI)의 사업 타당성 조사를 통과해 다음달부터 설계공모를 시작하는 등 건립작업에 본격 착수할 예정이다.
국토부 관계자는 ""100여년의 항공역사와 국제민간항공기구(ICAO)의 이사국인 항공강국이지만 그동안 우리나라 항공산업의 역사와 유물을 체계적으로 전시·관리하고 대내외로 홍보할 시설이 없었다""면서 ""대중교통 접근성이 우수하고 항공직업체험이 가능하도록 항공산업 현장과 밀접한 김포공항 내 건립될 예정""이라고 말했다.
박물관은 대지면적 1만5000㎡에 지상 3층~지하 1층의 연면적 1만7938㎡ 규모로 국비 934억원이 투입돼 2018년말 개관될 예정이다.
김종화 기자 justin@asiae.co.kr
▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""
▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003576184
