제목,날짜,본문,URL
금천구 등 서울 5개 구에 축구장 33개 면적 ‘상업지역’ 조성,2018.03.14,"- 서울시 '생활권계획' 후속 조치 자치구에 통보
- 관악·금천·동작·광진·성북구 등 총 24만㎡ 할당
- 복합단지 개발가능...집값 상승 기대
노량진 뉴타운 지구. 서울시 제공.
[이데일리 정병묵 기자] 서울 관악·금천·동작구(서남권)와 광진·성북구(동북권) 등 5개 자치구에 축구장 33개 면적의 상업지역이 새로 생긴다. 서울시가 최근 발표한 ‘서울 생활권 계획’의 후속 조치로 강남보다 상대적으로 낙후한 서남권과 동북권에 상업지 물량을 많이 배정한 결과다. 상업지역으로 지정되면 주상복합아파트와 오피스, 상업시설 등 복합단지 건립이 가능해져 일대 부동산 가치도 한껏 높아질 전망이다.
(관련기사 :
非강남 상업지 확대..“주상복합·상가 개발 가능” 자치구 ‘반색’
)
서울시는 이달 초 발표한 서울 생활권 계획(서울을 5개 권역과 116개 지역생활권으로 나눠 개발하기 위한 맞춤형 도시계획)의 후속 조치로 ‘상업지역 신규 지정 가이드라인’을 지난 9일 각 자치구에 배포했다고 13일 밝혔다.
앞서 서울시는 지난해 상업지역 총 192만㎡ 중 유보 물량을 제외한 134만㎡의 70% 이상을 동북권(59만㎡)과 서남권(40만㎡)에 배분하기로 결정했다. 서북권은 18만㎡, 동남권은 17만㎡ 규모다. 서울 상업지 면적의 32%가 몰려 있는 도심권(종로·중·용산구)은 이번에 배정하지 않았다.
서울시가 각 자치구에 전달한 가이드라인에 따르면 동북권의 광진구가 가장 많은 상업지 5만6000㎡를 배정받았다. 성북구가 5만4000㎡로 뒤를 이었다. 또 서남권의 동작구 4만9000㎡, 관악구 4만3000㎡, 금천구 3만7000㎡ 등이 추가 할당을 많이 받은 상위 5개구에 이름을 올렸다. 이들 5개 구가 이번에 받은 상업지를 합하면 23만9000㎡로 축구장(약 7140㎡)를 33개를 지을 수 있는 면적이다. 서울시 관계자는 “성북구 등 5개 구는 2016년 말 기준으로 보유한 상업지역 면적이 약 14만~39만㎡로 서울시 평균(101만㎡)에 한참 미치지 못해 상대적으로 많은 면적을 부여받게 됐다”고 말했다.
각 자치구에서는 할당받은 면적에 한해 준주거지역 등을 상업지역으로 용도 변경할 수 있다. 이에 따라 상업지역에 대규모 업무·상업시설 등이 들어서면 ‘주변 개발 호재→유동인구 증가→집값 상승’이라는 선순환이 나타날 것이라는 기대감이 높아지고 있다. 금천구 가산동 한 공인중개사는 “주변 복합단지 개발과 그에 따른 생활 편의성 향상 기대감에 인근 아파트 매입 문의가 늘고 있지만 매물이 많지 않아 거래는 뜸한 편”이라고 말했다.
정병묵 (honnezo@edaily.co.kr)
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004055676
관악구·구로구 모아타운 통합심의 통과…총 3138세대 공급,2024.09.27,"제14차 소규모주택정비 통합심의 소위원회
주민제안형 1호 관악구 신림동 655-78 일대
구로구 고척동 241일대, 도로 등 기반시설도
[이데일리 이윤화 기자] 서울 관악구 신림동 ‘주민제안형 모아타운 1호’ 사업지와 구로구 고척동 일대 모아타운 관리계획이 서울시 소규모주택정비 통합심의를 통과했다.
서울시는 제14차 소규모주택정비 통합심의위원회를 열고 ‘관악구 신림동 655-78일대 모아타운’을 비롯 총 2건의 통합심의를 통과시켰다고 27일 밝혔다.
관악구 신림동 655-78번지 모아타운 위치도. (사진=서울시)
이번 심의에 통과된 모아타운은 △관악구 신림동 655-78일대 모아타운 △구로구 고척동 241일대 2곳으로 향후 총 3138세대(임대 767세대 포함)가 공급될 예정이다.
‘주민제안형 모아타운 1호’인 관악구 신림동 655-78일대(면적 1만6137㎡)는 올 4월 주민제안에 대한 전문가 자문을 거쳐 5개월만에 모아타운 관리계획 수립이 완료됐고, 통합심의를 통과했다.
해당 지역은 저층의 노후주택 밀집 지역으로 주차난과 녹지가 부족하고, 반지하주택이 50% 이상 되어 주거환경이 매우 열악한 지역이다. 일부 지역에서 지난해 2월 조합을 설립하고 가로주택정비사업을 추진했지만 사업 여건이 열악해 추진이 안 되고 있던 지역이다. 이번 모아타운 관리계획 수립을 통해 공공성 및 사업성을 확보한 뒤 사업이 추진될 수 있게 됐다.
모아타운 관리계획 수립 주요 내용은 △용도지역 상향(제2종 7층이하→제3종 일반주거지역) △사업구역 확대(1만㎡ 미만→1.6만㎡) △정비기반시설 도로 확폭(6m→8~12m) △안전한 통행로 등 보행공간 확보(3~5m) △도시경관, 가로활성화 등을 고려한 모아주택 디자인 가이드라인 제시 등이다.
이번 관리계획을 통해 난곡로변의 버스정류장의 위치를 이동배치하고, 통학로와 업부지 주변에 도로확폭·보행공간 확보로 교통·보행 편의성을 높였다. 또 모아주택 디자인 가이드라인을 통해 주거지 경관을 개선한다.
시는 향후 용적률 300%, 지상 최고 29층 4개동의 총 466세대(임대 86세대 포함)를 건립할 계획이다. 5년 이내에 준공을 목표로 추진돼 저층주거지의 고질적인 주차난 및 반지하 주택문제가 해소될 것으로 기대된다.
조합은 이미 설립돼 있으며 사업구역 확대로 내년 조합설립 변경, 2026년 통합심의 및 사업시행계획인가, 2027년 이주 및 착공 절차를 거쳐 2029년 준공될 예정이다.
구로구 고척동241 모아타운 위치도.
구로구 고척동 241일대(면적 9만8735.6㎡)는 이번 위원회 심의 통과로 향후 모아주택 8개소가 추진돼 총 2672세대(임대 681세대 포함)의 주택이 공급될 예정이다. 대상지는 신속통합기획으로 추진되고 있는 고척동 253일대 주택정비형 재개발 사업과 연접해 있는 지역이며, 인근 세곡초·오류중학교 및 계남근린공원과 고척근린공원에 인접해 있다.
고척동 241일대 모아타운 관리계획(안)은  △용도지역 상향(제1종 일반주거지역→제2종, 제2종 7층 이하→제2종, 제3종) △정비기반시설(도로, 주차장) 계획 △모아주택 사업추진계획 등을 구상했다. 점진적 모아주택 사업추진을 통한 노후·저층 주거지의 주거환경 개선과 주민들의 삶의 질 향상을 위한 계획을 담았다.
특히, 세곡초등학교와 오류중학교를 잇는 고척로27바길은 안전한 통행로 확보를 위해 2m 보도를 설치하고, 고척로 33길은 개방형 공동이용시설을 활용해 청소년을 위한 시설을 설치한다.",https://n.news.naver.com/article/018/0005844949
국사봉터널 남쪽 재개발구역에 28층 아파트 들어선다,2016.03.16,"봉천 4-1-2구역 주택재개발정비사업 단지 조감도
[아시아경제 최대열 기자]서울 국사봉터널 남쪽 관악구 봉천동 산101번지 일대에 최고 28층 아파트를 짓는 계획이 서울시 심의를 통과했다.
16일 서울시는 전일 열린 제5차 건축위원회에서 봉천 제4-1-2구역 주택재개발정비사업 계획안을 통과시켰다고 밝혔다. 이번 계획에 따라 지하 3층, 지상 28층 997가구 규모의 아파트를 짓는 공사를 내년 12월 시작할 것으로 예상된다. 준공은 2020년 12월께로 보고 있다. 조합원 및 일반분양이 797가구, 재개발소형임대주택이 200가구다.
이번에 건축심의를 통과한 아파트 단지는 동쪽으로는 관악드림타운, 서쪽에는 벽산블루밍 등 기존 아파트 단지와 접해 있다. 남쪽에는 재개발을 추진중인 봉천4-1-3구역, 북쪽은 상도근린공원이 맞닿아있다. 구암초ㆍ국사봉중도 가깝다.
이날 심의에서는 단지 아래쪽에 있는 학교의 교육환경을 위해 접한 아파트의 높이를 낮췄다. 지역주민 수요를 감안해 아파트는 중소형 위주 다양한 평면으로 설계했으며 인근 공원ㆍ학교를 잇는 보행로를 확보하는 등 지역친화형 단지로 조성키로 했다고 서울시는 설명했다. 단지 내 어린이집, 경로당, 도서관 등을 지역주민이 쓸 수 있게 한 점도 특징이다.
최대열 기자 dychoi@asiae.co.kr
▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'
▶ 아시아경제 제휴, 무료 민간자격증 취득 이벤트
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003708014
"관악구, 제2구민운동장 준공",2015.04.15,"유종필 관악구청장이 주민들과 함께 제2구민운동장 준공식에 참석했다.
11억6000여만 원 투입, 인조잔디축구장, 조명타워, 음향장비 등 갖춰 체육동호인과 주민들을 위한 공간으로 꾸며
[아시아경제 박종일 기자] 관악구(구청장 유종필)가 14일 주민들의 체육활동을 돕기 위해 제2구민운동장을 새단장하고 준공식을 가졌다.
제2구민운동장은 삼성동의 삼성산 산자락에 위치한 곳으로 지역 주민들과 체육인들의 운동공간으로 활용됐지만 협소하고 시설이 노후화돼 불편함이 있었던 곳이다.
특히 야외 간이체육시설과 잔디 없는 운동장만이 있어 체육활동에 제한이 많았다.
구는 주민들에게 쾌적한 체육활동 공간을 새롭게 마련해 주기 위해 국·시비, 체육진흥기금 등 총 11억6000여만원을 들여 지난해 7월부터 공사에 들어갔다.
우선 기존 관람석의 스탠드 부분을 철거, 운동장을 400㎡로 확장해 인조잔디축구장을 조성했다.
그리고 일반 주민들도 쉽게 운동을 즐길 수 있도록 9종의 운동기구와 야간에도 운동이 가능하도록 조명타워 4기를 신설했다.
또 축구장 뿐 아니라 유소년 야구장으로도 활용할 수 있는 다목적구장으로 꾸며 지역내 야구 꿈나무들에게 좋은 반응을 얻을 것으로 기대된다.
그밖에도  안전관리를 위한 폐쇄회로(CC)TV와 야외 행사를 위한 음향장비 등도 갖췄다.
평소 축구를 좋아하는 김태협 은천동 주민은 “조기축구회 등 동호회활동을 할 만한 장소가 없어 고민이었다”며 “구에서 이렇게 인조잔디구장을 만들어 줘 체육동호인을 대표해 고맙다”고 말했다.
제2구민운동장 사용을 원하는 주민은 체육시설사용신청서를 작성해 문화체육과 이메일 또는 팩스로 신청하면 된다.
이용시간은 2시간 단위며, 주민 누구나 무료로 이용할 수 있다.
자세한 신청방법과 추첨방식은 구청 홈페이지(www.gwanak.go.kr)에서 확인하면 된다.
유종필 관악구청장은 “새로 단장된 제2구민운동장은 주민들 누구나 운동을 할 수 있도록 꾸몄다”면서 “특히 축구와 야구 뿐 아니라 각종 체육대회 등을 할 수 있어 체육동호인들과 주민들이 함께 어울리는 건강한 공간이 될 것”이라고 말했다.
박종일 기자 dream@asiae.co.kr
▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""
[루머앤진실]
[네티즌핫이슈]
[골프뉴스]
[부동산소식]
[자동차정보]
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003477661
"서울 관악구, 청년 임차인 중개보수 감면 서비스",2021.06.25,"관악구청 전경
[서울 관악구 제공. 재판매 및 DB 금지]
(서울=연합뉴스) 김지헌 기자 = 서울 관악구(구청장 박준희)는 청년 임차인에게 중개보수를 감면해주는 서비스를 시행 중이라고 25일 밝혔다.
구에 따르면 만 19∼29세 청년이 보수 감면에 동의한 관내 중개사무소에서 7천500만원 이하 일반주택 전·월세 계약을 맺으면 보수의 20∼25%를 감면해준다. 주택 용도의 근린생활시설은 보수를 45∼55% 깎아준다.
이 서비스에 동참한 중개사무소는 관내 전체 사무소의 47%인 518개 업소다. 2019년 시행 이후 450명이 감면 혜택 약 5천200만원을 받았다.
참여 중개사무소는 스마트폰 애플리케이션 '스마트 서울맵'이나 구청 홈페이지에서 확인할 수 있다.
jk@yna.co.kr",https://n.news.naver.com/article/001/0012483398
[동네방네]관악구 ‘샤로수길’ 걷기 편한 거리로 변모,2018.10.10,"[이데일리 정병묵 기자] 서울 관악구는 봉천동 서울대입구역 주변 ‘샤로수길’ 상권 내 폭이 좁은 주택가 이면도로 1400m를 보행자 우선도로로 조성했다고 10일 밝혔다.
2013년까지 주택가와 시장이 있는 평범한 골목이였던 ‘샤로수길’은 최근 젊은이들이 찾는 명소로 200여개 상가가 밀집된 거리로 변모했다. 평일 저녁은 물론, 주말 낮과 밤에는 많은 인파들이 몰려 자동차와 사람들로 북적이고 있다.
구는 작년부터 서울시 보행자 우선도로 공모사업에 응모, 사업비 일부를 지원받고 구 예산 등을 확보해 총 8억원을 들여 이 지역에 보행자 우선도로를 만들었다.
도로를 색채 이미지와 디자인 패턴이 적용된 도막형 바닥재로 포장, 자동차들이 서행할 수 있도록 유도하고 도로 전반 분위기를 차량보다 보행자가 우선인 환경으로 조성했다.
또한 샤로수길 일대 ‘아름다운 간판사업’, ‘도로 조명시설 개선’, ‘불법적치물 정비’ 등을 통해 개선, 지역경제 활성화 효과도 기대한다.
박준희 관악구청장은 “간판 및 조명 등 많은 도로, 거리 조성 사업을 통해 아름답고 다시 찾아오고 싶은 관악구를 만들겠다”고 전했다.
‘샤로수길’ 보행자 우선도로 공사 전
‘샤로수길’ 보행자 우선도로 공사 후
정병묵 (honnezo@edaily.co.kr)
네이버 모바일에서 ‘이데일리’
[구독하기▶]
빡침해소! 청춘뉘우스~
[스냅타임▶]
꿀잼 '웹툰'이 매일 매일 공짜...
[웹툰보기▶]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004220483
"서울시, 양천·관악구 등에 '창의놀이터'  21개 신설",2017.05.04,"[머니투데이 김지훈 기자] [창의력·모험심 고취 놀이터 3년 간 총 41곳 준공  ]
서울시가 지난달 양천구 목동근린공원에 조성한 창의어린이놀이터. /사진제공=서울시
서울시는 올해 21개의 ‘창의어린이놀이터’를 조성한다고 4일 밝혔다. 해당 사업은 시내 공원의 낡고 개성 없는 놀이터를 아의의 창의력과 모험심을 고취하는 시설로 탈바꿈시키는 것이다.
시는 연내 16개 자치구에 해당 시설들을 건립할 예정이다. 지난주 양천구 목동근린공원과 관악구 중앙어린이공원 및 새들어린이공원에 창의어린이놀이터가 준공됐다. 올해까지 3년 간 총 49개가 설치된다.
창의어린이놀이터는 자연재료로 만들어진 공간, 뛰어놀 수 있는 공간, 모험심을 유발하는 공간이 유기적으로 설치된다. 아이 스스로 놀이를 만들어내는 기회를 제공한다.
20개 시설 조성을 위해 전액 시비(50억원)가 투입되고, 나머지 1곳(강북구 색동어린이공원)은 민관협력으로 조성된다.
[▶깊이있는 투자정보 'TOM칼럼']
[▶트렌드 리더의 스타일 지침서 '스타일M']
[▶빵빵한 차&레이싱걸]
김지훈 기자 lhshy@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0003867455
"내년 초 입주인데…봉천 4-1-2조합 ""3290만원 더 내라""",2024.11.12,"내년 초 입주를 앞둔 서울 관악구 봉천 4-1-2구역 재개발 조합이 225억원에 달하는 추가 분담금을 놓고 내부 진통을 겪고 있다. 조합원들은 추가 분담금 규모가 과다 계상된데다 이중 납부를 우려하고 있다. 조합 집행부는 특화 설계 등으로 사업비가 늘어났다고 해명하고 있으나, 양측 간 갈등은 쉽사리 진화되기 어려울 것으로 보인다.
서울 관악구 봉천4-1-2구역 조감도. 내년 힐스테이트관악센트씨엘로 재탄생한다. (제공=현대건설)
12일 정비업계에 따르면 조합은 지난 7일 대의원회의를 열고 추가 분담금 225억원을 조합에 납부하는 안건을 통과시켰다. 가구당 평균 3290만원 규모다. 다만 추가 분담금의 최종 규모는 조합을 청산할 때 확정하기로 했다.
하지만 일부 조합원들은 애초에 추가 분담금 규모가 부풀려졌다고 반발하고 있다. 조합 집행부 측은 추가 분담금이 시공사인 현대건설에 지급해야 할 공사인상비 140억원, 법인세 60억원, 예비비 30억원 등 추가 비용 315억원에 보류지와 상가 처분 등으로 얻게 될 수익 90억원을 뺀 금액이라고 설명하고 있다.
한 조합원은 ""법인세와 예비비로만 90억원이 책정됐는데 법인세는 나올지 안 나올지도 모르고, 사업이 곧 끝나는 조합이 예비비로 30억원이나 빼놓은 것을 이해할 수 없다""며 ""조합원 부담을 줄여주는 것이 아니라 돈을 쌓아두려는 것""이라고 주장했다. 조합 측은 ""입주 후에는 돈을 걷기 더 어려워진다""며 ""예비비는 소송 등에 대비한 것""이라고 설명했다.
특히 조합원들은 공사비 증액의 경우에도 조합이 사전 대의원회나 총회를 거치지 않고 결정했다고 반발하고 있다. 이 구역은 공사 막판 특화 시설 등을 추가로 지으면서 총 공사비가 140억원 증가했다. 하지만 조합 집행부는 대의원회를 비롯해 의견을 수렴하는 절차를 거치지 않았다.
조합 측은 ""특화시설 공사현장은 조합 단체채팅방을 통해 실시간으로 공유했다""며 ""공사 현장의 급한 일부터 처리하다 보니 (때를 놓치고) 지금까지 온 것""이라고 말했다. 하지만 도시 및 주거환경정비법(도정법)에 따르면 조합원에게 부담이 되는 계약은 사전 의결을 거쳐야 한다. 한 조합원은 ""명백한 법 위반 행위""라며 ""동의하지도 않은 분담금을 추가로 내게 된 상황""이라고 반발했다.
조합 내부에서는 조합원당 내야 할 추가 분담금 규모를 놓고도 혼란이 일고 있다. 지난 7일 대의원회의에서는 225억원 안건 외에, 비례율이 조정된 추가 분담금 안건인 관리처분변경안이 함께 처리됐다. 조합 측은 225억원이 최종 내야 할 추가 분담금이라고 설명하고 있지만, 조합원은 결국 추가 분담금을 이중으로 내야 하는 것 아니냐는 의혹을 제기하고 있다.
한 조합원은 ""두 안건의 추가 분담금 배분 방식이 다르다. 비례율이 적용된 추가 분담금은 비례율에 따라 내는 것인데, 225억원 추가 분담금은 조합원 형평성을 고려한다는 취지로 보정을 해놨다""며 ""분담금 규모가 다른데다, 비례율 조정으로 늘어났다는 225억원이라는 금액도 계산해보면 맞지 않다""고 주장했다.
한편 봉천 4-1-2구역은 재개발을 통해 지하 3층~지상 28층, 9개 동, 총 997가구로 조성될 전망이다. 이 중 101가구가 일반분양됐다. 다음 달 말 준공을 마치고, 1월 입주가 예정돼 있다. 단지명은 힐스테이트관악센트씨엘이다.",https://n.news.naver.com/article/277/0005498922
관악산 입구 재정비…'공원·녹지 결합',2016.11.01,"【서울=뉴시스】이재우 기자 = 서울 관악구(구청장 유종필)가 관악산 입구를 재정비한다고 1일 밝혔다.
관악산은 연간 700만명이 방문하는 서울의 대표적인 공원이자 등산로다. 하지만 관악산 입구 광장은 노후한 휴게소, 주차장 시설만 있어 활용도가 낮고 서울시 대표공원으로서 위상도 부족한 상황이다.
이에 따라 관악구는 신림선 경전철사업과 연계해 휴게소, 주차장, 등산로입구, 산책로, 조각테마공원 등 공원과 녹지가 결합된 종합적인 관악산 입구 재정비 사업을 추진한다.
관악구는 현재 서울시로부터 관악산입구 공원시설 재정비 용역비를 배정받아 관악산입구 종합정비 기본계획 수립용역을 시행하고 있다.
관악산 휴게소 건물의 리모델링을 통해 공원안내기능 강화하고 접근성이 우수한 편의시설을 확충해 시민 이용 편의를 높일 계획이다.
주차장은 신림선경전철 건설에 따른 차량이용자 감소 등 도보이용자들의 편의와 안전확보를 위해 지하화 또는 공원과 어울리는 주차공간으로 재탄생한다.
관악산 입구 광장은 관악산과 도림천을 연계해 수목을 식재하고 의자와 편의시설 설치는 물론 산책로를 조성해 주민들이 공원에서 쉬며 즐길 수 있는 장소를 마련한다.
또 굽어있는 등산로를 직선화하고 현재 도로로 단절된 주차장과 나들목공원을 연계해 공원부지의 이용효율성을 높여 관악산 주등산로를 더 편리하고 수준 높은 공간으로 재조성할 계획이다.
그간 무단점유돼 왔던 야생화학습장과 주변공간에는 서울대학교 미술대학과 함께하는 조각테마공원이 들어설 계획이다.
유종필 관악구청장은 ""우리 구 천혜 자원인 관악산은 서울의 대표적인 도시자연공원""이라며 ""주민들이 언제든 숲이 주는 혜택을 누릴 수 있도록 생활권 공원 확충에 더욱 노력할 계획이다""고 했다.
ironn108@newsis.com
뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요
뉴시스 SNS
[페이스북]
[트위터]
<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",https://n.news.naver.com/article/003/0007559862
관악구 낙성대공원내 강감찬전시관 건립,2017.01.16,"‘강감찬도시, 역사도시’첫 단추,3가지 테마로 이루어진 전시실(1동)과 다목적실(2동)으로 구성
[아시아경제 박종일 기자] 까만 밤하늘에 큰 별이 떨어졌다. 별이 떨어진 곳을 찾아가보니 한 부인이 사내아이를 낳았다.
별로 태어나 영웅으로 살고 다시 하늘의 별로 돌아간 강감찬 장군이 재탄생된다. 관악의 정기를 온 몸으로 받아 태어난 그의 일생을 강감찬 전시관에서 조명한다.
관악구(구청장 유종필)가 낙성대로 77, 낙성대공원내 규모 125㎡ 강감찬전시관을 건립한다.
그간 구는 ‘강감찬 전시관 건립계획’을 수립, 건축물 구조안전진단을 시행하고 자료수집과 우수사례지 견학, 전문가 자문 등을 통해 전시관 건립 추진에 박차를 가해왔다.
올 4월 문을 여는 강감찬 전시관은 장군의 영정을 모신 안국사 입구에 있던 낙성대 공원 관리사무소를 새롭게 꾸며 마련된다. ‘별의 탄생’, ‘별빛의 영웅’, ‘별이 비춘 세상’ 3가지 테마로 이루어진 전시실(1동)과 ‘영상’과 ‘체험학습’을 할 수 있는 다목적실(2동)로 구성된다.
전시실
전시실(1동)의 ‘별의 탄생’에서는 신화적 탄생부터 장원급제, 관직으로 오르기까지 성장기를 표현했다. ‘별빛의 영웅’에서는 고려의 역사와 대외정세, 그리고 전투 활약상을, ‘별이 비춘 세상’에서는 역사기록과 문학자료, 트릭아트기법을 활용한 포토존 등을 만나볼 수 있다.
다목적실(2동)은 고려역사의 흐름과 강감찬 장군의 귀주대첩 이야기를 좀 더 쉽게 영상으로 이해할 수 있으며 역사 체험 프로그램을 운영할 수 있는 공간이 마련된다.
지역발전의 새로운 동력으로 ‘강감찬 도시, 역사도시’를 대표 브랜드로 육성하고 있는 관악구는 강감찬 장군의 인물을 재조명하고 공간을 재구성하는데 주력하고 있다.
지난해 ‘제1회 관악 강감찬 축제’를 성공적으로 개최한데 이어 낙성대공원을 역사공간으로 조성하기 위한 단계별 사업이 추진중이다.  ‘강감찬 학술 심포지엄’ 과 ‘강감찬 장군 학술연구 용역’을 개최,  ‘관악백과사전 발간’ ‘강감찬 10리길 투어코스 프로그램’ 등 역사문화자원을 활용한 다양한 콘텐츠가 개발 ·운영중이다.
또 현재 2호선 낙성대역을 낙성대(강감찬장군)역으로 병기하는 것에 대한 정책평가를 진행, 계획을 수립할 예정이다.
구는 1972년에 조성된 낙성대 공원이 그간  강감찬 장군의 유적지임을 모르고 단순히 산책하고 운동하는 장소로만 머물러 있었는데 강감찬 장군에 대한 모든 것을 한 눈에 볼 수 있는 전시관을 통해 살아있는 역사 체험의 장을 마련할 것이라고 말했다.
강감찬전시관 영상실
유종필 관악구청장은 ""2019년은 귀주대첩 1000주년이 되는 해""라며  “강감찬 카페, 생가터 정비, 광장활성화, 고려박물관 등  ‘강감찬 도시, 역사도시’로 거듭 나기 위한 단계별 추진 계획을 차질없이 진행해 전국의 사람들이 역사와 문화가 살아 숨 쉬는 관악구로 오는 매개체가 되도록 하겠다""고 말했다.
박종일 기자 dream@asiae.co.kr
▶ 최강의 재미 [아시아경제 카드뉴스]
▶ 맛있는 레시피
▶ 양낙규의 [군사이야기]
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003912539
