제목,날짜,본문,URL
"자양1재정비촉진구역, 공사 본격화…공동주택 1363가구 들어서",2021.01.11,"자양1재정비촉진사업 ‘착공신고’ 완료
광진구, 신청사 부지 기부채납 받아
[이데일리 강신우 기자] 서울시 광진구가 지역 발전의 가장 큰 핵심축인 구의역 일대 KT부지 첨단업무복합개발(자양1재정비촉진구역) 사업을 본격적으로 추진한다고 11일 밝혔다.
자양1재정비촉진구역 조감도.(사진=서울 광진구)
구는 지난해 12월 3일 구의역 일대 자양1재정비촉진사업 착공을 위한 행정 절차의 마지막 관문인 관리처분계획 인가와 착공신고 처리를 완료했다. 이에 따라 다음 달 공사에 들어가 동북권 대표 중심지로 개발할 계획이다.
이는 광진구에서 이루어지는 최대 규모의 복합개발사업으로 총 7만8147㎡(약 2만3640평) 부지에 광진구신청사를 비롯해 공동주택 1363가구, 업무빌딩, 숙박시설(호텔), 판매 및 문화집회시설 등 대규모 복합시설이 들어서게 된다. 공동주택은 일반분양 631가구, 민간임대 432가구, SH행복주택 300가구가 공급될 예정이다.
관리처분을 통해 관리청인 광진구가 신청사 부지(5684㎡)를 직접 기부채납 받기로 했다.
광진구는 지난 달 사업시행자인 NCP(KT자회사)와 코로나19로 얼어붙은 지역상권을 살리고 지역 경제 상생 방안을 마련하기 위한 업무협약을 추진했다. 협약을 통해 두 기관은 자양1 재정비 촉진구역 내 업무시설에 KT 우수 계열사를 유치해 지역 발전에 협력하기로 했다.
또한 판매시설, 호텔, 문화·집회시설, 공사 현장 등에 필요한 인력 채용 시 광진구민에게 일자리를 제공하여 지역 일자리 창출 기여에 협력하기로 했다.
지역주민을 위한 편의공간도 추가로 확보했다. 애초 복합개발에 따라 KT판매시설이 들어올 예정이었던 신청사 지하2층 판매시설의 일부 공간(약 445평)을 사업시행자와의 끈질긴 설득과 협의를 통해 주민편의 공간으로 30년간 무상 개방하기로 했다.
김선갑 광진구청장은 “사업이 완료되면 구의역 일대가 전국 최초의 공공 업무공간과 주거 및 문화·상업시설이 공존하는 신개념 첨단업무복합단지로 개발되어 지역발전의 선도적 중심지의 역할을 할 것으로 기대한다”고 했다.
강신우 (yeswhy@edaily.co.kr)
▶ #24시간 빠른 #미리보는 뉴스 #eNews+
▶ 네이버에서 '이데일리 뉴스'를 만나보세요
▶ 빡침해소, 청춘뉘우스 '스냅타임'
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004825596
서울 광장동에 고급 한강뷰 도시형생활주택 단지 짓는다,2020.12.02,"국내 최대 부동산 개발업체 엠디엠그룹이 광진구 광장동 188-2번지 외 2필지에 연면적 4만8309.41㎡, 지하 3층~지상 15층, 3개동으로 구성된 도시형생활주택을 건설할 계획이다. /사진=머니투데이
한강 조망권을 갖춘 고급 소형주택 단지가 조성된다. 서울 광진구 광장동 한강변 옛 한강관광호텔 부지에 최고 15층 랜드마크 주택단지가 들어선다.
2일 머니투데이와 부동산업계 등에 따르면 국내 최대 부동산 개발업체 엠디엠그룹이 광진구 광장동 188-2번지 외 2필지에 연면적 4만8309.41㎡, 지하 3층~지상 15층, 3개동으로 구성된 도시형생활주택을 건설할 예정이다.
한강 조망권을 갖춘 공급면적 79㎡ 전용면적 49㎡짜리 공동주택 298가구가 조성될 예정이다. 최고급 자재를 사용해 광진구 한강변 랜드마크 건물을 짓겠다는 계획이다.
엠디엠플러스가 지난해 매입한 이 부지는 대지면적 총 1만2077㎡로, 당시 매입가는 1800억원대로 알려졌다. 한강 영구 조망권이 있고 아차산, 지하철 5호선 광나루역과 가까워 알짜 개발부지로 꼽혀왔다. 용적률이 150% 이상 250% 이하로 제2종 일반주거지역이다.
엠디엠플러스는 이곳에 1~2인가구, 세컨하우스를 원하는 수요 등을 위한 최고급 주택을 짓기로 했다. 원룸형이 아닌 거실과 방 등으로 구분된 주택으로 지어 298가구 모두 분양주택으로 공급할 예정이다. 1가구당 주차수도 넉넉하게 만든다.
이동준 엠디엠플러스 부사장은 ""광진구의 한강변 랜드마크로 조성하기 위해 최고급 소형 특화 공동주택 상품을 계획하고 있다""며 ""주택 공급 등 일정은 아직 지자체 인허가를 받기 전이라 유동적""이라고 말했다.
강수지 기자 joy822@mt.co.kr
▶뜨거운 증시, 오늘의 특징주는?
▶거품 뺀 솔직 시승기
▶머니S, 네이버 메인에서 보세요
<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/417/0000626448
[우리동네 지역전문가] 다양한 개발과 함께 최고의 입지로 새롭게 태어나고 있는 광진구 구의동,2019.05.24,"지난달 서울시가 도시재생지역 후보지 8곳을 새롭게 선정해 눈길을 끈다. 이번에 선정된 후보지는 ‘경제기반형’ 홍릉 일대와 ‘근린재생 중심시가지형’ 광화문 일대, 북촌 가회동 일대, 효창공원 일대, 면목동 일대, 구의역 일대, 홍제역세권 일대, 풍납토성 역세권 일대 등 총 8곳이다.
그중 구의역 일대는 대형 개발이 예정돼 눈길을 끌고 있다. 지난해 동부지법과 동부지검이 송파구 문정동으로 자리를 이전하며 관련 업종 사업체가 급격히 감소, 구의역 일대의 상권이 쇠퇴했다. 이에 구의역 일대가 ‘근린재생 중심시가지형 도시재생사업’ 후보지로 새롭게 선정됐다. 이와 함께 광진구 구의동은 구의역 일대 구의∙자양재정비촉진지구에 ‘광진구 신청사 및 첨단업무복합단지’ 사업과 ‘동서울터미널 현대화’사업 등이 계획돼 주목받고 있다.
◆ 첨단업무복합단지로 새롭게 태어날 ‘광진구 구의동’
광진구 구의동의 옛 동부지법과 동부지검 이전부지, 옛 KT 부지를 포함한 ‘구의∙자양재정비촉진지구’에는 첨단업무복합단지가 들어설 예정이다. 해당 부지에는 18층 규모의 광진구 통합 청사를 포함한 행정∙상업∙업무∙주거를 아우르는 복합타운 10개 동이 들어선다. 아파트 1363가구를 포함한 31층 규모의 오피스 빌딩과 34층 규모의 MICE(공연∙전시) 시설도 조성될 예정으로 구의동 일대에 잇따른 개발 호재가 예정됐다.
구의동의 지역전문가 중앙공인중개사사무소 관계자는 “첨단업무복합단지 개발은 동부지법∙지검의 이전으로 침체된 구의역 일대 상권에 활기를 찾아줄 것으로 기대된다”고 전하며 “구의동은 기존 강변역을 중심으로 다양한 생활 인프라가 형성됐다. 여기에 구의역 일대 복합타운이 들어서면, 향후 구의동의 생활 인프라는 좀 더 풍부해질 것으로 전망된다”고 덧붙였다.
◆ 낙후된 시설이라는 오명에서 벗어날 ‘동서울터미널 현대화 사업’
구의동에 예정된 또 다른 개발 호재는 바로 ‘동서울터미널 현대화’ 사업이다. 올해로 건립 29년째인 동서울터미널은 시설노후화, 터미널 용량 초과, 혼잡한 주변 교통환경 같은 문제로 인해 개선이 시급한 실정이다. 이에 서울시는 부지 소유주인 한진중공업과 함께 동서울터미널 현대화 사업 개발을 계획했다.
▲한진중공업이 제안한 동서울터미널 복합 개발 조감도 [출처 = 서울시]
구의동의 지역전문가 중앙공인중개사사무소 황옥자 대표는 “동서울터미널은 지은 지 29년으로 현대화가 필요한 시설이다. 이러한 가운데 동서울터미널 복합개발이 이뤄진다면 생활 인프라가 확충, 교통체증의 해소, 한강 접근성 개선 등이 이뤄져 주거 편의성이 향상될 것으로 기대된다”고 전했다.
향후 동서울터미널은 터미널과 호텔, 업무시설, 관광∙문화시설을 결합한 연면적 29만㎡, 지하 5층~지상 32층 규모의 복합 건물로 탈바꿈할 전망이다. 현재 지상 1층에 위치한 터미널의 승∙하차장과 주차장을 지하화(지하 1~3층)하고 시설 규모도 현재의 120% 이상으로 늘려 혼잡을 줄일 계획이다. 광진구는 오는 2020년 착공해, 2024년 완공을 목표로 하고 있다.
◆ 개발지와 인접한 ‘현대프라임’, 예정된 개발로 높아지는 기대감↑
구의동 지역전문가 중앙공인중개사사무소 관계자는 “광진구 구의동은 강북에서 보기 드문 평지에 한강변을 끼고 있음에도 학교가 많고, 어린이대공원 등으로 일대 고도 제한이 걸려 다른 지역에 비해 개발이 더딘 편이었다. 동서울터미널 현대화, 첨단업무복합단지 개발 등의 사업은 구의동뿐만 아니라, 자치구 전체의 가치를 높일 것으로 기대된다”고 설명했다.
▲현대프라임 [ 출처 = 네이버 로드뷰 캡쳐].
광진구 구의동의 다양한 주거지 중 예정된 개발의 혜택을 공유할 수 있는 대표적인 주거지로 ‘현대프라임’이 있다. 1997년 입주한 현대프라임은 지상 30층, 15개동, 총 1592가구 규모의 대단지다. 전용면적은 59㎡, 84㎡, 126㎡, 183㎡로 구성됐다. 중앙공인중개사사무소에 따르면, 한강변을 끼고 위치한 현대프라임은 지하철이 가까워 교통이 편리하며, 동서울터미널 인근에 위치한 지리적 입지로 향후 현대화 사업이 완료되면 개발의 혜택을 공유할 수 있을 것으로 전망된다.
[매경 부동산센터 이다연 기자]
▶네이버 메인에서 '매일경제'를 받아보세요
▶뉴스레터 '매콤달콤' 구독
▶무궁무진한 프리미엄 읽을거리
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",https://n.news.naver.com/article/009/0004362281
[동네방네]광진구 자양유수지 일대 문화복합시설 건립,2018.03.12,"[이데일리 정병묵 기자] 서울 광진구는 자양동 594번지 자양유수지에 다목적 체육관과 도서관이 포함된 문화복합시설을 지난 2일 착공, 내년 7월 준공할 예정이라고 12일 밝혔다.
자양동은 2018년 2월 기준 광진구 전체 인구의 28%의 인구를 차지하고 있으며 단독 및 공동주택이 혼재해 주거밀도가 높은 지역이다. 또한 주변에 13개 초·중·고등학교가 밀집해 주민과 학생들을 위한 문화공간 및 체육시설이 필요한 실정이었다.
문화복합시설은 지상 3층, 연면적 3000㎡ 규모로 완공 예정이다. 건축물 에너지 효율등급 예비 인증, 장애물 없는 생활환경(BF) 예비 인증을 완료했다. 국·시·구비 총 123억원을 투입한다.
유수지 특성상 인공지반을 조성하고 도서관과 다목적 체육관을 복합 건립한다. 도서관은 지상 3층, 연면적 1650㎡ 규모로 짓는다. 지상 1층에는 북카페, 지상 2층은 유아·어린이를 위한 종합자료실, 지상 3층은 청소년 성인을 위한 자료실과 함께 연면적 1350㎡ 규모의 다목적 체육관도 조성한다.
자양유수지 문화복합시설 개념도. 광진구 제공.
정병묵 (honnezo@edaily.co.kr)
▶ 암호(가상)화폐에 대한 모든 것!
▶ 네이버 메인에서 ‘이데일리’ 구독하기
▶ '이데일리'의 카톡 친구가 되어주세요~♥
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004054116
자양동에 '중장년 베이스 캠프' 생긴다…'50+ 동부캠퍼스' 착공,2021.06.29,"50+세대 일자리·교육·창업 지원 공간…2023년 완공 목표
서울시 50플러스 동부캠퍼스 메인투시도(서울시 제공) © 뉴스1
(서울=뉴스1) 박승희 기자 = 서울시는 삶의 전환을 마주하는 50+(50~64세) 세대를 지원하기 위한 '서울시 50플러스 동부캠퍼스'를 착공한다고 29일 밝혔다.
'서울시 50플러스 동부캠퍼스'는 50+세대의 여가와 일상, 사회참여를 지원하기 위한 중장년 베이스캠프로, 광진구 자양동 57-153에 마련된다. 지하 3층~지상 4층, 연면적 1만1032㎡ 규모이며 오는 2023년 2월 완공이 목표다.
캠퍼스에는 50+세대의 일자리 정보제공 및 교육과 창업을 지원하기 위한 내부공간과 지역주민들의 커뮤니티 및 문화 활동을 지원하기 위한 외부공간 등이 조성된다.
교육과 창업지원을 위해 커피 바리스타 교육이 가능한 카페, 요리를 배울 수 있는 요리 교실, 음악 활동을 할 수 있는 음악실, 미술 작품 활동을 할 수 있는 공방, 스포츠댄스 등으로 활용할 수 있는 다목적 마루 교실, 컴퓨터실, 창업지원 공간, 공유사무실 등이 들어선다.
외부공간에는 나눔 쉼터, 옥상 텃밭 등이 조성되어, 커뮤니티 실, 모임방, 다목적강당 등이 지역주민에게 제공된다. 지역 주민들의 편의를 위해 총 164대의 차량이 주차할 수 있는 공영주차장 공간도 조성된다.
캠퍼스에서는 서울 동부권 지역사회의 창업과 일자리 지원 등을 위한 시설로 자리 잡을 수 있도록 다채로운 프로그램이 운영될 계획이다. 중장년층 일자리 정보제공 및 직업체험, 창업지원 프로그램, 지역사회와 함께하는 시민참여 프로그램 등이 운영된다. 창업지원 공간과 공유사무실도 제공된다.
김진팔 도시기반시설본부장은 ""서울 동북권 중장년층이 일자리와 창업, 문화, 교육 활동을 쉽게 이용할 수 있고, 다양한 프로그램을 즐길 수 있는 교육문화 참여의 장이 될 수 있을 것""이라며 ""철저한 품질관리를 통해 명품 건축물이 될 수 있도록 최선을 다하겠다""고 말했다.",https://n.news.naver.com/article/421/0005444024
아차산역 특별계획구역 지정…준주거지역 용도 상향,2015.04.23,"[아시아경제 조인경 기자] 서울시는 지난 22일 도시·건축공동위원회를 열고 '아차산역지구 지구단위계획 결정(변경) 및 구의동 76-1번지 일대 특별계획구역지정과 세부개발계획 결정(안)'을 수정 가결했다고 23일 밝혔다.
대상지는 천호대로(50m)와 지하철 5호선 아차산역에 연접된 지역으로 주변에는 어린이대공원, 유니버설 아트센터, 선화예술고등학교 등이 위치해 문화·예술 기능 강화 등 활성화가 필요한 역세권 지역이다.
위원회는 역세권 중심 기능을 강화하기 위해 특별계획구역을 지정하고 세부개발계획을 결정하는 동시에 준주거지역으로 용도지역을 상향하고 문화·예술 기능 활성화를 위한 용도도 지정했다.
또 대상지가 어린이대공원 후문과 가까운데도 보행 환경이 좋지 않음을 고려해 보행로를 정비하도록 했다.
시 관계자는 ""이번 결정으로 그동안 더디게 진행돼 왔던 아차산역 주변 지역 활성화에 기폭제 역할을 할 것으로 기대한다""고 말했다.
조인경 기자 ikjo@asiae.co.kr
▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""
[루머앤진실]
[네티즌핫이슈]
[골프뉴스]
[부동산소식]
[자동차정보]
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0003483603
"[단독]광진구 공공재건축 나오나…중곡아파트, 컨설팅 신청",2020.09.21,"[머니투데이 이소은 기자]
서울 광진구 중곡아파트 외관. /사진=네이버 거리뷰
용산구·관악구·강남구에 이어 광진구에서도 공공재건축 사업지가 나올 것으로 보인다. 올해로 입주 44년차를 맞는 중곡아파트가 공공재건축 사전컨설팅 신청서를 제출한 것으로 확인됐다.
21일 정비업계에 따르면 중곡아파트 1·2단지는 지난 10일 LH에 공공재건축 사전컨설팅 신청서를 제출했다. 중곡아파트 재건축 준비위원회 측은 ""지난 16일 광진구청으로부터 공공재건축 장려 메일이 왔는데, 우리 단지는 그보다 6일 앞선 10일 이미 사전컨설팅 신청서를 냈다""고 전했다.
이 단지는 지난 1일부터 6일까지 주택소유주 270가구를 대상으로 동의서를 징구해 총 43건(17.5%)의 동의서를 걷었다. 준비위 측은 ""주민 희망 평형인 20~30평, 분담금 1억 미만의 현황으로 신청서를 제출했다""고 덧붙였다.
사전컨설팅 내용은 사업시행 전과 후에 대한 자산가치 추정, 일반분양가·공사비 등을 분석해 기대되는 사업 수익률, 추정 분담금 등이 될 것으로 보인다.
중곡아파트는 1976년 서울 광진구 중곡동 일대에 6개동, 270가구 규모로 조성됐다. 1단지 1·2·3동, 2단지 5·6·7동으로 구성됐다.
2005년 재건축추진위원회가 발족해 2012년 정밀안전진단 D등급(조건부 재건축) 판정을 받았다. 2014년에는 건축계획 지하 3층~지상 15층, 296가구(분양 276가구, 임대 20가구)로 서울시 도시계획위원회 심의를 거쳤지만 2015년 추진위가 광진구청에 재건축 추진 포기 공문을 발송하면서 사업이 중단됐다.
일반분양 물량이 적어 사업성이 낮다는 판단을 내린 것으로 보인다. 입주민들은 공공재건축을 하면 종상향 등을 통해 사업성을 높일 수 있을 것으로 기대하고 있다.
중곡2단지 입주민 대표는 ""공공재건축을 통해 용적률이 300% 이상 높아지면 분담금 등을 줄일 수 있을 것으로 보인다""며 ""서민 아파트인 만큼 큰 욕심 안부리고 사업을 추진했으면 한다""고 말했다.
국토부와 서울시는 접수된 사전컨설팅 신청 단지를 대상으로 주민 동의율, 주택공급 효과 등을 고려해 후보지를 다음달쯤 선정하고 추가 심층 컨설팅, 주민 동의를 거쳐 연내 시범사업지를  확정할 계획이다.
이달 18일이었던 공공재건축 사전컨설팅 접수기한은 오는 30일까지 연장됐다. 중곡아파트 외에 관악구 신림동 건영1차 아파트, 용산구 이촌동 중산시범아파트, 강남구 일원동 일원우성7차 등이 시범 사업지로 거론되고 있다.
이소은 기자 luckysso@mt.co.kr
▶부동산 투자는 [부릿지]
▶조 변호사의 가정상담소
▶줄리아 투자노트
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004473850
건대입구역 근처에 SH임대주택 들어서나,2016.02.04,"[이데일리 정다슬 기자] 서울시가 광진구 건대입구역 인근에 임대주택 설립을 추진한다. 서울시는 광진구와 협의를 통해 최종 활용방안을 결정하겠다는 방침이다.
서울시는 3일 제2차 도시계획위원회를 개최해 자양동 9-4 일대 2982.5㎡ 부지에 대한 학교설립계획을 취소한다고 4일 밝혔다. 아울러 현재 주차장으로 활용하고 있는 교육청 소유 부지 1313㎡에 대해서는 활용방안을 추후 논의키로 했다.
서울시는 지난 2002년부터 자양동 9-4 일대를 노유초등학교(가칭) 부지로 활용할 계획을 세웠다. 그러나 저출산에 따른 학생 수요 감소로 14여년이 넘도록 부지가 개발되지 않으면서 이번에 학교설립계획을 취소하게 된 것이다.
그 옆에 있는 1313㎡ 부지 활용방안에 대해서는 서울시와 광진구의 의견이 엇갈리고 있다. 서울시는 사회초년생, 대학생, 신혼부부 등의 주거안정을 위해 7층짜리 66가구가 들어가는 임대주택을 설립하겠다는 계획이다. 만약 이 부지에 임대주택이 세워질 경우, 거주자는 건대입구역에서 도보로 8분 정도 거리에서 인근시세의 약 70.8%로 7년간 안정된 거주를 보장받는다. 반면 광진구는 현재 거주주민을 위한 주택가 주차장이 부족한 상황에서 이 부지는 지금처럼 주차장으로 활용하는 것이 바람직하다고 주장하고 있다.
서울시는 “부지 소유주인 서울시교육청은 주차장 전환을 바라지 않는 입장이고, 부지 활용용도에 대해서는 서울시와 광진구의 의견이 모두 다르다”며 “각각의 입장이 다른 만큼 긴밀한 협의를 통해 최종 활용안을 결정하겠다”고 말했다.
정다슬 (yamye@edaily.co.kr)
▶ [데일리 포커스] 알면 알수록 빠져드는 경제뉴스
▶핫 초이스 ★ 男心 저격수 `애플힙` 그녀
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0003468893
올해 서울 강북권 분양아파트 1만7000가구…14년래 최대,2016.01.20,"[머니투데이 엄성원 기자] [구의, 흑석, 북아현 등 재건축·재개발 아파트 분양 줄이어]
자료제공=닥터아파트
올해 서울 강북권에 2003년 이후 최대인 1만7000여 가구의 아파트가 신규 분양된다.
20일 부동산 포털 닥터아파트에 따르면 서초·강남·송파·강동구 등 강남권 4구를 제외한 서울 강북권에서 분양이 예정된 아파트는 총 44개 단지, 1만7646가구로 집계됐다. 이는 1만4513가구가 공급됐던 2003년 이후 14년래 최대 물량이다.
올해 강북권 신규 분양 물량의 대부분은 재건축·재개발이 차지했다.
다음달 광진구 구의동 구의1구역 단독주택을 재건축하는 래미안 구의 파크스위트 854가구(일반분양 502가구)를 시작으로 흑석 8구역 롯데캐슬(4월), 흑석7구역 e편한세상, 봉천12-1구역 e편한세상, 효창5구역 롯데캐슬(이상 5월), 신수1구역 아이파크(6월), 대흥2구역 이대자이(7월), 북아현 힐스테이트(11월) 등 재건축·재개발 아파트 공급이 이어진다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ]
[부자들에게 배우는 성공 노하우 '줄리아 투자노트'  ]
[내 삶을 바꾸는 정치뉴스 'the 300']
[CEO의 삶을 바꾼 '내 인생 최고의 조언' ]
[아찔한 girl~ 레이싱모델 핫포토 ]
엄성원 기자 airmaster@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0003616156
올 서울 강북권 아파트 분양물량 2003년 이후 최대,2016.01.20,"[헤럴드경제=홍성원 기자] 올해 서울 강북권에서 분양예정인 아파트는 1만7000여가구로 조사됐다. 2003년(1만4513가구) 이후 14년만에 최대 물량이다.
20일 부동산 포털사이트 닥터아파트에 따르면 서울 강북권(강남ㆍ서초ㆍ송파ㆍ강동구 등 강남4구 제외)에서 올해 분양될 아파트는 44개단지 1만7646가구다. 92.9%가 재개발ㆍ재건축, 일반분양분이다.
삼성물산은 다음달 광진구 구의동 구의1구역의 단독주택을 재건축하는 래미안 구의 파크스위트를 분양할 예정이다. 854가구 중 502가구가 일반분양이다. 롯데건설은 동작구 흑석동 흑석8구역을 재개발하는 롯데캐슬을 4월 분양(451가구 중 일반분양 222가구)한다. 이 회사는 5월엔 용산구 효창5구역을 재개발하는 롯데캐슬도 분양한다. 일반분양은 221가구다.
대림산업도 흑석7구역을 재개발하는 e편한세상 분양을 5월로 잡고 있다. 1073가구 중 403가구가 일반분양이다. 대림산업은 5월에 관악구 봉천동 봉천12-2구역을 재개발하는 아파트도 분양한다. 1531가구에 달하는 대단지다. 일반분양은 655가구다.
현대산업개발은 마포구 신수동 신수1구역을 재개발하는 아이파크를 6월 분양할 예정이다. 총 1015가구중 561가구를 일반분양한다. 경의중앙선 서강역이 단지 바로 앞에 있다.
GS건설은 마포구 대흥동 대흥2구역을 재개발하는 이대자이(가칭)를 7월 분양할 예정이다. 517가구가 일반분양이다.
현대건설은 서대문구 북아현동 북아현뉴타운1-1구역을 재개발하는 북아현 힐스테이트를 11월 분양할 예정이다. 총 992가구 중 350가구를 일반분양한다.
hongi@heraldcorp.com
[글로벌 인재들의 필수 역량, SKEC 영어글쓰기대회]
[주니어 영어 신문의 가장 효율적인 학습 서비스]
[헤럴드경제]
[SUPERICH]
[REAL FOODS]
[헤럴드증권방송]
[HOOC]
- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -",https://n.news.naver.com/article/016/0000975057
