제목,날짜,본문,URL
"서울 노원구, 육사 체육관 리모델링해 탁구장 개방",2018.01.16,"육사 탁구장 [서울 노원구 제공=연합뉴스]
(서울=연합뉴스) 이태수 기자 = 서울 노원구는 육군사관학교 체육관을 리모델링한 '육사 탁구장'을 조성해 시민에게 개방한다고 16일 밝혔다.
구는 26억5천만원을 들여 공릉동 25-1번지 육사 체육관에 탁구대 16면 규모의 탁구장을 꾸몄다.
탁구장은 주중 오전 9시부터 오후 5시까지, 주말은 오전 9시부터 오후 6시까지 이용할 수 있다.
탁구장은 무료로 시범 운영되고, 추후 조례가 개정되면 이용료를 내야 한다.
다만, 체육관 내부에 함께 있는 배드민턴 구장은 육사 전용으로 일반인은 이용할 수 없다.
김성환 노원구청장은 ""육사의 협조로 탁구장을 조성하게 돼 기쁘다""며 ""구민들이 운동을 통해 건강하고 행복한 삶을 누리도록 최선을 다하겠다""고 말했다.
tsl@yna.co.kr
▶기사제보 및 문의
▶기자와 1:1 채팅
▶평창동계올림픽 영상 공모전",https://n.news.naver.com/article/001/0009816722
노원구 마을미디어 플랫폼 ‘마을미디어지원센터’ 착공,2017.12.07,"23억원 들여 상계동에 2018년 8월까지 마을미디어지원센터 건립...8일 오후 3시 노원마을미디어지원센터 건립 현장에서 착공식 개최
[아시아경제 박종일 기자] 노원구(구청장 김성환)는 8일 오후 3시 노원마을미디어지원센터 건립 현장에서 착공식을 개최한다.
노원마을미디어지원센터 건립은 지역사회 미디어활동 거점공간을 마련해 창조적인 미디어 문화 활동을 지원, 민주적인 소통문화와 새로운 디지털소통모델을 창출하기 위함이다.
구는 약 23억원을 들여 상계동 194-28 지하 1, 지상 4층 연면적 455㎡규모 마을미디어지원센터를 내년 8월까지 완공할 계획이다.
사업예산은 국가에서 11억여 원, 구가 3억3000여만 원, 서울시가 3억여 원을 부담하고 특별교부세 5억원을 지원받았다.
센터가 들어서는 자리는 원래 노후된 상계2동 청소년 공부방이 있던 곳이었다. 영상음향시설이 들어가기에는 건물 시설과 규모, 환기 등이 적합하지 않아 건물을 철거하고 센터를 신축하게 됐다.
마을미디어지원센터 주요시설에는 대형?중형 ·소형 크기의 영상스튜디오실 4개, 기자재실, 디지털교육실, 일반강의실, 동아리방, 상영관, DVD감상실 2개 등이 들어선다.
노원마을미디어지원센터 조감도
센터에서는 미디어교육, 구민 영상콘텐츠 제작 지원, 소외계층 미디어 활동지원, 지역문화시설 연계사업 등을 펼칠 예정이다.
특히 구는 전문 미디어 인력을 채용, 어르신, 장애인, 다문화가족, 청소년 등 소외계층의 미디어활동을 적극적으로 지원할 계획이다.
현재 노원에 활동 중인 마을미디어단체에는 노원유스케스트(Nowon Youth Cast), 노원공동체라디오 노원 FM, 마들주민회 부설 마들창조학교가 있다. 이들은 공동체라디오, Podcast 방송, 로컬 간행물 출간, 여행 상품 기획 등 다양한 활동을 하고 있으며, 앞으로 마을미디어센터와 연계해 마을미디어활동을 지원받을 수 있다.
김성환 노원구청장은 “마을공동체 회복을 위해 마을미디어지원센터가 마을살이를 공유하고 보존하는데 큰 도움이 될 것으로 기대한다”며 “건립과 운영 모든 부문에서 구민들과 함께 만들어가는 센터가 되도록 하겠다”고 말했다.
구는 구민들과 미디어 소통을 활성화하기 위해 인터넷방송국(NBS)을 운영하고 있다. 구청소식 및 마을의 소식들을 케이블과 온라인을 통해 전달하고 있다. 또한 청소년들의 직업체험공간으로도 활용되고 있다. 디지털홍보과 ☎ 2116-3405
박종일 기자 dream@asiae.co.kr
▶ 네이버 채널 설정하고 '코오롱 롱패딩' 받자!
▶ 양낙규의 '군사이야기'
▶ #아시아경제 페이스북
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0004135364
노원·강북·서대문 등 '들썩'…서울 아파트 7월도 거래 폭발,2024.08.02,"도심 접근성 좋은 곳이나
가격 부담 덜한 곳 인기
서울 아파트값이 19주 연속 오르면서 거래량도 늘어나고 있다. 지난 6월 서울 아파트 거래량은 7411건으로 7000건을 훌쩍 넘은 데 이어 지난달에도 증가세가 가팔라 8000건을 웃돌 것으로 전망된다. 올해 상반기 강남 3구(강남·서초·송파구)와 마용성(마포·용산·성동구) 등이 주도한 아파트 거래가 상대적으로 가격이 낮은 노원구, 관악구 등에서도 활발해지고 있다.
2일 서울시 부동산정보광장에 따르면 이날까지 집계된 7월 서울 아파트 거래량은 5102건에 달한다. 거래량이 하루 300건 안팎을 기록하고 있다. 아직 거래 신고 기한(30일)이 한 달가량 남아 최종 거래량은 8000건을 넘을 것이라는 관측이 나온다.
거래량이 가파르게 늘어난 지역은 노원구, 강북구, 영등포구, 서대문구 등이다. 도심 접근성이 양호한 중저가 지역이 거래 증가를 이끌고 있다는 의미다. 노원구는 이날까지 집계된 7월 거래량이 440건에 육박한다. 6월(441건) 전체 거래량과 맞먹는 규모다. 강북구(6월 100건→7월 92건) 관악구(200건→152건) 영등포구(342건→284건) 서대문구(309건→246건)에서도 거래가 가파르게 늘고 있다.
강남권은 높은 가격 부담에 거래가 다소 주춤했다. 국토교통부 실거래가 공개시스템에 따르면 반포동 ‘아크로리버파크’ 전용면적 84㎡는 지난달 50억원에 손바뀜했다. 집값 상승으로 매도자가 매물을 거둬들이거나 호가를 올리고 있다. 매수 희망자는 가격이 부담돼 추격 매수를 망설이고 있다고 현지 중개업소는 설명했다. 6월 443건에 달했던 서초구 거래량이 지난달 173건에 그친 이유다.
전문가들은 이달 나올 정부의 공급 대책, 금리 인하, 대출 규제 여부를 거래량의 변수로 꼽는다.",https://n.news.naver.com/article/015/0005017473
'사업성 보정계수' 노원·금천·구로에 첫 적용…8000가구 공급,2024.11.07,"서울시, 도계위서 사업지 3곳 정비계획안 통과
용적률 증가로 기존 대비 507가구 늘려
서울 노원·금천·구로구 일대에 8000가구가 공급된다. 사업성 보정계수를 처음 적용한 사례로, 용적률을 높여 기존 계획 대비 500가구 이상 가구수를 늘렸다. 조합원 분담금은 최대 1억원이 줄어들 것으로 추산된다.
노원구 상계동 154-3 일대. (제공=서울시)
서울시는 6일 제15차 도시계획위원회를 열고 ▲노원구 상계동 154-3 재개발 ▲금천구 시흥1동 871일대 재개발 ▲구로구 대흥·성원·동진빌라 재건축 정비계획안과 경관심의 등 3건을 수정가결했다고 7일 밝혔다.
대상지에는 시가 '2030 도시·주거환경정비기본계획(주거환경정비부문)'에 새로 담은 사업성 개선방안인 사업성 보정계수와 현황용적률 인정 등이 첫 적용 됐다. 사업성 보정계수는 허용 인센티브량에 곱하는 계수로, 사업성이 낮은 정비사업지의 사업성을 높이는 수단으로 활용된다. 땅값이 낮을수록 보정계수가 높아져 사업성 혜택을 받는 구조다. 이전에는 보정계수가 1.0(인센티브 최대치 20%포인트)까지만 적용됐는데, 시는 이 보정계수를 2.0(인센티브 최대치 40%포인트)까지 확대했다.
이번 심의에 통과한 대상지 3곳도 해당 지역의 공시지가가 서울시 평균 공시지가 대비 상당히 낮아 사업성 보정계수를 최대 2.0까지 적용받았다. 이로 인해 사업성 보정계수를 적용하기 전보다 높은 용적률을 적용받아 가구수가 기존 계획 대비 507가구 늘어났다.
노원구 상계동 154-3일대는 재개발을 통해 39층 이하, 26개 동, 총 4591가구 대단지 아파트로 탈바꿈할 전망이다. 시는 제2종(7층이하)에서 제3종 일반주거지역으로 상향했다. 사업성 보정계수는 1.96으로 산출돼 허용용적률 인센티브량이 39.2%까지 늘었다. 분양가능 가구수는 공람안 대비 332가구(1216→1548가구)나 증가했다. 이 경우 조합원 1인당 추정분담금은 평균 약 7200만원 감소할 것으로 추산된다.
금천구 시흥1동 871 일대. (제공=서울시)
금천구 시흥1동 871일대는 2022년 12월 신속통합기획 재개발 후보지로, 이번 심의를 통해 45층 이하, 16개 동, 총 2072가구가 들어선다. 제1종, 2종(7층이하) 일반주거지역은 각각 제2종(7층이하), 제3종 일반주거지역으로 상향됐다. 사업성 보정계수도 1.88로 산출돼 허용용적률 인센티브량이 20%에서 37.6%로 대폭 상향됐다. 이로 인해 분양가능 가구수가 주민공람안 대비 57가구(773→830가구) 증가했다. 이를 적용하면 조합원 1인당 추정분담금은 평균 약 4500만원 감소할 것으로 추산된다.
구로구 온수동 45-32일대에 있는 대흥·성원·동진빌라는 재건축을 통해 지상 45층, 15개 동, 총 1455가구 아파트가 건립될 예정이다. 제2종 일반주거지역을 제3종 일반주거지역으로 상향했으며, 사업성 보정계수도 2.0으로 산출돼 허용용적률 인센티브량을 40%까지 끌어올렸다. 대상지 내 사회복지시설인 장애인보호작업장은 전략육성용도시설로 인정돼 상한용적률 인센티브 건축물 계수 1.0도 적용, 용적률을 추가로 높였다. 이를 통해 분양가능 가구수는 공람안 대비 118가구(1255→1373가구) 늘었다. 조합원 1인당 추정분담금은 평균 약 1억원 감소할 것으로 추산된다.
구로구 온수동 45-32 일대. (제공=서울시)
이곳은 2014년 정비구역으로 지정됐으나, 낮은 사업성과 공사비 인상 등으로 주민 부담이 커지면서 10여년 간 사업에 진척이 없었다. 경기 부천시와도 인접해 서울 서측의 관문과도 같은 위치임에도 불구하고 개발이 늦어지면서 상대적으로 낙후된 곳이다. 하지만 이번에 사업성이 크게 개선되며 재건축도 속도를 낼 전망이다. 앞서 오세훈 서울시장과 박상우 국토교통부 장관이 현장을 찾아 신속한 정비사업 추진을 약속하기도 했다.
한병용 주택실장은 ""안정적인 주택공급 확대를 위해 시에서 고심해서 마련한 사업성 개선방안 제도를 현재 계획 중인 모든 현장에 신속하게 적용해 주민들이 빠짐없이 혜택을 받을 수 있도록 적극적으로 지원하겠다""며 ""앞으로 상대적으로 사업성 확보가 어려웠던 기존 구역 또는 신규 지역들이 정비사업 추진에 탄력을 받을 것으로 기대된다""고 밝혔다.",https://n.news.naver.com/article/277/0005496443
"노원구 수락지구, 지구단위계획 변경안 서울시 심의 통과",2022.07.14,"[파이낸셜뉴스] 경기 의정부에서 서울로 진입하는 노원구 수락지구에 대한 지구단위계획 구역 결정 변경안이 서울시 심의를 통과했다.
서울시는 전날 제10차 도시·건축공동위원회를 열고, '수락지구중심 지구단위계획구역 및 계획 결정 변경(안)'을 수정가결했다고 14일 밝혔다.
수락지구중심 지구단위계획구역은 노원구 상계동 1132-9번지 일대 면적 7만㎡다. 지하철 7호선 수락산역의 역세권 중심부이며, 의정부에서 서울시내로 진입하는 서울시 동북방면 초입부다.
'2030 서울플랜'에서 지구중심으로 위계가 상향되고 경기북부지역과 연계한 생활권 중심으로서 기능 강화가 예상되는 곳이다.
지난 1997년 서울외곽순환고속도로 건설계획 도로예정지에서 해제되면서 상계2택지개발사업지구 및 수락상세계획구역에서 제외돼 자연녹지지역으로 남게 된 부분이 수락산~중랑천으로 이어지는 세장형태의 부지로 특별계획구역으로 지정된 바 있다.
이번 재정비 주요 내용은 자연녹지지역으로 존치된 5개소 특별계획구역의 합리적 토지이용계획을 위한 개발지침과 수락산~중랑천으로 이어지는 입지적 중요성을 고려해 시각적 개방을 위해 통경 확보를 위한 저층부 건축선 후퇴 등의 내용을 담고 있다.
특별계획구역은 기존 자연녹지지역을 준주거지역~제2종 일반주거지역으로 용도지역 변경계획을 통해 전략적 개발유도와 역세권 복합개발로 생활권내 필요한 서비스시설을 확충한다.
또 대규모 인구유입시설(판매·업무·문화)과 1층 가로활성화 용도를 권장하는 등 지구중심기능을 강화하도록 계획했다.
서울시 관계자는 ""역세권·간선변 저이용 토지의 복합개발 유도를 통해 지역 활성화를 유도할 수 있는 계기가 될 것""이라고 말했다.",https://n.news.naver.com/article/014/0004867063
"노원구,  ‘불암산 더불어숲’ 운영 재개",2024.08.13,"짚라인. 사진제공=노원구
[서울경제]
서울 노원구는 ‘불암산 더불어숲’ 프로그램 운영을 재개한다.
불암산 더불어숲은 어린이부터 성인까지 모두가 즐길수 있는 협동모험체험 공간이다. 올해 초부터 휴관기간을 거쳐 체험 특화시설로 새단장됐다.
레이저 총과 감지 센서가 내장된 조끼를 활용해 ‘서바이벌’ 게임에 참여할 수 있다. 공중 목재 장애물 코스 체험인 ‘포레스트 어드벤처’는 기존 1개 코스를 신장 120cm 이상부터 이용 가능하도록 바꿨다.
이밖에 무동력 활강, 미로 통과, 원반 던지기, 주머니 던지기 체험도 가능하다.
초등학생 이상이면 누구나 체험장을 이용할 수 있다. 현재 단체만 예약 가능하다.",https://n.news.naver.com/article/011/0004379648
"노원구, 준공 30년 경과 아파트 58.9% 비중 차지",2024.01.15,"(서울=뉴스1) 박정호 기자 = 정부가 준공 30년이 넘은 주택은 안전진단을 거치지 않고 바로 재건축 절차에 착수할 수 있도록 한 가운데 15일 오전 서울시 도봉구의 한 고층빌딩에서 노원구의 아파트 밀집 지역이 보이고 있다.
부동산R114 조사에 따르면 서울 아파트 전체 182만6886채 가운데 30년을 경과한 단지는 50만2820채로, 구별로는 노원구가 전체 16만3136채 중 9만6159채의 아파트가 30년을 넘어 58.9%의 비중을 기록했고, 도봉구도 6만4121채 중 3만6428채(56.8%)로 비중이 높다. 2024.1.15/뉴스1",https://n.news.naver.com/article/421/0007290864
서울 마지막 달동네 '백사마을' 재개발 속도낸다,2020.02.11,"[머니투데이 이소은 기자] [고지대 일부 아파트동 높이 조정…내달 건축심의 접수 계획]
서울 노원구 중계동 백사마을 전경 / 사진=홍정표
서울 마지막 달동네로 꼽히는 '백사마을' 재개발이 속도를 내고 있다. 작년 5월 정비계획안 통과 후 이달 초 교통영향평가까지 마쳤다. 내달 건축심의를 거쳐 오는 4월 사업시행인가를 신청한다는 계획이다. 불암산 경관을 고려해 아파트 높이는 당초 계획보다 낮아질 전망이다.
11일 서울시에 따르면 서울 노원구 중계동 백사마을 재개발이 지난 3일 서울시 교통영향평가를 통과했다. 서울시 관계자는 ""1차 교통영향평가에서 보완이 필요하다고 지적됐던 사업지 내 보행자 안전시설, 주요 시설에 대한 접근동선, 비상차량 통행 안내 체계 등을 추가로 제시해 최근 평가를 통과했다""고 설명했다.
백사마을 재개발사업 시행자인 SH(서울주택도시공사)는 이달 말 유관기관과 협의를 거쳐 내달 중 건축위원회 심의를 정식 접수할 계획이다. 건축위원회의 심의를 통과하면 환경영향평가를 거쳐 오는 4월 사업시행인가를 신청할 예정이다.
백사마을은 중계동 104번지에 위치한다. 1967년 도심개발로 청계천 등에 살던 주민들이 이주하며 형성된 마을이다. 2009년 주택재개발 정비사업구역을 지정되면서 재개발 사업이 시작됐지만 사업시행자(LH공사)의 무리한 정비계획 변경 요구와 주민 갈등 등으로 지체됐다.
이후 2017년 7월 SH공사가 사업시행자로 선정되면서 재추진 됐다. 작년 5월에는 정비구역 지정 10년 만에 정비사업계획안이 도시계획원위원회에서 통과해 사업이 본격화 됐다.
서울 노원구 중계동 백사마을 위치도 / 사진제공=백사마을
재개발을 통해 18만6965㎡ 부지에 최고 20층 일반분양 아파트 2000가구, 최고 4층 임대주택 698가구 등 총 2698가구를 짓는 사업이다. 전면철거와 보전을 병행해 개발된다.
우선 서울시는 백사마을 전체 부지 중 공공임대주택 건설이 예정된 부지 약 4만2000㎡에서 주거지보전사업을 추진한다. 지형·골목길·계단길·작은마당 등 1960~1970년대 서민들의 주거문화생활사를 간직한 주거지 특성을 보전한다는 취지다. 임대주택은 이 부지에 저층형(1~4층)으로 지어진다. 나머지 부지는 기존 노후 주택이 철거되고 아파트 단지가 들어선다.
현장 관계자는 ""4월 사업시행계획인가를 신청하면 6월에는 승인이 날 것으로 예상한다""며 ""세입자들이 선이주 임대아파트로 이주 중이며 60% 이상 이주를 마친 상황""이라고 설명했다. 2021년 착공해 2024년 초 입주하는 게 목표다.
그러나 불암산 자락에 들어서는 신규 아파트 높이는 여전히 변수다. 지난해 도계위는 백사마을 정비계획안을 수정가결하며 '고지대 일부 아파트동이 불암산 풍경을 가로막는다는 지적을 반영해 20층으로 계획한 아파트 일부동의 높이를 조정해 건축위원회의 검토를 받아야 한다'는 조건을 걸었다. 서울시 관계자 역시 ""건축위원회 본심의에서 관련 논의가 이뤄질 것""이라고 말했다.
이와 관련해 사업시행자인 SH공사는 ""당초 정비계획은 대지레벨 60m 이상에 20층짜리 7개동을 건립해 평균 층수를 16층으로 맞추는 내용이었으나 20층짜리를 2개동으로 줄이고 평균 층수를 12층으로 조정해 주변 경관과 조화로운 건축물을 계획했다""고 설명했다.
이소은 기자 luckysso@mt.co.kr
▶나이 들수록 말이 많아지는 이유
▶5년째 생활비 안주는 남편
▶네이버 구독하기
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004355639
공릉동 구 화랑대역 일대 '문화공원'으로 조성,2020.06.04,"[머니투데이 이소은 기자]
/사진제공=서울시
서울 공릉동 구 화랑대역 일대가 문화공원으로 조성된다.
서울시는 지난 3일 열린 제8차 도시계획위원회에서 이같은 내용을 골자로 한 노원구 공릉동 구 화랑대역 일대 도시계획시설(녹지, 광장, 공원) 결정(변경)(안)을 원안가결 했다고 4일 밝혔다.
이번 녹지 및 경관광장의 문화공원 변경(안)은 서울시(경춘선 숲길)와 자치구(연결녹지‧경관광장)로 이원화되어 있는 시설물의 효율적 관리와 일부 교양 및 편익시설 조성을 위해 문화공원으로 변경토록 가결됐다. 화랑대역의 가치를 콘텐츠화 한 철도시간박물관, 철도미니어처관, 기차테마카페 등을 조성한다.
서울시 관계자는 ""구 화랑대역 일대를 문화공원으로 조성, 다양한 컨텐츠를 도입해 시민의 문화 욕구를 충족시키고 삶의 질 향상에 기여할 것으로 기대된다""고 말했다.
이소은 기자 luckysso@mt.co.kr
▶줄리아 투자노트
▶조 변호사의 가정상담소
▶머니투데이 구독하기
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004419644
"중계동 노인복지주택 자리, 아파트용지로 바뀐다",2020.05.22,"[아시아경제 김유리 기자] 서울 노원구 중계동 노인복지주택이 위치한 땅이 아파트용지로 탈바꿈한다.
서울시는 21일 제3차 도시·건축공동위원회 수권소위원회를 열고 중계 지구단위계획구역 내 중계동 514에 대한 지구단위계획 결정(변경)안을 수정가결했다고 22일 밝혔다.
이 땅은 사회복지시설용지로 2008년 노인주거복지시설(노인복지주택)이 건립됐다. 그러나 '노인복지법' 법령개정에 따른 소유·입소 연령 제한 폐지, 식당·의무실 미운영 등으로 당초 목적인 노인주거복지시설 기능을 하지 못하고 있는 실정이다. 주택연금 이용제한과 주택전문관리인력 모집 어려움 등으로 주민 불편도 발생했다.
이번 심의에서는 건축물 이용 현황과 주민 불편 등을 고려해 특별계획구역지정을 통해 토지이용계획을 사회복지시설용지에서 아파트용지로 변경했다. 용도 변경에 따른 공공기여로 건축물 연면적 약 289㎡를 공동육아방, 방과후교실로 제공하기로 했다.
서울시는 ""이번 결정을 통해 장기간 지속된 주민 불편을 해소하고 아이 키우기 좋은 환경을 조성하는데 기여할 것으로 기대하고 있다""고 말했다.
김유리 기자 yr61@asiae.co.kr
▶ 2020년 하반기, 재물운·연애운·건강운 체크!
▶ 네이버에서 아시아경제 뉴스를 받아보세요
▶ 놀 준비 되었다면 드루와!  드링킷!
<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0004683307
