제목,날짜,본문,URL
"서울 상도동의 저층·노후주거지, 29층 1190가구 아파트 단지로",2023.06.26,"서울 동작구 상도동 244 일대가 최고 29층, 1190가구의 아파트 단지로 탈바꿈한다.
동작구 상도동 244 일대 재개발사업 후보지 신속통합기획안 / 서울시
서울시는 이같은 내용의 재개발사업 신통기획안을 확정했다고 26일 밝혔다.
상도동 244일대는 1960년대부터 형성된 저층·노후주거지로 열악한 도로 여건과 급경사로 재해에 취약했다. 지난 2018년에는 해당 지역에 위치했던 ‘상도유치원’이 붕괴하는 사건도 발생했었다.
서울시는 이번 재개발로 최고 29층 내외 1190가구 규모의 주거단지를 조성해 열악한 주거 환경을 개선할 계획이다.
우선, 지형 특성에 맞도록 지형이 높은 지역의 주거 지역에는 테라스하우스를 배치하고, 지형이 낮은 지역에는 최고 29층 내외 높이의 주거 지역을 신설한다.
현재 다수의 옹벽과 계단으로 이뤄져 보행과 차량 이동이 어려웠던 골목길을 확장하고, 단절됐던 도로를 연결하는 정비 사업에도 돌입한다.
서울시는 해당 지역의 진입도로인 성대로를 상도로·장승배기로와 연결하고, 완만한 산책로가 없어 통행에 불편을 겪었던 국사봉과 연결된 산책로와 통학로를 건설할 계획이다.
국사봉은 동작구와 관악구 경계에 걸친 해발 184m의 산봉우리로, 재개발 대상지와 인접한다.
서울시는 기획안이 확정됨에 따라 연내에 정비 계획 결정이 완료되는 등 사업 기간이 단축될 것으로 예상하고 있다.
조남준 서울시 도시계획국장은 “열악하고 재해에 취약한 저층주거지가 편리하고 안전한 주거단지로 바뀔 것”이라며 “신속통합기획을 통해 개별단지의 주거환경 개선뿐 아니라 정비가 필요한 지역 일대의 기반시설도 세심하게 살피겠다”고 했다.",https://n.news.naver.com/article/366/0000911907
노량진6구역에 1499세대 아파트·공연장 등 복합문화시설 건립,2023.09.06,"제7차 도시재정비위원회 개최
노량진6구역 위치도(서울시 제공)
(서울=뉴스1) 김도엽 기자 = 서울시는 지난 5일 열린 제7차 도시재정비위원회를 열고 '노량진6 재정비촉진구역 재정비촉진계획 변경 및 경관심의(안)'을 원안가결했다고 6일 밝혔다.
장승배기역 역세권에 위치한 노량진6구역(동작구 노량진동 294-220번지 일대)은 2014년 사업시행계획인가, 2021년 관리처분계획인가를 받아 현재 기존건축물 해제공사를 진행하고 있다.
이번 결정을 통해 지하 4층~지상 28층, 14개동, 1499세대(공공주택 262세대 포함)의 공동주택을 공급하고, 공공기여 등을 통해 지역에 필요한 문화시설을 조성할 계획이다.
특히 동작구 주민에게 공연 관람 기회를 제공할 복합문화시설(연면적 약 1만3000㎡ 규모, 공연장·전시실 등)이 건립될 예정이다.
한병용 서울시 주택정책실장은 ""교통 등 입지 여건이 우수한 노량진 재정비촉진지구에서 9000여세대 대규모 주택 공급이 가시화됐다""며 ""노량진지역의 노후된 주거환경을 개선하여 다양한 유형의 주택이 원활하게 공급되도록 지원하겠다""고 말했다.",https://n.news.naver.com/article/421/0007031637
"노후 저층주거지 동작구 '사당5구역', 507가구 아파트로",2022.01.14,"서울 동작구 사당5구역 위치도 /사진=서울시
구릉지에 노후 단독주택이 몰려 있는 서울 동작구 사당동 303번지 일대 '사당5구역'이 507가구 아파트로 재탄생한다.
서울시는 제1차 건축위원회를 열고 사당5구역 주택재건축사업을 특별건축구역으로 지정하는 내용의 건축심의를 통과시켰다고 14일 밝혔다.
시는 지역 특성에 따라 자연지형에 순응하는 아파트 단지로 조성하기 위해 사당5구역을 특별건축구역으로 지정했다. 특별건축구역은 사업 특성에 맞게 용적률, 건축물 높이 등 건축규제를 완화할 수 있도록 한 제도다.
심의를 통과한 계획안에 따르면 사당5구역은 지하 5층~지상 12층, 총 507가구 규모의 신축 아파트로 탈바꿈하게 된다. 공공주택 16가구도 포함된다. 이외에도 부대복리시설, 근린생활시설, 공영주차장 107대, 버스회차장 등이 들어선다. 오는 8월 사업시행계획인가를 거쳐 2025년 착공에 들어가 2028년 준공을 목표로 한다.
사당5구역은 지하철 2호선 낙성대역과 2·4호선 사당역 사이에 위치하고 까치산과 가까워 자연경관을 누릴 수 있다는 장점이 있지만, 대지의 최고·최저 높이 차이가 32m에 이르는 구릉지형 부지라는 특수성이 있다. 시는 이를 고려해 획일화된 공동주택 디자인이 아니라 창의적인 설계가 필요하다고 보고 특별건축구역으로 지정하기로 했다. 구릉지의 특성을 최대한 보존하고 인근 건축물과 조화를 이루도록 계획했다.
이에 따라 건축 유형에 따라 다양한 높낮이를 도입해 배치할 예정이다. 주변 저층 주거지와 가까운 동남측 전면부에는 5층 건물을 배치한다. 대지가 높은 쪽으로 테라스를 두는 '테라스하우스형' 건물도 계획했다. 최상위층에 다락형 세대를 두는 등 다양한 평면계획을 도입했다.
주거유형은 전용 44·59·84㎡ 3가지 평형이다. 공공주택은 2인 이상 가구에 적합한 44·59㎡형으로, 모두 장기전세주택으로 공급된다.
단지 내 공공보행통로를 통해 주변 지역과 연결하고, 근린생활시설과 커뮤니티 시설, 다함께 돌봄센터 등 지역 공유 커뮤니티 시설을 조성해 열린 주거공동체를 유도한다. 특히 단지 내 지역 주민을 위한 공영주차장, 마을버스 노선 신설을 위한 버스 회차장도 계획해 주차난과 교통난을 해소할 수 있도록 했다.",https://n.news.naver.com/article/008/0004696139
"[동네방네]동작구, '공동주택 공동체 활성화 지원사업'",2019.01.16,"관내 아파트 등 165개 공동주택 대상
[이데일리 김기덕 기자] 서울 동작구가 공동주택 단지 내 주거공동체 개선을 위해 ‘공동주택 공동체 활성화 지원 사업’ 공모를 실시한다고 16일 밝혔다.
이번 사업은 단절된 이웃 간 소통을 늘리고, 다양한 가구가 함께 사는데 필요한 공동체 의식을 활성화하기 위한 취지로 시작됐다.
신청 대상은 관내 아파트 등 165개 공동주택이다. 주요 사업은 공유 및 활동을 통해 교류를 확대하는 공동체 활성화 사업과 입주민들의 소통 거점을 만드는 공동체 공간조성 사업 등 두 분야로 나뉜다.
공동체 활성화 사업은 친환경 제품 만들기, 주민축제, 공동육아, 운동 등 프로그램으로 150가구 미만 3개, 150가구 이상 17개 단지 내외를 선정한다. 지원금은 각각 최대 300만원, 800만원이다.
공간조성사업은 단지 내 유휴공간을 활용해 도서관, 운동시설 등 커뮤니티 공간을 만드는데 필요한 리모델링, 시설비 등을 지원하는 사업이다. 공동주택 2개 단지를 선정해 단지별 500만원 이내 총 사업비의 60%까지 지원한다.
접수기간은 오는 28일부터 다음달 15일까지다. 입주자 대표회의, 단지 관리주체(공동체 활성화 사업은 10명이상 단체 포함)가 공동으로 사업안을 작성해 동작구 주택과로 방문 접수하면 된다. 심사를 거쳐 최종 선정된 사업은 올해 3월부터 11월까지 추진하게 된다.
지난해 추진한 동작구 사당 우성3단지 자투리땅 텃밭 조성 사진.(동작구 제공)
김기덕 (kiduk@edaily.co.kr)
네이버에서 이데일리
[구독하기▶]
, 꿀잼가득
[영상보기▶]
빡침해소! 청춘뉘우스~
[스냅타임▶]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004292678
서울 신대방동에 노인여가복지시설 조성한다... 도로폭도 ‘확대’,2022.02.24,"서울 신대방동에 노인여가복지시설이 조성되고, 신대방1가길변 도로의 폭도 확대된다.
대림지구 노인여가복지시설 예상도. /서울시 제공
24일 서울시는 전날 개최한 제2차 도시·건축공동위원회에서 대림지구 지구단위계획 결정(변경)(안) 및 특별계획구역(4구역) 세부개발계획 결정(안)을 ‘수정가결’했다고 밝혔다.
서울시에 따르면 대상지는 현재 주유소부지로 사용되고 있다. 지하철 2호선 구로디지털단지역과 대림사거리 사이에 주간선도로인 시흥대로변에 접해 있어, 신안산선 신설 등 지역여건 변화에 부합하는 개발계획 수립이 필요한 지역이라는 설명이다. 서울시는 이번 계획 결정안을 통해 공공기여를 받아 신대방1가길변 도로폭을 확대하고 지역 필요시설인 노인여가복지시설을 조성하기로 했다.
또 서울시는 시흥대로변 건축한계선 추가 확보에 따라 충분한 전면공지를 확보하여 가로활성화를 유도하면서 보행환경도 개선할 계획이다.
서울시 관계자는 “대림지구 지구단위계획구역 내 특별계획4구역의 세부개발계획 결정으로 업무‧상업시설 도입에 따른 지역경제 활성화 및 가로경관 개선과 더불어 광역중심으로의 기능 및 위상이 높아질 것으로 기대한다”고 밝혔다.
이날 도시·건축공동위원회에서는 동중심지구 지구단위계획구역 내 목동 919-7 외 1필지를 특별계획구역으로 지정하는 지구단위계획 결정안도 통과됐다.
또 제1차 도시건축공동위원회 역세권 청년주택 수권분과 위원회에서는 중랑구 중화동 306-48 역세권 청년주택 지구단위계획을 취소했다. 사업시행자 개인에 의한 역세권 청년주택 사업시행 포기 신청으로 원안 가결됐다.",https://n.news.naver.com/article/366/0000795722
"흑석9구역, 재개발 시공사 선정 나서",2018.03.09,"최고 25층 21개동 1536가구 조성
GS·롯데건설, 브랜드 타운 경쟁
[ 민경진 기자  ]
서울 흑석9구역(조감도)재개발조합이 시공자 선정에 나섰다. 이 사업장은 1500가구 규모의 대단지로 공사비 규모가 약 4000억원에 달해 입찰 경쟁이 치열할 전망이다.
9일 흑석9구역 재개발조합에 따르면 다음달 30일 조합사무실에서 흑석9구역 재개발 시공사 선정을 위한 입찰을 시행한다. 입찰 방식은 일반경쟁입찰이다.
흑석9구역 재개발사업은 서울 동작구 흑석동 90 일대 총면적 9만4641㎡ 규모의 택지를 재개발하는 사업이다. 지하 7층~지상 최고 25층, 21개 동, 총 1536가구가 조성된다.
부대복리시설, 근린생활시설(2동), 사회복지시설, 정비기반시설 등도 함께 들어설 계획이다. 예상 공사비는 공동주택 3600억원, 정비기반시설 및 기타 건축물 140억원 수준이다. 대여금은 700억원이다.
건설업계는 흑석동 일대에 대규모 브랜드 타운 조성을 노리는 GS건설과 롯데건설의 입찰 경쟁이 치열할 것으로 보고 있다.
민경진 기자 min@hankyung.com
[
한경닷컴 바로가기
] [
글방
] [
모바일한경 구독신청
]
ⓒ 한국경제 &
hankyung.com
, 무단전재 및 재배포 금지",https://n.news.naver.com/article/015/0003904982
4·7호선 이수역 일대에 29층 공동주택 들어선다,2023.04.07,"기사내용 요약
서울시, 지구단위계획구역 지정안 수정가결
[서울=뉴시스]조감도.(사진=서울시 제공) *재판매 및 DB 금지
[서울=뉴시스] 권혁진 기자 = 지하철 4·7호선 이수역 일대에 29층 규모의 공공주택이 들어선다.
서울시는 지난 6일 제2차 도시·건축공동위원회 수권소위원회를 열고 동작구 사당동 161-55번지 일원 역세권 지구단위계획구역 지정 및 계획 결정(안)을 수정 가결했다고 7일 밝혔다.
대상지는 이수역 역세권으로, 노후·불량 건축물 밀집에 따른 열악한 주거환경 개선하고, 역세권 지역 특색을 살려 도시환경을 정비한다.
이번 결정으로 대상지 4만5586㎡에 지하 3층~지상 29층 규모의 총 965세대(공공임대주택 89세대) 공동주택이 건립될 예정이다. 또한 사당로27길에 지역 주민 모두가 이용할 수 있는 커뮤니티지원시설을 배치해 이용 편의성을 더하고, 시설 내 청소년 문화센터를 공급할 계획이다.
시는 또한 서대문구 홍은동 14-11번지 일원에 대한 홍은8-1구역 지구단위계획구역 지정 및 계획 결정(안)도 수정 가결했다.
대상지는 홍은8지역주택조합사업지 및 홍은제13주택재개발사업지와 인접한 곳으로, 주변 지역과의 조화로운 적정 개발을 유도하고자 주민 제안에 따라 추진됐다.
지구단위계획구역 지정에 따라 4508.98㎡에 지하 4층~지상 17층 공동주택 119세대가 신축된다. 이 중 8세대는 공공임대주택으로 제공할 예정이다．",https://n.news.naver.com/article/003/0011789497
장승배기 종합행정타운 건립 본격화…“2022년 완공”,2018.03.14,"[이데일리 정다슬 기자] 서울 동작구 장승배기 종합행정타운 건립이 본격화된다. 올해 말까지 설계안을 마련한 뒤 2020년 착공, 2022년 완공한다는 계획이다.
동작구와 한국토지주택공사(LH)는 15일 구청에서 실시협약(본계약)을 체결했다. 지난해 7월 5일 종합행정타운 건립사업에 대한 업무협력 양해각서를 체결한 후 9개월 만이다.
LH가 먼저 재원을 투자해 장승배기에 새로운 청사에 건립하면 구에서 그 대가로 현 노량진 청사부지를 LH에 제공한다는 것이 협약의 골자이다. 즉, 새로운 청사를 현재 구청사 부지로 대물변제하는 방식으로 사업이 진행된다. 이로써 구는1853억원이 투입되는 대규모 사업의 재원마련 문제를 해결했다.
양측은 향후 사업을 본격적으로 협의하기 위한 실무협의회 구성에도 합의했다. 이미 지난달 종합행정타운 건립사업 국제설계공모를 진행해 지금까지 총 78팀이 신청서를 제출했다. 최종 1등 수상자에게는 기본·실시설계 용역에 대한 계약우선 협상권이 부여된다.
구는 오는 5월 11일 당선작을 선정하고 올해까지 설계안을 마련한다. 설계안에 주민 의견을 최대한 반영해 행정타운을 주민들을 위한 열린 공간으로 만든다는 방침이다. 기존 시장 상인들과의 상생을 도모하고자 근린생활시설을 포함한 관상복합청사도 구상 중이다.
LH는 노량진 현청사 부지에 상업시설 유치를 포함한 고밀도 복합개발도 나선다. 구는 높이계획 완화 등 노량진지구 지구단위계획 재정비도 함께 추진키로 했다.
정다슬 (yamye@edaily.co.kr)
▶ 암호(가상)화폐에 대한 모든 것!
▶ 네이버 메인에서 ‘이데일리’ 구독하기
▶ '이데일리'의 카톡 친구가 되어주세요~♥
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004056005
동작구 남성역 인근에 37층 높이 주상복합,2024.10.17,"공동주택 519가구, 문화시설 등
역세권 활성화 사업 주택 공급
남성역 일대 들어설 주상복합 투시도
서울 동작구 사당동 남성역 일대에 37층 높이, 519가구 주상복합시설이 들어선다.
17일 서울시는 지난 16일 제14차 도시계획위원회를 개최하고 ‘동작구 사당동 252-15 일대 역세권 활성화 사업 도시정비형 재개발 정비구역 지정 및 정비계획 결정안’을 수정가결 했다고 밝혔다.
남성역 인근 역세권 활성화 도시정비형 재개발지역 위치도
대상지는 지하철 7호선 남성역 인근 공동주택 단지에 둘러싸인 저층 주거지역에 있는다. 이번 정비계획을 통해 지하 6층~지상 37층, 연면적 11만㎡ 규모 근린상가, 문화시설, 공동주택(519가구)과 오피스텔(54실) 등 시설이 들어선다. 또 사당로 변에 공공공지와 이와 연계한 공개공지를 배치해 남성역과 이수역 간 단절된 보행 공간을 연결하는 보행 연계 거점이 조성될 것으로 기대된다.
이밖에도 시는 용도계획을 통해 저층부 가로를 활성화하는 한편, 접근성 개선을 위해 남성역과 선큰 광장을 잇는 지하 연결통로와 지하철 출입구도 신설할 계획이다. 쾌적한 보행환경을 위해 대지 고저 차를 고려한 단지 내 보행 동선을 확보하고 엘리베이터 등을 계획해 보행 약자의 편의성을 높였다.
지역 필요 시설로는 남성역 인근 학교 입지와 동작구 내 시설 분포 현황을 고려해 글로벌 체험센터, 영어도서관을 계획했다.",https://n.news.naver.com/article/009/0005380659
"동작구, 냉·난방에 충전기·UV살균까지 ‘스마트 버스정류장’ 만든다",2022.03.28,"[헤럴드경제=최정호 기자]동작구(구청장 이창우)가 숭실대입구역 3번 출구에 있는 버스정류장에 다양한 스마트 기술을 접목한 ‘동작구 스마트 쉼터’를 조성하고 시범 운영에 나섰다.
미세먼지와 폭염, 한파 등 기상이변 속에서도 사계절 내내 주민들이 쾌적하고 편안하게 쉴 수 있는 공간을 마련한 것이다.
‘동작구 스마트 쉼터’는 가로 6m, 폭 2m의 버스정류장에 공기청정기와 스마트 자동 냉·난방 기능을 더해 날씨 변화에 상관없이 시원하고 따뜻하게 이용할 수 있도록 했다. 코로나19 확산 방지를 위해 출입문에 발열체크 화상카메라 자동개폐장치를 설치하고 내부에 자외선(UV)살균 기능도 더했다.
또 실시간 버스 도착 안내판, 스마트폰 유·무선 충전기능 의자, 공공와이파이, 자동 조명, 동작구통합관제센터와 연계된 CCTV·비상벨 등도 함께 설치했다. 쉼터 운영 시간은 대중교통 운행시간인 오전 4시부터 자정까지다.
동작구는 올해 상반기까지 성대시장, 남성역, 상도역, 신대방삼거리역 등 4곳에 스마트 쉼터를 추가로 설치할 예정이다.
이정심 동작구 미래도시과장은 “이번 동작구 스마트 쉼터가 구민의 일상에서 스마트시티를 체감할 수 있는 휴식공간이 되기를 바란다”고 말했다.",https://n.news.naver.com/article/016/0001969206
"[동네방네]동작구, 안전취약가구 안전점검 및 시설정비",2020.05.18,"기초생활수급자, 독거노인 등
안전 취약 1200가구 대상 실시
동작구가 지난해 실시한 안전취약계층 전기 및 가스 시설 안전점검.(사진=동작구 제공)
[이데일리 박민 기자] 서울 동작구는 오는 12월까지 지역 내 안전 취약 가구를 대상으로 주거 환경 안전점검 및 시설 정비를 추진한다고 18일 밝혔다.
이는 노후·열악한 주거환경으로 누전 및 감전, 화재 등 각종 재난사고에 노출돼 있는 안전 취약 계층에게 안전점검과 시설정비를 무료로 진행하는 사업이다.
앞서 구는 지난해 △전기점검 170가구 △가스점검 870가구 △소화기보급 585가구 등에 대한 안전점검 및 시설정비를 완료한 바 있다.
올해에는 약 6450만원의 예산을 투입해 전기·도시가스시설 안전점검 및 노후·불량한 안전시설의 보수를 실시하고, 거동이 불편한 주민에게는 가정용 소화기를 지원한다.
특히, 누전차단기, 가스타이머, 화재감지기, 보일러 등을 중점 정비해 가정 내 화재사고를 미연에 방지할 계획이다.
지원 대상 가구는 오는 6월까지 각 동주민센터에서 기초생활수급자, 차상위계층, 장애인, 홀몸어르신 등 1200여 가구를 조사해 선정할 계획이다.
구 관계자는 “선정심의회를 구성해 생활이 어렵고 노후 주거환경으로 사고위험에 노출되거나 거동이 불편한 노약자, 장애인 등을 우선 지원 대상으로 뽑을 계획”이라고 말했다.
선정된 가구는 오는 11월 말까지 분야별 전문가 및 ‘찾동’ 사회복지사 등으로 구성된 ‘안전복지컨설팅단’이 직접 방문해 점검한다.
점검 가구원에게 전기·가스 안전시설 사용방법을 안내하고 안전교육 서비스를 제공해 사업 만족도를 향상시킬 계획이다.
유옥현 안전재난담당관은 “이번 사업을 통해 생활 속 안전사고 위험에 노출된 취약계층을 세심히 살펴 주민 모두가 안전한 도시환경을 조성하겠다”고 말했다.
박민 (parkmin@edaily.co.kr)
네이버에서 ‘이데일리’ 구독하기▶
청춘뉘우스~ 스냅타임▶
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004642871
