제목,날짜,본문,URL
서울 마포구 홍대입구역 일대 관광숙박시설 용도 폐지,2018.05.10,"서울시, 마포지구 지구단위계획 변경
마포지구 지구단위계획 위치도.(이미지=서울시)
[이데일리 박민 기자] 서울 마포구 서교동  373-8번지 일대 866㎡ 규모에 지정했던 관광숙박시설 용도가 폐지된다.
서울시는 지난 9일 제7차 도시·건축공동위원회를 열고 이 같은 내용의 ‘마포지구 지구단위계획 변경 결정안’을 원안가결했다고 10일 밝혔다.
이번 용도변경 대상지는 지난 2013년 12월 지구단위계획 변경 결정을 통해 관광숙박시설 사업이 추진된 곳이다. 그러나 관광시장 여건변화로 사업이 무산됨에 따라 해당 부지에 대한 지구단위계획 변경이 이뤄졌다. 이번 변경 결정에 따라 해당 부지는 기존 지정용도(관광숙박시설)  및 용적률 완화 결정이 폐지됐고, 대신 다양한 시설계획이 가능하게 됐다.
권기욱 도시계획국장은 “이번 지구단위계획 변경은 관광산업 침체 등 지역여건 변화를 반영하기 위한 결정”이라며 “낙후한 도심환경 개선 및 지역활성화에 도움이 될 것으로 기대한다”고 말했다.
박민 (parkmin@edaily.co.kr)
최신 웹툰이 공짜... 꿀잼 '웹툰'~♥
네이버 메인에서 ‘이데일리’ 구독하기
'이데일리' 페이스북 친구맺기
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004098419
"SH공사, 마포 공덕 등에 행복주택 '1620가구' 공급",2022.12.26,"공덕동 크로시티 조감도./사진제공=SH
[서울경제]
서울주택도시공사(SH)가 청년과 신혼부부 등을 대상으로 행복주택 1620가구를 공급한다.
SH공사는 마포구 공덕동 크로시티 등 1620가구의 행복주택 입주자를 모집한다고 26일 밝혔다. 이번 공급은 재건축 아파트를 포함해 신규단지 966가구와 기존 입주자 퇴거, 계약 취소 등으로 발생한 잔여 공가 117가구와 예비입주자 5374가구를 대상으로 한다.
이번 모집분의 면적별 평균 보증금과 임대료는 △전용 29㎡ 이하 보증금 6200만원에 임대료 21만원 △전용 39㎡ 이하 보증금 8100만원에 임대료 29만원 △전용 49㎡ 이하 보증금 1억5600만원에 임대료 54만원 △전용 59㎡ 이하 보증금 2억100만원에 임대료 68만원이다.
행복주택은 청년과 신혼부부, 고령자 등 주거약자를 대상으로 주변시세의 60~80%의 금액으로 공급하는 주택으로 대학생·청년의 경우 6년, 자녀가 있는 신혼부부의 경우 10년, 고령자는 최대 20년까지 거주할 수 있다.
기존 행복주택 입주자도 동일 공급 대상(계층)으로 다른 행복주택에 자유롭게 재청약이 가능하다. 과거에는 세대구성원의 증감 등 불가피한 경우를 제외하면 다른 행복주택으로 재청약과 재입주가 불가했다. 다만 이동이 잦은 대학생과 청년의 특성을 고려해 재청약은 자유롭게 허용하되 각각의 행복주택 거주기간을 합산해 공급대상별 최대 거주기간 제한을 받게 된다.
입주자격은 입주자모집공고일(12월 27일) 기준 무주택세대구성원으로서 전년도 도시근로자 가구원수별 가구당 월평균소득의 100퍼센트 이하, 세대 총자산은 3억2500만원 이하, 세대 보유 자동차 가액이 3557만원 이하인 자가 신청할 수 있다. 해당 기준은 공급대상별로 차이가 있을 수 있다.
청약 접수는 2023년 1월9일부터 11일까지 SH공사 누리집을 통해 신청할 수 있다. 서류심사대상자와 당첨자는 각각 2023년 1월27일과 5월18일에 발표하며 입주는 2023년 7월부터 가능하다.",https://n.news.naver.com/article/011/0004137783
마포·영등포·김포…‘新 3포’가 뜬다,2018.01.08,"마포, 목동 제치고 대표거주지로
영등포, 뉴타운으로 이미지 개선
김포, 완벽한 생활인프라 재조명
부동산 시장에서 ‘3포(浦)’ 지역이 급부상하고 있다. 대표 주거지역으로 자리매김 중인 서울 마포, 대규모 뉴타운을 발판으로 도약하고 있는 영등포, 그리고 서울의 새로운 베드타운으로 떠오르는 경기도 김포다.
8일 한국감정원이 조사한 지난해 12월 아파트 중위 매매가격을 보면 마포구가 6억5000으로 목동을 품고 있는 양천구(6억500만원)보다 높았다. 마포구 중위가격이 양천구를 제친 것은 이번이 처음이다. 마포구 시세는 해당 조사가 시작된 2012년만 해도 양천구보다 약 8000만원이나 낮았다. 중위 매매가격이 5억원을 넘어선 것도 양천구는 2015년 11월이지만 마포구는 꼭 1년 뒤에야 턱걸이에 성공했다. 하지만 목동 아파트들의 재건축 열기가 식은 틈을 타 마포가 빠르게 몸값을 올리며 첫 역전에 성공했다.
부동산 시장에서 ‘3포(浦)’ 지역이 급부상하고 있다. 대표 주거지역으로 자리매김 중인 서울 마포, 대규모 뉴타운을 발판으로 도약하고 있는 영등포, 그리고 서울의 새로운 베드타운으로 떠오르는 경기도 김포다. 사진은 마포지역 아파트단지.
박원갑 KB국민은행 WM스타자문단 수석전문위원은 “마포구에 새 아파트가 많이 들어서면서 벌어진 현상”이라며 “도심회귀ㆍ쏠림 현상이 굉장하다”고 풀이했다.
양천구에서도 신정 뉴타운이 들어서긴 했지만 목동 아파트로 대표되는 양천구의 부동산 지형은 큰 변화가 없는 상황이다. 반면 마포구는 입지와 종류, 연한이 다양해 실수요와 투자수요의 고른 주목을 받는 모습이다.
함영진 부동산114 리서치센터장은 “마포구는 한강변 프리미엄을 갖춘 단지와 마포ㆍ공덕역 인근의 직주근접 단지, 상암동 지역의 자족기능을 갖춘 단지까지 다양한 장점을 두루 갖추고 있다”고 설명했다.
물론 목동 지역의 아파트 재건축이 가시권에 들어오면 언제든 두 지역의 아파트 가격 순위는 바뀔 수 있다. 올해 12, 13단지를 시작으로 목동 신시가지 단지들이 차례로 재건축 연한을 채운다. 이들 아파트는 가구 당 대지지분이 많고 용적률도 낮아 사업성이 높은 곳으로 평가된다. 관건은 재건축 초과이익환수제 부활로 재건축 모멘텀이 크게 위축된 상황에서 목동의 재건축 추진ㆍ예정 단지가 얼마나 시장의 관심을 받을지 여부다.
한강 남쪽에서는 영등포가 비상 중이다. 지난해 영등포구의 아파트 매매가격은 무려 5.82%가 뛰었다. 송파구(8.72%)와 강남구(6.58%) 다음으로 높다. 영등포뉴타운과 신길뉴타운이라는 쌍끌이 도시정비사업이 낡은 영등포를 고급 아파트 단지로 환골탈태시켰다. 그동안 편리한 교통과 생활환경 등 소외됐던 장점들도 빛을 발하고 있다는 평가다.
수도권에선 한강신도시 등 택지개발을 등에 업은 김포가 주목받고 있다. 김포의 지난해 아파트 매매가격은 2.94% 올라 2기 신도시들 가운데 돋보이는 상승률을 기록했다. 특히 2014년 분양 당시 ‘미분양의 무덤’으로 불렸던 김포 한강신도시는 기반시설이 갖춰지고 올해 11월 김포도시철도 개통 등 교통여건도 개선되면서 빠르게 실수요자를 불러 모으며 김포 지역 상승세를 이끌고 있다.
김우영 기자/kwy@heraldcorp.com
▶ 생활용품 또 떨어졌어? 마트 가지 말고 한번에 쓱~
▶헤럴드경제 채널 설정하기
▶카카오플러스 친구맺기
- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -",https://n.news.naver.com/article/016/0001337702
마포중앙도서관 15일 개관…로봇 안내·코딩 교육 등 IT 접목,2017.11.07,"옛 마포구청 부지…서울 자치구 도서관 가운데 최대 규모 자랑
마포중앙도서관 [서울 마포구 제공=연합뉴스]
(서울=연합뉴스) 이태수 기자 = 서울 마포구는 성산로 128 옛 마포구청사 부지에 지하 2층, 지상 6층 규모의 마포중앙도서관을 15일 정식 개관한다고 7일 밝혔다.
도서관은 연면적 2만229㎡ 규모로 서울 자치구 도서관으로는 최대 규모다. 도서관 기능은 물론, 청소년교육센터·근린생활시설·공영주차장 등을 갖춘 복합교육문화공간으로 조성됐다.
구는 ""2008년 마포구청이 지금의 신청사로 이전하면서 옛 청사 활용방안을 검토하던 과정에서 도서관 설립 사업이 시작됐다""며 ""국·시비 등 예산 450억원이 투입된 대규모 사업""이라고 설명했다.
도서관은 현재 장서 10만여 권을 보유 중으로, 앞으로 40만 여권까지 늘려나갈 계획이다.
마포중앙도서관 안내 로봇 [서울 마포구 제공=연합뉴스]
열람실은 680여 석 규모로, 장애인을 위한 높낮이 조절 열람석과 책장을 넘기는 보조기기도 갖췄다.
구는 ""단순히 책만 읽는 도서관을 넘어 첨단 IT 기술과 청소년 교육 기능을 결합한 장소""라며 ""4차 산업혁명 시대를 대비해 미래 사회에 필요한 인재를 양성하고, 재능 있는 청소년이 꿈을 키울 수 있도록 설계했다""고 소개했다.
우선 전국에서 처음으로 인공 로봇을 이용한 도서관 안내 서비스를 갖췄다. 또 디지털 신기술 IT 체험관, 소프트웨어 코딩 교육, VR(가상현실) 체험을 제공하는 등 4차 산업혁명 시대 IT 교육 기능도 마련했다.
또 영어교육센터와 청소년교육센터를 운영해 청소년 교육 기능에도 힘을 실었다.
도서관은 이 밖에도 대형 지구본, 세계 지도, 세계화폐전시실, 가상여행체험, 작가 지망생을 위한 집필실 등을 뒀다.
구는 개관 전 도서관장, 사서, 청소년 지도사 등 37명을 미리 채용해 머리를 맞대고 운영 방안을 모색해왔다.
정식 개관을 앞두고 지역 주요 인사와 주민 3천여 명이 참석한 가운데 7일 오후 1시 30분부터 개관식이 열린다.
박홍섭 마포구청장은 ""마포중앙도서관이 꿈과 끼 있는 청소년의 등대가 되길 바란다""고 말했다.
마포중앙도서관 [서울 마포구 제공=연합뉴스]
tsl@yna.co.kr
기사 문의(기사 제목을 꼭 알려주세요) 및 제보는 여기로(클릭!)
최신 유행 트렌드 총집결(클릭!)",https://n.news.naver.com/article/001/0009665115
홍대~합정 일대 관광·청년문화 중심지로…용적률 1.2배까지 완화,2024.10.24,"서울시, 홍대앞 지구단위계획안 가결
지하철 2호선 홍대입구역과 합정역 일대가 청년문화·관광 중심지로 거듭날 예정이다. 외국인 숙박시설과 공연장, 청년창업·취업공간을 지으면 용적률이 최대 1.2배 상향된다.
서울시는 23일 제14차 도시·건축공동위원회를 열고 '마포 디자인·출판 특정개발진흥지구 및 마포지구 지구단위계획 결정안'을 수정가결했다고 24일 밝혔다.
시는 2010년 마포구 일대에 디자인·출판업을 지원하기 위해 특정개발진흥지구를 지정했고, 2016년 합정역 주변으로 이를 실현할 지구단위계획 구역을 지정한 바 있다.
이번 지구단위계획은 합정역 주변에서 특정개발진흥지구 전체로 확대한다. 또 권장업종인 디자인·출판 활성화를 위해 구역 내 권장업종을 도입할 경우 건축물의
용적률과 높이를 최대 120%까지 완화하겠다는 계획도 담았다.
아울러 홍대 상권과 공연·전시 문화, 관광산업 활성화를 위해 5개 권역별 권장 용도를 설정했고 용적률 인센티브도 제공하기로 했다. 어울마당로 일대에는 보행, 상권과 지역 공연문화 활성화를 위해 소매점·공연장을 권장한다. 합정역 주변은 권장용도로 사무소를 계획하고 용도완화계획을 수립해 청년 창업·취업공간 조성을 유도할 계획이다.
공항철도 주변에는 외국인 숙박시설을 지역특화용도로 계획했다. 홍대를 찾는 외국인들의 관광과 숙박에 대한 편의를 제공하겠다는 취지다. 홍익대학교 아트앤디자인밸리 일대에는 전시장, 서점, 학원 등을 권장 용도로 계획해 문화·예술자원의 활동공간과 교육공간을 조성하기로 했다. 독막로변 일대에는
상근·상주 인구의 생활편의를 위한 체력단련장과 의원 등의 권장용도 계획을 마련했다.
서울시 관계자는 ""금번 지구단위계획 변경을 통해 구역 내 산업·문화·상업·관광 기능을 활성화할 계획""이라며 ""홍대 지역이 서북권의 청년문화와 상업·관광 중심으로서의 역할을 수행할 것으로 기대된다""고 말했다.",https://n.news.naver.com/article/277/0005489207
"마포 마지막 '알짜' 아현1구역, 재개발 시동",2019.07.10,"서울 마포구 아현뉴타운의 마지막 남은 아현동 699번지 일대 아현1구역이 재개발 사업 시동을 걸고 나섰다.
마포구 아현1구역 일대 전경. /카카오맵 캡처
부동산업계에 따르면 아현1구역은 6월 24일부터 이달 말까지 정비구역 지정에 대한 주민 동의 조사를 진행한다. 토지 등 소유자가 3분의 2 이상 정비구역 지정에 찬성하거나 토지 면적 2분의 1 이상이 동의하면 정비계획 수립과 정비구역 지정을 추진하게 된다.
앞서 이곳은 지난해 11월 토지 등 소유자 2116명을 대상으로 재개발정비구역 지정 사전타당성 조사를 했는데, 찬성 57.9%, 반대 3%가 나왔다. 주민 의견 수렴에서 찬성이 50%가 넘고, 반대가 25% 미만이면 도시계획위원회에 상정해 정비구역 지정을 추진할 수 있다.
아현1구역은 10만3979㎡의 면적으로 공동주택 3300여가구가 들어서는 지역이다. 애초 3개 구역으로 나뉘어 재개발 사업이 추진됐고, 아현 1-3구역은 ‘아현 아이파크’라는 단지 명으로 2017년 입주가 이뤄졌다. 하지만 1-1, 1-2구역은 정비구역에서 해제됐다가 최근 주민들의 요청으로 1구역으로 통합해 사업을 추진하고 있다.
이곳은 서울지하철 2·5호선 환승역인충정로역(경기대입구)과 2호선 아현역, 5호선 애오개역을 걸어서 이용할 수 있는 역세권으로 아현뉴타운 중에서도 입지가 좋은 곳으로 평가받는다. 아현 아이파크의 경우 지난해 10월 전용 59.97㎡가 10억3500만원에 거래됐다.
다만 이른바 ‘지분 쪼개기’ 등으로 사업성이 떨어질 수 있다는 우려도 있다. 아현1구역의 공유등기자를 포함한 실제 토지 등 소유자는 2832명에 달한다. 사업성 때문에 이들에게 조합원 분양자격을 주지 않는다면 조합설립이 어려워질 수도 있다. 조합설립은 주민 75% 이상의 동의를 얻어야 한다.
일단 아현1구역은 올해 용역을 거쳐 서울시 도시계획위원회 심의에서 정비구역으로 재지정되면 사업 추진에 탄력을 받게 될 것으로 전망된다.
[이진혁 기자 kinoeye@chosunbiz.com]
chosunbiz.com",https://n.news.naver.com/article/366/0000438266
마포농수산물시장 임대료 동결…홍대 건물주들 인하 동참,2020.02.27,"마포구, 추가경정예산 41억 편성
(서울=연합뉴스) 고현실 기자 = 서울 마포구는 신종 코로나바이러스 감염증(코로나19) 확산으로 인한 소상공인의 부담을 덜기 위해 마포농수산물시장 매장 임대료를 한시적으로 동결한다고 27일 밝혔다.
마포구시설관리공단이 운영하는 마포농수산물시장은 올해 매장 임대료를 5% 인상했지만 코로나19 사태로 3∼12월에는 인상분을 반영하지 않기로 했다.
홍대건물주협회도 자발적인 임대료 인하에 나섰다.
이창송 홍대건물주협회장은 본인 소유 건물 9개층 전체의 2월분 임대료를 받지 않기로 세입자들과 합의했다. 협회 회원들도 속속 임대료 인하에 동참하겠다는 의사를 밝히고 있다고 마포구는 전했다.
마포구는 임대료를 내린 건물주에게 방역, 소독, 전기안전 점검 등 관련 비용을 지원하는 방안을 검토하기로 했다.
마포구는 아울러 코로나19 대응을 위한 추가경정예산 약 41억원을 편성했다. 일자리 확대에 16억7천200만원, 방역인력 확대 및 방역물품 구매 등에 12억4천800만원, 환자와 격리자 생활비 지원금으로 1억2천300만원을 투입한다.
추경 예산안은 다음 달 2∼4일 열리는 마포구의회 임시회에 상정된다.
마포구청 전경[마포구 제공]
okko@yna.co.kr
▶ 코로나19 속보 확인은 네이버 연합뉴스에서 [구독 클릭]
▶ 프리미엄 북한뉴스 [한반도&] 구독(클릭)
▶뭐 하고 놀까? #흥",https://n.news.naver.com/article/001/0011431358
"마포구,  ‘건축공사장 민원처리 GIS시스템’ 운영",2017.09.05,"공사장 정보 확인 등 현재 800여 건 등록
[아시아경제 박종일 기자] 건축공사 현장에 대해 알고 싶지만 정확한 지번을 모르다면 자세한 안내를 받지 못한다.
정확한 장소를 파악하려면 많은 시간이 소비될 뿐 아니라 주말에는 월요일까지 기다려야하고, 번거로운 점이 하나둘이 아니다.
마포구(구청장 박홍섭)는 이런 민원인 불편을 해소하기 위해 한번에 해결할 수 있는 ‘건축공사장 민원처리 GIS시스템’을 운영하고 있다.
건축공사장 민원처리 GIS시스템은 지난 2009년 전국 최초로 마포구에서 개발한 것이다.
이 시스템은 현재 건축공사 중이거나 예정인 현장을 웹 지도상에 표현해 누구나 한 눈에 공사장 정보를 확인할 수 있어 궁금한 사항을 바로 확인할 수 있도록 구현된 시스템이다.
이 GIS시스템을 통해 민원인이 확인할 수 있는 사항은 마포구 전체 공사장의 건축주, 시공사, 건축공사 및 현장사진 등이며 총 800여 건의 공사장 현황이 등록돼 있으며 현재까지 총 3만6000여 명의 이용자가 시스템을 이용했다.
마포구 건축공사장 민원처리 GIS 시스템 홈페이지
또 민원인이 공사장 정보를 토대로 민원사항을 접수하면 제기된 민원은 실시간 SMS 문자로 건축 관계자와 구청 부서 담당직원에게 전송되며 민원인은 처리사항은 온라인과 SMS로 확인할 수 있어 민원처리를 한번에 해결하는 행정 처리를 가능케 했다.
이 서비스를 이용하려면 마포구 홈페이지(http://www.mapo.go.kr
)로 접속해 우측 하단의 패밀리사이트 바로가기에서 ‘건축공사장 민원처리 GIS시스템(http://isystem.mapo.go.kr/en/main/main.aspx
)’을 클릭하면 된다.
더불어 마포구는 서울에서 최초로 ‘건축 문서 셀프서비스’를 지난 3월 본격적으로 시행하고 있어 ‘건축공사장 민원처리 GIS시스템과’과 더불어 많은 호평을 받고 있다.
건축 문서 셀프서비스는 건축 인허가로 인해 생기는 건축허가 ·신고필증과 면허세 고지서 등의 각종 건축 관련 문서를 온라인에서 PDF 파일로 받는 서비스로 건축주가 직접 구청을 방문해 발급받는 번거로움을 없앤 것이다. 본격적인 사업 시행이후 총 1400여 건이 넘는 문서가 처리가 됐다.
실제 건축공사장 민원처리 GIS시스템과 건축 문서 셀프서비스를 자주 이용한다는 지역내 한 건축사 사무소의 한 관계자는 “확실히 일하는데 도움이 많이 된다. 시간을 절약할 수 있다는 점과 공사 관련 현황파악을 한 번에 할 수 있다는 것이 가장 큰 이점이라고 생각한다. 또 불편한 사항에 대해 구청에서 즉각적으로 대처해줘 앞으로도 많이 이용을 하게 될 것 같다”고 소감을 전했다.
건축 문서 셀프서비스 및 건축공사장 민원처리 GIS시스템 이용 등 문의사항은 마포구 건축과 ☏3153-9413으로 문의하면 안내 받을 수 있다.
건축행정시스템 세움터 홈페이지
박홍섭 마포구청장은 “구민들이 좀 더 쉽고 편리하게 업무를 볼 수 있도록 돕는 것이 우리들의 책무라고 생각한다. 앞으로도 구민들의 불편사항을 어떻게 하면 빠르고 정확하게 해결해 줄 수 있는지에 대한 고민을 하면서 지속적인 추가와 보완을 해 나가겠다”고 말했다.
박종일 기자 dream@asiae.co.kr
▶ 양낙규의 [군사이야기]
▶ 고수가 추천하는 종목은?
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0004068359
"역세권 마포 재개발, 시공사 수의계약으로 모셔온 이유",2024.07.09,"마포로1-10구역, 포스코이앤씨 수의계약 앞둬
90가구 주상복합 '정우맨션', 231가구로 탈바꿈
공덕·마포 역세권 상업지역에도 '선별 수주' 여파
공사비를 3.3㎡(평)당 1050만원까지 올리며 '시공사 구하기'에 나선 서울 마포구의 한 재개발 조합이 결국 경쟁 입찰 없이 수의계약 방식으로 재개발 사업을 추진키로 했다. 건설업계 불황으로 건설사들이 수주 경쟁에 뛰어들지 않고 소극적으로 입찰하자 시공자 선정 방식을 바꾼 것이다.
사업지가 역세권임에도 불구하고 시공사 선정에 어려움을 겪은 이유는 규모가 작은 주상복합이라는 점이 꼽힌다. 원자재 가격과 인건비 상승으로 공사비 수준이 높아진 가운데 주상복합은 더 많은 공사비를 필요로 하기 때문이다.
마포로1구역 제10지구 도시정비형 재개발사업 조감도 /자료=서울시
상한용적률 959.8%…35층, 231가구 재탄생
마포로1구역 제10지구 도시정비형 재개발사업 조합은 오는 12일 총회에서 우선협상대상자인 포스코이앤씨를 시공사로 선정할 전망이다. 조합은 지난해 시공사 선정 입찰공고를 냈지만 경쟁이 성사되지 않아 재공고했다. 평당 공사비는 930만원에서 1050만원으로 높여잡았다.
▷관련기사: 공사비 높이고, 보증금 내려도 ""이 공사 저희는 좀…""(3월8일)
유찰이 거듭되자 결국 올해 5월 시공사 선정 방식을 수의계약으로 전환한 후 포스코이앤씨를 우선협상대상자로 지정했다. 포스코이앤씨 관계자는 ""향후 용산과 한남, 성수 등으로 진출하기 위한 교두보로 삼고자 한다""고 말했다.
마포로1구역 10지구는 마포구 도화동 536번지에 위치한 정우맨션이다. 1983년 준공된 지하 3층~지상 15층, 1개동, 90가구 규모의 주상복합이다. 상가 등을 포함한 조합원은 총 167명이다. 2020년 6월 조합설립인가를 받고 지난해 1월 건축심의를 통과했다.
마포로1구역 제10지구 도시정비형 재개발사업 위치도 /자료=서울시
이곳은 지하철 5·6호선·경의중앙선·공항철도 환승역인 공덕역, 5호선 마포역과 가깝다. 마포대로·마포대교와도 인접한다. 길만 건너면 염리초등학교도 있다.
재개발을 통해 지하 7층~지상 35층, 2개동, 231가구 규모로 탈바꿈할 예정이다. 일반상업지역으로 상한 용적률은 959.8%다. 지난해 통과한 서울시 건축심의에 따르면 조합·분양 185가구, 임대 46가구 등 총 231가구가 4개 평형(전용 39·79·84·107㎡)으로 구성된다.
지하 1층~지상 2층엔 근린생활시설이 들어서고 지상 3~4층엔 공공시설(키움센터)과 업무시설이 조성된다. 5층엔 입주민 커뮤니티가 생긴다. 서울시는 ""주상복합 내부에 아동 돌봄 서비스를 제공하는 키움센터를 조성할 것""이라며 ""근처에 살거나 근무하는 맞벌이 부모의 보육을 지원할 수 있을 것으로 기대된다""고 밝혔다.
층고 높은 주상복합…규모의 경제도 어려워
마포로1구역 10지구는 도시정비형 재개발로 이뤄진다. 과거 도심재개발, 도시환경정비사업으로 불리던 사업이다. 상업·준주거·준공업지역 가운데 역세권이고 노후한 곳이 대상지로 선정된다. 특히 이곳은 마포~공덕~애오개역 일대의 마포·신촌지역 정비예정구역에 포함됐다.
재개발 사업은 크게 조합 방식과 토지 등 소유자 방식으로 나뉘는데 이곳은 조합 방식이다. 토지 등 소유자 수가 20명 미만일 경우 시행사를 중심으로 PFV(프로젝트금융투자회사)를 구성해 사업을 진행할 수도 있다. 오피스 재개발이 보통 이 방식을 택한다. 하지만 정우맨션은 주택 소유자가 많아 조합 방식으로 재개발을 추진 중이다.
이태희 한국건설산업연구원 부연구위원은 ""도시정비형 재개발은 일반 정비사업과 달리 규모의 경제를 충족하기 어려운데 층수를 높이려다보니 공사비가 비싸다""면서도 ""상업지역이라 용적률을 높일 수 있기 때문에 조합원 분담금만 부담할 수 있다면 사업성을 확보할 수 있을 것""이라고 봤다.
마포로1구역 제10지구 도시정비형 재개발사업 투시도 /자료=서울시
정비업계 관계자는 ""주상복합은 대부분 사업 전체 대지규모가 비교적 작고, 층고는 높아 공사비가 일반 정비사업 대비 평당 100만~150만원가량 높은 편""이라며 ""지하주차장도 보통 5~7층까지 두기 때문에 토목·건축비용 단가가 높을 수밖에 없다""고 설명했다.
마포로1구역 10지구가 공사비를 상향했음에도 수의계약으로 흘러간 데에는 건설업계 전반에 자리잡은 '선별 수주' 기조가 작용했다.
업계 관계자는 ""수주 경쟁이 붙으면 영업비용이 30억~100억원 가까이 든다. 그 비용을 아끼기 위해 물밑에서 '교통정리'가 이뤄진다""며 ""이젠 조합들이 시공사를 선택하거나 사업을 주도할 권리가 사라진 것""이라고 말했다.
마포로1구역 10지구 조합 관계자는 ""사업시행인가를 받는 건 8월말 정도로 보고 있다""며 ""준공은 2030~2031년으로 예상한다""고 말했다.",https://n.news.naver.com/article/648/0000027154
마포구도 5개월째 1채도 안 팔려…‘불패신화’ 서울도 미분양 쌓인다 [부동산360],2022.11.02,"9월 서울 미분양, 전달보다 17.9% 늘어
마포구가 245가구, 강북·구로·도봉구 등
고분양가·나홀로 단지 등 미분양 증가세
[헤럴드경제=양영경 기자] 지난해까지만 하더라도 ‘청약불패’ 지역으로 꼽혔던 서울에서도 미분양 주택이 계속 쌓이고 있다. 일부 단지들은 무순위청약을 반복하며 ‘미분양 털어내기’에 안간힘을 쓰고 있지만 몇 달이 지나도록 물량 소진이 쉽지 않은 상황이다. 최근 금리 인상으로 금융 부담이 커진 데다 집값 하락이 맞물리며 청약 수요가 급격하게 쪼그라든 상황에서 분양가, 입지 등에 따른 옥석 가리기도 심화한 데 따른 것으로 풀이된다.
서울 남산에서 바라본 시내 아파트 단지. [연합]
2일 국토교통부·서울시 등에 따르면 올해 9월 서울의 미분양 주택은 전월보다 17.9% 늘어난 719가구(13개단지)로 집계됐다. 이는 지난 6월(719가구)과 동일하게 올 들어 가장 많은 수준이다. 이전에 서울 내 미분양 물량이 700가구를 넘어섰던 것은 2019년 3월(770가구)이 마지막이었다. 미분양 주택은 2020년 3월부터 24개월 연속으로 두자릿수에 머물렀지만, 올해 3월 세자릿수로 올라선 후 꾸준히 늘어나는 추세다.
특히 서울에서는 마포구의 미분양 물량이 245가구로 가장 많았다. 지난 5월 공급된 마초구 노고산동의 도시형생활주택 ‘빌리브 디 에이블’의 256가구 중 245가구가 5개월째 주인을 찾지 못했기 때문이다. 이 단지는 신촌역 역세권 입지임에도 전용 38~49㎡의 분양가가 7억8000만~13억7000만원에 달하는 데다 나홀로 단지라는 점이 맞물리면서 수요자들에게 외면받았다는 분석이 나온다.
이어 ▷강북구(183가구) ▷구로구(69가구) ▷도봉구(60가구) ▷동대문구(50가구) ▷용산구(41가구) ▷금천구(34가구) ▷강동구(32가구) ▷광진구(3가구) ▷중구(2가구) 등의 순으로 미분양 주택이 많이 나왔다. 올 들어 분양시장 침체 속에 고분양가와 비선호 입지, 소형 평형, 나홀로 단지 등이 더 부각되면서 계약포기자가 속출한 단지들이 대부분이다.
용산구에선 원효로2가 일대에 들어서는 ‘용산 씨모어’(41가구)가 완판에 실패하면서 4년 8개월 만에 미분양 물량이 발생했다. 서울 핵심 입지에 조성되긴 하나, 전용 26~29㎡의 분양가가 8억4500~8억9500만원에 형성되면서 수요자의 관심 밖으로 밀려났다는 평가를 받는다.
대규모 아파트도 사정은 다르지 않다. 강북구 수유동과 미아동에 각각 들어서는 ‘칸타빌 수유 팰리스’(118가구)와 ‘포레나 미아’(65가구) 등이 그 사례다. 이들 단지는 분양가상한제가 적용되지 않는 강북구에 조성되면서 전용 78~84㎡의 분양가가 11억원대 안팎에 책정돼 고분양가 논란에 휘말렸다.
올 들어 미계약분에 대해 청약 허들을 낮춰 수차례 무순위청약(미계약분 등에 대해 추첨으로 당첨자를 정하는 방식)을 거쳤음에도 여전히 주인을 찾지 못한 물량이 남았다. 청약 경쟁률이 1:1을 넘으면 무조건 무순위청약으로 잔여가구를 공급해야 하는 탓에 ‘n차’ 무순위청약도 반복되는 실정이다.
상황이 이렇자 국토부는 분양시장의 흐름을 주시하면서 무순위청약 제도도 살펴보겠다는 계획이다. 국토부 관계자는 “무순위청약은 해당 지역의 무주택자에게 혜택이 돌아가고 건설사와 분양사들의 자의적인 처분을 막기 위해서 마련된 제도”라면서 “시장 상황이 작년과 달라지면서 최근 1주택 청약 당첨자에 대한 기존 주택 처분기한 규제를 완화했는데, 이 부분에 대해서도 검토를 이어나가겠다”고 말했다.",https://n.news.naver.com/article/016/0002060685
