제목,날짜,본문,URL
"서대문구, '전세 사기 예방' 부동산중개사무소 지도 점검",2023.02.13,"신축 빌라 일대 중개사무소 대상
전세가율 높고 시세 파악 어려워
[이데일리 이윤화 기자] 서대문구는 매매가 대비 전세가율이 높고 시세 파악이 어려운 관내 신축 빌라 일대 부동산중개사무소를 중심으로 집중 지도 점검을 실시한다고 13일 밝혔다.
서대문구청 청사 전경.
최근 경기 침체에 따른 부동산 가격 하락으로 전세 가격이 매매가보다 높은 이른바 ‘깡통전세’가 증가하는 가운데, 전세 사기로 세입자가 보증금을 돌려받지 못하는 사례를 방지하기 위해서다.
구는 공인중개사들이 전세 사기에 연루되지 않도록 지도하고 △이중계약서 작성 △무등록 무자격 중개 행위 △허위 매물 표시 광고 △중개 보수 초과 수수 등도 점검한다.
구는 불법 행위가 발견되면 무관용 원칙하에 행정처분과 고발조치 등을 취할 방침이다. 구 관계자는 부동산 불법 행위를 발견하거나 피해를 본 경우 서대문구청 부동산정보과로 신고해 달라고 당부했다.
이성헌 서대문구청장은 “주민 생계를 위협하는 전세 사기를 예방하고 건전한 부동산 거래 질서를 확립할 수 있도록 지속적인 지도 점검을 실시하겠다”고 말했다.",https://n.news.naver.com/article/018/0005423799
"서대문구, 청년 대상 창업 교육",2024.08.09,"교육 모습. 사진제공=서대문
[서울경제]
서울 서대문구는 청년 창업 교육 사업인 ‘2024 서울 크리에이터 스쿨 인(in) 신촌’을 운영한다.
예비 창업 청년 40명이 신촌과 이대 상권 발전을 위한 실전형 창업 교육을 받는다. 교육은 이대역 인근 ‘넥스트챌린지 서울 글로벌센터’ 등에서 10주간 진행된다.
교육기간 프로젝트 실행 주제를 선정하고 구체화하는 시간을 갖는다. 참가자들이 팀을 꾸려 프로젝트를 실행하고 분야별 멘토들의 조언도 받을 수 있다.
오는 10월 초 열리는 성장공유회에서 팀별 프로젝트 실행 결과가 발표된다. 서대문구는 청년벤처 육성사업 응모 시 가산점을 부여하는 등 우수 아이디어가 창업으로 이어지도록 돕는다.
이성헌 서대문구청장은 “이번 과정을 통해 신촌·이대 지역의 특성과 청년들의 혁신적 아이디어가 결합된 참신한 사업적 가치 창출을 기대한다”고 말했다.",https://n.news.naver.com/article/011/0004378187
길 건너면 광화문…천연·충현동이 살아난다,2019.10.28,"29만여㎡ 도시재생안 심의 통과…국비 등 430억 투입
© 뉴스1
(서울=뉴스1) 홍기삼 기자 = 서울 서대문구(구청장 문석진)는 영천시장에서 충정로역에 이르는 천연동과 충현동 일대 약 29만1780㎡에 대한 도시재생활성화계획(안)이 최근 서울시 도시재생위원회 심의를 통과했다고 28일 밝혔다.
이에 따라 오는 2022년까지 국비 100억 원과 시비 135억 원, 구비 15억 원, 주차장 건립 및 생활문화센터 조성 등 연계사업비 180억 원 등 총 430억 원이 천연충현 도시재생활성화지역에 투입된다.
천연충현 도시재생활성화지역은 지난해 8월 국토교통부에서 주관하는 '2018년도 도시재생 뉴딜사업'에 선정됐다.
대상지는 일반근린형에 해당하는 준주거지역으로, 이번 도시재생 뉴딜사업 추진을 통해 노후화된 주거환경 개선과 골목상권 활성화를 위한 생활밀착형 도시재생사업 모델을 실현할 계획이다.
천연충현 도시재생 뉴딜사업은 '일상의 행복과 재미가 있는 도심 삶터' 조성을 위해 4개의 단위사업으로 구성돼 있다.
마을관리소 시범사업을 통해 4~5개의 소규모 거점 공간을 조성해 영유아부터 청소년과 고령자를 위한 돌봄 및 커뮤니티 공간으로 활용하고 노후주택 개선 지원사업을 통해서는 노후 주거환경을 개선할 수 있도록 집수리와 컨설팅을 지원한다.
어울림공간 조성은 문화·여가 향유 및 건강증진 공간 제공을 위해 마을 도입부에 위치한 독립문어린이공원을 리모델링하고 도시재생복합시설을 건립하는 사업이다.
또 골목상권 활력사업으로 상권의 후미진 배후 골목 외관을 개선하고 상권 특화프로그램을 추진한다.
서대문구는 2016년 서울형 도시재생 희망지사업 선정 이후 2017년 서울형 도시재생활성화지역으로 선정되면서 현재까지 도시재생에 대한 주민 경험이 축적돼 왔다.
구는 이번 도시재생 뉴딜사업 응모를 위한 계획 수립 시, 대상지 생활환경 개선을 위한 현장 목소리를 충실히 담아내는 데 중점을 두었다. 이를 위해 주민설명회, 역량강화프로그램, 주민공모 등을 통해 수렴된 주민 의견을 응모계획서에 최대한 반영시켰다.
도시재생 뉴딜사업은 구도심의 중심 기능을 되살려 혁신 거점으로 조성해 기존 재개발 재건축 등의 대규모 정비사업과 달리 마을의 자원을 보존하면서 도시경쟁력을 강화하는 사업이다.
argus@news1.kr
▶ [ 크립토허브 ]
▶ [ 해피펫 ]
▶ 네이버 메인에서 [뉴스1] 구독하기!
[© 뉴스1코리아(
news1.kr
), 무단 전재 및 재배포 금지]",https://n.news.naver.com/article/421/0004273034
서대문구에 임시정부기념관 건립된다,2018.12.20,"옛 서대문구의회 청사 부지
서울 서대문구 현저동 대한민국임시정부 기념관 건립 예정 부지.(서울시 제공)
[이데일리 김기덕 기자] 서울 서대문구 현저동에 대한민국임시정부 기념관이 건립된다.
서울시는 지난 19일 ‘제17차 서울시 도시계획위원회’를 열고 서대문구 현저동 일대에 국립 대한민국임시정부 기념관 건립을 위한 도시계획시설 결정안을 수정가결했다고 20일 밝혔다.
서대문구 옛 서대문구의회 청사 부지에 들어서는 임시정부 기념관(총 면적 3656㎡)은 지난 6일 현상설계공모 당선안의 건축계획 등을 고려, 당초 입안됐던 7층(35m)에서 5층(25m) 높이로 지어진다. 이 건물은 건폐율 60% 이하, 용적률 150% 이하를 적용받는다.
이번 사업은 국립대한민국임시정부기념관 건립위원회와 국가보훈처가 내년도 대한민국임시정부 수립 100주년을 맞아 진행하는 국책사업이다. 지난해 서울시 지원으로 옛 서대문구의회 청사를 서대문구 연희동으로 이전하고 서대문형무소, 독립문 등 근·현대유적이 밀집한 현 부지에 기념관을 건립할 예정이다. 임시정부의 역사와 정신을 기념하는 문화공간을 조성하기 위한 일환이다.
서울시 관계자는 “이번 도시계획시설 결정으로 국립대한민국임시정부기념관이 원활히 건립돼 대한민국임시정부의 역사와 유물을 기리고 보전·전시하며 미래세대에 올바른 역사체험 및 교육의 공간이 조성될 것으로 기대한다”고 말했다.
한편, 국가보훈처와 국립대한민국임시정부 기념관 건립위원회는 이번 도시계획시설(문화시설) 결정사항과 당선작을 토대로 내년 기본 및 실시 설계를 거쳐 2021년 8월까지 임시정부기념관 건립을 완료할 예정이다.
김기덕 (kiduk@edaily.co.kr)
네이버에서 이데일리
[구독하기▶]
빡침해소! 청춘뉘우스~
[스냅타임▶]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004276634
‘강북 알짜’ 북아현 2구역 관리처분 속도,2024.08.07,"관리처분계획안 공람 공고 진행
3.3㎡당 분양가 4800만원 결정
전용 59㎡ 12억827만원 공급될듯
서울 서대문구 북아현동 북아현2구역과 3구역 일대의 모습 [헤럴드DB]
강북권 알짜 재개발 사업지로 꼽히는 북아현2구역이 정비사업의 마지막 관문인 관리처분계획인가를 위한 절차에 속도를 내고 있다. 재개발조합이 공람을 공고한 관리처분계획안에는 추정 일반분양가가 담겼는데, 3.3㎡(평)당 4800만원으로 잠정 결정된 것으로 나타났다.
7일 정비업계에 따르면 서울 서대문구 북아현2재정비촉진구역주택재개발정비사업조합은 지난달 30일부터 오는 29일까지 조합원을 대상으로 관리처분계획안 공람을 진행한다.
조합의 관리처분계획안에 따르면 추정 일반분양가는 3.3㎡당 4800만원으로, ▷전용면적 39㎡(41가구) 8억453만원 ▷전용 46㎡(105가구) 9억4036만원 ▷전용 59㎡(527가구) 12억827만원 등 총 673가구가 일반분양으로 공급될 예정이다. 다만 사업 진행과정에 따라 일반분양가는 상승할 가능성도 있다.
이는 지난해 서대문구에서 공급된 민간아파트의 3.3㎡당 평균 분양가를 1000만원 이상 상회하는 수준이다. 부동산 전문 리서치업체 리얼투데이가 부동산R114 자료를 토대로 지난해 서울 민간아파트 분양가를 분석한 결과, 서대문구의 3.3㎡당 평균 분양가는 3502만원이었다.
원자잿값 및 인건비 상승 등의 여파로 분양가가 지속적으로 상승하는 가운데, 북아현2구역 또한 이 같은 추세가 반영된 것으로 풀이된다. 주택도시보증공사(HUG)의 민간아파트 분양가격 동향에 따르면 6월말 기준 서울 아파트 최근 1년간 3.3㎡당 평균 분양가는 약 4190만원으로 사상 처음으로 4000만원선을 돌파하기도 했다.
아울러 조합원 분양가는 전용 39~144㎡ 규모별로 약 3억6068만원~14억9650만원, 추정비례율 105.01% 등으로 2022년 조합원 분양시첨 시점과 동일한 금액 및 수치로 책정됐다.
재개발을 통해 지하 3층~지상 최고 29층, 28개동, 2320가구 규모로 조성되는 북아현2구역은 2호선 아현역, 2·5호선 충정로역을 끼고 있어 북아현뉴타운 내에서도 알짜 입지로 꼽힌다. 조합원 1227가구, 일반분양 673가구, 보류지 19가구, 임대주택 401가구 등으로 구성됐다.
앞서 지난 5월 아현동성당이 조합과 서대문구청을 상대로 낸 사업시행계획변경인가 취소소송 1심에서 승소하며 리스크를 덜어낸 조합은 이후 절차 진행에 총력을 다하는 모양새다. 조합은 공람 공고 직후 관리처분계획을 의결하기 위한 총회를 개최하고 구청에 관리처분계획을 접수해 하반기 내 인가를 받겠다는 목표다.
조합 관계자는 “관리처분계획안 공람 공고가 끝나면 곧바로 조합원 총회 개최를 위한 준비에 착수할 것”이라며 “하반기 내 인가가 목표이긴하지만 구청의 검토기간이 어느정도 소요될 지는 예상하기 어렵다”고 말했다. 그러면서 “관리처분계획 타당성 사전검증을 이미 한번 받았기 때문에 인가를 위한 기간이 조금이나마 단축될 수 있을 것으로 기대하고 있다”고 덧붙였다. 신혜원 기자",https://n.news.naver.com/article/016/0002346603
서대문·장위·약수 등 4곳 공공재개발…4천5백가구 공급,2021.08.03,"국토부, 6차 도심복합사업 후보지 4곳 발표
서대문역 남측·장위12·약수역 인근·울산 우정동
주민동의 3분의 2 이상 11곳…11월 지구지정 목표
[서울=뉴시스] 서울 성북구 장위동 장위12구역. (이미지=국토교통부 제공)
[서울=뉴시스] 이예슬 기자 = 서울 장위동과 신당동, 미근동 등이 도심공공주택복합사업 후보지로 뽑혔다.
국토교통부는 '3080+ 대도시권 주택공급방안'(2·4대책) 관련 도심공공주택복합사업의 6차 선도사업 후보지로 4곳을 추가 선정했다고 3일 밝혔다.
앞서 정부는 5차례에 걸쳐 약 7만1000가구 공급이 가능한 도심복합사업 후보지를 발표해 왔다. 이번 발표를 포함하면 후보지는 모두 56곳, 7만5700가구 규모가 된다.
서울 3곳, 울산 1곳…4500가구 추가 공급
이번에 발표된 후보지는 서울 3곳, 울산 1곳이다. 후보지 4곳이 신규 선정되면서 약 4500가구의 주택을 추가 공급할 수 있게 됐다. 이번 후보지를 포함한 2.4대책 관련 후보지는 모두 25만4000여 가구의 신축주택을 공급할 수 있는 규모다.
이번에 선정된 후보지 4곳의 사업효과를 분석한 결과 용도지역 상향 등 도시계획 인센티브로 기존 자력개발 추진 대비 용적률이 평균 61%포인트 상향되는 것으로 나타났다. 공급세대도 도시규제완화 및 기반시설 기부채납 완화(15% 이내) 등을 통해 자력개발 대비 구역별 평균 약 256세대(29.7%) 증가하는 것으로 분석됐다.
공급물량이 늘며 토지주 수익도 개선된다. 우선분양가액이 시세 대비 평균 60% 수준으로 예측됐다. 이에 따라 토지주 수익률도 평균 20%포인트 향상될 전망이다.
서울 서대문구 미근동 서대문역 남측은 도심 중심가의 좋은 입지에도 불구하고 주변지역에 비해 노후돼 있어 주거·상업 등 기능이 집약된 고밀개발을 추진한다.
성북구 장위동 장위12구역은 사업정체로 2014년 정비구역에서 해제된 이후 노후화가 진행 중인 지역이다. 도로 등 기반시설 정비 등을 통해 쾌적하고 경관이 우수한 주거공간으로 조성한다는 목표다.
중구 신당동 약수역 인근은 1종지역에 구릉지라는 부지 특성 상 사업성이 낮다. 이번에 공공참여 및 인센티브로 사업성을 높여 인근 공원 등과 연계하는 주거공간으로 탈바꿈할 계획이다.
주거환경개선을 위한 개발대안이 부재한 울산 중구 우정동 울산혁신도시 남측에는 복합사업을 통해 인근 개발사업과 연계, 울산의 새로운 주거지역을 조성하고 지역활성화를 도모할 예정이다.
본지구 지정 요건 채운 구역 11곳으로
기존 발표 후보지 중 본지구 지정 요건인 주민 3분의 2 동의를 초과하는 구역은 증산4, 수색14, 불광1 근린공원, 쌍문역 동측, 방학역, 쌍문역 서측, 쌍문1동 덕성여대, 연신내역, 녹번동 근린공원, 고은산 서측, 신길2 등 모두 11곳(1만7000가구)이다.
10% 이상 동의를 얻은 곳은 31곳이다. 사업 속도가 빠른 구역에 대해서는 2022년 사업계획 승인 및 2023년 착공을 목표로 11월께 지구지정이 될 수 있도록 진행하고 있다.
김수상 국토부 주택토지실장은 ""도심 내 주택공급 사업들으 후보지가 지속적으로 발굴되고, 후속조치도 차질 없이 진행되고 있다""며 ""사전청약 확대개편 등을 통해 국민들이 조기에 주택공급 효과를 체감할 수 있는 방안을 마련해 나가겠다""고 밝혔다.",https://n.news.naver.com/article/003/0010644323
신반포 13차 재건축 본격화…용적률 300% 확정,2016.04.07,"[머니투데이 배규민 기자] [도시계획위원회, 소형주택 건설 소셜믹스 배치 등 조건 ]
위치도
서울 서초구 잠원동 신반포13차아파트단지의 재건축 사업이 속도를 낸다.
서울시는 지난 6일 제6차 도시계획위원회를 열고 서초구 잠원동 52-2번지 일대 신반포13차아파트에 대한 예정법정상한용적률 결정안을 수정 가결했다고 7일 밝혔다.
소형주택 건설을 조건으로 하는 이번 요청안에 대해 도계위는 인접한 신동초등·신동중학교의 학습권침해를 최소화하기 위해 인접 동의 층수를 낮추고 전면도로 및 인접지역과의 조화를 고려한 아파트 동배치가 되는 등의 조건을 달았다.
또 소형임대주택 입주민이 소외되지 않도록 소셜믹스를 통한 소형임대주택 배치 등을 고려해 예정법적상한용적률 300%를 결정했다는 설명이다.
[이코노미스트들의 깊이있는 투자정보 'TOM칼럼']
[부자들에게 배우는 성공 노하우 '줄리아 투자노트'  ]
[내 삶을 바꾸는 정치뉴스 'the 300']
[오늘 나의 운세는? '머니투데이운세' ]
[아찔한 girl~ 레이싱모델 핫포토 ]
배규민 기자 bkm@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0003660735
서대문구 북가좌동에 공공산후조리원 들어선다,2020.05.28,"[머니투데이 조한송 기자]
/자료=서울시
서울 서대문구 북가좌동에 공공산후조리원 및 모자건강센터가 들어선다.
서울시가 지난 27일 열린 제7차 도시·건축공동위원회에서 '서대문구 북가좌동 서울 휴먼타운 지구단위계획 변경(안)'을 수정가결했다고 밝혔다.
대상지는 서울지하철 6호선 증산역 인근으로 주변에 불광천, 북가좌동KT 등이 입지해 있다. 서대문구 북가좌동 서울 휴먼타운 지구단위계획에 포함된 곳이다.
이번 지구단위계획 변경은 서대문구의 공공산후조리원 및 모자건강센터 건립 계획에 따라 추진됐다. 서울시는 북가좌동 337-2 외 2필지를 공동개발하기 위한 획지 계획을 결정해 지하 1층~지상 4층 규모의 공공산후조리원 및 모자건강센터를 건립할 예정이다.
서울시 관계자는 ""이번 세부개발계획 결정으로 산후조리원 부족 및 저출산 문제가 해결될 것으로 기대한다""고 설명했다.
조한송 기자 1flower@mt.co.kr
▶줄리아 투자노트
▶조 변호사의 가정상담소
▶머니투데이 구독하기
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004415921
규제 푸니 서울 아파트 매수심리 반등… 은평·서대문·마포 ‘서북권’ 들썩들썩,2023.01.07,"거래량 회복 조짐… 높은 금리 변수
정부의 전방위 규제 완화 정책으로 전국 아파트값 하락세가 둔화한 데 이어 매수심리가 반등했다.
6일 한국부동산원에 따르면 이번 주(2일 기준) 서울 아파트 매매수급지수는 64.1로 지난주(63.1)보다 1.0포인트 상승했다. 서울 아파트 매매수급지수가 상승 전환한 것은 지난해 5월 첫째 주(91.1) 이후 8개월(35주) 만에 처음이다. 매매수급지수는 0~200 범위에서 100을 기준으로 낮을수록 시장에 집을 사려는 사람보다 팔려는 사람이 많다는 것을 의미한다.
서울 5대 권역이 일제히 반등했다. 매수심리가 가장 저조했던 은평·서대문·마포 등 서북권이 56.3에서 58.5로 2.2포인트 오르며 가장 큰 폭으로 반등했고, 강남 3구가 있는 동남권이 73.2로 전주(71.7)보다 1.5포인트 오르며 뒤를 이었다. 용산·종로·중구가 있는 도심권도 1.4포인트(62.4→63.8) 올랐고, 노원·도봉·강북구가 포함된 동북권도 0.9포인트(62.3→63.2) 상승했다. 강서·양천·영등포구가 있는 서남권은 60.1에서 60.2로 상승하는 데 그쳤다.
매수심리 반등은 정부가 지난달 2주택자의 종합부동산세·양도소득세 중과 폐지 또는 유예 방안과 규제지역 추가 해제 방침을 공개하고, 지난 3일 강남 3구(강남·서초·송파구)와 용산구를 제외한 나머지를 규제지역에서 해제하는 등 전방위 규제 완화에 나섰기 때문으로 풀이된다.
서울 아파트 거래량도 회복 조짐을 보인다. 서울부동산정보광장에 따르면 지난해 11월 서울 아파트 거래량은 730건으로 10월(558건)보다 30.8% 증가했다. 지난해 12월 신고건수는 6일 현재 558건으로, 실거래가 신고 기한이 이달 말까지인 것을 고려하면 전월보다 늘어날 가능성이 크다.
다만 지수가 여전히 60선에 머물러 매수세가 뚜렷이 살아났다고 보긴 어렵다. 주택담보대출 금리가 최고 8%까지 치솟은 데다 상반기에도 금리 인상 기조가 예상돼 본격적인 거래량 증가로 이어지긴 어려울 것이라는 관측도 나온다.",https://n.news.naver.com/article/005/0001578384
"[동네방네]서울 서대문구, 모든 부동산 중개업소에 직원 현황판 설치",2016.01.21,"[이데일리 양희동 기자] 서울 서대문구는 지역 내 모든 부동산중개업 종사자(981명)의 명단을 각 사무실 내에 공개하기로 했다고 21일 밝혔다. 개업공인중개사(대표)가 아닌 중개보조원 등 무자격자에 의한 부동산 계약으로 피해자가 발생하는 것을 막기 위한 조치다. 지난해 말 현재 서대문구 내 개업공인중개사는 614명, 소속공인중개사는 48명, 중개보조인은 263명 등이다.
구는 불법 중개행위를 사전에 차단하기 위해 중개사무소 상담 테이블 위에 개업공인중개사(대표), 소속공인중개사, 중개보조원 등의 사진과 이름이 들어간 직원현황판을 비치하도록 했다. 법적으로 부동산 계약서는 개업공인중개사가 직접 작성해야 하기 때문에 고객은 직원현황판을 보고 계약서 작성자를 확인할 수 있다. 또 현황판에는 중개업자 정보를 스마트폰으로 즉시 확인할 수 있도록 ‘QR코드’도 넣게 된다. 구는 지역 내 모든 부동산중개사사무소에 다음달 말까지 직원현황판을 배포할 예정이다.
△서울 서대문구는 지역 내 모든 부동산 중개업소에 직원현황판을 설치해 관련 주민 피해를 막기로 했다. [사진=서대문구]
양희동 (eastsun@edaily.co.kr)
▶ [데일리 포커스] 알면 알수록 빠져드는 경제뉴스
▶핫 초이스 ★ 男心 저격수 `애플힙` 그녀
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0003456543
