제목,날짜,본문,URL
"성동구, 경기장·공연장 인파 대응 매뉴얼 제정",2024.11.12,"인파 밀집 현장 점검. 사진제공=성동구
[서울경제]
서울 성동구는 경기장 및 공연장에서 발생한 사고 현장조치 행동 매뉴얼을 제정했다.
공연장이 아닌 곳에서 열리는 공연에는 건축법이나 소방시설법에 따른 시설 기준이 적용되지 않아 안전 사각지대가 발생할 가능성이 높다. 성동구는 이러한 문제를 해결하고 새로운 유형의 인파 밀집에 대응하기 위해 전국 최초로 공연장 외 공연에도 적용되는 매뉴얼을 만들었다.
메뉴얼은 외부 인파 통제선 설치, 긴급 대피로 확보, 관람 공간 구분, 관람 인원 적정 관리 등 집중 점검 사항을 정했다. 인파밀집도 위험단계에 따라 행사 주최 측에 외부 행사 중단 또는 자진 조기 종료를 요청하도록 했다.
정원오 구청장은 “새로운 유형의 위험 상황에서도 신속하고 체계적으로 대응해 안전한 도시를 만들어 갈 것”이라고 말했다.",https://n.news.naver.com/article/011/0004414111
성수동 뚝섬로 3길 차도 줄여 보행공간 확보,2017.11.05,"초 ·중 ·고 밀집지역 2개 구간 12월 목표로 보행로 확보 공사 들어가
[아시아경제 박종일 기자] 성동구(구청장 정원오)는 유치원을 포함한 초?중?고 밀집지역인 성수동 뚝섬로3길과 금호2?3가동 금호산길을 대상으로 사업비 총 8억1000여만원을 투입해 오는 12월 완공을 목표로 보행환경 개선 공사에 들어간다.
위 지역은 그동안 차도와 보행로 구분이 없어 학생들에게 위험한 통학환경으로 학부모들의 지속적인 보행로 설치와 교통환경 개선을 요청이 있었던 곳이다.
각 구간은 차량 운행 공간을 줄이고 보행공간으로 환원, 단절된 보행로를 연결해 보행자 중심의 도로공간으로 바뀌게 된다.
뚝섬로3길
뚝섬로3길은 서울경동유치원 앞 교차로에서 성수현대그린아파트 교차로 구간 총 310m 구간에 보도가 확보되며, 금호산길은 금호초교 삼거리에서 금호근린공원 입구까지 370m 구간의 단절보도가 연결된다.
뚝섬로3길은 과속방지턱, 안전휀스를 설치해 차량의 이동속도 감소를 유도, 지역의 특성을 고려해 불법주차 단속용 다목적 CCTV와 방범용 다목적 CCTV를 설치한다.
또 경사가 심한 금호산길은 도로 미끄럼 방지 포장과 노약자들이 언덕을 쉽게 오를 수 있도록 보행로 손잡이를 설치하게 된다.
금호3길
구 관계자는 “지난 4월부터 8월까지 주민의견 수렴 및 설문조사, 두 차례에 걸친 주민설명회로 차량 이용 불편을 건의하는 주민들의 이해와 양보를 통해 무엇보다 아이들의 안전한 통학로 조성에 대한 공감대가 형성돼 원만하게 사업 시행에 들어가게 됐다“고 말했다.
박종일 기자 dream@asiae.co.kr
▶ 양낙규의 '군사이야기'
▶ 2017아시아여성리더스포럼
▶ #아시아경제 페이스북
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>",https://n.news.naver.com/article/277/0004111235
"응봉1구역, 15층 높이 525가구 아파트로 탈바꿈",2020.07.16,"[머니투데이 조한송 기자]
응봉1구역 위치도/사진=서울시
성동구 응봉동 단독주택 밀집 단지가 최고 높이 15층, 525가구의 아파트 단지로 탈바꿈한다.
서울시는 지난 15일 열린 도시계획위원회에서 '응봉1 단독주택재건축 정비구역 및 정비계획 변경·경관심의(안)'을 수정가결했다고 밝혔다.
응봉1구역은 성동구 응봉동 193-162번지 일대 단독주택 밀집 구역이다. 이번 심의에서 응봉1구역의 정비계획은 면적 3만9642㎡, 용적률 202.1% 이하, 건폐율 30% 이하, 최고15층(평균12층)으로 결정됐다. 건축 규모는 총525가구다.
더불어 해당 구역은 응봉산 산책로를 연결해 주변과 소통이 가능한 주택단지로 계획됐다. 지형에 순응하는 토지조성계획으로 응봉산 조망 및 한강변 경관의 부영향을 최소화했다.
서울시 관계자는 ""이번 정비계획에 영업 손실 보상 등 세입자를 위한 대책도 담겼다""며 ""향후 사업 추진에 도움이 될 것""이라고 설명했다.
조한송 기자 1flower@mt.co.kr
▶줄리아 투자노트
▶조 변호사의 가정상담소
▶머니투데이 구독하기
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004440806
"금호동 제21구역, 정비구역 지정 고시…1219가구 공급[집슐랭]",2023.09.11,"금호제21구역 재개발 조감도. 사진제공=성동구
[서울경제]
서울 성동구 금호동3가 1일대에 최고 20층, 1219가구 아파트가 들어선다.
성동구는 이달 7일 ‘금호제21구역 주택정비형 재개발사업 정비계획 결정 및 정비구역 지정 지구단위계획(구역) 결정 및 지형도면’을 고시했다고 11일 밝혔다. 재개발사업이 마무리되면 총면적 7만 5447㎡에 최고 20층 이하 규모로 공동주택 1219가구(임대 220가구)와 사회복지시설이 건축될 예정이다. 단지 내 공공보행통로도 계획돼 열린 단지로 조성된다.
대상지는 금남시장과 인접한 주거지로 대부분의 건축물이 1990년 이전에 지어졌다. 남북방향 축 경사도가 약 20%의 급경사지가 많아 보행 및 통행에 어려움이 많은 지역으로 꼽힌다. 2010년 서울시 도시주거환경정비 기본계획에 따라 주택재개발 정비예정구역으로 지정됐으나 2013년 정비예정구역이 해제되며 사업 추진이 보류됐다. 2018년 재개발사업 사전타당성 조사를 시작으로 2020년 도시·건축혁신 방안 시범사업 대상지로 선정되며 사업이 다시 재개됐다.
구에서는 기존 조합설립추진위원회 절차 대신 주민합의체 구성을 통한 조합직접 설립제도로 추진할 계획이다. 이달 중 공공지원 정비사업 전문관리 용역도 착수한다. 정원오 성동구청장은 “금호제21구역 주택정비형 재개발사업 정비구역 지정으로 향후 재개발사업이 차질 없이 진행될 수 있도록 사업 단계별 맞춤형 공공지원을 아끼지 않을 것”이라며 “금호동3가 1일대의 주거지의 주거환경 개선이 본격화할 것으로 기대한다”고 밝혔다.
*‘집슐랭 연재’ 구독을 하시면 부동산 시장 및 재테크와 관련한 유익한 정보를 실시간으로 생생하게 전달받으실 수 있습니다.",https://n.news.naver.com/article/011/0004236672
성동구 뚝섬·마장동·옥수동에 대형 공영주차장 들어선다,2020.12.04,"마장동축산물시장 공영주차장 조성 조감도.(성동구제공)© 뉴스1
(서울=뉴스1) 김진희 기자 = 서울 성동구(구청장 정원오)는 총 327억원을 투입해 뚝섬과 마장동, 옥수동 지역에 대형 공영주차장 조성사업을 시작한다고 4일 밝혔다.
성동구는 주택가 주차난 해소와 쾌적한 주차환경 조성을 위해 국비와 시비 등 사업비를 마련하고, 유수지 확보 등 다양한 공간 활용으로 부지매입비를 절감하는 등 적극적인 공영주차장 유치사업을 추진하고 있다. 그 결과 뚝섬유수지와 마장축산물시장, 옥수유수지 3곳의 공영주차장 조성을 확정짓고 12월 착공에 들어간다.
뚝섬유수지 공영주차장은 성수동1가 685-63일대 1만4112㎡ 규모다. 집중호수 시 침수 등의 문제가 발생하는 유수지 상부에 복개구조물을 설치해 조성하는 평면식 주차장이다. 국비 85억원과 시비 52억원, 구비 34억원을 투입해 지상 평면식 공영주차장 342면과 더불어 자연조경 조성, 유수지 하부 관리시설 설치 등 친환경적인 주차장으로 조성한다.
지난해 국토교통부 생활SOC사업 공모로 뚝섬유수지 복합문화센터 조성과 함께 선정됐다. 2021년 12월 준공 목표다.
성동구는 마장축산물시장 인근 청계천변 제방부지인 마장동 525번지 일대에도 지상5층 규모의 공영주차장 공사를 시작한다. 축산물시장 일대 탑차 등 혼잡한 주차상황과 일대 환경 개선을 위해 2019년 중소벤처기업부 주차환경 개선 공모사업으로 선정된 곳이다. 국비 82억원, 시비 85억원, 구비 22억원을 투자해 지상 1~5층, 117면의 주차장을 조성한다. 지상 2~4층에 도시재생시설도 들어선다. 2021년 9월 준공할 예정이다.
아울러 옥수역 일대 교통혼잡 문제를 개선하기 위한 옥수유수지 공영주차장은 옥수동 77-3번지 일대 옥수빗물펌프장 부지 내에 복개공사를 통해 조성한다. 사업비 총 34억원이 투입되며 부지 1316.72㎡, 평면식 47면으로 12월 착공해 2021년 12월 준공할 방침이다.
정원오 성동구청장은 ""지역의 큰 과제인 주차문제 해결을 위해 현재 추진 중인 주차장 확충사업을 차질없이 진행하겠다""며 ""앞으로도 민간과의 유기적인 연계를 통해 주차공유사업을 확대하고 공영주차장을 지속적으로 조성하겠다""고 말했다.
jinny1@news1.kr
▶ 네이버 메인에서 [뉴스1] 구독하기!
▶  뉴스1 바로가기
▶  코로나19 뉴스
© 뉴스1코리아(
news1.kr
), 무단 전재 및 재배포 금지",https://n.news.naver.com/article/421/0005030497
"성동구, 어린이보호구역 36개소 교통안전시설물 개선",2024.11.05,"노란색 사인블록이 설치된 모습. 사진제공=성동구
[서울경제]
서울 성동구는 어린이 등하굣길 교통사고를 예방하기 위해 36개 어린이보호구역 교통안전시설물을 개선한다.
성동구는 차량 이탈 및 보행자의 무단횡단을 방지하기 위해 10개 구간에 있는 노후 보행자용 방호울타리를 교체하거나 신규 설치했다.
어린이보호구역 내 횡단보도 대기 지점 32개 지점에는 안전한 공간을 마련하고, 운전자가 대기 중인 어린이들을 쉽게 인지할 수 있도록 노란색 '사인블록(sign block)'을 설치했다.
어린이보호구역 내 사고 위험지점에서 신호위반 및 과속을 방지하기 위해 금옥초와 금북초 내 무인교통단속장비를 올해 연말까지 추가 설치한다. 또 연내 보호구역 내 횡단보도 200개를 노란색으로 전면 교체할 예정이다.",https://n.news.naver.com/article/011/0004411328
"서울시 공사비 검증받은 '행당7구역'·'신반포22차', 얼마나 줄었나",2024.08.29,"(서울=뉴스1) 김진환 기자 = 새해 첫날 서울 은평구 재개발 최대어인 대조1구역 재개발 사업의 공사가 전면 중단됐다. 시공사인 현대건설이 지난해 10월 착공 이후 공사비 약 1800억원을 돌려 받지 못했다며 예고한대로 공정을 멈춘 것이다.   사진은 이날 오후 공사비 미지급으로 공사가 중단된 서울 은평구 대조동 대조1구역 주택재개발 현장 모습. 2024.1.2/뉴스1  Copyright (C) 뉴스1. All rights reserved. 무단 전재 및 재배포,  AI학습 이용 금지. /사진=(서울=뉴스1) 김진환 기자
서울시의 공사비 검증 시범사업 대상지로 선정된 행당7구역과 신반포22차의 공사비 검증이 마무리됐다. 앞으로 공사비 증액으로 갈등을 겪는 서울 정비사업장은 SH공사(서울주택도시공사)에 공사비 검증을 신청해 증액 타당성에 대한 검증을 받을 수 있다.
29일 서울시에 따르면 앞으로 서울지역 내 정비사업 조합은 공사비 검증이 필요한 경우 시공사로부터 관련 서류를 제출받아 SH공사에 공사비 검증을 의뢰할 수 있다. 공사비 검증의 수수료, 신청양식 및 부대서류는 국토교통부 고시 '정비사업 공사비 검증 기준'에 따라 처리한다.
조합이 SH공사 등 검증기관에 공사비 검증을 의뢰한 경우, 지난 3월 서울시에서 배포한 '서울시 정비사업 표준공사계약서'에 따라 공공지원자인 자치구에 이 사실을 알려야 한다.
신반포22차는 2017년 9월 현대엔지니어링을 시공사로 선정하고 3.3㎡당 570만원으로 도급계약을 체결했다. 하지만 착공을 앞둔 지난 4월에 3.3㎡당 1300만원으로 계약을 변경했다. 조합은 계약 변경을 앞두고 SH공사에 공사비 검증을 신청했다.
설계변경, 물가상승 등을 이유로 시공사가 제시한 공사비 증액분 881억원(설계변경 646억원, 물가변동 235억원)에 대해 검증을 진행한 결과 증액 요청액의 약 75%인 661억원을 제외한 220억원은 감액되는 것이 타당하다고 검증됐다.
공사비 단가 및 공사 수량 조정을 통해 설계변경 646억원 중 160억원을 감액키로 검증했다. 물가변동 적용대가 등을 검토한 결과 물가변동은 235억원 중 60억원 감액 검증했다.
신반포22차의 공사비가 이례적으로 높은 이유로는 도심지 내 소규모 단지, 후분양으로 인한 높은 금융비용, 마감재 고급화, 가파른 물가 변동 적용 등의 영향이라고 검토 의견을 밝혔다.
160세대의 소규모 단지로 대규모의 정비사업과 비교 시 공사비 단가가 전반적으로 높은 것으로 확인됐다. 후분양계획 등에 따라 사업비 대출금 상환 시점이 늦춰져 금융비용이 타 정비구역 대비 높은 점, 단위세대 및 부대시설, 외벽 등 대부분의 마감재가 고급 마감재(디에이치 특화적용)로 특화 설계된 점, 물가상승 폭이 컸던 2017년~2023년 기간의 물가변동이 적용되는 점 등이 신반포22차의 이례적인 공사비 상승 요인이라 검토 의견을 밝혔다.
이번 공사비 검증 시범사업 결과를 바탕으로 SH공사는 '공사비검증 관리카드'를 도입해 시행한다. 당초 시공사에서 고가의 자재·제품을 약속했으나 내역서에는 기재되어 있지 않아 실제 시공 단계에서 고가의 자재·제품이 누락되거나 변경되는 것을 막기 위해 고가의 자재나 제품은 관리카드를 만들어 관리되도록 할 계획이다.
신반포22차에 앞서 SH공사가 공사비 검증을 완료한 행당7구역(재개발)의 경우, 공사비 검증 결과를 바탕으로 당초 시공사(대우건설)가 제시한 526억의 53%인 282억원으로 조합과 시공사 간 합의를 끌어내며 갈등 상황을 마무리하고 일반분양을 시작했다.
김헌동 SH공사 사장은 ""정비사업 공사비 상승과 사업지연에 따른 분쟁 증가에 SH공사의 지난 35년간의 경험과 축적된 역량을 활용해 공정하고 투명한 자료 제시 등을 통해 갈등 해결에 도움을 드리겠다""고 했다.
한병용 서울시 주택실장은 ""사업시행인가가 완료된 구역은 공정관리만 제대로 이뤄진다면 5~6년 내 착공이 가능하다""며 ""정비사업은 갈등 양상이 다양하게 나타나는 만큼, 조합 스스로 해결하기 어려운 문제에 대해선 시의 갈등관리 노하우를 적극 활용해 공사비뿐만 아니라 정비사업 전 과정에서 발생할 수 있는 갈등 관리로 신속한 주택공급과 시장 안정화를 위해 노력할 것""이라고 말했다.",https://n.news.naver.com/article/008/0005083064
"성동구, 전국 첫 스마트 안심우회전시설 설치",2024.07.02,"설치 예시. 사진제공=성동구
[서울경제]
서울 성동구는 전국 최초로 움직이는 픽토그램이 표출되는 ‘성동형 스마트 안심우회전시설’을 설치한다.
성동형 스마트 안심우회전시설은 인공지능(AI) 카메라를 이용해 차량·보행자 등을 실시간으로 감지하고, 상황에 맞게 움직이는 픽토그램을 모니터로 표출하는 방식으로 운영된다. 일반적인 안전표지보다 시인성을 높여준다.
이 시설은 성수역 3번 출구 건너편에서 시범 운영된다. 성수역 일대는 방문객 증가로 인해 주변이 매우 혼잡한 곳으로 손꼽힌다. 특히 성수역 3번 출구 건너편은 지하철 2호선 지상 통과 구간으로 역사 교각이 위치해 우회전 차량과 직진 차량 간 시야 확보가 어렵다.
정원오 구청장은 “차량 운전자의 우회전 통행 시 보행자 보호의무가 강화된 만큼 교통사고 발생 위험 최소화에 최선을 다할 것“이라고 말했다.",https://n.news.naver.com/article/011/0004360771
50년 '금남시장' 정비 본격화… 오피스텔·판매시설로 탈바꿈,2024.07.15,"금남시장 시장정비사업 시작
금호역서 3분거리 ‘랜드마크’
1949년 조성된 금남시장이 오피스텔과 도시형생활주택, 판매시설 등으로 재탄생한다. 금남시장 정비사업이 본격화되면서다. 금남시장이 위치한 자리는 성동구에서도 알짜배기 입지로 통한다.
15일 성동구에 따르면 서울 성동구 금호동3가 368번지 일원에 있는 금남시장의 시장정비사업이 최근 추진되기 시작했다. 성동구가 공람공고를 내고 토지등의 소유자와 시장개설자, 임차상인 등 이해관계인들의 의견을 듣는 절차에 들어갔다.
서울시 성동구 금호동 금남시장 전경./금남시장 블로그
금남시장은 정비사업을 통해 도시형생활주택 140가구, 오피스텔 44가구, 판매시설로 탈바꿈 된다. 오피스텔과 도시형생활주택은 지하 5층~지상 29층 규모로 계획돼 있다. 현 시장내 상점들은 판매시설로 입점하게 된다. 판매시설은 지하 1층~지상 2층 규모다.
기부채납부지에는 근린생활시설, 체육시설, 도로 등이 위치하게 된다. 근린생활시설, 체육시설은 지하3층~지상 7층 규모가 될 것으로 보인다.
금남시장 시장정비사업 추진위원회 관계자는 “이제 사업이 시작되는 단계로 규모 등은 변화가 있을지도 모른다”면서 “상인들의 반발이 없어 무탈하게 진행될 가능성이 크다”고 했다.
금남시장은 지하철 3호선 금호역 1번 출구에서 3분 거리로 성동구 금호동의 랜드마크로 꼽힌다. 1949년 백범 김구 선생이 백범 학원을 개원하면서 인근에 자연스럽게 장터가 조성된 것이 지금의 금남시장이다. 2005년 아케이드를 설치하고, 조명을 교체하면서 한 차례 현대화 사업을 진행한 적이 있다.",https://n.news.naver.com/article/366/0001004782
용산·성동구 등 '상경투자' 크게 늘었다,2018.03.09,"서울 비거주자 구입 2.3배↑
[ 김형규 기자  ] 지방과 경기권 등에서 서울로 진입해 아파트를 사들이는 ‘상경투자’가 올 들어 급증한 것으로 나타났다. 지난해 말~올초 서울 집값 급등세를 타고 시세차익을 노린 투자 수요가 몰린 것으로 업계 전문가는 보고 있다.
9일 한국감정원의 매입자 거주지별 거래현황 통계에 따르면 지난 1월 서울 아파트 매매거래에서 서울 비거주자(경기 인천 지방)가 사들인 건수가 2122가구로 나타났다. 전년 같은 달(922가구)보다 2.3배 늘었다. 개발 호재가 있거나 평균 집값이 높은 자치구일수록 상경투자 증가율이 높았다. 강북권에서는 용산구 거래가 같은 기간 14건에서 75건으로 5배 이상 늘었다. 성동구는 33가구에서 114가구로 3.4배, 마포구는 43가구에서 108가구로 2.5배 증가했다.
강남3구(강남 서초 송파)는 지난 1월 비거주자 매입 건수가 전년 동기보다 3배 이상 증가한 것으로 나타났다. 서초구는 32가구에서 103가구로 3.2배, 강남구는 49가구에서 165가구로 3.3배 늘었다. 송파구는 61가구에서 234가구로 3.8배 증가했다. 재건축과 비교해 상대적으로 규제가 덜한 재개발이 활발한 동작구에서도 상경투자가 급증했다. 지난 1월 비거주자 매입 건수(85가구)가 전년 동기(29가구)보다 3배 가까이 늘었다.
함영진 부동산114 리서치센터장은 “공급 과잉, 주력 산업 침체 등으로 위축돼 있는 지방 주택시장과 달리 집값 상승이 상대적으로 가파른 서울 원정투자 수요가 증가한 것”이라고 분석했다.
김형규 기자 khk@hankyung.com
[
한경닷컴 바로가기
] [
글방
] [
모바일한경 구독신청
]
ⓒ 한국경제 &
hankyung.com
, 무단전재 및 재배포 금지",https://n.news.naver.com/article/015/0003904977
