제목,날짜,본문,URL
"송파구, 여성교실 40여개 강좌 연다",2018.09.09,"자격증 취득 교실과 자기계발 교실
생활속 취미교실과 운동교실 개설
【서울=뉴시스】서울 송파구청. 2018.01.26. (사진 = 송파구 제공) photo@newsis.com
【서울=뉴시스】박대로 기자 = 서울 송파구(구청장 박성수)는 주민 능력개발과 취미 활동을 위한 여성교실을 개설, 15일까지 수강생을 모집한다고 9일 밝혔다.
2018년 제4기 여성교실은 문정여성교실, 솔바람여성교실, 오륜여성교실 등 총 3개소에서 열린다. 40여개 강좌가 개설된다.
문정여성교실과 솔바람여성교실은 취업·창업을 위한 자격증 취득 교실과 자기계발 교실을 운영한다.
네일아트와 조리사 등 각종 자격증반과 제빵, 아이 옷 만들기, 영어 회화와 서예 같은 생활 속 취미 교실까지 분야별로 선택할 수 있다.
프랑스 자수, 전통선물 포장 등 최근 관심이 집중되고 있는 이색 강좌도 개설한다.
오륜여성교실은 운동 강좌를 운영한다. 에어로빅, 요가, 라인댄스 등이 열린다.
각 개설 강좌에 관한 자세한 정보와 시간표 등은 송파구 평생학습센터 누리집(lll.songpa.go.kr)이나 송파구 여성보육과(02-2147-2760)에서 안내 받을 수 있다.
이번 강좌는 12월까지 3개월간 열린다. 접수는 10일 오전 9시부터 시작된다. 교육대상은 송파구에 거주 중인 만 18세 이상 여성이다.
모든 강좌는 선착순 접수다. 송파구청 5층 여성보육과로 방문접수하거나 인터넷(lll.songpa.go.kr)도 가능하다.
수강료는 3개월에 3만~9만원이다. 재료비와 교재비는 별도 부담이다.
박성수 송파구청장은 ""여성교실은 집 근처에서 다양한 강좌를 듣고 배울 수 있게 하고 자격증 취득도 돕고 있다""며 ""더 많은 주민들이 자기 개발과 사회 진출에 성공할 수 있도록 프로그램 운영에 최선을 다하겠다""고 말했다.
daero@newsis.com
▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS
[페이스북]
[트위터]
<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",https://n.news.naver.com/article/003/0008798181
잠실에 거대 스포츠·MICE 단지 들어선다…2026년 착공,2024.07.25,"서울시가 국제교류복합지구 잠실운동장 일대 복합공간 민간투자사업에 속도를 낸다.
서울시는 올해 중 우선협상대상자와 협상을 마무리하고 이르면 내후년 착공에 들어간다는 목표다.
서울특별시는 제11차 도시·건축공동위원회에서 ‘국제교류복합지구 지구단위계획 결정(변경) 및 잠실 스포츠·MICE 복합공간 특별계획구역 세부개발계획 결정(안)’을 결정했다고 25일 밝혔다.
국제교류복합지구 내 잠실종합운동장 일대를 스포츠·MICE·문화·수변공간이 연계된 미래형 복합단지로 조성하기 위해 특별계획구역으로 지정하고 세부개발계획을 수립했다.
전시·컨벤션 시설과 이를 지원하기 위한 업무·상업·숙박시설의 도입이 필요한 지역은 용도지역을 조정(제1종일반주거지역→준주거지역)했다.
잠실 스포츠·MICE 민자사업의 돔형 야구장, 스포츠콤플렉스, 수영장 등 스포츠 시설과 전시장, 컨벤션센터 및 업무·숙박·상업시설 등의 배치를 세부개발계획으로 결정했다.
서울시는 우선협상대상자와 연내 협상을 마무리하고 2025년까지 기획재정부 협의를 거쳐 실시협약을 체결할 예정이다.
2026년에는 착공하는 것을 목표로 사업을 진행할 계획이다.
김승원 서울시 균형발전본부장은 ""이번 지구단위계획 결정으로 잠실 스포츠·MICE 민간투자사업의 실시협약 체결을 포함해 앞으로 절차들이 신속하게 추진되도록 최선을 다하겠다""고 말했다.",https://n.news.naver.com/article/215/0001172457
신통기획으로 완성되는 '거마 지역'…마천5구역 2200가구 계획,2023.04.13,"서울 송파구 거여동 거여2-1구역의 낡은 판자촌이 철거되는 현장 /사진=김사무엘
서울 강남권의 유일한 뉴타운인 거여마천뉴타운이 신속통합기획으로 사업 속도를 내고 있다. 마천5구역과 마천2구역이 각각 1차, 2차 후보지로 선정된 가운데 마천5구역은 최근 주민설명회를 진행한 데 이어 다음달 중 정비계획입안에 나선다.
12일 정비업계에 따르면 서울시와 송파구는 지난달 23일 마천5구역 주민들을 대상으로 주택정비형 재개발사업 신속통합기획(안)에 대한 주민 설명회를 개최했다. 마천5구역은 2021년 말 신속통합기획 민간재개발사업 1차 후보지로 선정됐다.
기획안에 따르면 마천5구역은 용적률 249.9%, 건폐율은 22.1%을 적용해 지하 2층~지상 35층, 2200가구 규모의 주거단지로 개발된다. 이 중 600가구 가량이 공공 물량이다. 가구수가 많아 토지등 소유자 979명 모두가 분양신청을 한다고 해도 500여 가구가 일반분양 분으로 남는다는 설명이다.
용도지역을 현재 2종일반주거지역(7층 이하)에서 2종일반주거지역으로 1단계 종상향해 용적률이 완화됐다. 거마로 및 마천로변 필지를 일부 편입하고 차량출입구 3개소를 확보해 교통 편의를 높일 계획이다. 불필요한 도로 축소 및 공공청사 복합화 등을 통해 대지면적도 종전 8만4295.8㎡에서 9만1607㎡로 확대했다.
남천초교와 성내천변은 저층부로 계획해 천마산 조망권을 확보할 예정이며 거마로 주변부는 고층부로 계획됐다. 성내천변에는 디자인 특화를 적용해 등교길과 연계한 '아이코닉 도서관', 커뮤니티 장소로 활용될 '수변광장', 3면개방·옥상녹화가 적용된 '스텝형 주동'이 들어선다.
/사진제공=송파구
면적별 계획가구수는 전용 39㎡ 190가구, 전용 59㎡ 460가구, 전용 74㎡ 590가구, 전용 84㎡ 750가구, 전용 114㎡ 210가구 등이다. 이달 중 신속통합기획 가이드라인을 수립한 후 5월부터 정비계획 입안, 도시재정비위원회 심의, 정비계획 결정고시를 순차 진행한다는 목표다.
작년 말 신속통합기획 민간재개발사업 2차 후보지로 선정된 마천2구역도 후속 절차를 밟고 있다. 재정비촉진계획(안) 수립을 위한 용역입찰이 진행 중이다. 신속통합기획을 통해 내년말까지 재정비촉진계획을 수립하고 구역지정을 완료한다는 계획이다.
강남3구에서 추진되는 유일한 뉴타운인 거여마천뉴타운은 서울시 송파구 거여동과 마천동 일대를 재개발하는 사업이다. 거여동 2개 구역, 마천동 5개 구역으로 나뉘어 개발되고 있다. 거여 2-1구역과 거여 2-2구역은 각각 '송파 시그니처 롯데캐슬' 'e편한세상 송파센트럴'이 들어섰고 거여새마을구역과 마천 1·3·4구역도 재개발 사업을 진행 중이다. 여기에 마천5구역과 마천2구역이 신통기획 후보지로 선정되면서 2005년 뉴타운 지정 이후 17년 만에 모든 구역의 사업이 본궤도에 올랐다.
신통기획은 오세훈 시장이 정비사업 활성화를 위해 내놓은 정책으로 재개발·재건축 초기 단계부터 서울시가 개입해 사업성과 공공성이 결합한 정비계획안을 제시, 사업을 지원하는 제도다. 공공기여를 받고 용도지역 상향 등을 진행해 사업성을 높일 수 있다. 도시계획위원회 수권분과위원회 심의, 사업시행계획시 관련 심의 통합 등 관련 절차 또한 간소화 해 사업기간을 대폭 단축할 수 있다는 게 장점이다.",https://n.news.naver.com/article/008/0004874389
"탄천·한강 일대, 차고지에서 수변문화공원 '탈바꿈'",2019.11.28,"[머니투데이 이소은 기자] [생태·문화가 결합된 여가공간…국제교류복합지구(SID) 동서 연결축 역할도 ]
탄천·한강 일대 조성되는 수변공원 보행교 이미지. /사진제공=서울시
차고지·고가도로·지하보도 등으로 이용돼왔던 탄천·한강 일대가 약 63만㎡ 규모의 수변문화공원으로 탈바꿈한다.
서울시는 28일 국제교류복합지구(SID) 내 탄천‧한강 일대 밑그림에 해당하는 국제지명설계공모 최종 당선작 '더 위브(The Weave)'를 공개했다.
탄천·한강 일대 수변생태·여가문화공간 조성사업은 코엑스~현대차GBC~잠실종합운동장 일대를 마이스(MIC) 거점으로 조성하는 국제교류복합지구(SID) 조성 프로젝트의 일환으로 전개됐다. 총 공사비 1029억원, 설계비 59억원 규모다.
설계공모 대상지는 서울 강남구 송파구 탄천 삼성교~한강 합류부 일대 약 63만㎡다. 한강과 탄천이 만나는 곳이자 국제교류복합지구의 주요 보행축 중심에 위치한 지역이다. 도심 속 자연 수변공간으로 생태학적 가능성이 풍부함에도 그간 콘크리트 인공호안으로 조성된 채 차고지, 고가도로, 지하보도 등의 기능만 해왔다.
김선순 서울시 지역발전본부장은 ""SID가 탄천으로 인해 동-서 방향으로 단절돼있어 공간적 분리를 극복하고 접근체계를 강화할 필요성이 대두됐다""며 ""단순 하천 정비가 아니라, SID 전체를 탄천·한강의 수려한 자연 및 수변공간과 적극 융합시키기 위해 국제설계공모를 추진했다""고 설명했다.
탄천·한강 일대 조성되는 수변공원 조감도. /사진제공=서울시
서울시는 국내외 7팀을 지명해 지난 8~11월까지 3개월에 걸쳐 국제지명설계공모를 진행했다. 심사는 도시‧건축, 조경, 토목, 생태환경 분야의 국내‧외 전문가 6인의 심사위원회가 맡았다. 심사는 사전에 제시한 3가지 핵심방향인 △하천 자연성 회복 △수변 여가문화 공간 조성 △접근성 개선 등에 주안점을 두고 이뤄졌다.
당선작은 공모 대상지 전체를 엮는(weave) 형태를 주요개념으로 한다. 수변경계를 자연화하고 곡선화해 하천 물길을 회복하고 자연경관을 살릴 수 있는 요소를 제안했다.
수변레저시설, 전망대, 매듭광장 등 다양한 프로그램과 기존 구조물을 재활용한 수변시설물(동부간선도로 미술관)을 제안한 점이 독창적이란 평가를 받았다. 또 오르내림이 있는 보행교를 이용해 공원 전체 보행 네트워크를 조성하고 아치형 전망대, 미끄럼틀 계단 등 이벤트·체험공간을 도입한 점도 특징이다.
심사위원장인 강병근 건국대 명예교수는 ""대상지 주변의 도시맥락을 조화롭게 받아들여 도시활동의 밀도와 역동성을 선형이라는 하나의 설계 언어로 통일성 있게 풀어낸 작품""이라며 ""생태적 아이디어는 물론 도시민의 놀이와 휴식, 문화와 관광 등 다양한 활동이 가능한 설계안""이라고 심사평을 밝혔다.
서울시는 당선팀과 구체적인 협상을 진행한 후 연내 설계계약을 체결하고, 내년 1월 설계에 돌입해 2021년 5월까지 마무리한다는 계획이다. 2021년 6월 착공해 오는 2024년 상반기까지 조성을 마친다는 목표다.
이소은 기자 luckysso@mt.co.kr
▶아빠와 성이 다른 딸, 청첩장 어떡하죠
▶0.000001% 부자의 금욕 생활
▶광고와 너무 다른 도시락
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004316696
"서초·송파 재건축 6곳, 이주시기 조정대상 올라",2018.02.08,"서초, 한신4 등 3곳 추가 요청
서울시 두차례 심의해 결정…집값 잡기 위해 인가 늦출수도
작년 말 관리처분인가를 신청한 강남권 단지 가운데 총 1만2000가구가 넘는 6개 대단지의 관리처분인가 시기가 이달 말부터 다음달 초 사이 서울시에 의해 결정된다. 서울시 조례에 따라 재건축으로 사라질 기존 주택(멸실) 수가 단지별로 2000가구가 넘으면 관리처분인가 시기 조정 심의 대상이 되기 때문이다.
과거 사례를 보면 시는 통상 3~5개월 정도 관리처분인가 시기를 조정했다. 다만 조례상 최대 1년까지 늦출 수도 있어 강남 집값 잡기에 동참한 서울시가 과연 얼마나 늦출지 주목된다.
8일 서울시와 부동산업계 등에 따르면 서초구청은 조만간 △반포주공1단지 1·2·4주구 △방배13구역 △한신4지구 등 3개 재건축 추진 단지를 서울시 주거정책심의회 시기 조정 심의 안건으로 상정할 예정이다. 이들은 지난 연말 관리처분인가 총회를 통과해 구청에 인가를 신청한 단지 가운데 기존 가구 수가 단지별로 2000가구를 넘은 대단지다.
서울시는 3월 초 주거정책심의회를 열어 해당 안건에 대한 관리처분인가 시기를 심의할 예정이다. 서울시 주택정책과 담당자는 ""심의 신청이 들어오면 시 차원에서도 사전 검토 시간이 필요하기 때문에 이달 말 회의에 상정하기는 어렵다""면서 ""다음달 초 추가 안건 논의를 위한 회의를 다시 잡을 계획""이라고 말했다.
이에 따라 이달 26일 열릴 시기 조정 심의 대상으로 확정된 송파구의 △잠실진주 △미성·크로바, 서초구의 △신반포3차·경남 등 3개 단지를 포함해 총 6개 단지가 앞으로 한 달 이내 서울시의 관리처분인가 시기 조정 심판대에 오르게 됐다
관리처분인가 여부는 서울시 심의와 상관없이 각 자치구청의 자체 검증으로 결정될 예정이다. 서초구나 송파구 모두 관리처분인가 신청 단지에 별다른 흠결이 없다고 자체 판단해 인가 승인이 유력하다.
이제 조합원들의 관심은 관리처분인가를 언제 받느냐로 쏠리고 있다. 관리처분인가가 나야 이주를 시작할 수 있기 때문에 인가 시기에 따라 재건축에 소요되는 사업 기간이 달라진다. 통상 관리처분인가에서 완공까지는 4~5년이 걸린다.
과거 서울시의 시기 조정 심의 사례를 보면 심의 시점 기준 통상 3~5개월가량 관리처분인가가 미뤄졌다. 2015년 9월 심의된 강남개포시영은 2016년 1월, 2016년 12월 심의된 강동둔촌주공은 2017년 5월, 2017년 1월 심의된 개포주공1단지는 같은 해 4월 이후로 각각 인가 시기가 미뤄졌다. 이에 따라 이번에 서울시 심의에 오를 단지들도 일단 하반기 이후로 인가 시기가 늦춰질 가능성이 높다.
이번 심의에서 주목할 변수는 서울시가 지난달 25일 강남 집값 안정을 위해 이주 시기 조정 카드를 활용할 수 있음을 시사한 데 있다. 강남 재건축 열기를 식히기 위해 서울시가 인가 시기를 연말이나 늦으면 내년 초로 늦출 가능성도 있는 셈이다. 주택정책심의회는 총 15명의 심의위원 가운데 서울시장을 포함해 시에서 5명이 당연직 위원으로 참석한다.
[최재원 기자]
▶뉴스 이상의 무궁무진한 프리미엄 읽을거리
▶아나운서가 직접 읽어주는 오늘의 주요 뉴스
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",https://n.news.naver.com/article/009/0004098029
1월 서울 주택매매가 0.86%상승…강남구 2.72%·송파구 2.45%↑,2018.01.31,"【서울=뉴시스】박주성 기자 = 정부가 이달 들어 재건축 연한 및 안전진단 강화, 재건축 초과이익환수제 예상 부담금 공개 등 강남 재건축을 겨낭한 가운데 비교적 규제가 덜한 강북 재개발 쪽으로 투자자들이 몰리고 있다. 사진은 28일 서울 롯데월드타워 전망대에서 바라본 잠실 주공 5단지 모습. 2018.01.28. park7691@newsis.com
【서울=뉴시스】 박영환 기자 = 올해 1월 서울의 주택가격이 강남·서초·강동·송파 등 강남4구 아파트 매매가 급등의 영향으로 0.9%가까이 상승했다.
31일 한국감정원에 따르면  전국의 주택 매매가격(1월15일 기준)은 한 달 전(12월11일)에 비해 0.14%상승했다. 같은 기간 전세가격은 0.05%하락했고, 월세가격은 0.04% 떨어졌다. 주택은 아파트와 연립주택, 단독주택을 포함한다. 다세대주택은 연립주택으로, 다가구주택은 단독주택으로 각각 분류된다.
서울의 주택매매가 상승률이 0.86%로 전국에서 가장 높았다. 강남4구가 이러한 매매가 상승을 주도했다. 강남구가 2.72%로 부동의 1위였고, 이어 송파구(2.45%), 서초구(1.80%) 등의 순이었다. 양천구(1.52%)가 뒤를 이었고, 강동구(1.32%), 성동구(1.24%), 용산구(0.93%), 광진구(0.92%), 마포구(0.88%), 동작구(0.66%), 영등포구(0.52%), 중구(0.43%), 종로구(0.33%)등의 순이었다.
수도권은 새로 지은 아파트들이 상승세를 주도하며 주택 매매가가 0.36%올랐다. 경기가 0.08%, 인천이 0.01%각각 상승했다. 반면, 지방은 같은 기간 0.05% 하락했다. 대구(0.25%), 세종(0.21%)은 겨울방학 이사 수요로 매매가가 올랐으나,  조선경기 침체의 직격탄을 맞은 경남(-0.31%), 울산(-0.30%), 경북(-0.18%)은 하락했다.
주택 유형별로는 전국의 아파트가 같은 기간 0.14%올랐고, 연립주택은 0.09%, 단독주택 0.18%각각 상승했다.  아파트와 연립주택은 지난달보다 상승폭이 확대됐고, 단독주택은 축소됐다.
전국 주택의 매매가는 평균 2억8061만5000원이었다. 서울이 5억5723만3000원으로 가장 높았고, 이어 수도권 3억8271만3000원, 지방 1억8806만2000원이었다. 유형별로는 아파트가 3억1596만1000원, 연립주택 1억5891만4000원, 단독주택 2억6532만원이었다.
전국 주택의 월세 평균은 63만3000원에 달했다. 서울이 93만2000원으로 가장 많았고, 수도권 80만2000원, 지방 47만9000원이었다. 유형별로는 아파트가 69만3000원, 연립주택 43만원, 단독주택 59만9000원이었다.
한국감정원은 “서울은 재건축 초과이익환수제 및 신DTI시행으로 관망세가 확산되면서 재건축과 고가 아파트 위주로 (주택) 매매가가 상승한 반면, 지방은 공급 증가의 여파로 하락했다”고 설명했다.
yunghp@newsis.com
▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS
[페이스북]
[트위터]
<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",https://n.news.naver.com/article/003/0008422073
송파구 방이동에 '청년벤처·주거' 22층 복합시설 들어선다,2019.10.30,"© 뉴스1
(서울=뉴스1) 홍기삼 기자 = 오는 2023년까지 서울 송파구(구청장 박성수)의 노후 공공청사인 방이2동주민센터를 포함한 1만1276㎡ 부지에 지하 3층~지상 22층 규모의 송파청년복합시설(가칭)이 들어선다.
복합시설은 젊은층 주거안정, 일자리 창출 및 지역 공공서비스 향상을 목표로 한다. 청년들을 위한 주거 공간과 취업·창업 공간, 취업·창업 지원 서비스 등을 원스톱으로 제공할 계획이다.
복합시설 상층부에는 청년주택 130여가구가 공급된다. 여기에는 창업지원주택이 포함된다. 송파구는 국토교통부, LH와 협의해 복합시설 내 취업·창업 공간에 입주하는 청년창업자와 취업준비생을 중심으로 입주자로 선정할 계획이다.
복합시설 중간부에는 벤처오피스, 공유오피스 등 청년들을 위한 취업·창업 공간으로 꾸려질 계획이다.
송파구는 창업을 지원하기 위해 주변 오피스보다 임대료를 30% 가량 저렴하게 공급할 것이라고 설명했다. 또한 엔젤투자기관이나 창업보육프로그램 등을 복합시설 내 유치해 창업 준비에서 사업화까지 체계적인 지원을 위한 플랫폼을 구축할 예정이다.
송파구는 이 복합시설을 통해 정보통신기술(ICT)융합스포츠분야 벤처기업을 집중 육성하고자 한다. 국민체육진흥공단, 한국체육대, 올림픽공원 등 스포츠 관련 지역자원을 기반으로 관련 분야를 적극 육성하겠다는 입장이다.
이 사업의 원활한 진행을 위해 송파구는 지난 6월 국토교통부의 '노후 공공청사 복합개발 공모사업'에 응모했다. 그 결과 지난달 사업대상지로 선정돼 투자심사 면제 등의 혜택을 통해 사업 진행에 속도를 낼 예정이다.
또한 지난 7월 국가균형발전위원회의 2020년 생활SOC 복합화 공모사업에 응모해 지난 25일 국비 약 34억원을 확보했다.
이를 위해 송파구는 30일 송파구청 기획상황실에서 LH와 송파구 방이동 노후공공청사 복합개발사업 공동시행 기본협약을 맺었다.
박성수 송파구청장은 ""송파구 19~39세 청년 인구는 22만명으로 서울 자치구 중 가장 많다""라며 ""이들을 지원해 우수한 청년창업가를 키워내고 나아가 새로운 형태의 청년 생태계를 조성할 것""이라고 전했다.
argus@news1.kr
▶ [ 크립토허브 ]
▶ [ 해피펫 ]
▶ 네이버 메인에서 [뉴스1] 구독하기!
[© 뉴스1코리아(
news1.kr
), 무단 전재 및 재배포 금지]",https://n.news.naver.com/article/421/0004278412
"송파구, 문정현대아파트 리모델링 승인…120→138가구",2025.03.14,"[이데일리 박경훈 기자] 서울 송파구는 14일 문정동 문정현대아파트 리모델링 사업을 승인했다고 밝혔다.
문정현대아파트 리모델링 조감도. (자료=송파구)
구는 “송파구에서 3번째로 리모델링 허가 승인된 사례로, 송파구는 전국에서 가장 많은 세대수 증가형 리모델링 허가 승인실적을 창출했다”고 말했다.
1991년 준공된 문정현대아파트는 2022년 3월 리모델링 조합을 설립하고 이번에 사업 승인을 받았다.
기존 지하1층~지상10층, 120세대에서 지하4층~지상10층, 별동 15층, 138세대로 탈바꿈할 예정이다. 작은도서관, 실내놀이터 등도 들어선다. 증가한 18세대는 일반분양이 이뤄진다.
서강석 구청장은 “앞으로도 관내에서 추진되는 리모델링 사업의 신속한 추진을 위해 적극적으로 지원해 ‘쾌적하고 살기좋은 명품도시’를 만들어 가겠다”고 말했다.
송파구에서는 전국 최초 수평증축 리모델링 사업인 오금아남아파트와 전국 최초 수직증축 리모델링인 송파성지아파트가 준공된 바 있다. 현재는 전국 최대 수직증축 리모델링 사업인 가락쌍용1차아파트 등 11개 리모델링 조합이 사업계획승인 준비를 하고 있다고 구는 설명했다.",https://n.news.naver.com/article/018/0005962869
올림픽훼밀리타운아파트 상업용지 개발 본격화,2020.07.09,"서울시 도시건축공동위원회 수정 가결…최대 400%까지 용적률 허용
서울시 송파구 문정동 올림픽훼밀리타운아파트 일대 지도. [서울시 제공]
[헤럴드경제=양대근 기자] 서울 송파구 문정동 올림픽훼밀리타운 아파트 단지 내 상업용지인 준주거지역 용적률이 최대 400%까지 늘어난다.
서울시는 지난 8일 열린 도시·건축공동위원회가 송파구 문정동 150번지 일대 문정택지 지구단위계획구역 지정 및 계획결정안을 수정 가결했다고 9일 밝혔다.
대상지는 지하철 3호선과 8호선이 교차하는 가락시장역에 인접한 올림픽훼밀리타운 아파트다. 이 단지는 지난 1988년 입주한 56개 동 4494가구 아파트로, 북쪽 가락시장 시설 현대화사업과 남쪽 문정 법조단지 조성 등 여러 호재가 있다.
결정안은 준주거지역에 대해 기준 용적률 300% 이하, 허용 용적률 400% 이하, 높이 계획 최대 80ｍ 등을 확정했다. 시 관계자는 “30년이 넘은 문정택지개발사업지구에 대해 체계적인 도시관리계획의 필요성과 변화된 주변 여건에 부합하는 합리적인 도시관리 방안 마련을 위해 이번 결정안을 추진했다”며 “도시 관리수단 마련에 따라 상업용지 등에 대한 계획적이고 체계적인 관리가 가능해졌다”고 설명했다.
또한 도시·건축공동위원회는 지하철 5호선 서대문역 인근 충정로2가 2-2번지 일대 도시재생사업에 대해서도 수정가결했다. 이에 따라 대상지 이면부의 거리를 활성화하기 위해 보행자우선도로를 만들고 건축물 배치도 보행환경에 맞춰 이뤄진다. 중심지 기능을 활성화하기 위한 업무·판매시설 입지 유도계획 등도 마련됐다.
사당·이수 지구단위계획 결정안도 수정가결됐다. 사당역 인근에 위치한 대상지는 남부순환로(40m)에 연접해 있으며, 지구단위계획상 공동개발로 지정돼 상업지역 내 규모있는 건축이 가능한 지역이다.
대상지는 당초 이면부로 차량을 유도하도록 계획됐지만 이번 결정으로 남부순환로변 차량출입불허구간을 변경해 주차출입구를 새로 만들게 된다.
지하철 2·5호선 을지로4가역 인근 주교 지구단위계획구역 재정비 안건도 수정가결됐다. 이번 재정비로 방산시장 특별계획구역 3곳과 도시계획시설 공원 4곳, 주차장 1곳, 도로 1곳 등이 사라지며 획지, 건축물 용도, 건폐율·용적률, 높이, 대지내 공지계획 등이 일부 변경된다.
노원구 상계2택지개발사업구역 지구단위계획 결정 변경안은 원안 가결됐다. 이에 따라 장애인과 비장애인을 위한 어울림체육센터 건립 등이 건립될 예정이다.
bigroot@heraldcorp.com
▶코리아헤럴드 플립화상영어 무료체험
▶헤럴드경제 네이버 채널 구독
▶농수축산물 소비캠페인
- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -",https://n.news.naver.com/article/016/0001697176
송파구 국내 첫 종합안전체험장 29일 문연다,2018.03.28,"[한국경제TV 이근형 기자]
생활안전이나 교통 재난 안전체험 등 종합적인 안전교육이 가능한 공간이 서울 송파구에 문을 엽니다.
서울 송파구는 국내에서는 처음으로 종합안전교육장인 '송파안전체험교육관'을 29일 개관한다고 밝혔습니다.
이번 교육관은 기존 어린이안전교육관을 리모델링한 것으로 마천동 천마근린공원 내 연면적 5,516㎡ 4층 규모로 마련됐습니다.
안전교육은 아동부터 성인까지 전 세대를 걸쳐 진행하며 오는 29일 10시30분 교육관 3층에서 열리는 개관식을 시작으로 정식 운영에 들어갑니다.
송파구는 이번 교육관과 관련해 지난 20년 가까이 구민 안전을 위해 촘촘한 지원방안을 마련해 온 구의 노력이 집약된 결실이라고 소개했습니다.
1~2층에서는 가정안전관과 재난안전관, 신변안전관, 승강기 안전관, 교통안전관 등이 꾸려집니다.
또 증축된 3-4층에서는 항공과 선박, 철도 등 대형교통수단 사고 발생시 행동요령을 체험할 수 있습니다.
송파구는 특히 최근 점점 복잡 다양화되는 재난형태에 대비해 전 세대를 아우르는 체험위주의 안전교육 인프라 구축에 방점을 찍고, 국가기술표준원, 한국제품안전협회 등 각 분야 전문기관과 협업을 통해 전문성을 강화했다고 강조했습니다.
교육관은 주중 오전 9시부터 오후 6시까지, 토요일은 오전 10시부터 오후 4시까지 운영되고, 법정 공휴일은 휴관합니다. 서울시민은 누구나 사전예약을 통해 이용할 수 있습니다.
박춘희 송파구청장은 ""재개관하는 송파안전체험교육관은 그간 ‘안전’을 최상의 행정목표로 안전문화를 선도해 온 송파구 안전행정의 결정체""라면서, ""안전교육을 이수한 주민이 스스로 위기상황에서 안전하게 대처하고, 가족과 이웃에게 안전의식을 전파하는 안전문화가 자연스레 스며드는 사회가 되도록 지속적으로 노력하겠다""고 말했습니다.
이근형기자 lgh04@wowtv.co.kr
ⓒ 한국경제TV, 무단 전재 및 재배포 금지",https://n.news.naver.com/article/215/0000615973
