제목,날짜,본문,URL
"용산·여의도 개발, 정부와 서울시의 '엇박자'",2018.07.27,"서울 부동산정책을 좌지우지하는 중앙정부와 지자체가 서로 엇박자를 냈다. 김현미 국토교통부 장관이 박원순 서울시장의 용산·여의도 개발계획을 공개적으로 비판했으나 박 시장은 다시 개발 의지를 드러내면서 두 기관이 첨예하게 대립할 전망이다.
당초 박 시장의 개발계획이 알려진 이후 용산·여의도 부동산이 꿈틀댔지만 정책 변경에 따른 집값 폭등·폭락을 경험한 바 있는 이들은 우려가 이어졌다.
◆집값 움직이는 말 한마디… 호가 1억~2억원 출렁
김 장관은 지난 23일 국회 국토교통위원회 전체회의에서 서울시의 용산·여의도 개발계획에 대해 ""지자체가 계획을 수립해도 정부와 협의해야 현실성이 있다""고 말했다.
박 시장은 앞서 싱가포르 방문 중이던 지난 10일 ""여의도를 재개발할 것""이라고 말했고 김 장관의 국회 발언 이후인 25일에는 팟캐스트에 출연해 ""여의도는 서울의 맨해튼처럼 돼야 한다""고 강조했다.
박 시장의 싱가포르 발언 뒤 용산·여의도 일대 집값은 크게 움직였다. 호가가 1억~2억원 뛴 매물도 등장했다.
김 장관은 국회에서 이런 부분을 지적하기도 했다. 현정부가 추진하는 부동산 투기근절대책과 규제에 상반되기 때문이다.
그러나 박 시장은 이에 대해 ""종합적 가이드라인과 마스터플랜 아래 개발한다는 얘기가 한꺼번에 다 개발하는 것처럼 받아들여졌다""며 ""갑자기 땅값이 오르고 난리가 나 제 말 한마디에 이렇게 되니 제가 중요하긴 한가보다""라고 말했다.
하지만 일각에서는 이런 움직임을 경계하기도 한다. 특히 용산은 오세훈 전 서울시장이 추진하던 국제업무지구 중단으로 집값이 폭락한 경험이 있다.
용산의 공인중개사사무소 관계자는 ""최근 인근 집주인들의 재개발에 대한 문의가 많은데 몇년 전 기대에 부풀었다가 실망한 경험이 있어선지 크게 동요하지 않는 편""이라면서 ""개발은 수년이 걸리는데 정부정책은 정권 따라 또 바뀔 수 있다는 점에도 대부분 주민들이 주목하고 있다""고 말했다.
전문가들은 용산·여의도 개발계획이 장기적인 관점에서 진행돼야 한다고 지적한다. 함영진 직방 빅데이터랩장은 ""용산과 여의도 재개발에는 막대한 예산이 필요하고 주민들이 원하는 방식과도 다를 수 있어서 풀어야 할 과제가 많다""고 말했다.
김노향 기자
<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>
▶ 머니S 페이스북
▶ 최신 웹툰이 매일 공짜",https://n.news.naver.com/article/417/0000332013
"""영등포역 역세권 1500가구 대단지"" 공공재개발 후보지 어디?",2021.03.30,"[머니투데이 이소은 기자] 국토교통부와 서울특별시는 지난해 발표한 5·6 대책에 따라 도입한 공공재개발 시범사업의 2차 후보지 16곳을 29일 선정했다.
이번에 선정된 구역은 노원구 상계3구역, 강동구 천호A1-1구역, 동작구 본동, 성동구 금호23구역, 종로구 숭인동 1169, 양천구 신월7동-2, 서대문구 홍은1구역·충정로1구역·연희동 721-6, 송파구 거여새마을, 동대문구 전농9구역, 중랑구 중화112구역, 성북구 성북1구역·장위8구역·장위9구역, 영등포구 신길1구역 등이다.
후보지 가운데 개발규모가 가장 큰 장위8구역은 11만6402㎡에 2387가구 규모의 신축 단지가 공급된다. 이 구역은 2006년 장위재정비촉진지구로 지정돼 2010년 조합을 설립하는 등 정비사업을 추진했으나 사업성 부족으로 사업에 대한 주민간 이견이 발생, 2017년 구역지정이 해제됐다.
공공재개발 사업 시, 현재 2종 주거지역인 해당지에 용도지역 상향 등을 통해 사업성이 개선된다. 사업이 완료되면 대규모 주택공급과 함께 장위촉진지구 내 도로확장을 통한 교통환경 개선이 기대된다.
2010년 정비구역으로 지정된 금호23구역도 2011년 추진위를 설립했으나 분양시장 불황과 추진주체에 대한 불신으로 갈등이 지속, 2013년 주민 50%의 동의로 추진위를 해산하고 정비구역을 해제했다.
이 구역 역시 현재 2종 주거지로 용도지역 상향 등을 적용해 사업성을 개선한다.  사업 완료 후에는 서울 도심과 강남 진출이 용이한 역세권에 주택 948가구가 공급될 전망이다.
신길1구역은 주민 동의로 2017년 재정비촉진구역 지정이 해제됐으나 구역 내 노후동수가 전체의 90% 수준으로 주거환경이 열악해지면서 주민 과반 동의로 공공재개발 공모에 참여했다.
현재 2종 주거지로 용도지역 상향 등을 통해 사업성을 개선하면 교통의 요충인 영등포역 일대에 1510가구의 대규모 주택 공급과 신길촉진계획에 따른 완성도 높은 개발이 가능할 전망이다.
송파구 거여새마을 재개발은 광역적 도시정비를 위해 2011년 거여·마천재정비촉진지구에 편입된 다세대 밀집지역이다. 구릉지에 위치한 탓에 용적률 상한이 낮고 사업성이 부족해 그간 개발되지 못했다.
향후 용도지역 상향 등 사업성을 개선하면 거여·마천재정비촉진지구와 위례신도시가 연계돼 정주여건이 크게 개선될 것으로 보인다.
이번에 선정된 후보지들은 주로 역세권, 5만㎡ 이상 대규모 노후 주거지로 공공의 참여, 지원 하에 계획대로 사업을 완료할 경우 서울 도심에서 약 2만가구 공급이 가능할 전망이다.
사업시행자인 한국토지주택공사(LH)와 서울주택도시공사(SH공사)는 앞으로 후보지 주민을 대상으로 현장 설명회를 열어 개략적인 정비계획과 사업성 분석 결과를 설명하고, 주민의견도 수렴하는 한편, 자치구와 연내 정비계획 수립절차 착수를 목표로사업을 준비해나갈 계획이다.
한편 선정위원회는 자치구에서 제출한 검토자료 및 자치구 담당부서장의 설명을 토대로 정비 시급성(노후도 등), 사업의 공공성, 사업 실현가능성 등을 종합 심사해 16곳 후보지를 최종 결정했다. 다만 도림26-21, 신길16, 신길밤동산, 번동148, 용두3, 대흥5, 아현1, 하왕십리 등 8곳은 용적률·높이 완화만으로 사업성이 확보되지 않아 일단 보류했다.  고덕2-1, 고덕2-2, 한남1, 성북4 등 4곳은 주민 반대로 미선정했다.
이소은 기자 luckysso@mt.co.kr
▶부동산 투자는 [부릿지]
▶주식 투자는 [부꾸미TALK]
▶부자되는 뉴스, 머니투데이 구독하기
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",https://n.news.naver.com/article/008/0004564766
신당8구역 재개발·여의도 대교아파트 재건축 통합심의 통과,2025.02.28,"[신당제8구역 주택재개발 정비사업 배치도 (서울시 제공=연합뉴스]
'신당 제8구역 주택재개발 사업'과 '여의도 대교아파트 재건축사업'이 서울시 정비사업 통합심의위원회를 통과하며 사업 추진에 탄력을 받게 됐습니다.
서울시는 27일 열린 제2차 정비사업 통합심의위에서 이 두 안건이 사업시행계획 인가를 위한 통합심의를 각각 통과했다고 오늘(28일) 밝혔습니다.
중구 신당동 321번지 일대 신당 제8구역 사업 대상지는 지하철 5·6호선 청구역 더블 역세권으로 인근에 초등학교가 있어 교통 편의성과 교육환경이 우수한 주거지역입니다.
대상지에는 총 12개 동, 지하 4층∼지상 29층, 1천159세대 규모 공동주택이 건립됩니다.
경사 지형을 활용한 테라스하우스와 어린이공원 등이 계획돼 도심 속 친환경적인 쾌적함을 누릴 수 있는 단지로 탈바꿈합니다.
또 근린생활·주민공동시설 등을 구릉지 구간에 배치해 옹벽 발생을 최소화하고, 청구역 주변 다산로변 가로 활성화를 위해 근린생활시설을 집중 배치했습니다.
신당8구역은 이후 사업시행계획 인가를 거쳐 내년 착공해 2029년 준공될 전망입니다.
영등포구 여의도동 41번지 일대 대교아파트 재건축 정비사업은 공동주택 4개 동(43∼49층), 912세대를 건립하는 재건축 사업입니다.
단지 내부에는 트랙 모양의 산책로를 조성해 입주민뿐만 아니라 지역주민도 이용할 수 있도록 계획했습니다.
경로당, 키즈카페 등 커뮤니티시설도 단지 곳곳에 조성됩니다.
공공기여(기부채납) 시설로 공공체육시설, 재가노인복지시설 및 청소년문화복지시설도 함께 건립됩니다.
사업시행계획인가, 관리처분계획 인가 및 이주 철거를 거쳐 2029년 착공 예정입니다.
통합심의에서는 인근 아파트 정비사업과 연계된 교통체계 등을 종합 검토할 것을 보완 조건으로 제시했습니다.
당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",https://n.news.naver.com/article/374/0000427584
규제 풀어주니 여의도 초고층 재건축 '속속'…삼부도 설계사 선정 나서,2023.09.07,"용적률 550% 적용…최대 1658세대·최고 60층
설계사 선정 논란에…조합 ""시·구와 원활히 협의""
이날 오후 서울 영등포구 여의도 한양아파트의 모습. 2023.1.19/뉴스1 ⓒ News1 이승배 기자
(서울=뉴스1) 김도엽 최서윤 기자 = '여의도 금융 중심 지구단위계획' 발표 이후 서울 영등포구 여의도 일대 초고층 재건축 단지가 시공사·설계사 선정에 나서며 속도를 내고 있다.
7일 정비업계에 따르면 여의도삼부 재건축 추진위원회는 지난 5일 설계공모 용역을 내고 설계사 선정 절차에 나섰다.
공고에 따르면 삼부아파트는 재건축 후 기존 866세대에서 1658세대로 늘어난다. 층수도 기존 15층에서 60층으로 높아진다. 용적률 550%와 함께 기부채납으로 인한 임대아파트 등을 적용했을 때 기준이다. 다만 추진위는 현장설명회 때는 별도 가구수 규정을 두지는 않을 방침이다.
앞서 서울시는 여의도 내 아파트지구 지구단위계획을 발표하며 용적률 완화 등에 따라 60층이 넘는 초고층 아파트가 들어설 수 있도록 했다. 준공된 지 40년이 넘는 노후단지가 즐비해 재건축 연한은 넘긴 지 오래며, 지구단위계획에 따라 모두 초고층으로 탈바꿈할 전망이다.
한양아파트의 경우 지난달 시공사 선정 설명회를 열었는데, 무려 11개 건설사가 참여한 것으로 전해진다. 공작아파트도 최근 시공사 선정 절차를 시작했다. 설계사 선정을 마무리한 광장아파트뿐만 아니라 이미 지난 7월 신통기획 자문방식 사업장으로 선정된 대교아파트도 내년 상반기 중 시공사 선정에 나설 예정이다.
여의도의 경우 서울의 '노른자위 땅'으로 첫 수주전의 결과에 따라 추후 다른 단지 수주에도 영향을 줄 전망이라 대형 건설사간 '하이엔드 브랜드'를 앞세워 자존심 싸움이 벌어질 것으로 보인다. 여의도 1호 재건축으로 전망되는 한양아파트에 대형건설사가 잇따라 출사표를 던진 것이 대표적이다.
신속통합기획을 추진 중인 시범아파트, 한양아파트는 각각 최고 65층, 54층으로 재건축을 추진 중으로 정비계획 변경 인가를 앞두고 있다.
정비업계에서는 압구정3구역 설계사 선정 과정상 논란이 발생한 이후 조심스러운 모습이다. 이후 조합들은 설계사 공모 공고에 앞서 시와 관할 구청과 사전에 원활히 협의부터 한다는 분위기다.
압구정3구역 바로 옆인 압구정4구역의 경우도 일부 잡음이 발생했다.
4구역은 현재 설계사 선정 작업을 진행 중인데, 3구역에서 논란이 됐던 용적률 300% 기준을 초과해 제안한 설계업체는 단 한곳도 없었다. 다만 각 건축사무소에 대해 개별 홍보를 금지토록 하는 공문을 구청이 보내는 등 일부 잡음이 나오고 있다.",https://n.news.naver.com/article/421/0007034102
서울 영등포시장역 인근 39층 주상복합 들어선다,2023.02.08,"재정비촉진계획안 조건부 가결…공공주택 171세대 포함 818세대
영등포재정비촉진지구 영등포1-11구역 위치도ⓒ서울시 제공
[데일리안 = 박찬제 기자] 서울 영등포시장역 인근에 지상 39층 규모의 주상복합건물이 들어선다.
서울시는 7일 제1차 도시재정비위원회에서 이런 내용을 담은 '영등포재정비촉진지구 내 영등포1-11구역 재정비촉진계획안'을 조건부 가결했다고 8일 밝혔다.
지하철 5호선 영등포시장역에 인접한 영등포1-11구역(영등포구 영등포동5가 30 일대)은 여의도·영등포 도심에 속한 곳이다.
위원회는 전날 회의에서 신산업·일자리 중심지 육성을 지원하고 직주근접 지원과 도심공동화를 방지하고자 해당 구역의 주거 비율을 현재 연면적의 50%에서 90%까지 확대하기로 했다.
이에 따라 이 구역에는 연면적 16만306㎡, 지상 39층 규모의 주상복합 건물이 들어설 예정이다. 공동주택 공급 규모는 818세대(공공주택 171세대 포함)로 당초 계획했던 715세대보다 103세대 늘었다.",https://n.news.naver.com/article/119/0002681906
'여의도 대교' 신통기획 패스트트랙으로 최고 59층 짓는다,2023.07.10,"신통기획 자문방식으로 사업 기간 추가 단축
연내 조합설립·시공사 선정 절차 돌입 목표
서울 영등포구 여의도 대교아파트 단지. 사진 제공=대교아파트 재건축정비사업 조합설립추진위원회
[서울경제]
서울 영등포구 여의도 대교아파트가 서울시 신속통합기획 자문 방식(패스트트랙) 재건축으로 사업 기간을 대폭 단축한다.
여의도 대교아파트 재건축정비사업 조합설립추진위원회는 서울시·영등포구청에 신통 기획 자문 방식 재건축 추진을 위해 주민제안(안)을 제출했다고 10일 밝혔다. 신통기획은 서울시가 직접 기획해 계획 방향을 제시하는 것으로, 정비구역 지정까지 소요 시간을 평균 5년에서 2년으로 단축할 수 있다. 새로 도입된 자문 방식은 주민제안(안)이나 지구단위계획 등이 세워진 지역을 대상으로 서울시의 기획설계 용역 발주 없이 자문만 거치는 것으로, 용역 발주 기간(2개월)과 기획설계 기간(6~10개월)을 추가로 줄이는 효과가 있다.
추진위는 조합설립에도 속도를 낼 계획이다. 조합설립 동의율은 이달 기준 85%를 돌파했으며 연내 조합설립과 시공사 선정 절차에 돌입하겠다는 목표다. 대교아파트는 여의도 금융 중심 지구단위계획을 준용해 총 4개 동, 최고 59층(높이 약 200m), 1000가구 규모로 재건축을 추진한다. 한강 조망이 가능한 초고층 타워형 주동 배치로 각 세대에서의 파노라마 형태 한강 조망이 가능하도록 설계할 예정이다. 이를 통해 재건축에 따른 단지 가치를 극대화하겠다는 전략이다.
정희선 추진위 부위원장은 “서울시와 영등포구청의 적극적인 협조와 지원으로 서울시 제1호 신통기획 자문 방식 사업장에 선정될 수 있어 대단히 기쁘게 생각한다”며 “지속적인 협력으로 신통기획 본연의 목표인 신속하고 합리적인 재건축을 추진해 여의도 재건축단지 중 가장 이른 2030년 입주 완료를 목표로 속도감 있게 진행해 나가겠다”고 말했다.",https://n.news.naver.com/article/011/0004211868
압구정·여의도 '초고층·한강뷰 싸움'…재건축 '설계 전쟁' 시작됐다,2023.10.25,"여의도 삼부 설계공모에 '홍보관' 예고
압구정 3구역선 공모지침 위반 '갈등'
사업비도 100억원대에서 수백억원까지
서울 압구정, 여의도 등 재건축 '대어'로 꼽히는 지역에서 설계자 수주전이 시공자 선정 만큼이나 치열해지는 양상이다.
주민들의 마음을 얻고자 이전에 보기 힘들었던 '작품 전시회(홍보관)'를 여는가하면 메이저 업체들이 뛰어들어 수주전에 열을 올리는 분위기다. 초고층 재건축을 표방하며 경쟁이 치열해지자 용역비도 수백억원대로 뛰었다.
여의도 삼부아파트 /사진=김진수 기자
25일 정비업계에 따르면 서울 여의도 삼부아파트 주택재건축정비사업 조합설립추진위원회는 지난달부터 '정비사업 설계용역 입찰공고'를 내고 설계자 선정 절차를 밟고 있다.
영등포구 국제금융로7길 일대에 지하4층~최고60층 규모로 재건축될 예정이다. 예정 설계단가는 ㎡당 2만5250원 이하로 연면적(약 42만7136㎡)을 곱하면 107억8519만원 수준이다.
지난달 14일 현장설명회에 참석한 디에이그룹엔지니어링종합건축사사무소(DA)와 에이앤유디자인그룹건축사사무소(ANU)가 공모에 응했다. 나라장터에 따르면 DA는 ㎡당 2만3400원, ANU는 2만4200원의 입찰금액을 써냈다.
양사는 오는 27일까지 응모 작품을 접수할 예정이다. 응모작품이 4개 미만으로 추진위는 설계공모심사위원회를 생략하고 총회에서 양사 중 한 곳을 업체로 선정하게 된다. 추진위는 이르면 다음달 작품 전시회를 진행한 후 12월 16일 총회를 열어 조합원 투표를 실시할 계획이다.
건축사사무소 관계자는 ""삼부를 비롯한 여의도 재건축 설계의 핵심은 한강뷰를 어떻게 확보하느냐""라며 ""주민에게 조망 좋은 아파트를 선사하면서도 주변을 지나가는 사람들이 느끼는 도시경관을 해치지 않는 게 중요하다""고 강조했다.
조합 추진위 관계자는 ""설계자마다 콘셉트가 조금 다를 순 있지만 기본적으로 조합 집행부와의 호흡이 가장 중요하다""며 ""국가로부터 인허가를 받는 과정에서 엇박자가 난다면 사업 진행이 어려워지기 때문에 의견을 계속 나눠야 한다""고 말했다.
설계자 수주전이 주목받은 건 비교적 최근의 일이다. 시공자 수주전은 공사비가 1조원을 넘기도 하는데 설계의 경우 수십억원 규모에 그쳤기 때문이다. 재건축 대어였던 둔촌주공의 경우 조합과 삼우건축이 체결한 설계 용역비는 37억원이다.
최근들어선 초고층 설계가 늘어나면서 100억원대에서 수백억원대로 늘어나기도 했다. 여기에 수주를 위해 공모 자체에 들어가는 비용도 커졌다.
정비업계 관계자는 ""설계업체가 수주를 위해 홍보관까지 만든 적은 그동안 없었다""며 ""최근 들어 메이저 업체끼리 경합을 벌이면서 설계 공모에 드는 비용도 수억원에 이르렀다""고 말했다.
또 다른 관계자는 ""건설경기 불황으로 플랜트 공장, 상업용 빌딩 분야에서 들어오는 설계용역이 전무하다보니 설계업체 모두 정비사업에 쏠리는 모습""이라며 ""또 건물 수명이 늘어나 설계에 대한 관심이 커지면서 집행부가 깜깜이로 설계자를 선정하던 관행에서 벗어나 주민들의 적극적인 의사표현이 반영되고 있다""고 말했다.
압구정3구역 투시도 /사진=서울시
앞서 설계업체 간 경쟁이 수면위로 떠오른 곳은 압구정3구역이다. 이 단지는 설계업체 선정 과정에서 서울시와 갈등을 빚기도 했다. 압구정3구역 재건축 정비사업조합은 지난 7월 희림건축 컨소시엄을 설계업체로 정했으나 서울시가 제동을 걸었다.
희림건축이 용적률 300%가 아닌 360%를 제시해 설계공모지침을 위반했다는 게 경쟁자인 해안건축 컨소시엄과 서울시의 판단이다. 설계공모전이 과열되면서 공모지침에 맞지 않는 설계안를 내놨다는 것이다. 서울시는 경찰 고발과 시정명령을 불사하며 강경 대응했다. 결국 재입찰에 나선 조합은 다음달 6일까지 응모 작품을 접수할 예정이다. 압구정3구역의 설계 사업은 약 358억원 규모다.
업계 관계자는 ""압구정이나 여의도가 가진 상징성 때문에 설계 공모에 대한 주목도가 더욱 커졌다""며 ""경쟁이 과열되면서 입찰 참여에 드는 비용도 높아져 중소 업체들은 엄두를 못 내는 상황이 됐다""고도 지적했다.",https://n.news.naver.com/article/648/0000020444
"서울시, 후암동·신길동 일대 신통기획 후보지 선정",2024.06.28,"주거환경 개선 시급하고 주민동의 높아
총 65곳 신통기획으로 재개발 추진
후암동 30-2일대 위치도[사진=서울시 제공]
[헤럴드경제=박자연 기자]서울시 용산구 후암동 30-2(동후암 1구역), 영등포구 신길동 314-14(신길 16-2구역) 일대가 신속통합기획으로 재개발된다.
서울시는 27일 ‘2024년 제3차 재개발 후보지 선정위원회’를 열고 후보지 2곳을 선정했다. 신통기획 재개발 후보지는 이번에 선정된 구역을 포함해 총 65곳이 됐다.
이번 후보지 선정 시 주거환경개선이 시급한 지역중에서 주민추진의사를 적극 반영해 찬성동의율이 높고, 반대동의율이 낮은 지역을 대상으로 우선 선정했다.
선정된 신속통합기획 재개발 대상지는 노후도 및 반지하주택 비율 등 기반시설이 열악하여 주거환경개선이 필요한 지역이다. 영등포구 신길동 314-14 일대는 노후도와 호수밀도가 높고 주거환경개선이 시급한 구역으로 주민동의율이 높다. 용산구 후암동 30-2 일대 또한 표고차가 약 50m에 달하는 구릉지에 위치한 밀집주택지역으로, 주거환경개선이 시급하며 주민동의율이 매우 높은 지역이다.
특히 용산구 후암동 일대는 서울시 고도지구 높이규제 완화계획과 함께 산자락 저층주택가의 주거단지계획 등 주거환경개선이 필요한 지역으로 검토돼 선정됐다.
후보지로 선정된 구역은 올 하반기부터 정비계획 수립용역을 착수하고 주민의견을 수렴하여 정비계획을 수립할 예정이다.
아울러 재개발 후보지 투기방지대책에 따라 금회 선정된 신통기획 재개발구역은 ‘권리산정기준일’이 ‘자치구청장 후보지 추천일’로 적용되며, 향후 토지거래허가구역 및 건축허가제한구역도 지정 예정이다.
한병용 서울시 주택정책실장은 “선정된 후보지는 기반시설이 열악하고 주거환경개선이 필요한 지역으로, 재개발사업을 통하여 양질의 주택을 공급하여 주거환경이 개선될 수 있도록 행정적 지원을 하겠다”고 말했다.",https://n.news.naver.com/article/016/0002328170
"[우리동네 지역전문가] 도시개발사업 진행 중인 ‘영등포구 신길동’, 이목 집중",2019.11.04,"현재 ‘영등포구 신길동’은 다양한 도시 정비 사업으로 과거 낙후된 이미지에서 벗어나 대규모 브랜드 타운으로 탈바꿈 중이다. 대규모 신축 단지가 들어서면서 교통과 학군 등 생활 인프라가 덩달아 개선돼 수요자의 눈길을 사로잡고 있다.
△ 신길3재정비촉진구역 조감도 [이미지 = 서울시 클린업 시스템]
실제 신길동 일대에는 신길역세권공공주택지구부터 신길뉴타운까지 대규모 정비 사업이 한창이다. 신길뉴타운 경우, 10개 구역, 9,885가구 규모로 한강 이남 지역에서 진행되는 정비 사업 중 가장 큰 규모로 조성된다. 신길동 지역전문가 신창공인중개사사무소 박상완 대표에 따르면 신림선(2022년 예정)과 신안산선(2023년 예정) 신설 사업 등 교통 호재도 잇따라 예정돼 신길동의 미래 가치에 관심을 갖고 문의 주시는 분들이 증가했다고 전했다.
◆ 업무 지구와 인접해 직장인 눈길 사로잡는 ‘영등포구 신길동’… 교통망도 풍부해
신길동은 풍부한 교통망과 주요 업무 지구와 인접한 입지로 직장인에게 선호되는 지역이다. 실제 여의도까지 도보 10분대로 이동 가능하며, 특히 다양한 버스 노선이 자리해 대중교통 이용 시 5분 이내로 접근 가능하다. 동시에, 1∙5호선 신길역과 1호선 대방역이 자리해 여의도를 비롯해 영등포, 용산, 상암 등으로 출∙퇴근이 용이하다.
다양한 생활 편의시설을 가까이 누릴 수 있다는 점도 신길동이 직장인들에게 꾸준한 인기를 보이는 이유다. 신길동 지역전문가 신창공인중개사사무소 관계자에 따르면 타임스퀘어, 롯데백화점 영등포점, 신세계백화점, IFC몰 등 대형 복합 쇼핑몰이 멀지 않은 곳에 있으며, 모두 도보권으로 이용 가능하다고 전했다. 이에 쇼핑과 문화, 여가 생활을 편리하게 즐길 수 있어 생활 편의성이 높은 지역이라고 덧붙였다.
◆ ‘영등포구 신길동’, 각종 도시 재정비 사업으로 지역 분위기 개선 전망돼
△ 영등포구 신길동 39-3일대 신길역세권 위치도 [출처 = 서울시 공식 홈페이지]
과거 신길동은 공군회관과 해군회관, 서울지방병무청 등 군사시설이 밀집된 지역이었다. 이에 개발이 제한적이었으며, 그 결과 저층 노후 건축물이 즐비했다. 점차 지역 분위기는 침체되어 갔고, 열악한 주거 환경이 지속되며 개발 필요성이 제기됐다. 특히 신길역 인근 건축물의 경우, 노후•불량건축물이 75% 이상으로 확인돼 개발이 더욱 시급했다.
이에 지난 2018년 영등포구 신길역 일대 ‘신길역세권 공공임대주택 건립 도시환경정비계획 수립 및 정비구역지정(안)’이 조건부 가결된 후 사업 진행이 한창이다. 동시에 신길뉴타운 사업이 순조롭게 진행됨에 따라 지역 분위기가 개선되고 있으며, 더욱 나아질 것으로 전망돼 기대감이 높다.
신길동 지역전문가 신창공인중개사사무소 관계자는 “현재 진행 중인 사업 이외에도 신길역세권주택지구 주변 다수의 공동주택단지에 대한 개발 필요성도 꾸준히 제기되고 있다.”라고 전했다. 이어 “실제 사업 계획이 구체화돼 개발 계획이 실행에 옮겨질 경우, 이는 신길동의 또 다른 호재로 다가올 것.”이라고 기대감을 드러냈다.
[매경 부동산센터 유제영 인턴 기자]
▶기사공유하고 코인적립하세요 'M코인'
▶네이버 메인에서 '매일경제'를 받아보세요
▶뉴스레터 '매콤달콤' 구독
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",https://n.news.naver.com/article/009/0004457035
"영등포구, 문래동 공공공지 '주민친화공간' 조성",2023.06.13,"영등포구가 제2세종문회회관 건립 부지였던 문래동 공공공지에 주민친화공간을 조성한다고 13일 밝혔다.
'구립 복합 문화시설' 착공 전 행정절차 등에 소요되는 2~3년 동안 주민들이 실질적으로 이용할 수 있는 공간으로 활용한다는 방침이다.
당초 문래동 공공공지는 서울시와 영등포구가 구유지의 반영구적인 무상사용을 전제로 제2세종문화회관을 짓기로 한 땅이다.
그러나 현행법상 구유지의 반영구적 무상사용이 불가하자 서울시는 3월 9일 '그레이트 한강 프로젝트'를 발표, 예정지를 시유지인 여의도공원으로 변경했다. 영등포구는 서울시의 제2세종문화회관 위치 변경 결정에 대해 ""비로소 문래동 공공공지에 주민들의 의견을 모아 구립 복합 문화시설을 건립할 수 있게 됐다""라며 서울시의 '그레이트 한강 프로젝트'를 적극 환영한 바 있다.
구는 해당 부지의 활용이 가능해짐에 따라 우선 낡고 오래된 창고 등을 철거하고 주민친화공간을 조성할 계획이다. 이를 위해 서울시에 예산 지원을 요청, 총 22억 5천만 원의 특별조정교부금을 확보했다. 교부금은 주민친화공간 조성 20억, '영등포 예술의 전당(가칭)'건립 타당성조사 수립 용역 2억 5천만 원이다.
먼저 원활한 사업 추진을 위해 문래동 공공공지 주변 가림막을 철거했다. 기존 제2세종문화회관 가림막은 착공과 상관없이 2019년 서울시 발표 후 2~4개월 뒤 설치돼 치적 홍보용 홍보판이라는 지적이 있었다.
공공공지 텃밭 구간은 수요가 많아 당분간 그대로 사용한다. 대신 자재 창고 등으로 활용하던 공간의 시설들은 다른 곳으로 옮긴 뒤, 꽃밭 정원, 사계절 잔디마당, 목화 단지, 어린이 모래 놀이터와 야외 운동시설 등 주민 편의시설로 채운다. 둘레에는 맨발 황톳길을 조성하고, 휴게시설을 설치해 주민들의 힐링공간으로 활용할 계획이다.
특히 주민친화공간은 2~3년 뒤 구립 복합문화시설 착공 시에도 배후지로 쓰거나 이전 설치하여 최대한 재활용할 계획이다.
최호권 영등포구청장은 ""그동안 꽉 막힌 가림막을 철거해 달라는 주민 요청에 부응하고, 구립 복합 문화시설 착공 전까지 주민들이 실질적으로 이용할 수 있도록 주민친화공간을 조성해 구민의 땅을 오롯이 구민들에게 돌려드리도록 최선을 다하겠다""라고 전했다.",https://n.news.naver.com/article/215/0001107137
