제목,날짜,본문,URL
명동 네이처리퍼블릭 땅값 평당 6억… 롤스로이스 한대 값,2024.12.18,"3.3㎡당 5억9565만원, 22년째 땅값 1위
단댁주택 1위는 신세계 이명희 회장 자택
공시가 300억 육박…10년째 1위 지켜
2위는 이해욱 DL 회장 삼성동 집
3위는 삼성 영빈관 '승지원'
서울 중구 충무로 1가 네이처리퍼블릭 부지(169.3㎡)의 내년 공시지가가 ㎡당 1억850만원으로 22년째 전국 땅값 1위를 지켰다. 사진은 18일 서울 명동 네이처리퍼블릭 부지 모습. <연합뉴스>
서울 명동 네이처리퍼블릭 부지가 22년 연속 땅값 1위 자리를 유지했다. 단독주택은 이명희 신세계그룹 총괄회장의 서울 용산구 한남동 자택이 10년 연속 1위 자리를 지켰다.
18일 국토교통부가 발표한 2025년 전국 표준주택·표준지 공시지가에 따르면, 서울 중구 충무로 1가 네이처리퍼블릭 부지(169.3㎡)의 내년 공시지가는 1㎡당 1억8050만 원으로 전국에서 가장 비싼 땅으로 나타났다. 평(약 3.3㎡)으로 환산하면 약 5억9565만 원 수준이다. 3.3㎡ 가격이 최고급 승용차인 롤스로이스 한 대 값이다. 이 땅을 팔면 롤스로이스 51대를 살 수 있는 셈이다.
가장 비싼 토지 1~8위는 모두 네이처리퍼블릭 부지 인근 명동 일대 토지가 차지했다. 지난해와 순위 변동은 없었다.
2위는 중구 명동2가 우리은행 명동지점(392.4㎡)이 차지했다. 내년 공시지가는 ㎡당 1억7940만 원으로 책정됐다. 3위인 충무로2가의 옛 유니클로 부지(300.1㎡)는 ㎡당 1억6530만원이다. 지난해에 이어 올해 대비 땅값 변동은 없는 것으로 나타났다.
9위와 10위는 모두 강남 일대 토지로 지난해와 달리 순위가 역전됐다. 지난해 10위였던 강남구 역삼동 업무용지(747.7㎡)는 ㎡당 1억2750만 원으로 올해 9위를 기록했다. 반면 지난해 9위를 기록한 서초구 서초동 업무 용지(662.2㎡)의 내년 공시지가는 ㎡당 1억2580만 원 수준으로 10위로 나타났다.
신세계 이명희 총괄회장의 서울 한남동 자택. 이 집의 내년 공시가격은 297억2000만원으로 10년 연속 표준 단독주택 공시가격 1위를 지켰다. 연합뉴스
단독주택 가운데에서는 이명희 회장 자택의 내년 공시가격은 297억2000만원으로 올해(285억7000만원)보다 4.0%(11억5000만원) 상승했다. 이 단독주택은 연면적 2862㎡ 규모로, 2016년 표준 단독주택으로 편입된 이후 계속해서 공시가격 1위 자리에 올라 있다.
표준 단독주택 공시가격 2위는 이해욱 DL그룹 회장의 강남구 삼성동 주택(연면적 2617㎡)으로 내년 공시가격이 192억1000만원이다. 올해 대비 3.0% 상승했다.
3위는 삼성그룹 호암재단이 용산구 이태원동에 보유한 삼성그룹의 영빈관인 승지원(연면적 609.6㎡)이다. 내년 공시가격은 179억원으로 올해보다 4.3% 올랐다.
4위에 오른 서경배 아모레퍼시픽 회장이 보유한 용산구 이태원동 주택의 내년 공시가격은 174억1000만원으로 3.9% 상승했다. 공시가격 상위 단독주택 10곳의 순위는 1년 새 변동이 없었다.
공시가격 상위 단독주택 10곳의 순위는 1년 새 변동이 없었다.
국토부에 따르면, 내년 표준주택 공시가격은 전국 평균 1.96% 오른 것으로 나타났다. 작년 0.57%로 역대 최저 상승률보다는 변동 폭이 커졌지만, 평균보다는 낮은 상승 폭이다. 표준주택 공시가격이 가장 크게 오른 곳은 서울(2.86%)이다. 이어 경기(2.44%), 인천(1.7%) 순이다.
서울 안에서는 용산구 표준 단독주택의 공시가격 상승률이 3.7%로 가장 높았다. 이어 강남구(3.53%), 성동구(3.41%), 동작구(3.28%), 마포구(3.11%) 순이었다.
공시가격이 비교적 크게 오르지 않은 데는 정부가 내년 공시가격 현실화율도 문재인 정부가 로드맵을 수립하기 전인 2020년 수준으로 3년 연속 고정한 영향이 크다. 윤석열 정부는 공시가격 현실화율을 2030년까지 90%로 높이려는 로드맵을 폐지하고 3년째 69%로 묶었다. 이렇게 되면 시세 변동 폭만 공시가격에 반영된다. 정부는 로드맵 폐지와 동시에 시세 반영 비중을 더 높이는 새로운 산정 방식을 도입하려 했지만, '탄핵정국'이 맞물리며 개정법 통과에 먹구름이 끼었다.",https://n.news.naver.com/article/029/0002923815
신당9구역 시공사 선정 또 유찰…10구역은 연내 창립총회,2023.10.23,"신당9구역 3.3㎡당 840만원에도 시공사 참여 없어
신당10구역은 12월9일 조합설립 창립총회 예정
신당10구역 위치도(서울시 제공)
(서울=뉴스1) 김도엽 기자 = 서울 중구 신당9구역 주택재개발정비사업의 시공사 선정이 또다시 무산됐다.
23일 정비업계에 따르면 신당9구역 조합이 낸 시공사 선정 재입찰 공고가, 입찰마감일까지 접수한 시공사가 없어 유찰됐다.
앞서 지난 1월 조합은 3.3㎡당 742만원의 공사비를 책정해 공고를 냈으나 유찰됐고, 재선정때는 3.3㎡ 840만원으로 공사비를 올렸으나 결국 시공사 선정에는 실패했다.
일각에선 사업지가 높은 언덕으로 이뤄져 있어 지반 정리를 위한 공사 난이도가 높고, 세대수가 많아 사업성을 고려하면 참여가 쉽지 않을 것이라는 분석이 나온다.
신당10구역의 경우 오는 12월9일(예정) 조합설립을 위한 창립총회를 개최할 계획인 것으로 전해졌다. 조합설립인가를 위한 주민 동의율 75%도 최근 확보한 것으로 알려졌다. 창립총회 후 인가를 위한 기간을 고려하면 내년 초 조합설립이 이뤄질 것으로 보인다.
서울 중구 신당동 236-100번지 일대 신당10구역은 지난 2021년 신속통합기획 대상지로 선정된 후 올해 1년 6개월 만에 정비계획을 확정했다.
추후 노후 주거지는 역사·문화·산업이 공존하는 녹지생태도심 주거단지로 탈바꿈한다. 지하철 4·5호선 동대문역사문화공원, 2·6호선 신당역, 5·6호선 청구역에 인접한 '트리플 역세권'으로, 입지적 장점을 가진 도심형 주거지로 거듭날 전망이다.
신당10구역은 추진위원회 절차를 뛰어넘을 수 있는 '조합 직접설립제도' 방식을 적용 중이기도 하다.
통상 재건축·재개발은 정비구역지정→추진위원회 승인→조합설립인가→사업시행인가 등 과정을 거치는데 조합 직접설립제도를 이용하면 추진위원회 승인 절차를 생략해, 정비사업 기간을 단축할 수 있다. 75% 이상 동의율을 확보하면 조합설립을 위한 동의서 징구, 조합총회 개최 등 역할을 하는 전문용역업체 선정 비용까지 시와 구청으로부터 지원받을 수도 있다.
추후 신당10구역은 6만4000㎡ 면적에 걸쳐 용적률 297%에 35층 1400가구 규모 주거단지가 들어서게 된다. 35층 건물과 저층부 사이에 포켓 공원과 작은도서관, 지역공동체 지원센터 등을 배치해 단계적 스카이라인을 형성하고, 저층부는 상업·산업 지원기능, 고층부는 청년층과 도시 직장인을 위한 소형주택을 융복합적으로 조성한다는 계획이다.
한편 5·6호선 청구역, 3호선 약수역 등 역세권인 신당8구역의 경우 관리처분계획(안) 수립을 위한 총희 의결을 최근 마쳤다. 계획대로 연내 관리처분계획 인가를 받으면 총 1213세대의 포스코이앤씨 하이엔드 브랜드인 오티에르(HAUTERRE) 아파트로 탈바꿈한다.",https://n.news.naver.com/article/421/0007125644
"명동 도시정비형 재개발구역, 역사·문화 콘텐츠 체험공간된다",2020.09.03,"제12차 도시계획위원회 개최결과
[이데일리 정두리 기자] 향린교회·보승빌딩 등이 위치한 서울 중구 명동 도시정비형 재개발구역 제2지구가 역사적·장소적 의미를 재해석해 문화 콘텐츠를 결합한 체험공간으로 재개발된다.
서울시는 지난 2일 제12차 도시계획위원회를 개최하고 이같은 내용의 중구 명동 도시정비형 재개발구역 제2지구 정비계획 결정(변경)(안)을 수정가결했다고 3일 밝혔다.
중구 을지로2가 163-3번지 일대 명동 도시정비형 재개발구역 제2지구는 지난 1983년 9월 재개발구역으로 지정됐으며, 현재까지 남아있는 유일한 미시행지구다. 주변여건 변화와 상위계획 변경에 대응해 도시기능의 회복 및 도시환경을 개선하기 위해 정비계획 결정(변경)이 필요한 상황이다.
이번 도시계획위원회를 통해 대상지내 역사문화자원인 향린교회와 보승빌딩에 대한 역사자원의 가치와 보존계획을 담은 정비계획 결정(변경)(안)으로 수정가결 됐다.
역사자원의 가치와 보존계획은 근현대 건축물의 물리적, 형태적 요소의 일부 보존방식과 더불어 역사적, 장소적 의미를 재해석해 역사와 문화 콘텐츠를 결합한 시민의 참여와 체험으로 완성되는 ‘문화커뮤니티 공간, 역사기록공간, 휴게공간’을 공간을 마련한다. 또한 을지로(을지로지하상가)-기억재창조공간(향린교회, 보승빌딩)-문화공원, 명동성당을 잇는 역사문화보행로를 조성해 시민에게 자유로운 참여와 체험의 공간을 제공할 예정이다.
이번 도시계획위원회에서 수정가결됨에 따라 향후 명동구역내의 도로 및 공원 등 기반시설의 정비가 완료되고 명동지역의 새로운 민주화 역사를 기억하고 공유하는 커뮤니티공간이 창출 될 것으로 기대된다.
명동 도시정비형 재개발구역 제2지구 조감예시도. (사진=서울시)
정두리 (duri22@edaily.co.kr)
▶ #24시간 빠른 #미리보는 뉴스 #eNews+
▶ 네이버에서 '이데일리 뉴스'를 만나보세요
▶ 빡침해소, 청춘뉘우스 '스냅타임'
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",https://n.news.naver.com/article/018/0004728874
"이도, 을지로에 강북 최대 오피스빌딩 짓는다",2025.01.06,"폐기물 처리·플랫폼 기업인 이도는 서울 중구 입정동 237번지 일대 수표구역 재개발사업을 본격적으로 시작한다고 6일 밝혔다.
수표구역은 지하철 2·3호선 을지로3가역과 청계천을 사이에 둔 영세 공구상 밀집지역으로, 건물 노후화에 따라 2010년 재개발 정비구역으로 지정됐으며 지난해 10월 사업 시행을 위한 서울시 정비사업 통합 심의가 통과됐다.
이도는 해당 부지에 연면적 약 17만2000㎡(5만2000평), 지하 7층∼지상 33층 규모 오피스용 빌딩 '원엑스(ONE X)'를 짓는다. 원엑스는 단일 오피스 빌딩으로는 강북지역 최대 규모이자 최고층이다.
이도는 원엑스를 기존 오피스를 뛰어넘어 입주자들의 경험을 향상시키는 공간으로 조성해 고급형 오피스의 새로운 기준을 제시하겠다는 계획이다. 이를 위해 미국 뉴욕 세계무역센터(WTC) 재건사업, 아랍에미리트(UAE) 두바이의 바카라 레지던스, 베를린의 유대인 박물관 등의 설계를 맡은 세계적인 건축가 다니엘 리베스킨트에게 설계를 맡겼다.
라베스킨트 건축가는 한국의 전통 패턴과 풍경에서 영감을 받아 도시 건축과 자연을 조화롭게 통합하는 '도심속 숲(Urban Forest)'을 콘셉트로 'ONE X'를 설계했다. 청계천과 직접 연결된 녹지공간에는 정원이 조성돼 서울 도심업무지구(CBD) 내 보기 드문 자연 속 휴식을 즐길 수 있을 전망이다. 프리미엄 업무 공간과 함께 몰입형 예술 공간인 '라이트룸(Lightroom)', 맞춤형 편의시설 등 특화된 공간과 프라이빗 멤버십 클럽 등도 조성된다.
최정훈 이도 대표이사는 ""원엑스는 단순한 업무 공간을 넘어 이용자의 편의성을 극대화해 삶의 질을 높이는 공간이 될 것""이라며 ""국제적인 기준을 충족하는 프라임 오피스로서 업무 공간의 미래를 재정의할 계획""이라고 밝혔다.
서울 중구 수표구역에 들어서는 '원엑스' 조감도 [이도 제공]",https://n.news.naver.com/article/029/0002927269
서울 남산 힐튼호텔 '이렇게' 재개발 된다,2024.07.03,"업무·숙박 각 1개동에 판매시설·공공청사 등 건립
장위10구역은 최고 35층 공동주택 2004가구 계획
지난 2일 열린 서울시 제3차 정비사업 통합심의위원회에서 '양동제4-2·7지구 도시정비형 재개발사업'(신규)이 통과됐다. 사진은 양동구역 제4-27지구 사업 투시도. /사진=서울시
서울 중구 남산 힐튼호텔에 업무·숙박 등이 어우러진 새 건물이 들어선다. 성북구 장위10구역와 서대문구 연희1구역 주택재개발도 세부 계획이 확정돼 사업에 속도가 붙을 전망이다.
3일 서울시에 따르면 전날 열린 제3차 정비사업 통합심의위원회에서 '양동제4-2·7지구 도시정비형 재개발사업'(신규), '장위10구역 주택재개발사업'(변경), '연희1구역 주택재개발사업'(변경) 등 3건의 사업시행을 위한 각종 심의안을 통합해 각각 통과시켰다.
'양동제4-2·7지구 도시정비형 재개발사업'(중구 남대문로 5가 395 일대)은 서울역과 남산 사이의 업무시설 지역에 위치한 힐튼호텔 부지에 건립하는 사업이다.
주변현황을 고려해 건축·경관·교통·환경 계획 등을 수립, 통합심의 했으며 업무시설 1개동, 숙박시설 1개동 및 판매시설과 공공청사 등이 들어선다.
동쪽에 위치한 남산 한양도성을 고려해 성곽으로부터 일정거리 밖으로 고층부를 위치하게 하고 서울역 북쪽에서 남대문교회~남산까지 이어지는 통경축을 확보할 수 있도록 계획했다.
서울시는 대규모 녹지·휴게공간인 개방형녹지도 확보해 남산으로부터 이어지는 도심 녹지축을 구현토록 했다. 녹지 공간의 확장을 통해 도심권 이용시민의 편익을 크게 향상시킬 것으로 기대된다.
힐튼호텔 로비를 보전해 개방형녹지와 저층부 판매시설을 연결함으로써 시민 및 서울방문객에게 남산 조망과 더불어 다양한 경험을 제공할 예정이다.
서울시가 지난 2일 열린 제3차 정비사업 통합심의위원회에서 '장위10구역 주택재개발사업'(변경)을 통과시켰다. 사진은 장위10구역 조감도. /사진=서울시
'장위10구역'과 '연희1구역'은 주택정비형 재개발사업 중 통합심의위원회를 거친 첫 사례다.
'장위10구역 주택정비형 재개발사업'(성북구 장위동 68-37 일대)은 지하 5층~지상 35층 규모의 공동주택 건립사업이며 '건축·경관·교통·공원·교육 분야'를 통합해 심의됐다. 공동주택 2004가구(공공주택 341가구 포함)와 부대·복리시설이 건립되는 계획이다.
신설될 문화공원 내 도서관을 건립해 단지 입주민뿐만 아니라 인근주민의 문화 및 휴식 공간으로 활용된다. 이번 사업은 내년 착공 뒤 오는 2029년 준공 예정이다.
'연희 1구역 주택재개발 정비사업'(서대문구 연희동 533 일대)은 인근의 궁동근린공원과 홍제천 등 녹지와 수변공간이 어우러진 지역이다. 연희동 일대에 새로운 변화와 활력을 가져올 주거중심지로 재탄생될 전망이다.
지하 4층~지상 20층 13개동 규모의 공동주택 961가구(공공주택 140가구 포함)와 어린이집, 돌봄센터, 경로당, 작은도서관, 주민운동시설 등 부대·복리시설 등 주거환경개선계획과 더불어 주변 교통체계 개선과 어린이공원 및 공용주차장이 계획돼 공공성도 크게 향상된다.
한병용 서울시 주택실장은 ""최근 공사비 상승 등에 따른 사업성 저하로 어려움을 겪고 있는 정비사업장이 많다""고 짚었다.
이어 ""신속한 사업추진이 되도록 통합심의를 포함해서 다각적인 행정지원을 하고 있다""며 ""노후 재개발구역의 주거환경개선과 부족한 공공시설 확충에 모든 역량을 집중해 적기 주택공급 통한 서울시민의 주거안정에 최선을 다할 것""이라고 다짐했다.",https://n.news.naver.com/article/417/0001012066
"대우건설, 을지로 본사에 '안전 상황센터' 개소…안전보건 담당 상시 모니터링",2024.07.23,"필요시 현장 업무 직접 관여
대우건설 을지로 본사에 마련된 안전상황센터. 사진=대우건설 제공
대우건설은 지난 22일 서울 을지로 본사 안전 품질본부에 안전 상황센터를 오픈했다고 23일 밝혔다.
안전 상황센터는 대우건설 전 현장에 설치된 폐쇄회로(CC)TV를 본사에서 대형 스크린을 통해 실시간 모니터링 할 수 있는 곳으로, 본사 차원에서 안전사고 예방에 만전을 기하고, 위기 상황에서의 대응능력을 강화하기 위해 마련됐다.
안전 상황센터에는 안전보건 담당 고정 인력 2명이 상주해 현장 상황을 모니터링하며, 현장에서 놓친 위험을 파악해 안전사고 예방을 위한 최후의 보루로 활동한다.
안전 상황센터는 개인 PC로도 접속이 가능한데, 개인계정을 통해 대우건설 경영진과 안전 담당 임직원, 각 사업본부 현장 PM(Project Manger) 등 100여명의 본사 임직원들이 상시 열람할 수 있는 시스템을 갖췄다.
대우건설은 중장기적으로 AI 영상 분석 기술을 도입해 경계선 침범, 화재, 안전모, 안전벨트 미착용 등을 사전에 감지해 알림을 줄 수 있는 기술을 도입할 예정이다. 더 나아가 사업본부와 기술연구원의 협업으로 자체 안전 관제 플랫폼을 개발하겠다는 계획을 갖고 있다.
대우건설 김영일 CSO는 ""안전 최우선 문화를 정착시키기 위해 전사 차원에서 SMARTY(스마티), 안전 상황센터 등 안전 혁신 시스템을 구축하기 위해 노력하고 있다""며 ""대우건설은 앞으로도 안전한 근무 환경을 조성하기 위해 새로운 아이디어를 발굴하고 혁신해 나가겠다""라고 말했다.",https://n.news.naver.com/article/022/0003953279
서울도심 높이제한 없어진다..녹지생태도심으로 탈바꿈,2022.04.21,"[파이낸셜뉴스] 서울시가 고밀·복합 개발과 녹지공간 확보를 동시에 추진해 서울 도심을 녹지생태도심으로 탈바꿈 시킨다. 이를 위해 현재 90m로 제한된 도심 건축물 높이를 110m로 재설정하고, 공공기여 등에 따라 아예 높이 제한이 없애는 방안도 추진한다.오세훈 서울시장은 21일 서울 청계천로 세운홀에서 서울도심을 대전환하는 '녹지생태도심 재창조 전략'을 발표했다.
이날 발표된 전략은 건축물 높이(90m 이하)와 용적률(600% 이하) 등 기존 도심 내 건축규제를 과감하게 완화하고, 그 대가로 얻는 공공기여를 공원과 녹지로 조성해 도심 전체를 녹지로 연결하는 것을 골자로 한다. 이를 통해 서울시는 3.7%에 불과한 서울도심 녹지율을 15% 이상으로 4배 이상 끌어올린다는 목표로 제시했다.
오세훈 시장은 ""오랜 기간 정체되어 온 서울도심은 기존 정책의 한계를 극복하는 새로운 방향과 전략이 필요한 상황""이라며 ""서울 어느 곳에서도 시도된 적 없는 '녹지생태도심'이라는 새로운 전략을 통해 보존과 규제의 그늘에 가려져 있던 원도심을 휴식과 여유, 활력이 넘치는 미래도심으로 재창조해 시민 여러분께 돌려드리겠다""고 강조했다.
시는 구체적인 실행 전략으로 서울도심을 지역별 특성에 따라 △신규 정비구역 △기시행 정비구역 △특성 관리구역 등 3개 구역으로 구분하고, 각 구역에 적합한 녹지공간 확보 방안을 마련했다. 신규 정비구역은 종묘~퇴계로, 동대문·DDP 일대 등 아직 재개발이 이뤄지지 않아 낙후가 가속화되고 있는 곳들로, 고밀·복합 개발로 녹지 네트워크를 구축하기로 했다. 광화문~시청 일대 같이 이미 재개발이 끝난 기시행 정비구역에선 공개공지 재구조화나 벽면녹화, 입체녹화 등을 통해 녹지공간을 확보한다. 한옥밀집지역이나 인사동·명동과 같이 특성에 맞는 관리가 필요한 특성관리구역은 장소에 따라 녹지보행가로나 거점형 녹지쉼터 등을 조성키로 했다.
특히 시는 고밀·복합개발과 대규모 녹지공간 확보가 가능한 신규 정비구역에 대해서는 건축규제 완화와 녹지공간 확보 전략을 각각 마련해 민간 재개발을 집중 추진한다는 방침이다. 현재 최고 90m 높이 제한을 110m으로 풀고, 기부채납과 연동해 높이 기준을 추가 완화해준다는 계획이다. 또 공공기여 및 시민개방 공간 제공에 따라 현재 600% 이하로 설정된 용적률도 획기적으로 풀어줄 수 있는 방안을 적극 검토한다.
우선 서울시는 '종묘~퇴계로 일대' 44만㎡를 선도사업으로 재정비한다. 사업은 구역이 잘게 쪼개져 지난 10년 간 재개발이 제대로 진행되지 못한 채 방치됐던 구역들을 적정 규모 단위로 묶어서 개발하는 '통합형 정비방식'으로 추진된다. 총 171개 구역 중 일정기간 개발이 진행되지 않아 일몰시점이 지난 147개 구역을 20개 내외 정비구역으로 재조정하고, 이들 구역도 추가적으로 통합해 구역 규모를 키울 수 있도록 구역 간 통합도 유연하게 허용하기로 했다.
또 구역 내에 빈틈 없는 녹지 네트워크가 만들어질 수 있도록 블록별 공원을 조성하고, 건물별로 각각 조성됐던 오픈 공간을 공원과 연결될 수 있는 위치에 배치해 시민 편의를 높인다. 지하공간은 통합 개발해 지상의 차량 진출입로를 최소화하고, 도로는 필수구간만 남기고 선형녹지로 조성하는 방안도 추진된다. 아울러 건물 저층부에 공유공간을 만들기 위해 건폐율을 축소하는 경우에는 추가적으로 높이를 완화하는 방법도 적극 추진한다.
이 같은 내용이 반영된 종묘~퇴계로 일대 선도사업이 완성되면 연남동 일대 '연트럴파크'(3만4200㎡)의 4배가 넘는 약 14만㎡의 공원·녹지가 조성돼 북악산에서 종묘와 남산을 거쳐 한강으로 이어지는 서울의 대표 녹지축이 완성될 것으로 기대된다.
서울시는 올 하반기까지 녹지생태도심 재창조 전략에 대한 공론화 및 의견 수렴과정을 거쳐 상위계획인 서울도심 기본계획도시 및 주거환경 정비 기본계획을 재정비를 완료할 예정이다. 이를 바탕으로 내년 하반기부터 구역별 정비사업이 본격 추진될 수 있도록 한다는 계획이다.",https://n.news.naver.com/article/014/0004823847
"서울시, 청년에게 월 20만원 '청년월세' 지급한다",2021.02.24,"5천명에게 최장 10개월 지원…내달 3일부터 12일까지 신청
[아이뉴스24 이영웅 기자] 서울시가 청년 5천명에게 월 20만원씩 최장 10개월 간(생애1회) '청년월세'를 지원한다. 거주요건과 선정방법 등 선정기준을 완화해 지원 대상을 넓히기로 했다.
서울시는 다음달 3일부터 12일까지 서울주거포털을 통해 온라인 신청을 받고, 자격요건 등을 검토해 5천명을 선정한 후 4월 발표할 예정이라고 24일 밝혔다. 월세지원은 5월부터 진행되며 지원금은 격월로 지급된다.
임차보증금 기준을 기존 1억원 이하에서 5천만원 이하로 하향 조정했다. 주거환경이 가장 열악한 1구간 선정 인원을 전년 대비 1.5배 확대했다. 정부·서울시 전세자금대출이자 지원, 서울형주택바우처 같은 공공 주거지원사업의 수혜를 받고 있는 경우에도 신청할 수 있도록 했다.
혼자 거주하는 청년 1인 가구뿐만 아니라 형제·자매나 동거인이 있는 경우도 신청할 수 있다. 두 명이 한집에 거주하는 청년 중에서도 지원이 필요한 청년들이 있다는 청년단체, 전문가들의 의견을 반영한 것이다.
서울시는 다음달 3일 오전 10시부터 12일 오후 6시까지 서울주거포털을 통해 온라인 신청을 받는다. 접수 마감 후 소득재산 및 자격요건 적절여부 의뢰·조사를 거쳐 4월 중 5천명을 선정한다. 월세지원은 5월부터 시작하며 격월로 지급된다.
거주 요건은 임차보증금 5천만원 이하, 월세 60만원 이하 건물에 거주하는 무주택자다. 소득요건은 신청자가 속한 가구당 기준중위소득이 120% 이하여야 한다. 기준은 건강보험료 부과액으로 판단한다. 올해 1인가구 기준중위소득 120% 이하 건강보험료 부과액은 직장가입자의 경우 7만5천224원, 지역가입자 3만663원이다.
김성보 서울시 주택건축본부장은 ""청년월세 지원과 함께 다양한 청년주거정책을 연계해 청년들의 주거가 안정화 될 수 있도록 최선을 다하겠다""고 말했다.
이영웅기자
hero@inews24.com
▶네이버 채널에서 '아이뉴스24'를 구독해주세요.
▶재밌는 아이뉴스TV 영상보기
▶아이뉴스24 바로가기
[ⓒ 아이뉴스24 무단전재 및 재배포 금지]",https://n.news.naver.com/article/031/0000585396
'양호' 판정 내놓고 대출 연장 거부…세운지구 개발 좌초위기,2024.07.11,"부동산 프리즘
대출기한 23일 끝나는데
대주단이 기존 판단 뒤집고
만기 연장 못해준다 버텨
""전체 개발시장 붕괴 우려""
서울시의 대표적인 도심 고밀복합개발 후보지이자 오세훈 서울시장의 역점사업인 중구 세운지구 개발이 부동산 프로젝트파이낸싱(PF) 대출 문제로 좌초 위기에 직면했다. 금융당국의 ‘PF 옥석 가리기’ 기준에 따라 ‘양호·보통’ 사업장으로 분류됐는데도 대주단이 대출 연장을 거부하고 있어서다. 최상위 우량사업장으로 꼽히는 세운지구 개발이 차질을 빚으면 다른 도심 개발에도 파장이 미칠 것이란 우려도 커지고 있다.
11일 개발업계에 따르면 세운 재정비촉진지구 3-2구역과 3-3구역, 3-9구역에 대한 총 5900억원의 브리지론(토지비 대출)이 오는 23일 만료된다. 세 구역은 최근 금융당국의 PF 옥석 가리기 기준에 따라 대주단으로부터 각각 양호(3-2)와 보통(3-3, 3-9) 사업장으로 분류됐지만 대출 만기 연장에 차질을 빚고 있다. 양호로 분류된 3-2구역은 새마을금고가 “6개월 이자를 미리 내지 않으면 연장할 수 없다”고 버티고 있는 것으로 알려졌다. 다른 두 구역도 교보생명 교직원공제회 등이 만기 연장을 거부하고 있다.
업계에서는 황당하다는 반응이 나온다. 대주단 스스로가 사업성 분류를 양호와 보통으로 평가해 놓고 ‘만기 연장은 사업성과 별개’라는 논리를 펴고 있어서다. 금융당국은 지난 5월 PF 사업성 평가 등급을 4단계(양호·보통·유의·부실 우려)로 세분화하고, 사업성 부족 사업장(유의·부실 우려)의 대주단은 당국에 재구조화, 경·공매 등의 개선 계획을 제출하도록 하는 내용의 ‘부동산 PF 연착륙 방향’을 발표했다. 시행사 관계자는 “시장 정상화 대책에 반하는 행태”라며 “만기 연장을 거부하는 명확한 근거도 내놓지 않고 있다”고 비판했다.
세운지구가 금융 조달에 차질을 빚을 경우 서울 도심 개발 전체로 문제가 전이될 수 있다는 우려도 크다. 세운지구 프로젝트는 인허가 리스크가 없는 우량사업장인 데다 시공사 선정도 사실상 마무리된 곳이다. 시행사인 디블록(옛 한호건설그룹)은 토지를 70~90% 확보했고, 가장 까다로운 인허가 단계인 건축 심의까지 마쳤다. 3-2와 3-3은 시공사로 포스코이앤씨를 정했고, 3-9 역시 현대엔지니어링과 우선협상 계약을 맺었다. 업계 관계자는 “현장에서 작동할 수 있는 실효성 있는 정상화 대책이 즉각적으로 시행되지 않으면 우량사업장이 부실화하고 전체 개발 시장이 무너질 수 있다”고 지적했다.
세운지구는 2022년 4월 서울시 ‘녹지 생태 도심 재창조 전략’의 선도 사업지로 선정됐다. 구역을 묶고 건축 규제를 완화해 고층·고밀 개발을 유도해 도심에 녹지 14만㎡를 확보하는 방안을 담고 있다. 3개 구역에는 최고 43층 오피스빌딩 4개 동이 들어선다.",https://n.news.naver.com/article/015/0005008624
신당8구역 재개발·여의도 대교아파트 재건축 통합심의 통과,2025.02.28,"[신당제8구역 주택재개발 정비사업 배치도 (서울시 제공=연합뉴스]
'신당 제8구역 주택재개발 사업'과 '여의도 대교아파트 재건축사업'이 서울시 정비사업 통합심의위원회를 통과하며 사업 추진에 탄력을 받게 됐습니다.
서울시는 27일 열린 제2차 정비사업 통합심의위에서 이 두 안건이 사업시행계획 인가를 위한 통합심의를 각각 통과했다고 오늘(28일) 밝혔습니다.
중구 신당동 321번지 일대 신당 제8구역 사업 대상지는 지하철 5·6호선 청구역 더블 역세권으로 인근에 초등학교가 있어 교통 편의성과 교육환경이 우수한 주거지역입니다.
대상지에는 총 12개 동, 지하 4층∼지상 29층, 1천159세대 규모 공동주택이 건립됩니다.
경사 지형을 활용한 테라스하우스와 어린이공원 등이 계획돼 도심 속 친환경적인 쾌적함을 누릴 수 있는 단지로 탈바꿈합니다.
또 근린생활·주민공동시설 등을 구릉지 구간에 배치해 옹벽 발생을 최소화하고, 청구역 주변 다산로변 가로 활성화를 위해 근린생활시설을 집중 배치했습니다.
신당8구역은 이후 사업시행계획 인가를 거쳐 내년 착공해 2029년 준공될 전망입니다.
영등포구 여의도동 41번지 일대 대교아파트 재건축 정비사업은 공동주택 4개 동(43∼49층), 912세대를 건립하는 재건축 사업입니다.
단지 내부에는 트랙 모양의 산책로를 조성해 입주민뿐만 아니라 지역주민도 이용할 수 있도록 계획했습니다.
경로당, 키즈카페 등 커뮤니티시설도 단지 곳곳에 조성됩니다.
공공기여(기부채납) 시설로 공공체육시설, 재가노인복지시설 및 청소년문화복지시설도 함께 건립됩니다.
사업시행계획인가, 관리처분계획 인가 및 이주 철거를 거쳐 2029년 착공 예정입니다.
통합심의에서는 인근 아파트 정비사업과 연계된 교통체계 등을 종합 검토할 것을 보완 조건으로 제시했습니다.
당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",https://n.news.naver.com/article/374/0000427584
