area_m2,complex_name,floor,contract_day,street_name,built_year,price_per_m2,apartment_age,alpha
84.86,태솔에버빌,3,2020-07-11,삼양로80길 55,2008,424.228140466651,12,0.6
83.19,광남캐스빌3,2,2020-07-11,성내로6가길 98,2004,717.634331049405,16,0.4666666666666667
83.4,신림동이모르젠,2,2020-07-11,신사로 84,2003,713.4292565947242,17,0.43333333333333335
82.68,현대강변,10,2020-07-11,자양로3가길 43,1991,1100.62893081761,29,0.033333333333333326
84.85,현대,8,2020-07-11,토정로 242,1996,1060.695344725987,24,0.19999999999999996
59.901,마곡우림1차아파트,10,2020-07-11,양천로24길 34,2003,914.8428239929216,17,0.43333333333333335
84.67,예향,3,2020-07-11,망원로2길 14,2001,637.7701665288768,19,0.3666666666666667
131.84,반포훼밀리빌,3,2020-07-11,고무래로10길 31,1993,834.3446601941747,27,0.09999999999999998
81.233,대원칸타빌,5,2020-07-11,목동로 224,2001,1366.4397473933006,19,0.3666666666666667
42.86,라온미브아파트,8,2020-07-11,남부순환로 385,2017,513.2991133924405,3,0.9
44.24,다성이즈빌(121-32),5,2020-07-11,성안로 195,2017,829.5660036166365,3,0.9
63.93,다성이즈빌(121-32),6,2020-07-11,성안로 195,2017,782.105427811669,3,0.9
111.59,두영이지안,2,2020-07-11,만리재로14길 27,2008,660.4534456492516,12,0.6
62.73,뉴타운,10,2020-07-11,오목로 172,1998,473.45767575322816,22,0.2666666666666667
89.62,삼익,1,2020-07-11,효령로34길 79,1982,1751.841106895782,38,0.0
59.91,중앙하이츠,10,2020-07-11,덕릉로84길 7,1998,867.9686195960608,22,0.2666666666666667
77.59,쎈트앤빌,4,2020-07-11,승방3나길 30,2002,567.0833870344117,18,0.4
81.77,동훈CDI,2,2020-07-11,조원로13길 23,2010,644.4906444906445,10,0.6666666666666667
77.654,경희궁자이(3단지),15,2020-07-11,경교장길 35,2017,2060.4218713781647,3,0.9
78.555,우민늘푸른,15,2020-07-11,도림로20길 50,2004,762.523073006174,16,0.4666666666666667
80.81,영진,9,2020-07-11,서초대로23길 64,1998,1163.2223734686302,22,0.2666666666666667
