단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,계약일자,alpha,경도,위도
중앙하이츠,59.91,10,1998,덕릉로84길 7,6.7661555614677305,22,2020-07-11,0.2666666666666667,127.076753595407,37.6599250195319
북아현경남,59.77,7,1996,북아현로 40,7.499382643270194,24,2020-07-11,1.0,126.956170251417,37.561194879144
강남엘에이치1단지,84.83,6,2013,헌릉로571길 20,7.401579958293185,7,2020-07-11,1.0,127.102101820568,37.4670982362638
중계센트럴파크,59.75,13,2016,덕릉로70가길 21,7.066081330219876,4,2020-07-11,1.0,127.059507325253,37.6428693745143
주공17단지,49.94,7,1989,덕릉로66길 17,6.967224907682632,31,2020-07-11,0.0,127.053952436142,37.6437121231525
구일우성,84.49,18,1998,구일로2길 60,6.6906297999934905,22,2020-07-11,1.0,126.877081155332,37.4897580709997
가양강나루현대,59.76,10,1999,양천로 507,7.0800986151988905,21,2020-07-11,1.0,126.857362635565,37.5603956962784
삼성타운,59.4,14,1997,서오릉로 94,6.690486692110948,23,2020-07-11,1.0,126.921700201605,37.6095200026749
공릉해링턴플레이스,99.917,11,2000,노원로 62,6.710134684899013,20,2020-07-11,1.0,127.087299923128,37.6276978725766
고덕 아이파크,59.99,12,2011,동남로79길 26,7.601069140099181,9,2020-07-11,1.0,127.153744243632,37.5591838811941
온수힐스테이트,59.96,10,2010,부일로9길 127,6.941211990792832,10,2020-07-11,1.0,126.820592862021,37.4976017630545
관음삼성,114.9,14,1997,양천로 656,6.652329463859567,23,2020-07-11,0.6550494818134408,126.869460423297,37.5527346401778
금호한신,114.76,14,2005,금호산길 27,6.97709664324139,15,2020-07-11,1.0,127.017088285139,37.5505494639051
북한산래미안아파트(2단지),59.9932,8,2010,진흥로 265,7.090190175532133,10,2020-07-11,1.0,126.936851789105,37.6117053317588
학여울청구,84.77,9,1999,동일로207길 186,6.886654180158421,21,2020-07-11,1.0,127.059802173858,37.6379556162713
북한산래미안아파트(1단지),59.9932,1,2010,진흥로 267,7.076203933557393,10,2020-07-11,1.0,126.938565593536,37.6118719282293
강서한강월드메르디앙,84.98,11,2006,허준로 16-9,6.8410963659557575,14,2020-07-11,1.0,126.843882534562,37.5700188404167
학여울청구,113.51,8,1999,동일로207길 186,6.708463833368145,21,2020-07-11,1.0,127.059802173858,37.6379556162713
동방,83.7,6,1995,양재대로95길 74,6.366195331575252,25,2020-07-11,0.38698801581456027,127.133042840897,37.5313172607028
양지마을(대림)1,114.96,6,1998,덕릉로71길 30,6.732714045556308,22,2020-07-11,1.0,127.069694753378,37.6508593038502
한강(대우),60.0,19,2000,이촌로 181,7.779745751959712,20,2020-07-11,1.0,126.970663574293,37.5221513034071
현대리버빌2지구,84.97,5,1999,풍성로24길 42,7.11941737612421,21,2020-07-11,1.0,127.116726962458,37.5316299523255
동신아파트,84.97,24,1999,공릉로 213,6.639844295862324,21,2020-07-11,1.0,127.077392286374,37.627880389159
한강현대,66.225,11,1988,현충로 151,7.406045126053147,32,2020-07-11,0.0,126.968934187019,37.5067786538055
신성둔촌미소지움2,59.88,16,2000,진황도로 212,7.281320838085293,20,2020-07-11,1.0,127.143331897067,37.5272077395766
현대(고덕),131.83,14,1986,동남로71길 41,6.975001955590427,34,2020-07-11,0.0,127.153412784419,37.55009505531
중앙하이츠,84.21,4,1998,덕릉로84길 7,6.6254815058388825,22,2020-07-11,1.0,127.076753595407,37.6599250195319
(토지임대부아파트)호반써밋서초파크뷰,59.99,4,2013,양재대로2길 11,7.366401102933017,7,2020-07-11,1.0,127.025420796786,37.45912484198
한강현대,115.35,10,1988,현충로 151,7.234958109596201,32,2020-07-11,0.0,126.968934187019,37.5067786538055
상계주공9(고층),79.07,1,1988,노원로 532,6.8237631274387756,32,2020-07-11,0.0,127.059824240304,37.6646207331385
e편한세상신촌1단지,84.98,18,2018,북아현로1가길 20,7.508764461214718,2,2020-07-11,1.0,126.951399056142,37.5580680839066
방화메이빌,51.8976,5,2017,금낭화로 162,6.765145222424411,3,2020-07-11,1.0,126.813826703484,37.5796117541293
신일유토빌(603-0),76.41,6,2004,양재대로81길 16,6.820136943372021,16,2020-07-11,0.9333333333333333,127.133373792773,37.5231353448657
e편한세상신촌1단지,59.85,9,2018,북아현로1가길 20,7.5908268075533405,2,2020-07-11,1.0,126.951399056142,37.5580680839066
양지마을(대림)2,114.81,23,1999,덕릉로73길 28,6.70777147314642,21,2020-07-11,1.0,127.071935248871,37.6524755833309
서초한신리빙타워,42.55,12,1999,효령로 237,7.038639221906191,21,2020-07-11,1.0,127.00999071947,37.4841930844235
구일우성,59.44,5,1998,구일로2길 60,6.73481088400078,22,2020-07-11,1.0,126.877081155332,37.4897580709997
방화메이빌,48.8686,10,2017,금낭화로 162,6.707499669656317,3,2020-07-11,1.0,126.813826703484,37.5796117541293
방화3차우림필유,59.89,7,2005,양천로14길 118,6.785537646257888,15,2020-07-11,1.0,126.808216921309,37.5687132762634
삼성꽃마을,84.41,7,1997,양천로18길 27,6.45175105488847,23,2020-07-11,0.6999999999999998,126.813531837991,37.5724203713905
현대연예인,54.86,8,1989,구일로4길 46,6.784534591416118,31,2020-07-11,0.0,126.87786990054,37.4932672296102
"우장산아이파크,이편한세상",59.98,9,2008,강서로 266,7.313553775991539,12,2020-07-11,1.0,126.840980606494,37.5482625768732
현대6차,114.57,1,1997,선유서로 31,6.547345141848831,23,2020-07-11,0.46666666666666656,126.883974708116,37.5186321610801
강변한솔솔파크,84.97,11,2005,양천로63길 38,6.965266696296952,15,2020-07-11,1.0,126.865890760617,37.5570108264228
승윤노블리안,57.223,7,2019,은평로 11-1,6.667461853284304,1,2020-07-11,1.0,126.909246964979,37.5973355546398
현대3차,43.92,6,1997,도신로 31,7.168436749615412,23,2020-07-11,1.0,126.895153486219,37.5062347093767
벽산늘푸른,84.94,13,1998,양천로63길 52,6.803100894929502,22,2020-07-11,1.0,126.86615328369,37.557921491379
중앙하이츠,134.98,4,2010,목동남로2길 60-7,6.703109025459293,10,2020-07-11,1.0,126.864686815758,37.5053976099345
이너스내안에201동,84.74,9,2006,양천로67가길 49,6.716662775833083,14,2020-07-11,1.0,126.870459079446,37.5540780458976
목동2삼성래미안,59.92,14,2001,목동남로4길 81,7.25504048257103,19,2020-07-11,1.0,126.867875550271,37.5100489602437
동아,59.97,16,1998,양천로69길 58,7.001897526727447,22,2020-07-11,1.0,126.872960399991,37.5552719720298
마곡중앙하이츠아파트,51.03,12,1994,양천로6길 28,6.770830773078451,26,2020-07-11,1.0,126.806399839179,37.5710274870985
동아불암,59.4,4,1999,덕릉로 780,6.561130670896906,21,2020-07-11,1.0,127.079126011496,37.6666919810414
주함해븐,84.99,2,2009,봉우재로 136-8,6.089562609447968,11,2020-07-11,1.0,127.088648857424,37.5925523492983
홍제삼성래미안,84.33,2,2001,통일로 319,6.867466760068026,19,2020-07-11,1.0,126.951950212766,37.5781824961904
서초동아타워,142.31,8,1996,서운로 138,6.840096630508322,24,2020-07-11,0.5169925001442311,127.025267395048,37.495994185
현대2,59.39,10,1993,양천로73길 6,6.8309626021868395,27,2020-07-11,0.4169925001442311,126.873073850985,37.5511042601915
