date,content
2025-06-16,"정부가 오는 19일 국무회의에서 올해 2차 추가경정예산안을 처리한다. 이번 추경에는 전 국민에게 15만~50만원의 지역사랑상품권(지역화폐)을 지급하는 민생회복지원금과 소상공인 장기 연체 채무 탕감 사업 등이 포함된다. 민간의 인공지능(AI) 실증 사업을 지원하고 밥상 물가를 덜어주는 내용의 사업도 반영할 예정이다.
정부가 전 국민에게 15만~50만원의 민생지원금을 지급하는 사업 등을 담은 2차 추가경정예산안을 오는 19일 발표한다. 사진은 서울의 한 식당 모습. 뉴스1


◇ 민생회복지원금 차등 지급
강유정 대통령실 대변인은 16일 서면 브리핑에서 “19일 제26회 국무회의에 2차 추경 안건이 상정될 예정”이라고 밝혔다. 2차 추경 규모는 20조원 안팎이 될 전망이다. 가장 규모가 큰 사업은 민생회복지원금이다. 전 국민에게 두 차례에 걸쳐 소득별로 차등 지급하는 방안이 유력하게 검토되고 있다.

ADVERTISEMENT
우선 전 국민을 대상으로 15만원씩 일괄 지급하고 이후 소득 상위 10%를 제외한 일반 국민, 차상위계층, 기초생활수급자 등에게 각각 10만원, 25만원, 35만원을 추가 차등 지급하는 방안을 유력하게 검토하고 있다. 총액으로는 소득 상위 10%는 15만원, 일반 국민 25만원, 차상위계층은 40만원, 기초생활수급자는 50만원을 받는 셈이다. 소득 구간 상위 10~20%는 아예 지원금을 지급하지 않는 방안도 거론되고 있다. 정부 관계자는 “민생회복지원금의 차등 지급 대상과 규모를 놓고 대통령실, 여당과 물밑 협상을 이어가고 있다”며 “모든 시나리오를 열어 놓고 검토하고 있다”고 말했다.

민생회복지원금은 지역화폐로 지급하는 방안이 유력하다. 지방자치단체별로 지역화폐 할인율을 차등화하는 방안을 검토 중이다. 유효 기간을 3~6개월로 제한하고 사용처도 좁혀 소비 진작 효과를 극대화하는 방향으로 설계할 계획이다. 할인을 위한 국비 예산도 추경에 담을 것으로 알려졌다. 정부는 올해 1차 추경안에 지역화폐 할인 발행(10%)을 위한 국비 4000억원을 편성했다. 2차 추경에는 규모를 더 확대할 계획이다.

더불어민주당은 올해 2월 35조원 규모 자체 추경안을 발표하면서 전 국민 25만원, 취약계층은 35만원의 소비쿠폰을 지급하는 데 13조1000억원이 투입될 것이라고 추산한 바 있다.

ADVERTISEMENT
◇ 소상공인 장기 부실채권 탕감
정부는 소상공인의 연체된 빚을 탕감하기 위한 사업도 2차 추경에 포함할 것으로 알려졌다. 3~5년 이상 장기 연체된 부실채권을 예산을 투입해 매입하는 내용이다. 이재명 대통령은 대선 후보 시절 TV 토론회를 통해 자영업자의 채무 탕감이 필요하다고 강조했다. 지난 9일 열린 비상경제 대응 태스크포스(TF)에서도 소상공인 채무 탕감 방안이 논의됐다.

정부 관계자는 “장기간 수천만원의 빚을 연체한 소상공인·자영업자는 빚더미에 눌려 새 일자리를 찾거나 새로운 사업을 시도할 엄두도 못 내고 있다”며 “이들에게 재기 기회를 제공하기 위해 빚을 탕감하는 방안을 검토하고 있다”고 말했다.

AI를 비롯한 첨단산업 지원사업도 추경에 담을 계획이다. AI사업을 상용화하기 위한 기업의 실증사업에 자금을 지원하는 것이다. 정부가 AI 반도체와 대규모언어모델(LLM) 관련 연구과제를 기업에 맡기는 방식이 거론된다. 지방 주택경기 지원사업도 추경에 담을 것으로 알려졌다.

ADVERTISEMENT
치솟는 밥상 물가를 안정화하기 위한 지원 방안 또한 마련 중이다. 중소·중견 식품기업에 대한 저금리 대출 프로그램 사업에 200억원을 반영할 계획이다. 이를 통해 이들 기업이 생산하는 가공식품의 가격 인하를 유도한다는 구상이다. 물가 안정을 위해 산란계(알 낳는 닭)의 철제 우리(케이지) 수선·교체 비용(144억원)과 마른김 건조기 교체 지원비(60억원) 등도 이번 추경안에 반영한다.

김익환/남정민 기자 lovepen@hankyung.com"
2025-06-16,"미국과의 통상 현안이 갈수록 복잡해지는 가운데 산업통상자원부가 대미 협상 전담 태스크포스(TF)를 출범시키고 본격적인 대응 체제에 돌입했다. 관세·비관세장벽은 물론 산업·에너지 분야까지 아우르는 전방위 협상 채널을 가동해 주요 통상 쟁점에 적극 대응하겠다는 포석이다.

산업부는 16일 오후 정부서울청사에서 '대미 협상 TF' 발족식을 열고 조직 구성을 마무리했다. TF 단장은 이재명 정부의 초대 통상 사령탑으로 최근 발탁된 여한구 통상교섭본부장이 맡는다. 여 본부장은 한미 간 관세 협상뿐 아니라 반도체·배터리 등 첨단기술 협력, 에너지·산업 공급망 문제까지 통합 조율하는 역할을 수행할 예정이다.

ADVERTISEMENT
이번 TF는 대미 기술협상 실무대표를 기존 국장급에서 1급으로 격상한 게 특징이다. 새 실무대표엔 박정성 무역투자실장이 임명됐다. 박 실장은 세계무역기구(WTO) 투자원활화협정 협상 공동의장 출신인 통상 분야 베테랑이다.

TF는 △협상지원반(권혜진 자유무역협정교섭관) △산업협력반(박동일 제조산업정책관) △에너지협력반(윤창현 자원산업정책국장) △무역투자대응반(유법민 투자정책관) 등 4개 작업반으로 구성됐다. 작업반별로 각자 분야에서 구체적 협상안을 마련하는 역할을 맡는다. 국내 관계부처와의 협의와 이해관계자 조정 지원은 박종원 통상차관보가 맡기로 했다.
산업부는 이번 TF 신설이 관세 전쟁, 기술패권 경쟁, 공급망 재편 등으로 복잡해진 한미 통상 환경에 대응하기 위한 조치라고 설명했다. 한국으로서는 미국과의 공급망 파트너십을 유지하는 관세·비관세 장벽과 투자 제한 등 민감한 쟁안에서 국익을 지키기 위한 정교한 협상 전략이 필요한 상황이다.

산업부는 통상조약법에 따른 절차도 병행할 예정이다. 이달 30일에는 국민 의견 수렴을 위한 공청회가 열릴 예정이다. 향후 협상 과정에 산업계와 시민사회의 의견을 적극 반영한다는 방침이다.

ADVERTISEMENT
여한구 통상교섭본부장은 TF 발족식에서 ""미국의 관세 조치로 기업과 국민들이 큰 어려움을 겪고 있는 만큼 모두가 막중한 책임감과 소명감을 갖고 임해주길 바란다""며 ""앞으로 대미 협상과 협상안 마련 과정에서 관계부처와 민관이 하나로 힘을 모아 성공적인 협상 결과를 이끌어내겠다""고 말했다.

하지은 기자 hazzys@hankyung.com"
2025-06-16,"이재명 정부 5년간의 국정 운영 방향을 정하고 국정 과제를 마련할 국정기획위원회가 16일 출범했다. 사실상의 대통령직인수위원회로 이날부터 60일간 활동한다. 20일 범위에서 활동 기한을 연장할 수 있다. 위원회는 첫날부터 기획재정부 분리와 기후에너지부 설치, 검찰 수사·기소권 분리 등 강도 높은 정부 조직개편안과 조세 개혁안을 예고했다.

◇ “정부조직·세제 개편하겠다”
이한주 국정기획위원장과 국정기획위원들은 이날 정부서울청사 창성동 별관에 마련된 사무실에서 현판식과 임명장 수여식에 이어 제1차 전체 회의를 가졌다. 이 위원장은 “국정과제를 신속히 수립하되 과제의 규모와 성격에 따라 단기·중장기 과제로 구분해 속도를 조율하겠다”며 “민생 경제 회복 같은 시급한 과제는 빠르게 추진하고, 기후대응 등 대한민국의 미래를 설계하는 중장기 과제는 연차별 실행계획을 촘촘하게 마련할 것”이라고 말했다.
< 서울청사서 현판식 > 이재명 정부 대통령직인수위원회 역할을 할 국정기획위원회가 출범한 16일 정부서울청사 창성동 별관에서 참석자들이 현판식을 하고 있다. 왼쪽부터 박홍근 더불어민주당 의원, 김용범 대통령실 정책실장, 이한주 국정기획위원장, 진성준 민주당 정책위원회 의장, 방기선 국무조정실장, 정태호 민주당 의원. 김범준 기자
정부 조직 개편 방안은 별도의 태스크포스(TF)를 구성해 완성도 높은 안을 선보이겠다고 공언했다. 이 위원장은 “과도하게 집중된 기능과 권한은 과감히 분산·재배치하고, 인공지능(AI) 3대 강국 대도약을 뒷받침하기 위해 정부 효율성을 강화할 것”이라며 “기후 위기 대응을 위한 정부 조직 정비 등을 통해 유능한 정부 구조로 재설계하는 것이 핵심”이라고 밝혔다.

ADVERTISEMENT
이재명 정부는 기획재정부의 예산 편성 기능을 떼어내 기획예산처와 재정경제부로 분리하고, 금융위원회의 금융정책 기능을 재정경제부로 이관하는 방안을 검토하고 있다. 검찰의 수사권과 기소권을 완전히 분리하고, 과학기술정보통신부 장관을 부총리급으로 격상하는 방안도 추진 중이다. 산업통상자원부의 에너지정책실과 환경부의 기후탄소정책실을 합쳐 기후에너지부를 만드는 방안도 준비 중이다.

세제 개편 의지도 밝혔다. 이 위원장은 “중장기 조세·재정개혁안 등 우리 사회를 더 나은 방향으로 만들기 위한 다양한 개혁 아젠다들을 논의하고 구체적 해답을 제시하도록 노력할 것”이라고 밝혔다. 이 대통령이 주장해 온 상속세 개편 등이 국정기획위 논의 대상에 포함될지 관심이 쏠린다. 전국의 행정구역을 5대 초광역권과 3개 특별자치도로 재편하는 지역 균형 발전 과제는 균형발전특별위원회를 조직해 마련할 계획이다.

◇ 문재인 국정기획자문위 1.5배
국정기획위는 이재명 정부의 밑그림을 그리는 자문조직이다. 100대 국정과제를 정리하고, 과제별로 추진 시점과 목표를 정해 ‘국정운영 5개년 계획’을 마련할 방침이다. 박근혜 전 대통령 탄핵으로 2017년 집권한 문재인 정부의 국정기획자문위원회와 유사하지만, 이번에는 ‘자문’이란 명칭을 제외해 정책 실행력을 강화하겠다는 의지를 담았다.

ADVERTISEMENT
위원장 1명, 부위원장 3명, 기획위원 51명 등 총 55명으로 구성돼 문재인 정부 국정기획자문위에 비해 규모가 1.5배에 달한다. 21명의 민주당 현역 의원이 기획위원으로 참여했다. 정부 부처 등에서 차출한 전문위원과 실무위원을 포함하면 국정기획위 규모는 100명을 넘어간다. 전문위원 가운데는 임은정 대전지검 부장검사가 정치·행정분과 전문위원으로 참여한 것이 눈에 띈다. 검찰개혁 관련 의제를 다룰 것으로 보인다.

정영효/최형창/남정민 기자 hugh@hankyung.com"
2025-06-16,"정부가 ‘먹거리 물가’ 안정을 위해 농·축·수산물에 460억원의 예산을 추가 투입한다. 기름값 부담 완화와 소비 진작을 위해 유류세와 자동차 개별소비세 인하 조치도 각각 2개월, 6개월 연장한다.

16일 이형일 기획재정부 장관 직무대행 1차관은 이날 열린 물가관계차관회의에서 이런 내용을 담은 ‘최근 소비자물가 동향 및 대응 방향’을 발표했다. 이에 따르면 정부는 휴가철이 다가오는 6~7월을 맞아 460억원 상당의 농·축·수산물 할인을 지원한다.

ADVERTISEMENT
돼지고기, 닭고기, 과일 등 주요 소비 품목은 최대 40% 할인된 가격에 판매된다. 축산자조금 및 유통업체와 협력해 한우와 수입 소고기 할인 행사도 추진하기로 했다. 물가가 많이 오른 일부 품목에는 할당 관세를 확대한다.

최근 가격이 오른 고등어는 오는 7월부터 연말까지 최대 1만t에 0% 할당 관세가 새로 적용된다. 연말까지 0% 할당 관세가 적용되고 있는 계란 가공품은 대상 물량이 기존 4000t에서 1만t으로 확대된다.

유류세 인하 조치로 휘발유 인하율 10%와 경유 및 액화석유가스(LPG) 부탄 인하율 15%는 8월 31일까지 적용된다. 100만원을 한도로 기본세율 5%에서 3.5%로 내렸던 승용차 개별소비세 한시적 인하 조치도 6개월간 더 유지된다.

남정민 기자 peux@hankyung.com"
2025-06-16,"정부가 2차 추가경정예산안을 편성하면서 예상보다 덜 걷힐 세입에 맞춰 올해 예산을 다시 짜는 ‘세입 경정’을 추진한다. 세입 경정 규모는 10조원을 웃돌 것으로 예상된다.

16일 관련 부처에 따르면 기획재정부는 오는 19일 발표할 2차 추경에 세입 경정을 포함할 것으로 알려졌다. 정부는 불확실한 세입 전망을 유지하면서 정부 지출을 늘리면 연말 국채를 대규모로 발행해야 하는 리스크가 크다고 보고 있다. 2차 추경에 필요한 재원을 충분히 확보하기 위한 목적도 있다.

ADVERTISEMENT
정부 관계자는 “불용 예산 등을 통해 확보할 수 있는 추경 재원은 많지 않다”며 “내수 활성화를 위해 충분한 효과를 낼 방안을 검토하고 있다”고 설명했다.

전문가들은 비교적 큰 폭의 세입 경정 규모를 예상하고 있다. 현대경제연구원은 지난 3월 10조원 규모 1차 추경을 제안하면서 올해 세입 경정 규모를 8조3000억원으로 추산했다. 당시 예상한 올해 성장률 전망은 1% 중반으로 지난달 한국은행이 수정 발표한 성장률 전망치(0.8%)를 크게 웃돌았다. 류덕현 대통령실 재정기획보좌관도 대통령실 합류 전인 지난 2월 한 토론회에서 10조원의 세입 경정 필요성을 밝혔다.

세입 경정이 추진되면 적자국채 발행은 더 불어날 전망이다. 전문가들은 2차 추경도 1차 추경 때처럼 재원의 70% 안팎을 적자국채로 조달할 것으로 예상한다. 1차 추경 당시 적자국채 규모(9조7000억원)를 반영한 올해 말 국가채무는 1280조8000억원에 달한다.

남정민/김익환 기자 peux@hankyung.com"
2025-06-16,"이재명 정부 5년의 국정 운영 청사진을 제시할 국정기획위원회가 16일 현판식을 열고 공식 출범했다. 정부 조직 개편 논의가 본격화되는 가운데 산업통상자원부에선 국장급 2인이 파견됐다.

16일 정부에 따르면 산업부의 강감찬 산업정책관(행시 42회)과 김성열 무역안보정책관(41회)이 이날 국정기획위원회에 합류했다. 국장급인 두 사람은 경제 분과에서 60여일 동안 새 정부의 5년 국정 운영방향과 구체적인 국정 과제 수립을 지원하게 된다.

ADVERTISEMENT
강감찬 정책관은 산업·에너지·AI 등 산업 전반의 정책 기획을 다뤄온 실무형 관료다. 에너지정책국, 무역정책국 등 주요 과장을 역임했으며 정책 설계·조정 역량이 강점으로 평가된다. 특히 AI와 무탄소에너지 등 신산업 분야 육성에 적극적이고, 국내외 협력에도 적극적인 리더로 꼽힌다.

지난 2월부터 무역안보정책관을 맡은 김성열 정책관은 통상협력국장, 통상법무정책관 등 통상·안보·법무 핵심 보직을 두루 거쳤으며, 최근에는 인도태평양경제프레임워크(IPEF) 공급망 협정 이행 실무를 담당했다. 국정기획위에서는 디지털·안보·공급망 등 분야의 정책 연계 및 조정을 맡을 가능성이 있다.

국정기획위는 이날 회의에서 정부조직개편 방향에 대해 △과도하게 집중된 기능과 권한의 분산·재배치 △AI 3대 강국 도약을 뒷받침할 정부 효율성 강화 △기후위기 대응을 위한 정부조직 정비 등을 조직개편의 기본 방향으로 제시했다.

하지은 기자 hazzys@hankyung.com"
2025-06-16,"사진=연합뉴스
대통령직인수위원회 없이 출범한 이재명 정부의 국정기획위원회가 16일 본격적인 활동에 돌입한 가운데, 공정거래위원회에서도 국장급 인사가 파견됐다.

16일 정부와 관련업계에 따르면 이병건 공정위 기업거래결합심사국장(행시 44회)이 이날 국정기획위원회에 합류했다. 이 국장은 경제1분과 소속으로 약 60일간 새 정부의 5년 국정 운영방향과 구체적인 국정 과제 수립 작업을 지원하게 된다.

ADVERTISEMENT
이병건 국장은 기업결합 심사와 대기업집단 정책을 두루 맡아온 공정거래 분야 실무형 관료다. 시높시스-앤시스, 대한항공-아시아나항공, 티빙-웨이브, 대명소노-티웨이항공 등 굵직한 기업결합 심사를 총괄했다. 시장감시국장, 경쟁정책과장, 기업집단결합정책과장 등을 거치며 기업집단 규제와 경쟁정책 전반의 정책 수립·조정 업무를 담당했다.

이날 열린 제1차 전체회의에서 이한주 국정기획위원장은 ""새 정부의 공약집을 활동 기간 내내 곁에 두고 내용을 숙지해달라""며 ""늘 공부하고 토론하며 적극적으로 배우는 자세로 임해달라""고 당부했다.

조승래 대변인은 조직개편과 관련해 ""그동안의 비효율적 관행을 바로잡고, 정부 역량 강화를 위해 최우선으로 조직개편에 집중하겠다""고 강조했다.

하지은 기자 hazzys@hankyung.com"
2025-06-16,"동국제강 인천공장 에코아크전기로. /동국제강 제공
동국제강이 철강 불황기를 극복하기 위해 생산량 조정과 고부가 프리미엄 제품 개발, 수출 활성화에 주력하고 있다.

동국제강은 다음달 22일부터 8월 15일까지 인천공장 생산을 중단한다. 인천공장은 동국제강 매출(지난해 3조5275억원)의 약 40%(1조4170억원)를 차지하는 핵심 생산시설이다. 연간 철근 220만t을 생산할 수 있다. 동국제강이 인천공장을 ‘셧다운’하는 건 1972년 공장 가동을 시작한 이후 처음이다.

ADVERTISEMENT
동국제강이 인천공장 가동을 한 달 멈추면 철근 공급이 20만t가량 줄어든다. 동국제강은 지난해 6월 업계 최초로 주간 조업을 중단하며 공장 가동률을 50%(올해 초 기준)까지 떨어뜨렸다. 그런데도 공급 과잉이 해소되지 않자 생산 중단을 결정한 것이다. 동국제강은 8월까지 시장 상황 변화를 지켜보고, 공급과잉이 개선되지 않는다면 생산 중단 기간을 연장할 전망이다.

동국제강은 고부가 신규 강종 개발로 신규 시장 개척에도 나설 계획이다. 동국제강은 지난 4월 포항공장에서 ‘디케이 그린바’와 ‘디-메가빔’ 신제품을 선보였다. 디케이 그린바는 유리섬유강화플라스틱 보강근(GFRP) 신제품 브랜드다. 유리섬유를 고분자 수지로 강화했다. 기존 철근 대비 부식이 없고 강도가 높으면서도 가볍고 전기가 통하지 않는 특징이 있다. 제설제(염화칼슘)에 부식되지 않아 도로나 교량에 쓰인다. 전기신호 영향을 최소화할 수 있어 GTX 등 최신 철도 궤도 공사에 활용할 수 있다. 더욱이 지난해 12월 국토교통부가 콘크리트 구조설계기준을 일부 개정하면서 GFRP 관련 설계 가이드가 마련됐다. 지속적인 시장 수요 증가가 기대되는 제품이다.

디-메가빔은 맞춤형 형강 제품 브랜드다. 최신 용접 설비를 활용해 생산한다. 후판을 형강 모형으로 접합하는 원리다. 규격 제한 없는 맞춤 생산이 특징이다. 기존 국내 시장에선 생산이 불가능한 초대형 규격도 생산이 가능해 브랜드명에 ‘메가’를 붙였다는 게 동국제강의 설명이다. 디-메가빔 제작 공법으로 동국제강은 H형강 기준 최소 150㎜ X 300㎜ 규격에서 최대 3000㎜ X 1250㎜ 규격까지 생산 가능해진다. 동국제강은 대형 건축 현장 수주 대응력이 높아짐에 따라 수익성을 개선할 수 있을 것으로 기대하고 있다. 동국제강 디-메가빔은 지난 4일 상업 물량을 처음으로 출하했다. 첫 상업 출하는 향후 본격적인 양산 체제로의 전환을 의미한다.

ADVERTISEMENT
동국제강은 내수 중심이던 기존 영업판매망을 수출로도 확대하고 있다. 올 초 영업실 직속 해외영업팀을 수출전략팀으로 바꾸고 수출영업지원 TF도 신설했다.

김진원 기자 jin1@hankyung.com"
2025-06-16,"2017년 문재인 전 대통령 정부의 국정기획자문위원장을 역임한 김진표 전 국회의장은 16일 정부서울청사 창성동 별관에서 국정기획위원회 위원들을 대상으로 진행한 비공개 특강에서 “국정 혼란을 막기 위해 위원회 활동 기간을 최소화하라”고 조언했다. 김 전 의장은 노무현 대통령 정부의 인수위원회 부위원장, 문재인 정부의 국정기획자문위원장을 잇달아 맡아 새 정부의 밑그림을 그린 경험을 갖고 있다.

참석자들에 따르면 김 전 의장은 “이미 정부가 출범한 상황에서 국정기획위원회의 활동기간이 길어지면 위원들의 견해차가 외부로 표출되면서 분란만 야기할 수 있다”며 “당분간 ‘월화수목금금금’의 자세로 일해 활동기간을 최대한 줄여야 한다”는 취지로 당부했다.

ADVERTISEMENT
김 전 의장의 당부에 이한주 국정기획위원장도 고개를 끄덕인 것으로 전해졌다. 이 위원장은 문재인 정부 당시 김 전 의장이 이끄는 국정기획자문위원회에서 경제1분과장을 맡은 바 있다.

이날 강연에서 김 전 의장은 “지금은 균형 재정의 도그마에 빠지지 말고 재정을 풀어야 할 시기”라며 “첨단기술 산업의 연구개발(R&D) 투자비 절반 가량을 정부가 부담해야 한다”는 취지로 말한 것으로 알려졌다.

정영효 기자 hugh@hankyung.com"
2025-06-16,"계란 한판 평균 가격이 7000원을 넘어서며 4년 만에 최고치를 기록한 가운데, 가격 상승을 주도했다는 의혹이 제기된 산란계협회에 대해 공정거래위원회가 현장조사에 나섰다.

16일 업계에 따르면 공정위는 이날 충북 오송 산란계협회 본부와 경기·충남지회 등 3곳에 조사관을 파견해 관련 자료를 확보 중이다. 공정위는 산란계협회가 고시가격을 제시한 뒤 회원사들이 이를 따르도록 강제했는지 여부를 집중 조사하고 있다.

축산물품질평가원 축산유통정보에 따르면 올해 24주차(9~15일) 기준 특란 30구의 전국 소비자 평균 가격은 7022원으로 집계됐다. 계란 한판 가격이 7000원을 넘어선 것은 지난 2021년 7월 이후 약 4년 만이다.

ADVERTISEMENT
조사 결과 고시가격 준수를 강요한 정황이 드러날 경우 공정거래법상 사업자단체 금지 행위에 해당할 수 있다. 확인되면 담합 협의 적용도 가능하다. 반면 산란계협회는 계란 가격의 상승이 정부 규제와 소매 유통과정에서의 폭리 때문이라는 입장이다.

공정위 관계자는 ""자세한 내용은 확인해드리기 어렵다""면서도 ""법 위반이 확인되면 엄중히 제재하겠다""고 말했다.

하지은 기자 hazzys@hankyung.com"
