date,content
2025-07-29,기록적인 폭염으로 유제품 수급에 차질이 생긴 탓에 28일 서울의 한 대형 마트 유제품 진열대 일부가 텅 비어 있다. 낙농진흥회 등에 따르면 젖소는 더위가 심할 때 체내에서 발생하는 열을 줄이기 위해 사료를 덜 먹는다. 그 결과 최근 유제품 원료인 원유 생산량이 과거보다 5~10% 감소한 것으로 추정된다. 원유 공급에 차질이 생기면서 생크림 등 일부 유제품은 가격도 오르고 있다.
2025-07-29,"이재명 정부의 첫 부동산 대책인 ‘6·27 대출 규제’가 발표되고 한 달이 지났다. 집값, 소득 관계없이 담보대출 한도를 6억원으로 제한하고, 신축 아파트는 전세 대출을 금지하는 등 강력한 조치에 서울 아파트 거래가 급감하고 가격 상승 폭도 줄어들면서 과열은 진정되는 분위기다. 하지만 주택 수요자들 사이에선 “대출 규제의 약발이 끝나면 집값이 다시 급등하는 것 아니냐”는 불안감이 여전하다. 이에 본지는 대학 교수와 연구원, 컨설턴트 등 부동산 전문가 10명에게 이번 대책의 효과 및 하반기 부동산 시장 전망을 물었다. 전문가들 사이에선 “단기적으로 아파트 수요를 누르면서 매매 시장이 안정된 것은 맞지만 가을 이사철 전세 시장 불안이 또다시 집값을 자극할 수 있다”는 전망이 많았다. 향후 필요한 추가 정책으로는 신속한 공급 대책과 지방 부동산 회복을 위한 세제 혜택 등이 꼽혔다.
◇“하반기 집값 급등은 없을 것”
올 상반기 같은 집값 급등이 하반기에 재현될 것이란 의견은 거의 없었다. 하반기 아파트값 전망을 묻는 질문에 10명 중 8명이 ‘상승’이라 답했지만, 3% 넘는 급등을 예상한 사람은 세 명뿐이었다. 올 상반기 서울 아파트값은 3.4% 올랐다. 함영진 우리은행 부동산리서치랩장은 “여름철이 부동산 비수기라는 걸 고려해도 6·27 대책이 서울 아파트 과열을 진정시켰다는 점은 분명하다”며 “하반기에도 강보합 수준의 장세가 예상된다”고 했다.
다만, 규제 효과가 지속될지에 대해선 회의적인 의견이 많았다. 김제경 투미부동산컨설팅 소장은 “과거 문재인 정부에서 이미 다양한 대출 규제를 경험해봤기 때문에 시간이 지나면 사람들이 적응하면서 효과가 반감될 것”이라고 말했다. 이상우 인베이드투자자문 대표는 “대출 규제의 영향을 덜 받는 10억원대 초·중반 아파트에 수요가 몰리면서 가격이 오르는 풍선 효과가 나타날 수 있다”고 말했다.
◇가을 이사철 전세 불안이 변수
하반기 서울 아파트 전세 시장에 대해선 10명 중 9명이 가격이 오를 것이라고 봤다. 이 중 6명이 3% 이상 급등을 예상했다. 올 상반기 상승률(0.93%)보다 세 배 이상 큰 폭이다.
전문가들은 문재인 정부 때부터 이어진 다주택자 규제로 전세로 활용할 수 있는 주택 자체가 줄어든 데다 6·27 대책으로 신축 아파트 전세 대출이 금지되면서 전세 공급이 더욱 위축될 것이라고 했다. 실제 대책 발표일 이후 한 달 만에 서울 아파트 전세 매물은 5.3% 줄었다. 최창욱 건물과사람들 대표는 “향후 서울 신규 입주 물량도 크게 줄어들 전망이어서 한정된 전세 매물을 두고 세입자들의 경쟁이 심해질 것”이라며 “이 과정에서 전세 가격이 더 오르고, 전세살이에 지친 사람들이 일부 매매로 돌아서면서 집값도 자극할 수 있다”고 말했다.
◇수도권 공급·지방 활성화 대책 시급
시장을 장기적으로 안정시키기 위한 추가 정책에 대해선 전문가들은 일제히 ‘신속한 공급 대책’을 꼽았다. 확실한 추가 공급 신호가 없으면 억눌린 매수 수요가 언젠가는 튀어오를 수밖에 없다는 것이다. 고종완 한국자산관리연구원장은 “수도권 재건축과 재개발을 활성화하면서 동시에 유휴 부지 개발과 3기 신도시 등 공공 공급에 대한 구체적 로드맵을 제시해 수요자들의 불안 심리를 해소해줘야 한다”고 했다.
파격적인 인센티브로 장기 침체에 신음하고 있는 지방 부동산 시장을 살릴 방안이 필요하다는 의견도 나왔다. 지방 자산가들까지 서울로 몰린 것이 서울과 그 밖의 지역으로 집값이 양극화한 요인 중 하나라는 것이다. 권대중 서강대 교수는 “수도권 외곽으로 이사하면 양도세 면제·취득세 감면, 지방으로 귀촌·귀향할 경우 보유세를 영구 면제해주는 등 과감한 혜택을 주는 것도 고려해볼 만하다”고 말했다.
◇설문에 참여하신 분(가나다순)
고종완 한국자산관리연구원장, 고준석 연세대 상남경영원 교수, 권대중 서강대 일반대학원 부동산학 교수, 김제경 투미부동산컨설팅 소장, 박민수 더스마트컴퍼니 대표, 신현강 부와지식의배움터 대표, 양지영 신한투자증권 자산관리컨설팅부 수석, 이상우 인베이드투자자문 대표, 최창욱 건물과사람들 대표, 함영진 우리은행 부동산리서치랩장"
2025-07-29,"건설 현장에서 연달아 사망 사고가 이어진 포스코이앤씨가 사망 사고에 대한 사과와 함께 안전이 확인되기 전까지 모든 현장의 작업을 무기한 중단하겠다는 뜻을 밝혔다. 이재명 대통령이 이번 사고에 대해 “미필적 고의에 의한 살인”이라며 강하게 질타하자 강도 높은 대책 마련에 나선 것이다.
정희민 포스코이앤씨 대표이사는 29일 사과문을 통해 “‘함양~창녕간 고속도로건설현장’에서 발생한 사고로 안타깝게 유명을 달리하신 고인께 깊은 애도의 뜻을 표하며, 유가족분들께도 진심으로 사죄의 말씀을 드린다”며 “이번 인명사고가 발생한 점에 대해 참담한 심정과 무거운 책임을 통감한다”고 밝혔다.
그러면서 “사고 직후 저희 회사의 모든 현장에서 즉시 작업을 중단했고, 전사적 긴급 안전 점검을 실시해 안전이 확실하게 확인되기 전까지는 무기한 작업을 중지토록 했다”면서 “제로베이스에서 잠재된 위험 요소를 전면 재조사해 유사 사고를 예방하고 생업을 위해 출근한 근로자들이 안전하게 일하고 퇴근할 수 있는 재해 예방 안전 시스템을 새롭게 구축하겠다”고 했다.
지난 28일 포스코이앤씨가 시공하는 고속국도 제14호선 함양~창녕 간 건설공사 10공구에서는 60대 노동자가 천공기에 끼어 사망하는 사고가 발생했다. 사고 이후 고용노동지청은 현장 작업 중지를 명령한 데 이어 전국의 포스코이앤씨 시공 현장에 대해 작업 중지 및 자체 점검을 요구했다. 포스코이앤씨가 시공하는 현장에서 사망 사고가 발생한 것은 이번이 네 번째다. 지난 1월 경남 김해 아파트 신축 현장 추락 사고를 시작으로 4월 경기도 광명 신안산선 건설 현장 붕괴 사고, 대구 주상복합 신축 현장 추락 사고 등이 이어졌다.
<함양~창녕간 고속도로 10공구 현장 사고에 대한 사과문>
저희 회사는 어제 ‘함양~창녕간 고속도로건설현장’에서 발생한 사고로 안타깝게 유명을 달리하신 고인께 깊은 애도의 뜻을 표하며, 유가족분들께도 진심으로 사죄의 말씀을 드립니다.
또한 올해 저희 회사 건설현장에서 발생한 중대재해로 인해 큰 심려를 끼쳐드린 데 이어, 또다시 이번 인명사고가 발생한 점에 대해 참담한 심정과 무거운 책임을 통감합니다.
저희 회사는 사고의 정확한 원인 규명을 위해 관계기관에 적극 협조하고 있으며, 깊은 슬픔에 잠겨 계실 유가족분들께 필요한 지원을 아끼지 않겠습니다.
어제 사고 직후 저희 회사의 모든 현장에서 즉시 작업을 중단했고, 전사적 긴급 안전점검을 실시해 안전이 확실하게 확인되기 전까지는 무기한 작업을 중지토록 했습니다.
나아가 제로베이스에서 잠재된 위험 요소를 전면 재조사해 유사사고를 예방하고 생업을 위해 출근한 근로자들이 안전하게 일하고 퇴근할 수 있는 재해예방안전시스템을 새롭게 구축하겠습니다.
이를 위해 저희 회사 임직원들은 협력업체를 포함한 모든 근로자들의 안전이 최우선 가치가 될 수 있도록 필요한 자원과 역량을 총 동원해 근본적인 쇄신의 계기로 삼겠습니다.
또다시 이러한 비극이 발생하는 일이 없도록 사즉생의 각오와 회사의 명운을 걸고 안전체계의 전환을 이루어 내겠습니다.
다시 한번 고인의 명복을 빌며 유가족분들께 진심 어린 위로를 전합니다."
2025-07-28,"서울 강동구 둔촌동 ‘올림픽파크포레온’ 아파트 벽면에서 균열이 발견돼 정밀안전진단과 전수조사가 추진된다.
강동구청과 현대건설은 올림픽파크포레온 단지 내 균열 발생과 관련한 대응 방안을 논의했다고 28일 밝혔다.
대규모 균열이 발생한 곳은 올림픽파크포레온 3단지의 한 고층 복도 내부다. 입주민이 아파트 커뮤니티에 올린 사진을 보면, 복도 벽면을 따라 가로 균열이 생겼다. 일부 균열은 유리창까지 길게 이어졌다. 입주민은 “세로 균열보다 가로 균열이 더 위험하다고 들었는데 집 무너질까 봐 걱정된다”고 했다.
현대건설은 전날 저녁 균열 보수 작업을 진행했으며 이른 시일 내 건물 정밀안전진단을 실시할 것으로 알려졌다.
또한 강동구청은 현대건설을 포함해 공동 시공에 참여한 HDC현대산업개발, 대우건설, 롯데건설 등 전체 시공사에 균열 관련 전수조사를 요청했다. 구 관계자는 “입주민 불안이 커지고 있는 만큼 전수조사를 위해 각 사에 공문을 발송했다”고 밝혔다.
작년 11월 입주를 시작한 올림픽파크포레온은 국내 최대 규모(1만2032가구)의 단일 단지로 꼽힌다. 이 단지의 재건축 공사는 2022년 4월 공정률 52% 상태에서 전면 중단됐었다. 조합과 시공사업단 사이에서 공사비 증액 문제 등을 놓고 갈등이 생겨 재개되기까지 약 6개월이 소요됐다.
전용면적 84㎡ 기준 분양가는 12억원대였지만, 최근 입주권 시세는 28억8000만원까지 올랐다. 당첨만 되면 15억원의 시세 차익을 볼 수 있다는 기대감이 작용하면서 최근 진행된 4가구 무순위 청약에 22만4000여 명이 몰렸다. 경쟁률은 평균 5만6000대 1을 나타냈다."
2025-07-28,"대우건설이 부산 수영구 남천동 일원 옛 메가마트 부지에 건설하는 ‘써밋 리미티드 남천’을 다음 달 분양한다. 부산 내에서 고소득층의 거주 비율이 높은 해운대 지역 아파트들이 노후화하는 가운데 인근에 들어서는 신축 단지여서 지역 수요자들의 많은 관심이 예상된다.
써밋 리미티드 남천은 지하 5층~지상 최고 40층, 5개 동, 전용면적 84~243㎡ 835가구로 조성된다. 국민 평형부터 초대형 펜트하우스까지 다양한 평형을 갖춘 점이 특징이다.
이 단지는 바다 주변이라는 입지적 장점을 극대화하기 위해 다양한 조망 특화 설계를 적용했다. 동 방향과 창 위치를 조율해 전 세대의 약 88%에서 광안대교나 바다를 볼 수 있다. 일부 세대는 안방과 욕실에서 광안대교를 감상할 수 있다. 조망이 가능하다. 단지 중앙 최상층에 마련되는 커뮤니티 시설에도 탁 트인 광안대교를 감상할 수 있는 스카이라운지와 게스트하우스가 들어선다.
주차 공간은 세대당 2.17대로 넉넉하게 제공되며 인공지능(AI) 기반 스마트 주차 유도 시스템과 지진 감지 경보 시스템 등 첨단 기술이 도입된다.
단지가 들어서는 옛 메가마트 부지는 남천동 중심 생활권에 해당해 주변으로 생활에 필요한 다양한 인프라가 갖춰져 있다. 해운대와 센텀시티, 동부산 관광단지 등 주요 지역에 빠르게 연결되는 수영로·번영로·황령터널 등이 가깝고 걸어서 2분 거리에 부산지하철 2호선 남천역과 경성대·부경대역도 있다. 주변에 학교, 학원가가 잘 갖춰져 있어 교육 여건도 좋은 편이다.
청약 신청은 8월 중 받을 예정이다. 견본주택은 부산 해운대구 우동 1522번지에 마련된다."
2025-07-25,"올해 상반기 전국의 주택 임대차 거래 중 월세 비율이 사상 처음으로 60%를 넘어선 것으로 확인됐다. 전국 단위 확정일자 통계가 집계되기 시작한 2014년 이후 반기든 연간이든 월세 비율이 60%를 넘은 것은 이번이 처음이다.
24일 본지가 법원 통계를 분석한 결과, 올해 1~6월 계약을 체결하고 확정일자를 받은 전국 전월세 주택 145만9747가구 중 월세는 89만8732가구로 61.6%를 차지했다. 지난해 상반기(57.5%) 및 연간 월세 비율(57.7%)보다 4%포인트가량 높아졌다. 월세 확산은 전국 모든 지역에서 확인되고 있다. 올 상반기 수도권 월세 거래 비율은 60.3%, 지방은 64%였다.
임대차 시장에서 월세 비율은 지속적으로 높아지고 있다. 전셋값과 대출금리가 오르고 전세 사기로 인한 기피 심리까지 더해진 결과다. 문제는 월세가 확산되면서 서민층의 주거 부담이 갈수록 커지고 있다는 점이다. 실제로 최근 서울 강북 지역 아파트에서는 월세가 300만원에 달하는 거래 사례가 잇따르고 있다.
‘전세의 월세화’는 지난 ‘6·27 부동산 대책’으로 더 가속화할 전망이다. 신축 아파트 전세 세입자에 대한 대출이 금지되고, 전세 대출 보증 비율도 낮아지는 등 전세 자금 조달 문턱이 높아졌기 때문이다. 고종완 한국자산관리연구원장은 “전세를 낀 투기 수요를 차단하자는 게 대책의 취지이지만 이로 인해 월세화가 더 빨라져 서민층 주거비 부담을 가중시킬 수 있다”며 “세밀한 접근이 필요하다”고 말했다.
◇강북 30평대 월세가 300만원… “월급 절반 내야 할 판”
전세의 월세화가 진행되면서 월세 가격도 가파른 오름세다. 특히 서울 강북에서도 도심 출퇴근이 편리한 지역 아파트 국민 평형(전용면적 84㎡) 기준으로 사실상 ‘월세 300만원 시대’에 돌입했다. 예컨대 성동구 ‘왕십리자이’ 84㎡는 지난 2월 보증금 1억원, 월세 270만원에 거래됐고, 동대문구 ‘e편한세상청계센트럴포레’는 4월 월세 310만원(보증금 1억원)에 거래됐다. 4인 가구 중위 소득(610만원)의 절반을 매달 주거비로 지출해야 하는 셈이다.
월세가 오르자 무주택 서민들이 직격탄을 맞고 있다. 전세로 살 경우 큰 고정 지출을 줄일 수 있었던 과거 세대와 달리, 월세가 표준이 되면서 목돈이 없는 청년층과 신혼부부의 주거 사다리가 끊기고 있는 것이다.
내년 초 출산을 앞둔 이모(32)씨가 그런 사례다. 그는 지금 살고 있는 경기도 성남의 전셋집 만기가 되면 모은 돈을 보태 서울 성동구 부모님 댁 근처 전셋집을 구하려고 했는데, 대출 규제로 전세 매물이 급감해 이사 갈 집을 구하는 데 어려움을 겪고 있다. 이씨는 “감당 가능한 수준의 전셋집은 매물 자체가 없어 월세를 알아보고 있다”며 “한 푼이라도 더 모아야 하는데 매달 수백만 원씩 월세로 나가면 내 집 마련은 포기해야 할 것 같다”고 말했다. 실제 6·27 대책 일환으로 신혼부부 등 청년층이 수도권에서 빌릴 수 있는 저금리 전세 대출의 한도가 3억원에서 2억5000만원으로 줄었다.
◇이젠 월세가 대세
월세화를 촉발한 첫 신호탄은 2020년 8월 시행된 ‘임대차 2법’이다. 전세 계약 1회(2년) 갱신을 의무화하고 갱신 시 임대료 인상은 5%로 제한하는 게 골자였다. 기존 세입자들은 바뀐 법의 혜택을 누렸지만 신규 세입자를 구하는 집주인들이 4년 치 인상분을 한꺼번에 올려 거래 가능한 전세 매물 가격이 급등하는 부작용이 나타났다. 치솟은 전셋값을 감당하기 힘들어진 세입자들은 반(半)전세 또는 월세로 눈을 돌릴 수밖에 없었다.
이듬해엔 기준 금리가 치솟으면서 2%대였던 전세 대출 금리가 7~8%로 올랐다. 당시 월세는 보증금의 4~5% 수준이었기에 세입자들은 다시 한번 월세로 옮겨 갔다. 비슷한 시기 빌라·오피스텔 수십~수백 채를 신용불량자인 바지 사장이나 법인 명의로 사들이고 높은 전세금을 받아 잠적하는 식의 전세 사기가 성행하면서 전세의 월세화는 더욱 가속화됐다.
주택 유형별 월세 비율(올해 1~5월)을 살펴보면, 연립·다세대 등 비(非)아파트가 74.9%로 높지만 아파트(45.6%)도 절반에 육박한다. 양지영 신한투자증권 자산관리컨설팅부 수석은 “아파트는 높은 전셋값과 이자 부담이, 비아파트는 전세 사기에 대한 공포감이 월세 전환을 부추긴 것으로 보인다”고 했다.
◇“공급 대책 뒷받침돼야”
정부는 부동산 시장 안정을 위해 전세의 월세화는 불가피하다는 분위기다. 금융 당국 관계자는 “무주택 서민을 돕기 위한 전세 대출이 전셋값 거품을 부추기고 이 거품이 갭 투자 수요를 자극하면서 집값까지 연쇄적으로 밀어 올리는 악순환을 끊기 위해 전세 대출과 실거주 규제를 낸 것”이라고 말했다.
하지만 전세 공급의 핵심 지표인 아파트 신규 입주 물량이 앞으로 급감할 예정이어서 전세 시장 안정 효과가 예상보다 미미할 것이란 관측도 나온다. 부동산 정보 업체 직방에 따르면, 올 하반기 전국 아파트 입주 예정 물량은 10만323가구로 전년 동기(16만3977가구)보다 39% 적다. 특히 서울은 내년 입주 물량이 2만4462가구로 올해(4만6710가구)의 절반 수준에 그칠 전망이다. 금리 인상 여파로 2022년부터 부동산 경기가 불황에 빠지고 공사비도 치솟으면서 신규 아파트 인허가·착공이 거의 이뤄지지 않은 탓이다. 입주 가뭄은 향후 3~4년 이상 지속될 전망이다. 대출 규제로 전세 수요를 억누른다 하더라도 공급 감소 속도가 더 빠르다면 가격 안정 효과는 기대하기 어렵다.
박원갑 KB국민은행 수석전문위원은 “지금처럼 전세의 월세화가 빠르게 진행되면 무주택 서민들의 주거비 부담이 훨씬 가중될 수 있다”며 “공공 임대주택을 포함해 전월세 공급 확충 방안이 뒷받침돼야 한다”고 말했다."
2025-07-25,"부영그룹과 고려아연은 경남 산청과 경기 가평 등 집중호우 피해 지역 수해 복구 지원을 위해 각각 5억원을 기부했다고 24일 밝혔다. 아모레퍼시픽은 3억원, 삼양그룹은 2억원, 한일시멘트는 1억원을 기부했다. 아성다이소는 2억원, HS효성은 1억원을 대한적십자사에 기부했다.
구호 물품 지원도 잇따르고 있다. 동서식품은 성금 2억원과 커피믹스 등 구호 물품 2000박스를 기부했다. 도미노피자는 전국재해구호협회를 통해 경남 산청과 합천 지역 이재민 등 800명에게 피자를, 동원그룹은 참치캔, 즉석밥 등 9만여 개를 전달했다. 하이트진로는 생수 13만 병, 빙그레는 음료 6만여 개를 기부했고, 서울우유협동조합은 이재민과 복구 인력을 위해 서울우유 제품 6048개를 전달했다. 쿠쿠는 수해 피해 지역 6곳의 고객에게 무상 수리와 제품 교환 등의 서비스를 지원한다.
중소기업중앙회는 경기·충남·전남·경남 등에서 발생한 집중호우로 수해를 입은 중소기업·소상공인들에게 재난 공제금 지원과 무이자 대출, 대출 금리 인하 등의 지원을 신속하게 시행하겠다고 밝혔다."
2025-07-25,"6·27 대출 규제 발표 후 서울 집값 상승 폭이 4주 연속 축소됐다. 재건축이나 대단지 아파트에서 거래가 이어지며 상승세는 26주 연속 이어지고 있지만, 전반적으로 거래가 줄고 관망세가 확산하면서 가격이 오르는 정도는 둔화된 것이다.
24일 한국부동산원의 주간 아파트 가격 동향에 따르면 서울 아파트 가격은 지난 21일 기준 0.16% 올랐다. 규제 발표 전(0.43%)과 비교하면 3분의 1 수준으로 상승 폭이 축소됐다. 규제 발표 전까지 상승세를 주도하던 강남 3구에서는 잠실·송파동 재건축 단지의 상승세에 힘입어 송파구(0.43%)만 유일하게 전주(0.36%)보다 오름폭이 확대됐다.
서울 전체로는 송파구를 포함해 집값 변동 폭이 다른 구에 비해 상대적으로 작은 중랑구(0.03%→0.05%), 강서구(0.09%→0.13%)까지 3구만 전주 대비 상승 폭이 커졌다. 나머지 다른 구는 모두 집값이 오르는 속도가 더뎌진 것으로 나타났다. 마포구(0.24%→0.11%), 용산구(0.26%→0.24%), 성동구(0.45%→0.37%), 양천구(0.29%→0.27%) 등이었다.
서울 용산의 한 중개업소 관계자는 “대출 규제 영향을 받지 않는 현금 부자들의 고가 주택 매매가 간간이 이뤄지는 것이 상승세를 이끌고 있지만 실수요자들은 확실히 거래를 주저하며 시장 상황을 지켜보는 중”이라고 말했다.
또 서울과 함께 규제 영향권에 놓인 경기도 집값 역시 3주 연속 상승폭이 줄며 0.02%를 기록했다. 경기도 주요 지역을 보면 과천이 0.38% 올라 직전 주(0.39%) 대비 상승률이 0.01%포인트 줄었다. 성남시 분당구도 0.4%에서 0.35%로 오름폭이 축소됐다. 비수도권은 거래가 위축된 상황이 이어지면서, 전국 아파트 매매 가격은 0.01% 오르는 데 그쳤다.
전세 시장에선 서울의 가격 상승 폭이 0.06%로 직전 주(0.07%) 대비 소폭 줄었다. 2주 연속 상승세가 둔화되긴 했다. 하지만 역세권, 선호 단지 등을 중심으로 매물 부족 현상이 이어지고 있고 대출 규제 여파도 있어 전반적인 상승세는 계속될 것이란 전망이 많다. 수도권 전체 전세 가격도 0.02%로 전주(0.03%) 대비 상승률이 소폭 줄었고, 지방은 보합으로 변동이 없었다."
2025-07-24,"총 6만6000가구로 3기 신도시 중 가장 규모가 큰 남양주 왕숙에서 내달 첫 아파트 본청약이 이뤄진다.
국토교통부와 한국토지주택공사(LH)는 다음 달 4일부터 남양주 왕숙 A-1, A-2블록 1030가구에 대한 청약 신청을 받는다고 24일 밝혔다.
올해 3기 신도시 본청약은 2월 고양 창릉, 5월 하남 교산·부천 대장에 이어 이번이 네 번째다. 새 정부 들어서는 첫 번째 3기 신도시 본청약이다.
A-1 블록은 전용면적 59㎡ 629가구로 구성됐으며, A-2 블록은 46㎡ 57가구와 55㎡ 344가구다. 입주 예정 시기는 2028년 8월이다.
이번 공급되는 단지들은 2021년 977가구(A-1 597가구·A-2 380가구) 사전청약이 이뤄졌기 때문에 사전청약 당첨자들에게 본청약이 물량이 우선 배정되고, 본청약 이후 남은 물량이 일반 수요자들에게 공급된다. 청약 접수는 다음 달 4일부터 받는다.
A-1·2블록 인근에는 왕숙천 수변공원이 있으며, 다함께 돌봄센터 등 아이돌봄시설이 배치된다. 지구 뒤쪽 풍양역으로 지하철 4·9호선 연장선이 개통될 예정이다. 정부와 LH는 왕숙 신도시 안에 조성되는 20만㎡ 규모 왕숙도시첨단산업단지에 카카오 데이터센터, 우리금융 금융연구개발센터 등을 유치해 일자리와 주거지가 공존하는 자족형 신도시로 만든다는 계획이다.
남양주왕숙 공공분양주택에는 분양가 상한제가 적용돼 전매 제한이 있으나, 실거주 의무는 없다. 무주택 신혼부부의 경우 소득, 자산 등 입주 자격을 충족하면 특별공급과 일반공급에 중복 청약 신청도 할 수 있다.
LH는 이달 25일 남양주 별내동에 전용 주택전시관을 개관하고 25일부터 일반에 공개한다.
올 하반기에는 총 1만2300가구 규모 공공분양이 예정돼있다. 이달 남양주왕숙 B-1(560가구), B-2 블록(587가구) 분양 공고가 나오며, 8월에는 과천주암 C2 블록(686가구), 의정부우정 A-1 블록(538가구)이 청약 신청을 받는다. 12월에는 서울 마곡지구에서 10-2블록 381가구를 분양한다"
2025-07-24,"현대건설, 스타벅스와 협업한 가방 선봬
현대건설이 국내 건설 업계 최초로 커피 브랜드 스타벅스와 함께 만든 컬래버(협업) 가방 4종을 선보인다고 23일 밝혔다. 가방에 현대건설의 힐스테이트 브랜드를 상징하는 패턴과 색상을 반영하고 스타벅스 로고도 새겼다. 올해 말까지 입주 예정인 힐스테이트 단지 12곳 입주민에게 제공할 예정이다.
현대모비스 ‘어린이 종합 안전 캠페인’ 펼치기로
현대모비스가 한국도로교통공단 등과 업무협약(MOU)을 맺고 ‘어린이 종합 안전 캠페인’을 공동으로 펼치기로 했다고 23일 밝혔다. 어린이가 대중교통을 이용하거나 횡단보도를 지날 때 안전사고 예방법을 체험할 수 있는 프로그램을 전국 단위로 확대 운영할 예정이다."
