"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-09-03 ~ 2023-09-03"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 성동구 금호동1가","1823","1823","0000","이편한세상금호파크힐스","59.9830","202309","03","136,000","102","14","-","-","2019","금호로 140","-","중개거래","서울 성동구","23.11.20"
"2","서울특별시 중랑구 상봉동","63","0063","0000","건영2차아파트","84.9600","202309","03","62,000","211","1","-","-","1996","신내로7나길 24","-","중개거래","서울 중랑구","23.10.06"
"3","서울특별시 성동구 성수동1가","708","0708","0000","동아그린","58.3200","202309","03","95,000","101","6","-","-","1999","상원길 76","-","중개거래","서울 성동구","23.11.30"
"4","서울특별시 동대문구 답십리동","111","0111","0000","답십리대우","59.7600","202309","03","69,000","101","9","-","-","2002","답십리로41길 33","-","중개거래","서울 동대문구","23.12.05"
"5","서울특별시 성동구 송정동","90","0090","0000","건영","110.0800","202309","03","92,000","102","14","-","-","2000","동일로 263","-","중개거래","서울 성동구","24.03.14"
"6","서울특별시 성동구 하왕십리동","990","0990","0000","한신무학","75.2000","202309","03","90,000","4","11","-","-","1989","왕십리로31나길 22","-","중개거래","서울 성동구","23.11.13"
"7","서울특별시 용산구 이촌동","300-11","0300","0011","왕궁","102.4800","202309","03","246,000","-","2","-","-","1974","이촌로88길 15","20231212","중개거래","서울 용산구","-"
"8","서울특별시 성북구 석관동","410","0410","0000","래미안아트리치","59.9800","202309","03","85,000","112","11","-","-","2019","돌곶이로8길 22","-","중개거래","서울 성북구","23.10.24"
"9","서울특별시 성동구 마장동","818","0818","0000","현대","59.9100","202309","03","78,400","101","19","-","-","1998","살곶이길 50","-","중개거래","서울 성동구","23.11.01"
"10","서울특별시 성동구 성수동1가","710","0710","0000","강변건영아파트","84.9520","202309","03","180,000","103","9","-","-","2002","왕십리로 36","-","중개거래","서울 성동구","23.11.30"
