"시점",강남구
"2020.07",233673
"2020.08",234024
"2020.09",234021
"2020.10",234588
"2020.11",234785
"2020.12",234872
"2021.01",234688
"2021.02",234776
"2021.03",233363
"2021.04",233203
"2021.05",232936
"2021.06",232707
"2021.07",232642
"2021.08",233815
"2021.09",234218
"2021.10",234533
"2021.11",234463
"2021.12",234233
"2022.01",234383
"2022.02",234634
"2022.03",234612
"2022.04",234607
"2022.05",234833
"2022.06",234885
"2022.07",235147
"2022.08",235409
"2022.09",233687
"2022.10",233474
"2022.11",233287
"2022.12",232777
"2023.01",232732
"2023.02",233325
"2023.03",234735
"2023.04",235708
"2023.05",236296
"2023.06",236935
"2023.07",237646
"2023.08",238500
"2023.09",238647
"2023.10",238712
"2023.11",238463
"2023.12",239775
"2024.01",241315
"2024.02",243061
"2024.03",243510
"2024.04",243741
"2024.05",244572
"2024.06",245046
"2024.07",245344
"2024.08",245932
"2024.09",246005
"2024.10",245910
"2024.11",245447
"2024.12",245094
"2025.01",244962
"2025.02",245076
"2025.03",245139
"2025.04",245008
"2025.05",244981
"2025.06",245092
