단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,구,계약일자,계약년월,alpha,경도,위도
삼성동브라운스톤레전드,219.48,14,2009,선릉로 660,6.954573475714557,3,강남구,2012-07-02,201207,0.9,127.042332457469,37.5155511161052
한일,55.34,6,2001,봉은사로73길 23,6.711971630580262,11,강남구,2012-07-02,201207,0.6333333333333333,127.049973533688,37.5139474971867
현대13차(208~211동),105.45,11,1983,압구정로29길 23,7.101548635976971,29,강남구,2012-07-02,201207,0.033333333333333326,127.027364437492,37.5298193048425
휴먼스타빌,35.905,16,2005,도산대로 454,6.853239242036017,7,강남구,2012-07-02,201207,0.7666666666666666,127.046056275002,37.5236847892354
신현대11차,183.41,2,1983,압구정로 151,6.943055267179682,29,강남구,2012-07-03,201207,0.033333333333333326,127.024454982256,37.5267858196588
개포주공5단지,74.25,12,1983,삼성로4길 17,6.848812743348687,29,강남구,2012-07-03,201207,0.052832083357371856,127.06903483437,37.4879144140576
동익,84.46,6,1993,광평로39길 3,6.598611614521431,19,강남구,2012-07-03,201207,0.3666666666666667,127.097263256365,37.4857662768639
경복,95.48,10,1978,언주로 604,6.530888620152714,34,강남구,2012-07-04,201207,0.0,127.038421201117,37.5095303215604
성원대치2단지아파트,33.18,13,1992,개포로109길 9,6.773103824206313,20,강남구,2012-07-04,201207,0.33333333333333337,127.075101271591,37.4957518185981
휴먼스타빌,39.95,8,2005,도산대로 454,6.6213239884320085,7,강남구,2012-07-04,201207,0.7666666666666666,127.046056275002,37.5236847892354
압구정대원칸타빌아파트,59.73,9,2001,압구정로48길 15,6.729943877666068,11,강남구,2012-07-05,201207,0.6333333333333333,127.037245042224,37.5275289588427
요진와이시티미니,12.1,3,2012,역삼로25길 21,7.188013166029884,0,강남구,2012-07-05,201207,1.0,127.039302207331,37.4975231419043
요진와이시티미니,12.94,4,2012,역삼로25길 21,7.187036630751894,0,강남구,2012-07-05,201207,1.0,127.039302207331,37.4975231419043
연세리버빌3,243.39,10,1999,선릉로190길 84,7.047879787076304,13,강남구,2012-07-05,201207,0.5666666666666667,127.048327982849,37.5284780233551
대우디오빌,30.03,16,2002,언주로 427,6.641052612916048,10,강남구,2012-07-05,201207,0.6666666666666667,127.042690475293,37.5014764820153
e-편한세상,84.991,11,2005,선릉로69길 20,7.055266458628737,7,강남구,2012-07-06,201207,0.7666666666666666,127.050923517096,37.498747226144
우성7,68.39,13,1987,개포로110길 15,6.855376287582176,25,강남구,2012-07-06,201207,0.16666666666666663,127.079114775367,37.4932437695434
로데오현대,84.96,7,1998,압구정로50길 28,6.639961991384146,14,강남구,2012-07-06,201207,0.5333333333333333,127.037303318538,37.5266478506594
한양럭스,46.08,7,2003,테헤란로25길 58,6.391562267267027,9,강남구,2012-07-06,201207,0.7,127.034561368393,37.5042789249632
"현대6차(78~81,83,84,86,87동)",144.7,11,1978,압구정로 201,7.062991360267772,34,강남구,2012-07-06,201207,0.0,127.029273123095,37.5315341736395
삼성청담아파트,114.83,4,1999,학동로 405,6.664112175524304,13,강남구,2012-07-06,201207,0.5666666666666667,127.04223600519,37.5178177150654
현대13차(208~211동),108.47,12,1983,압구정로29길 23,7.0733119058496285,29,강남구,2012-07-06,201207,0.033333333333333326,127.027364437492,37.5298193048425
