경도,위도,계약일자,인덱스
126.924636363793,37.5204013377518,2020-07-31,3709
127.043293439902,37.568341418104,2020-08-01,3719
127.08647454055,37.5901309248198,2020-08-01,3715
127.137712375583,37.5166909917264,2020-08-01,3718
127.080761318123,37.6251520163508,2020-08-01,3716
126.899674297901,37.585169461977,2020-09-11,6476
126.865109117285,37.5076005082727,2020-07-18,1531
126.935473714353,37.6128212718274,2020-07-18,1528
127.06247734346,37.4532443872226,2020-07-18,1533
127.093264549075,37.4673466520187,2020-07-18,1530
127.053483219997,37.4880695220981,2020-07-20,1987
126.958940197309,37.5423467233908,2020-07-20,1979
127.159176546352,37.5561770852501,2020-09-12,6495
127.141817410349,37.532760994336,2020-12-21,10864
127.014522584596,37.4915904303325,2020-12-21,10854
127.074842153869,37.6584690001803,2020-12-22,10871
